000001 上证指数 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/26	0931	3149.21	3153.06	3149.21	3151.83	242740	0.00
2017/01/26	0932	3151.68	3152.21	3151.03	3151.31	91397	0.00
2017/01/26	0933	3151.39	3151.56	3150.39	3150.45	91705	0.00
2017/01/26	0934	3150.52	3151.46	3150.37	3151.46	87028	0.00
2017/01/26	0935	3151.45	3151.63	3150.69	3151.63	82381	0.00
2017/01/26	0936	3151.52	3152.81	3151.52	3152.62	85436	0.00
2017/01/26	0937	3152.40	3153.26	3152.30	3153.26	87009	0.00
2017/01/26	0938	3153.05	3153.95	3153.05	3153.05	85796	0.00
2017/01/26	0939	3153.91	3153.94	3153.53	3153.64	86020	0.00
2017/01/26	0940	3154.25	3154.25	3153.51	3154.21	76684	0.00
2017/01/26	0941	3154.12	3154.48	3153.70	3153.93	77320	0.00
2017/01/26	0942	3154.35	3154.63	3153.74	3154.33	80328	0.00
2017/01/26	0943	3154.10	3154.47	3153.82	3154.25	81119	0.00
2017/01/26	0944	3154.88	3155.02	3154.36	3155.02	77734	0.00
2017/01/26	0945	3155.10	3155.32	3154.38	3154.93	76751	0.00
2017/01/26	0946	3154.33	3155.58	3154.33	3155.27	75215	0.00
2017/01/26	0947	3155.41	3155.95	3154.74	3155.92	76041	0.00
2017/01/26	0948	3155.79	3156.19	3155.13	3155.33	70026	0.00
2017/01/26	0949	3155.94	3156.58	3155.44	3155.44	86534	0.00
2017/01/26	0950	3155.55	3156.36	3155.15	3155.15	76383	0.00
2017/01/26	0951	3156.15	3156.35	3155.50	3155.82	77860	0.00
2017/01/26	0952	3155.91	3156.78	3155.80	3156.55	76243	0.00
2017/01/26	0953	3155.89	3157.15	3155.89	3157.15	77290	0.00
2017/01/26	0954	3157.16	3157.56	3156.78	3156.91	75068	0.00
2017/01/26	0955	3157.30	3157.77	3157.30	3157.58	70563	0.00
2017/01/26	0956	3157.79	3158.64	3157.79	3158.13	74237	0.00
2017/01/26	0957	3157.93	3158.82	3157.93	3158.33	71187	0.00
2017/01/26	0958	3158.17	3159.13	3158.00	3158.19	68456	0.00
2017/01/26	0959	3158.19	3159.22	3158.17	3158.66	64456	0.00
2017/01/26	1000	3158.52	3158.79	3157.72	3158.04	66612	0.00
2017/01/26	1001	3157.82	3158.50	3157.58	3157.58	69663	0.00
2017/01/26	1002	3157.76	3158.39	3157.53	3158.10	60299	0.00
2017/01/26	1003	3157.77	3158.39	3157.22	3157.71	57266	0.00
2017/01/26	1004	3158.17	3158.31	3157.82	3158.25	59787	0.00
2017/01/26	1005	3158.10	3158.40	3157.55	3158.11	57266	0.00
2017/01/26	1006	3159.00	3159.13	3158.28	3158.99	61785	0.00
2017/01/26	1007	3159.09	3159.39	3158.85	3159.39	56667	0.00
2017/01/26	1008	3159.17	3159.75	3159.12	3159.63	56091	0.00
2017/01/26	1009	3159.76	3159.81	3158.84	3159.09	65951	0.00
