000016 上证50 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	2337.45	2337.45	2334.70	2335.25	62534	0.00
2017/04/27	0932	2334.91	2334.91	2332.72	2334.06	27774	0.00
2017/04/27	0933	2333.15	2334.28	2332.10	2334.13	33025	0.00
2017/04/27	0934	2333.57	2335.83	2333.57	2335.83	25028	0.00
2017/04/27	0935	2334.82	2336.21	2334.59	2334.59	22470	0.00
2017/04/27	0936	2335.13	2335.89	2334.10	2334.10	26923	0.00
2017/04/27	0937	2333.23	2333.36	2331.33	2331.33	39939	0.00
2017/04/27	0938	2331.39	2332.00	2330.87	2331.18	33312	0.00
2017/04/27	0939	2331.22	2334.80	2330.91	2334.80	30748	0.00
2017/04/27	0940	2334.82	2335.40	2334.42	2334.86	24186	0.00
2017/04/27	0941	2335.09	2337.04	2335.09	2336.32	26371	0.00
2017/04/27	0942	2336.44	2337.50	2336.26	2337.03	22436	0.00
2017/04/27	0943	2336.30	2337.19	2336.21	2336.81	21633	0.00
2017/04/27	0944	2336.76	2337.02	2335.86	2336.45	21887	0.00
2017/04/27	0945	2336.38	2336.85	2335.23	2335.23	20802	0.00
2017/04/27	0946	2335.35	2335.93	2334.35	2334.69	20201	0.00
2017/04/27	0947	2334.76	2335.99	2334.47	2335.99	34013	0.00
2017/04/27	0948	2335.95	2337.12	2335.49	2336.27	39714	0.00
2017/04/27	0949	2335.81	2336.34	2335.68	2336.09	39423	0.00
2017/04/27	0950	2336.03	2336.21	2335.20	2335.73	30022	0.00
2017/04/27	0951	2335.54	2336.10	2334.46	2334.46	30488	0.00
2017/04/27	0952	2334.49	2334.49	2332.98	2333.94	33763	0.00
2017/04/27	0953	2332.99	2333.65	2332.99	2333.35	22638	0.00
2017/04/27	0954	2334.23	2334.70	2333.90	2333.97	24362	0.00
2017/04/27	0955	2334.26	2335.54	2334.02	2334.92	22101	0.00
2017/04/27	0956	2334.89	2335.19	2334.43	2335.19	18837	0.00
2017/04/27	0957	2334.86	2335.17	2334.42	2334.56	17345	0.00
2017/04/27	0958	2334.97	2335.18	2333.32	2333.32	15863	0.00
2017/04/27	0959	2333.91	2334.34	2331.87	2332.70	22417	0.00
2017/04/27	1000	2332.10	2332.10	2329.53	2329.53	32207	0.00
2017/04/27	1001	2329.16	2329.82	2327.47	2327.47	34887	0.00
2017/04/27	1002	2328.05	2329.46	2327.55	2328.91	34886	0.00
2017/04/27	1003	2329.10	2330.26	2328.83	2330.03	24509	0.00
2017/04/27	1004	2330.36	2331.85	2330.34	2331.85	16925	0.00
2017/04/27	1005	2332.12	2332.76	2331.75	2332.36	19085	0.00
2017/04/27	1006	2332.09	2332.69	2331.93	2332.38	14914	0.00
2017/04/27	1007	2332.48	2333.41	2332.48	2333.10	16499	0.00
2017/04/27	1008	2332.64	2333.82	2332.64	2332.76	19055	0.00
2017/04/27	1009	2333.11	2333.87	2333.03	2333.68	20150	0.00
2017/04/27	1010	2333.82	2334.79	2333.73	2334.16	17716	0.00
2017/04/27	1011	2334.29	2334.71	2334.02	2334.27	14492	0.00
2017/04/27	1012	2334.32	2334.51	2333.90	2334.27	15382	0.00
2017/04/27	1013	2334.11	2335.25	2334.11	2335.19	12917	0.00
2017/04/27	1014	2335.16	2335.47	2334.77	2334.77	17821	0.00
2017/04/27	1015	2335.65	2335.96	2335.22	2335.40	14153	0.00
2017/04/27	1016	2335.61	2335.77	2334.43	2334.43	18491	0.00
2017/04/27	1017	2334.97	2334.97	2332.86	2332.86	14963	0.00
2017/04/27	1018	2333.10	2333.59	2332.75	2332.92	14728	0.00
2017/04/27	1019	2333.19	2333.23	2332.50	2332.59	15680	0.00
2017/04/27	1020	2332.39	2333.13	2332.23	2332.23	13676	0.00
2017/04/27	1021	2332.97	2333.56	2332.30	2333.56	11873	0.00
2017/04/27	1022	2333.06	2334.34	2332.32	2334.34	13342	0.00
2017/04/27	1023	2333.83	2334.90	2333.83	2334.63	11575	0.00
2017/04/27	1024	2334.86	2334.86	2333.56	2334.69	11430	0.00
2017/04/27	1025	2334.69	2335.17	2334.04	2334.92	11913	0.00
2017/04/27	1026	2334.93	2335.42	2334.35	2335.08	10932	0.00
2017/04/27	1027	2334.95	2335.43	2334.26	2334.91	8100	0.00
2017/04/27	1028	2335.22	2335.22	2334.34	2334.83	10951	0.00
2017/04/27	1029	2334.80	2335.32	2334.36	2334.94	12413	0.00
