000300 沪深300 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	3435.10	3435.10	3428.78	3428.78	256470	0.00
2017/04/27	0932	3428.41	3428.41	3425.02	3425.58	121742	0.00
2017/04/27	0933	3424.85	3424.90	3423.44	3424.85	134887	0.00
2017/04/27	0934	3424.36	3426.45	3424.25	3426.45	127523	0.00
2017/04/27	0935	3425.41	3427.21	3425.41	3425.51	119275	0.00
2017/04/27	0936	3426.13	3426.33	3424.23	3424.23	124315	0.00
2017/04/27	0937	3423.36	3423.36	3418.32	3418.32	152145	0.00
2017/04/27	0938	3418.01	3418.01	3416.07	3416.14	142649	0.00
2017/04/27	0939	3415.93	3420.16	3415.60	3420.10	123962	0.00
2017/04/27	0940	3420.34	3421.97	3420.07	3421.76	97257	0.00
2017/04/27	0941	3422.21	3424.45	3422.21	3423.74	91616	0.00
2017/04/27	0942	3424.01	3425.40	3424.01	3425.39	100725	0.00
2017/04/27	0943	3424.71	3425.39	3424.50	3425.13	85725	0.00
2017/04/27	0944	3425.00	3425.28	3424.37	3424.94	82612	0.00
2017/04/27	0945	3424.80	3424.80	3423.17	3423.17	91592	0.00
2017/04/27	0946	3423.18	3423.42	3422.34	3422.51	83622	0.00
2017/04/27	0947	3422.26	3422.26	3421.54	3422.19	98147	0.00
2017/04/27	0948	3422.11	3422.54	3421.56	3421.87	95414	0.00
2017/04/27	0949	3421.55	3421.71	3421.09	3421.46	101348	0.00
2017/04/27	0950	3421.37	3421.74	3420.99	3421.09	84136	0.00
2017/04/27	0951	3420.85	3421.41	3420.13	3420.14	88621	0.00
2017/04/27	0952	3420.22	3420.22	3418.00	3418.59	96260	0.00
2017/04/27	0953	3417.75	3418.23	3416.87	3416.88	98932	0.00
2017/04/27	0954	3417.27	3418.14	3417.12	3417.63	98410	0.00
2017/04/27	0955	3417.34	3419.01	3417.34	3419.00	87465	0.00
2017/04/27	0956	3418.96	3419.34	3418.52	3419.34	76558	0.00
2017/04/27	0957	3418.96	3419.17	3418.70	3418.81	79760	0.00
2017/04/27	0958	3419.24	3419.24	3417.61	3417.61	71967	0.00
2017/04/27	0959	3417.96	3417.96	3413.97	3413.98	100254	0.00
2017/04/27	1000	3413.41	3413.41	3408.02	3408.02	125253	0.00
2017/04/27	1001	3407.43	3407.51	3403.85	3403.85	136784	0.00
2017/04/27	1002	3404.47	3406.32	3403.90	3405.90	131677	0.00
2017/04/27	1003	3406.07	3407.23	3405.80	3407.00	105070	0.00
2017/04/27	1004	3407.30	3409.40	3407.30	3409.40	84328	0.00
2017/04/27	1005	3410.05	3410.95	3410.05	3410.95	83216	0.00
2017/04/27	1006	3410.59	3411.56	3410.59	3411.49	73163	0.00
2017/04/27	1007	3411.53	3412.28	3411.53	3411.98	70276	0.00
2017/04/27	1008	3411.70	3413.08	3411.70	3412.25	72250	0.00
2017/04/27	1009	3412.54	3413.16	3412.28	3412.72	70638	0.00
2017/04/27	1010	3412.71	3413.36	3412.50	3413.09	104173	0.00
2017/04/27	1011	3413.17	3414.23	3413.17	3414.23	69690	0.00
2017/04/27	1012	3414.22	3414.80	3414.03	3414.80	68373	0.00
2017/04/27	1013	3414.94	3415.41	3414.87	3415.35	60254	0.00
2017/04/27	1014	3415.13	3415.59	3415.01	3415.01	63634	0.00
2017/04/27	1015	3415.38	3415.64	3415.08	3415.15	58994	0.00
2017/04/27	1016	3415.13	3415.38	3414.07	3414.07	64213	0.00
2017/04/27	1017	3414.37	3414.37	3412.20	3412.20	67363	0.00
2017/04/27	1018	3412.29	3412.37	3411.23	3411.23	58867	0.00
2017/04/27	1019	3411.38	3411.38	3410.21	3410.28	62787	0.00
2017/04/27	1020	3410.20	3410.28	3409.49	3409.49	63273	0.00
2017/04/27	1021	3409.96	3409.96	3409.12	3409.65	60055	0.00
2017/04/27	1022	3409.51	3411.36	3409.26	3411.36	62165	0.00
2017/04/27	1023	3410.97	3412.48	3410.97	3412.21	62515	0.00
2017/04/27	1024	3412.40	3412.40	3411.65	3411.90	65508	0.00
2017/04/27	1025	3412.05	3412.65	3411.75	3412.45	62157	0.00
2017/04/27	1026	3412.60	3412.74	3411.67	3411.85	53426	0.00
2017/04/27	1027	3411.60	3411.66	3410.89	3411.33	58338	0.00
2017/04/27	1028	3411.79	3411.79	3411.11	3411.45	64666	0.00
2017/04/27	1029	3411.43	3411.79	3411.18	3411.55	66038	0.00
2017/04/27	1030	3411.78	3411.81	3410.70	3410.70	74162	0.00
2017/04/27	1031	3410.64	3410.64	3407.95	3407.95	81480	0.00
2017/04/27	1032	3407.38	3407.38	3403.49	3403.49	97998	0.00
2017/04/27	1033	3403.63	3403.63	3401.33	3401.59	103471	0.00
2017/04/27	1034	3401.05	3401.05	3399.60	3399.60	99092	0.00
