600016 民生银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.56	7.57	7.56	7.56	5218600	40301312.00
2017/04/27	0932	7.56	7.56	7.55	7.56	537100	4144852.00
2017/04/27	0933	7.55	7.56	7.55	7.55	1456200	11229266.00
2017/04/27	0934	7.55	7.55	7.53	7.54	1744200	13444030.00
2017/04/27	0935	7.54	7.55	7.53	7.53	1268400	9761841.00
2017/04/27	0936	7.53	7.54	7.53	7.53	1794900	13804584.00
2017/04/27	0937	7.52	7.53	7.52	7.52	1832200	14074389.00
2017/04/27	0938	7.52	7.52	7.51	7.51	1290100	9899352.00
2017/04/27	0939	7.50	7.52	7.50	7.52	2101200	16104572.00
2017/04/27	0940	7.51	7.53	7.51	7.52	895000	6873108.00
2017/04/27	0941	7.52	7.53	7.52	7.52	850300	6532059.00
2017/04/27	0942	7.53	7.53	7.52	7.53	864900	6647958.00
2017/04/27	0943	7.52	7.53	7.52	7.52	905400	6956843.00
2017/04/27	0944	7.52	7.53	7.52	7.53	609400	4683675.00
2017/04/27	0945	7.52	7.53	7.52	7.53	492400	3784618.00
2017/04/27	0946	7.52	7.53	7.52	7.52	1043900	8018353.00
2017/04/27	0947	7.51	7.52	7.51	7.52	1213600	9319064.00
2017/04/27	0948	7.52	7.53	7.52	7.52	779600	5988966.00
2017/04/27	0949	7.52	7.53	7.52	7.52	499300	3835881.00
2017/04/27	0950	7.52	7.53	7.52	7.52	483500	3716878.00
2017/04/27	0951	7.53	7.54	7.53	7.54	1012800	7789621.00
2017/04/27	0952	7.54	7.54	7.53	7.54	641500	4939008.00
2017/04/27	0953	7.54	7.54	7.53	7.53	512200	3941222.00
2017/04/27	0954	7.54	7.54	7.53	7.54	589100	4534499.00
2017/04/27	0955	7.54	7.55	7.54	7.55	536100	4130046.00
2017/04/27	0956	7.55	7.56	7.54	7.55	698300	5382912.00
2017/04/27	0957	7.56	7.56	7.55	7.56	623200	4808295.00
2017/04/27	0958	7.56	7.56	7.55	7.56	529400	4085993.00
2017/04/27	0959	7.56	7.56	7.54	7.55	656300	5064144.00
2017/04/27	1000	7.55	7.55	7.54	7.55	501100	3861996.00
2017/04/27	1001	7.55	7.55	7.53	7.54	849800	6544052.00
2017/04/27	1002	7.54	7.55	7.53	7.54	950500	7323278.00
2017/04/27	1003	7.56	7.56	7.55	7.56	834800	6438989.00
2017/04/27	1004	7.55	7.56	7.55	7.56	411900	3177116.00
2017/04/27	1005	7.56	7.57	7.55	7.56	928600	7169390.00
2017/04/27	1006	7.57	7.60	7.57	7.60	1793900	13899889.00
2017/04/27	1007	7.60	7.63	7.60	7.63	3092400	24053092.00
2017/04/27	1008	7.63	7.65	7.63	7.64	5742900	44798340.00
2017/04/27	1009	7.64	7.64	7.63	7.64	2659000	20739250.00
2017/04/27	1010	7.64	7.64	7.63	7.63	1600900	12480929.00
2017/04/27	1011	7.62	7.63	7.61	7.61	829300	6449994.00
2017/04/27	1012	7.62	7.64	7.61	7.64	1884500	14675967.00
2017/04/27	1013	7.63	7.67	7.63	7.67	3526500	27565482.00
2017/04/27	1014	7.66	7.68	7.66	7.67	6987200	54720084.00
2017/04/27	1015	7.68	7.68	7.66	7.67	3971500	31113168.00
2017/04/27	1016	7.67	7.67	7.65	7.65	3266200	25540422.00
2017/04/27	1017	7.65	7.66	7.65	7.65	1344000	10504740.00
2017/04/27	1018	7.66	7.67	7.65	7.65	2233100	17459964.00
2017/04/27	1019	7.66	7.66	7.65	7.65	913100	7136399.00
2017/04/27	1020	7.65	7.66	7.64	7.65	1747600	13650397.00
2017/04/27	1021	7.65	7.65	7.64	7.64	947700	7397553.00
2017/04/27	1022	7.64	7.65	7.64	7.64	737300	5752095.00
