600026 中远海能 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	6.46	6.46	6.43	6.43	87800	582905.00
2017/04/27	0932	6.43	6.43	6.41	6.41	182100	1202818.00
2017/04/27	0933	6.40	6.41	6.39	6.40	93800	618000.00
2017/04/27	0934	6.39	6.40	6.39	6.39	204100	1343582.00
2017/04/27	0935	6.39	6.40	6.37	6.38	260900	1714779.00
2017/04/27	0936	6.38	6.38	6.36	6.37	173000	1134718.00
2017/04/27	0937	6.36	6.37	6.34	6.34	208900	1367025.00
2017/04/27	0938	6.34	6.34	6.31	6.32	284700	1855234.00
2017/04/27	0939	6.31	6.33	6.31	6.33	226000	1471168.00
2017/04/27	0940	6.34	6.35	6.33	6.34	133200	869243.00
2017/04/27	0941	6.35	6.36	6.34	6.36	57200	374060.00
2017/04/27	0942	6.36	6.36	6.35	6.36	92800	607768.00
2017/04/27	0943	6.35	6.36	6.34	6.36	38400	251259.00
2017/04/27	0944	6.35	6.36	6.34	6.34	68500	448060.00
2017/04/27	0945	6.35	6.35	6.34	6.34	65900	430530.00
2017/04/27	0946	6.34	6.35	6.34	6.34	25700	167901.00
2017/04/27	0947	6.34	6.35	6.34	6.34	136700	892784.00
2017/04/27	0948	6.35	6.35	6.34	6.35	107300	701535.00
2017/04/27	0949	6.35	6.35	6.34	6.34	111600	729510.00
2017/04/27	0950	6.34	6.34	6.33	6.34	168200	1098180.00
2017/04/27	0951	6.34	6.34	6.33	6.33	49800	324732.00
2017/04/27	0952	6.33	6.34	6.32	6.33	171800	1118965.00
2017/04/27	0953	6.32	6.34	6.32	6.34	85800	558799.00
2017/04/27	0954	6.33	6.34	6.33	6.33	74200	483897.00
2017/04/27	0955	6.33	6.34	6.32	6.34	85300	556132.00
2017/04/27	0956	6.34	6.35	6.33	6.34	95300	622281.00
2017/04/27	0957	6.34	6.35	6.34	6.35	111800	730152.00
2017/04/27	0958	6.35	6.35	6.34	6.34	46500	304017.00
2017/04/27	0959	6.34	6.35	6.33	6.33	201000	1312253.00
