600029 南方航空 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.50	7.50	7.47	7.47	520000	3946557.00
2017/04/27	0932	7.48	7.48	7.47	7.47	379000	2870639.00
2017/04/27	0933	7.46	7.46	7.43	7.43	671500	5065135.00
2017/04/27	0934	7.44	7.45	7.42	7.44	802600	6046155.00
2017/04/27	0935	7.44	7.45	7.43	7.45	576500	4348163.00
2017/04/27	0936	7.45	7.45	7.42	7.42	902700	6801162.00
2017/04/27	0937	7.42	7.42	7.38	7.38	1987200	14916234.00
2017/04/27	0938	7.38	7.38	7.36	7.36	800900	5984925.00
2017/04/27	0939	7.37	7.38	7.36	7.38	1503600	11230205.00
2017/04/27	0940	7.37	7.40	7.37	7.40	779900	5842080.00
2017/04/27	0941	7.40	7.41	7.39	7.40	725900	5442944.00
2017/04/27	0942	7.40	7.42	7.39	7.40	1041800	7816312.00
2017/04/27	0943	7.40	7.43	7.40	7.43	585800	4405010.00
2017/04/27	0944	7.42	7.46	7.42	7.46	1047700	7906975.00
2017/04/27	0945	7.45	7.45	7.43	7.43	470600	3549743.00
2017/04/27	0946	7.43	7.44	7.42	7.43	473600	3565746.00
2017/04/27	0947	7.43	7.43	7.41	7.42	463500	3487424.00
2017/04/27	0948	7.42	7.42	7.39	7.40	801400	6011106.00
2017/04/27	0949	7.40	7.41	7.39	7.40	271300	2034737.00
2017/04/27	0950	7.40	7.41	7.39	7.41	529700	3974998.00
2017/04/27	0951	7.42	7.42	7.40	7.41	295300	2217009.00
2017/04/27	0952	7.40	7.40	7.38	7.39	443600	3324795.00
2017/04/27	0953	7.39	7.40	7.38	7.39	541900	4059951.00
2017/04/27	0954	7.39	7.41	7.39	7.40	414300	3106304.00
2017/04/27	0955	7.41	7.42	7.40	7.41	161200	1209924.00
2017/04/27	0956	7.41	7.42	7.40	7.41	185400	1392482.00
2017/04/27	0957	7.41	7.42	7.40	7.41	119400	896503.00
2017/04/27	0958	7.41	7.42	7.40	7.40	160800	1206722.00
2017/04/27	0959	7.40	7.41	7.38	7.39	393700	2951083.00
2017/04/27	1000	7.39	7.39	7.37	7.38	354600	2652359.00
2017/04/27	1001	7.38	7.38	7.37	7.37	394900	2952292.00
2017/04/27	1002	7.38	7.39	7.37	7.38	547900	4099332.00
2017/04/27	1003	7.38	7.39	7.38	7.38	624800	4675806.00
2017/04/27	1004	7.39	7.40	7.39	7.40	124000	929106.00
2017/04/27	1005	7.39	7.40	7.39	7.39	470800	3528634.00
2017/04/27	1006	7.40	7.40	7.38	7.38	286700	2148005.00
2017/04/27	1007	7.39	7.39	7.38	7.39	140700	1053370.00
2017/04/27	1008	7.38	7.39	7.38	7.39	177400	1328111.00
2017/04/27	1009	7.39	7.39	7.38	7.39	102300	765911.00
2017/04/27	1010	7.38	7.40	7.38	7.39	138100	1034169.00
2017/04/27	1011	7.39	7.40	7.39	7.40	175800	1317290.00
2017/04/27	1012	7.40	7.40	7.39	7.39	70400	527456.00
2017/04/27	1013	7.39	7.40	7.38	7.38	175200	1312185.00
2017/04/27	1014	7.39	7.39	7.38	7.39	162600	1217738.00
2017/04/27	1015	7.39	7.40	7.39	7.40	330200	2473479.00
2017/04/27	1016	7.39	7.42	7.39	7.41	294500	2210647.00
2017/04/27	1017	7.42	7.42	7.40	7.41	99000	742953.00
2017/04/27	1018	7.41	7.41	7.40	7.40	242200	1816970.00
2017/04/27	1019	7.40	7.40	7.38	7.39	286500	2146681.00
2017/04/27	1020	7.39	7.40	7.38	7.39	133900	1003126.00
2017/04/27	1021	7.40	7.40	7.39	7.39	51100	382896.00
2017/04/27	1022	7.39	7.40	7.39	7.39	129100	967888.00
2017/04/27	1023	7.39	7.39	7.38	7.39	175900	1316441.00
2017/04/27	1024	7.39	7.39	7.38	7.39	83400	624470.00
2017/04/27	1025	7.39	7.39	7.38	7.39	100800	754306.00
2017/04/27	1026	7.39	7.39	7.38	7.39	141300	1057993.00
2017/04/27	1027	7.39	7.40	7.39	7.40	183400	1374364.00
2017/04/27	1028	7.40	7.42	7.40	7.42	371900	2791285.00
2017/04/27	1029	7.41	7.42	7.41	7.42	126600	951590.00
2017/04/27	1030	7.42	7.42	7.41	7.42	141300	1062207.00
2017/04/27	1031	7.41	7.42	7.40	7.41	174200	1308060.13
2017/04/27	1032	7.40	7.41	7.40	7.40	267500	2007736.00
2017/04/27	1033	7.40	7.40	7.39	7.39	246700	1849940.00
2017/04/27	1034	7.41	7.43	7.40	7.41	337300	2533280.00
2017/04/27	1035	7.41	7.42	7.40	7.40	345300	2592849.00
2017/04/27	1036	7.42	7.45	7.40	7.45	1212900	9150713.00
2017/04/27	1037	7.42	7.48	7.42	7.47	745000	5628335.00
2017/04/27	1038	7.48	7.50	7.46	7.47	734500	5571601.00
2017/04/27	1039	7.47	7.50	7.47	7.49	286900	2178865.00
2017/04/27	1040	7.51	7.51	7.49	7.49	500900	3808515.00
2017/04/27	1041	7.50	7.50	7.48	7.48	323800	2458343.00
2017/04/27	1042	7.49	7.53	7.48	7.52	495300	3765861.00
2017/04/27	1043	7.55	7.56	7.53	7.55	587500	4495477.00
2017/04/27	1044	7.54	7.56	7.53	7.55	853800	6530506.00
2017/04/27	1045	7.55	7.60	7.55	7.59	1190900	9133768.00
2017/04/27	1046	7.59	7.61	7.58	7.59	737500	5675655.00
2017/04/27	1047	7.60	7.60	7.57	7.58	327000	2513208.00
2017/04/27	1048	7.58	7.59	7.57	7.58	790500	6069870.00
2017/04/27	1049	7.58	7.58	7.55	7.55	328200	2515214.00
2017/04/27	1050	7.55	7.56	7.54	7.54	219300	1676591.00
2017/04/27	1051	7.55	7.57	7.54	7.57	446400	3416319.00
2017/04/27	1052	7.55	7.57	7.55	7.57	457700	3507287.00
2017/04/27	1053	7.57	7.58	7.56	7.57	169800	1302702.00
2017/04/27	1054	7.57	7.58	7.56	7.57	318900	2446708.00
2017/04/27	1055	7.57	7.57	7.56	7.56	271400	2081171.00
2017/04/27	1056	7.57	7.60	7.57	7.58	473000	3633692.00
2017/04/27	1057	7.58	7.60	7.57	7.59	334600	2572681.00
2017/04/27	1058	7.59	7.60	7.59	7.59	334500	2574438.00
2017/04/27	1059	7.60	7.60	7.59	7.59	352300	2709880.00
2017/04/27	1100	7.60	7.60	7.58	7.59	367500	2826983.00
2017/04/27	1101	7.60	7.60	7.59	7.60	121700	936265.00
2017/04/27	1102	7.60	7.61	7.59	7.61	914800	7047306.00
2017/04/27	1103	7.61	7.63	7.61	7.63	680600	5256042.00
2017/04/27	1104	7.64	7.65	7.62	7.63	1524000	11777048.00
2017/04/27	1105	7.64	7.64	7.61	7.61	564100	4360254.00
2017/04/27	1106	7.62	7.64	7.61	7.63	305400	2359751.00
2017/04/27	1107	7.63	7.63	7.62	7.63	557400	4308317.00
2017/04/27	1108	7.63	7.63	7.61	7.61	257600	1989962.00
2017/04/27	1109	7.62	7.63	7.61	7.63	420200	3243634.00
2017/04/27	1110	7.62	7.64	7.61	7.64	256200	1980048.00
2017/04/27	1111	7.62	7.64	7.60	7.62	164900	1274197.00
2017/04/27	1112	7.61	7.64	7.61	7.62	225500	1741255.00
2017/04/27	1113	7.62	7.63	7.60	7.61	205700	1588074.00
2017/04/27	1114	7.61	7.63	7.61	7.61	153100	1183261.00
2017/04/27	1115	7.62	7.64	7.62	7.63	277800	2148235.00
2017/04/27	1116	7.63	7.65	7.63	7.64	381800	2956301.00
2017/04/27	1117	7.64	7.64	7.63	7.64	179600	1389717.00
2017/04/27	1118	7.64	7.65	7.63	7.64	427300	3308613.00
2017/04/27	1119	7.65	7.65	7.63	7.65	239300	1853413.00
2017/04/27	1120	7.65	7.65	7.63	7.64	126700	980667.00
2017/04/27	1121	7.63	7.64	7.61	7.62	182400	1409467.00
2017/04/27	1122	7.64	7.64	7.60	7.62	318200	2457803.00
2017/04/27	1123	7.60	7.63	7.60	7.60	92200	710905.00
2017/04/27	1124	7.60	7.62	7.60	7.61	197900	1525395.00
2017/04/27	1125	7.61	7.61	7.60	7.60	138700	1068573.00
2017/04/27	1126	7.61	7.61	7.60	7.60	132400	1020042.00
2017/04/27	1127	7.61	7.62	7.60	7.60	271400	2094478.00
2017/04/27	1128	7.62	7.62	7.60	7.61	88100	678729.00
2017/04/27	1129	7.61	7.61	7.59	7.59	157700	1213623.00
2017/04/27	1300	7.60	7.61	7.59	7.61	228600	1759796.00
2017/04/27	1301	7.61	7.61	7.61	7.61	0	0.00
2017/04/27	1302	7.61	7.62	7.60	7.61	60300	465231.00
2017/04/27	1303	7.61	7.62	7.61	7.61	42200	325560.00
2017/04/27	1304	7.61	7.62	7.60	7.61	40400	311573.00
2017/04/27	1305	7.61	7.61	7.60	7.60	18500	142506.00
2017/04/27	1306	7.61	7.61	7.60	7.60	28400	218711.00
2017/04/27	1307	7.60	7.61	7.60	7.61	36800	283521.00
2017/04/27	1308	7.61	7.61	7.60	7.60	82200	633464.00
2017/04/27	1309	7.60	7.61	7.60	7.60	73700	567739.00
2017/04/27	1310	7.61	7.61	7.59	7.59	68100	524419.00
2017/04/27	1311	7.60	7.61	7.60	7.61	64000	492850.00
2017/04/27	1312	7.59	7.61	7.59	7.60	74800	576047.00
2017/04/27	1313	7.61	7.61	7.60	7.61	53900	415529.00
2017/04/27	1314	7.61	7.61	7.60	7.60	90400	696865.00
2017/04/27	1315	7.60	7.61	7.59	7.59	94500	727825.00
2017/04/27	1316	7.60	7.60	7.59	7.59	59200	455412.00
2017/04/27	1317	7.59	7.60	7.59	7.59	56100	431491.00
2017/04/27	1318	7.60	7.60	7.59	7.60	33000	254011.00
2017/04/27	1319	7.59	7.60	7.59	7.59	24300	187011.00
2017/04/27	1320	7.59	7.61	7.59	7.60	116200	895082.00
2017/04/27	1321	7.61	7.63	7.59	7.63	191200	1475628.00
2017/04/27	1322	7.63	7.65	7.62	7.64	382800	2957150.00
2017/04/27	1323	7.64	7.65	7.64	7.64	131200	1016304.00
2017/04/27	1324	7.64	7.66	7.64	7.65	447600	3468911.00
2017/04/27	1325	7.66	7.66	7.65	7.65	223900	1736258.00
2017/04/27	1326	7.65	7.66	7.65	7.65	228600	1772589.00
2017/04/27	1327	7.65	7.66	7.64	7.64	121700	943089.00
2017/04/27	1328	7.65	7.65	7.64	7.64	96600	747934.00
2017/04/27	1329	7.64	7.65	7.64	7.65	62500	483872.00
2017/04/27	1330	7.65	7.65	7.63	7.64	124300	962202.00
2017/04/27	1331	7.64	7.65	7.63	7.64	107000	828180.00
2017/04/27	1332	7.64	7.65	7.63	7.64	54400	421211.00
2017/04/27	1333	7.65	7.69	7.64	7.67	1397800	10869582.00
2017/04/27	1334	7.67	7.69	7.67	7.68	693400	5398976.00
2017/04/27	1335	7.69	7.69	7.68	7.68	259000	2016498.00
2017/04/27	1336	7.69	7.69	7.67	7.67	193500	1505452.00
2017/04/27	1337	7.67	7.68	7.67	7.67	152800	1188303.00
2017/04/27	1338	7.67	7.68	7.67	7.67	122200	949798.00
2017/04/27	1339	7.66	7.67	7.65	7.65	164200	1274108.00
2017/04/27	1340	7.65	7.66	7.65	7.66	116100	900826.00
2017/04/27	1341	7.65	7.67	7.65	7.65	102200	792926.00
2017/04/27	1342	7.65	7.66	7.65	7.65	120300	932877.00
2017/04/27	1343	7.65	7.66	7.65	7.66	107100	830836.00
2017/04/27	1344	7.65	7.66	7.65	7.65	170500	1321585.00
2017/04/27	1345	7.65	7.66	7.65	7.66	80900	627626.00
2017/04/27	1346	7.65	7.66	7.65	7.65	105300	816352.00
2017/04/27	1347	7.65	7.66	7.65	7.66	187500	1453731.00
2017/04/27	1348	7.66	7.66	7.64	7.65	152600	1183723.00
2017/04/27	1349	7.65	7.67	7.65	7.67	97600	757422.00
