600053 九鼎投资 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	38.39	38.40	38.37	38.39	13200	512282.00
2017/04/27	0932	38.38	38.38	38.25	38.36	9500	368538.00
2017/04/27	0933	38.25	38.25	38.25	38.25	2000	77360.00
2017/04/27	0934	38.25	38.25	38.25	38.25	3700	143116.00
2017/04/27	0935	38.25	38.31	38.07	38.31	4800	185493.00
2017/04/27	0936	38.19	38.19	38.12	38.13	3300	127270.00
2017/04/27	0937	38.13	38.23	38.12	38.12	2500	96421.00
2017/04/27	0938	38.12	38.12	38.07	38.07	5700	219715.00
2017/04/27	0939	38.07	38.23	38.07	38.13	3600	138774.00
2017/04/27	0940	38.11	38.24	38.11	38.24	9000	347103.00
2017/04/27	0941	38.18	38.18	38.16	38.16	300	11581.00
2017/04/27	0942	38.16	38.16	38.11	38.11	10700	412561.00
2017/04/27	0943	38.10	38.11	38.09	38.09	9900	381463.00
2017/04/27	0944	38.10	38.13	38.10	38.13	4500	173482.00
2017/04/27	0945	38.13	38.18	38.13	38.17	4700	181390.00
2017/04/27	0946	38.17	38.17	38.12	38.12	900	34717.00
2017/04/27	0947	38.12	38.13	38.12	38.13	1000	38553.00
2017/04/27	0948	38.14	38.14	38.13	38.14	3400	131118.00
2017/04/27	0949	38.17	38.17	38.14	38.17	2000	77173.00
2017/04/27	0950	38.17	38.17	38.17	38.17	3600	138960.00
2017/04/27	0951	38.14	38.14	38.14	38.14	500	19285.00
2017/04/27	0952	38.13	38.14	38.09	38.09	15900	612778.00
2017/04/27	0953	38.12	38.12	38.09	38.10	4600	177254.00
2017/04/27	0954	38.11	38.14	38.11	38.13	6600	254525.00
2017/04/27	0955	38.14	38.25	38.14	38.14	1400	54075.00
2017/04/27	0956	38.14	38.23	38.14	38.23	7900	304935.00
2017/04/27	0957	38.23	38.30	38.14	38.14	10400	402073.00
2017/04/27	0958	38.14	38.28	38.14	38.28	8200	317310.00
2017/04/27	0959	38.28	38.28	38.17	38.17	1300	50202.00
2017/04/27	1000	38.20	38.20	38.14	38.14	1100	42463.00
2017/04/27	1001	38.14	38.17	38.13	38.13	4800	185142.00
2017/04/27	1002	38.27	38.27	38.27	38.27	100	3870.00
2017/04/27	1003	38.30	38.30	38.14	38.14	2800	108246.00
2017/04/27	1004	38.17	38.27	38.14	38.14	2100	81103.00
