600068 葛洲坝 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.47	11.47	11.37	11.37	1158500	13482911.00
2017/04/27	0932	11.38	11.39	11.35	11.39	346400	4011834.00
2017/04/27	0933	11.40	11.40	11.39	11.39	248000	2878137.00
2017/04/27	0934	11.40	11.43	11.39	11.41	345400	4013926.00
2017/04/27	0935	11.40	11.41	11.37	11.38	803000	9317691.00
2017/04/27	0936	11.39	11.39	11.35	11.35	730600	8453284.00
2017/04/27	0937	11.34	11.35	11.30	11.31	442600	5105865.00
2017/04/27	0938	11.30	11.32	11.27	11.27	1039100	11964353.00
2017/04/27	0939	11.27	11.27	11.22	11.26	711700	8156677.00
2017/04/27	0940	11.24	11.30	11.23	11.30	1183300	13569263.00
2017/04/27	0941	11.28	11.31	11.28	11.31	565600	6506210.00
2017/04/27	0942	11.31	11.31	11.29	11.31	498800	5736484.00
2017/04/27	0943	11.30	11.31	11.29	11.29	405100	4661989.00
2017/04/27	0944	11.29	11.29	11.26	11.28	493800	5671151.00
2017/04/27	0945	11.28	11.28	11.25	11.25	909800	10432757.00
2017/04/27	0946	11.25	11.30	11.24	11.30	668800	7676373.00
2017/04/27	0947	11.30	11.30	11.27	11.29	229500	2638644.00
2017/04/27	0948	11.29	11.29	11.27	11.28	443900	5099244.00
2017/04/27	0949	11.29	11.33	11.27	11.31	772000	8878752.00
2017/04/27	0950	11.29	11.31	11.29	11.31	547500	6303018.00
2017/04/27	0951	11.31	11.32	11.29	11.30	407600	4692093.00
2017/04/27	0952	11.30	11.31	11.28	11.29	901000	10364101.00
2017/04/27	0953	11.29	11.29	11.26	11.27	846000	9710900.00
2017/04/27	0954	11.27	11.28	11.26	11.28	575700	6608683.00
2017/04/27	0955	11.26	11.28	11.24	11.24	1129300	12948379.00
2017/04/27	0956	11.25	11.25	11.23	11.24	926100	10602903.00
2017/04/27	0957	11.23	11.25	11.23	11.24	497900	5698802.00
2017/04/27	0958	11.24	11.25	11.21	11.22	766700	8766986.00
2017/04/27	0959	11.22	11.23	11.19	11.19	1084800	12385223.00
2017/04/27	1000	11.19	11.19	11.14	11.14	996300	11332187.00
2017/04/27	1001	11.14	11.14	11.06	11.06	1894700	21424118.00
2017/04/27	1002	11.07	11.07	10.99	10.99	2081500	23352860.00
2017/04/27	1003	10.97	11.05	10.97	10.99	2557400	28655764.00
2017/04/27	1004	10.99	11.06	10.99	11.06	610000	6862357.00
2017/04/27	1005	11.07	11.13	11.07	11.12	1812500	20485790.00
2017/04/27	1006	11.12	11.15	11.12	11.12	703300	7976806.00
2017/04/27	1007	11.12	11.14	11.09	11.09	672400	7612613.00
