600074 保千里 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.66	12.66	12.55	12.55	82000	1035549.00
2017/04/27	0932	12.55	12.55	12.53	12.53	33400	418902.00
2017/04/27	0933	12.54	12.57	12.54	12.57	23200	291085.00
2017/04/27	0934	12.55	12.57	12.55	12.55	19400	243598.00
2017/04/27	0935	12.55	12.55	12.54	12.54	19400	243315.00
2017/04/27	0936	12.54	12.55	12.53	12.53	137500	1724644.00
2017/04/27	0937	12.52	12.53	12.50	12.50	77600	971490.00
2017/04/27	0938	12.50	12.50	12.42	12.48	216500	2703102.00
2017/04/27	0939	12.48	12.50	12.44	12.45	109800	1367724.00
2017/04/27	0940	12.45	12.49	12.45	12.48	56000	698501.00
2017/04/27	0941	12.50	12.50	12.49	12.49	57800	722454.00
2017/04/27	0942	12.50	12.50	12.48	12.49	30900	385964.00
2017/04/27	0943	12.49	12.49	12.47	12.48	109600	1368717.00
2017/04/27	0944	12.47	12.48	12.46	12.46	62700	781376.00
2017/04/27	0945	12.46	12.47	12.46	12.47	11200	139609.00
2017/04/27	0946	12.47	12.49	12.47	12.49	3600	44930.00
2017/04/27	0947	12.48	12.48	12.47	12.47	63200	788400.00
2017/04/27	0948	12.47	12.48	12.46	12.46	35000	436673.00
2017/04/27	0949	12.47	12.48	12.47	12.48	12100	150927.00
2017/04/27	0950	12.47	12.48	12.47	12.47	8300	103527.00
2017/04/27	0951	12.47	12.48	12.47	12.48	28800	359236.00
2017/04/27	0952	12.47	12.47	12.46	12.46	19500	243047.00
2017/04/27	0953	12.46	12.46	12.44	12.44	69200	862126.00
2017/04/27	0954	12.43	12.44	12.43	12.44	18900	235090.00
2017/04/27	0955	12.42	12.44	12.42	12.44	65400	812666.00
2017/04/27	0956	12.44	12.46	12.43	12.44	34600	430379.00
2017/04/27	0957	12.46	12.46	12.46	12.46	1100	13706.00
2017/04/27	0958	12.45	12.45	12.44	12.45	8400	104562.00
2017/04/27	0959	12.44	12.44	12.44	12.44	22300	277412.00
2017/04/27	1000	12.44	12.44	12.41	12.41	96000	1192883.00
2017/04/27	1001	12.42	12.42	12.40	12.40	92200	1143662.00
2017/04/27	1002	12.40	12.43	12.40	12.43	43200	536256.00
2017/04/27	1003	12.41	12.43	12.41	12.42	62000	769849.00
2017/04/27	1004	12.42	12.43	12.40	12.40	121300	1506385.00
2017/04/27	1005	12.41	12.42	12.40	12.41	53600	664793.00
2017/04/27	1006	12.41	12.42	12.40	12.41	30900	383516.00
2017/04/27	1007	12.42	12.42	12.40	12.40	64100	795183.00
2017/04/27	1008	12.39	12.45	12.39	12.43	43000	533602.00
2017/04/27	1009	12.43	12.43	12.40	12.40	35000	434133.00
2017/04/27	1010	12.40	12.42	12.40	12.40	90900	1127479.00
2017/04/27	1011	12.41	12.41	12.40	12.40	46800	580353.00
2017/04/27	1012	12.40	12.40	12.39	12.40	12300	152514.00
2017/04/27	1013	12.40	12.42	12.40	12.41	10900	135230.00
2017/04/27	1014	12.41	12.41	12.40	12.41	43000	533321.00
2017/04/27	1015	12.41	12.41	12.39	12.39	24100	298681.00
2017/04/27	1016	12.40	12.40	12.39	12.39	30100	372986.00
