600098 广州发展 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	8.58	8.58	8.54	8.54	72100	623979.00
2017/04/27	0932	8.55	8.55	8.53	8.53	62900	543090.00
2017/04/27	0933	8.53	8.53	8.50	8.50	91100	784379.00
2017/04/27	0934	8.50	8.50	8.47	8.48	184400	1582844.00
2017/04/27	0935	8.48	8.49	8.48	8.49	188300	1616227.00
2017/04/27	0936	8.50	8.50	8.49	8.49	60600	520711.00
2017/04/27	0937	8.49	8.50	8.49	8.49	131100	1126624.00
2017/04/27	0938	8.49	8.50	8.48	8.48	105200	904037.00
2017/04/27	0939	8.49	8.49	8.47	8.48	99500	853562.00
2017/04/27	0940	8.48	8.48	8.45	8.45	99300	849970.00
2017/04/27	0941	8.46	8.46	8.45	8.46	105800	905310.06
2017/04/27	0942	8.46	8.48	8.46	8.47	52300	447870.03
2017/04/27	0943	8.48	8.49	8.47	8.48	106200	911152.00
2017/04/27	0944	8.49	8.49	8.48	8.48	59800	513495.00
2017/04/27	0945	8.48	8.48	8.47	8.47	33100	283900.00
2017/04/27	0946	8.48	8.48	8.47	8.48	52500	449950.00
2017/04/27	0947	8.47	8.48	8.46	8.47	49600	425007.00
2017/04/27	0948	8.47	8.48	8.47	8.47	52100	446670.00
2017/04/27	0949	8.48	8.48	8.46	8.47	75400	646030.00
2017/04/27	0950	8.46	8.47	8.46	8.47	32900	281811.00
2017/04/27	0951	8.46	8.47	8.45	8.46	109200	934931.00
2017/04/27	0952	8.46	8.47	8.46	8.46	42000	359652.03
2017/04/27	0953	8.45	8.46	8.44	8.44	117700	1006191.00
2017/04/27	0954	8.44	8.44	8.42	8.42	157200	1341312.00
2017/04/27	0955	8.42	8.43	8.42	8.43	205100	1748505.00
2017/04/27	0956	8.43	8.43	8.42	8.43	52800	450237.00
2017/04/27	0957	8.43	8.44	8.42	8.44	70000	596853.00
2017/04/27	0958	8.42	8.45	8.42	8.44	136400	1162581.00
2017/04/27	0959	8.43	8.43	8.41	8.41	92200	785596.00
2017/04/27	1000	8.42	8.42	8.36	8.36	468300	3978052.00
2017/04/27	1001	8.35	8.36	8.34	8.35	208700	1763080.00
