600160 巨化股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.80	12.80	12.66	12.66	821800	10591791.00
2017/04/27	0932	12.67	12.69	12.66	12.68	365800	4690996.00
2017/04/27	0933	12.69	12.69	12.63	12.63	456800	5852382.00
2017/04/27	0934	12.62	12.62	12.57	12.58	469500	5987125.00
2017/04/27	0935	12.60	12.67	12.59	12.66	298400	3812873.00
2017/04/27	0936	12.66	12.71	12.66	12.71	208800	2677716.00
2017/04/27	0937	12.69	12.70	12.64	12.64	216600	2774731.00
2017/04/27	0938	12.65	12.66	12.61	12.65	693200	8866558.00
2017/04/27	0939	12.66	12.68	12.64	12.68	322400	4130918.00
2017/04/27	0940	12.66	12.76	12.66	12.76	164100	2112103.00
2017/04/27	0941	12.75	12.77	12.74	12.77	260100	3357445.00
2017/04/27	0942	12.76	12.82	12.76	12.82	503900	6516498.00
2017/04/27	0943	12.84	12.84	12.75	12.80	572300	7401642.00
2017/04/27	0944	12.80	12.80	12.75	12.78	269100	3476452.00
2017/04/27	0945	12.77	12.77	12.75	12.75	245000	3163362.00
2017/04/27	0946	12.75	12.76	12.74	12.75	111600	1439737.00
2017/04/27	0947	12.75	12.76	12.71	12.71	181200	2337081.00
2017/04/27	0948	12.73	12.73	12.70	12.71	131600	1692504.00
2017/04/27	0949	12.72	12.79	12.72	12.76	350100	4524089.00
2017/04/27	0950	12.76	12.82	12.76	12.80	211200	2733536.00
2017/04/27	0951	12.79	12.80	12.78	12.78	172500	2232751.00
2017/04/27	0952	12.78	12.78	12.75	12.75	257900	3330851.00
2017/04/27	0953	12.76	12.76	12.73	12.74	148100	1911001.00
2017/04/27	0954	12.74	12.74	12.71	12.72	186300	2397809.00
2017/04/27	0955	12.72	12.76	12.72	12.75	180100	2322656.00
2017/04/27	0956	12.77	12.77	12.75	12.75	97100	1253517.00
2017/04/27	0957	12.76	12.77	12.75	12.76	155400	2005536.00
2017/04/27	0958	12.76	12.76	12.74	12.75	129200	1666487.00
2017/04/27	0959	12.74	12.74	12.72	12.73	314500	4051607.00
2017/04/27	1000	12.71	12.71	12.65	12.66	448700	5751107.00
2017/04/27	1001	12.65	12.65	12.61	12.62	552700	7060676.00
2017/04/27	1002	12.62	12.66	12.60	12.63	511900	6537852.00
2017/04/27	1003	12.65	12.67	12.65	12.66	359700	4605719.00
2017/04/27	1004	12.75	12.76	12.69	12.70	759500	9796490.00
2017/04/27	1005	12.74	12.74	12.70	12.72	157000	2020623.00
2017/04/27	1006	12.73	12.73	12.71	12.71	86300	1110656.00
2017/04/27	1007	12.71	12.71	12.68	12.69	124900	1604590.00
2017/04/27	1008	12.69	12.69	12.67	12.68	89600	1149808.00
2017/04/27	1009	12.67	12.73	12.67	12.70	253000	3248875.00
2017/04/27	1010	12.73	12.75	12.71	12.74	288900	3722020.00
2017/04/27	1011	12.74	12.75	12.72	12.72	278600	3590811.00
2017/04/27	1012	12.72	12.74	12.71	12.72	62500	804731.00
2017/04/27	1013	12.73	12.75	12.72	12.75	124000	1597754.00
2017/04/27	1014	12.74	12.74	12.73	12.73	76600	987155.00
2017/04/27	1015	12.72	12.73	12.71	12.72	51100	657669.00
2017/04/27	1016	12.71	12.72	12.71	12.72	50300	647094.00
2017/04/27	1017	12.71	12.72	12.69	12.69	140600	1806890.00
2017/04/27	1018	12.70	12.70	12.63	12.64	352700	4518635.00
2017/04/27	1019	12.65	12.66	12.62	12.66	227700	2913518.00
2017/04/27	1020	12.67	12.71	12.67	12.71	229800	2951901.00
2017/04/27	1021	12.72	12.80	12.72	12.80	439900	5679875.00
