600233 圆通速递 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	20.19	20.19	20.13	20.18	25700	522317.00
2017/04/27	0932	20.14	20.14	20.06	20.06	13800	279530.00
2017/04/27	0933	20.05	20.10	20.03	20.03	56000	1132787.00
2017/04/27	0934	20.03	20.05	19.85	19.85	94200	1892504.00
2017/04/27	0935	19.85	19.85	19.77	19.85	61800	1234657.00
2017/04/27	0936	19.81	20.13	19.81	19.97	56400	1131311.00
2017/04/27	0937	19.97	20.07	19.97	19.97	25900	522796.00
2017/04/27	0938	19.98	19.98	19.95	19.95	7600	152875.00
2017/04/27	0939	19.90	19.95	19.88	19.88	10600	212572.00
2017/04/27	0940	19.89	19.89	19.87	19.87	30200	604850.00
2017/04/27	0941	19.87	19.89	19.87	19.88	32900	659016.00
2017/04/27	0942	19.88	19.95	19.88	19.91	29900	599468.00
2017/04/27	0943	19.95	19.95	19.91	19.94	23600	473933.00
2017/04/27	0944	19.92	19.95	19.92	19.95	12300	247038.00
2017/04/27	0945	19.95	19.95	19.92	19.95	36600	735102.00
2017/04/27	0946	19.90	19.90	19.89	19.89	19400	388893.00
2017/04/27	0947	19.89	19.89	19.83	19.84	64200	1284071.00
2017/04/27	0948	19.83	19.84	19.82	19.83	36800	735234.00
2017/04/27	0949	19.83	19.84	19.81	19.81	30700	613252.00
2017/04/27	0950	19.80	19.81	19.77	19.78	79000	1575098.00
2017/04/27	0951	19.78	19.78	19.70	19.70	81200	1612312.00
2017/04/27	0952	19.70	19.71	19.66	19.67	60800	1206419.00
2017/04/27	0953	19.67	19.71	19.65	19.70	50300	997163.00
2017/04/27	0954	19.70	19.75	19.67	19.70	23400	464666.00
2017/04/27	0955	19.71	19.75	19.71	19.73	26300	522788.00
2017/04/27	0956	19.71	19.72	19.71	19.71	25500	506621.00
2017/04/27	0957	19.71	19.71	19.69	19.70	52400	1040271.00
2017/04/27	0958	19.70	19.71	19.68	19.70	64500	1279993.00
2017/04/27	0959	19.69	19.69	19.67	19.68	22100	438260.00
2017/04/27	1000	19.69	19.69	19.66	19.67	73500	1456936.00
2017/04/27	1001	19.66	19.66	19.57	19.57	69200	1369478.00
2017/04/27	1002	19.59	19.59	19.49	19.49	47100	927732.00
2017/04/27	1003	19.49	19.49	19.46	19.46	80700	1583562.00
2017/04/27	1004	19.46	19.46	19.42	19.42	108200	2120184.00
2017/04/27	1005	19.42	19.50	19.42	19.48	93000	1823831.00
2017/04/27	1006	19.48	19.56	19.48	19.55	78100	1536023.00
2017/04/27	1007	19.56	19.56	19.55	19.56	41700	821830.00
2017/04/27	1008	19.56	19.58	19.56	19.57	23900	471305.97
2017/04/27	1009	19.58	19.58	19.55	19.57	20500	404331.00
2017/04/27	1010	19.57	19.57	19.55	19.56	17300	340997.00
2017/04/27	1011	19.56	19.56	19.54	19.56	18400	362493.00
2017/04/27	1012	19.55	19.55	19.50	19.50	52100	1025034.00
2017/04/27	1013	19.51	19.54	19.50	19.50	18200	357820.00
2017/04/27	1014	19.51	19.54	19.51	19.53	29700	584230.00
2017/04/27	1015	19.53	19.53	19.52	19.53	18100	356171.00
2017/04/27	1016	19.53	19.53	19.51	19.51	19500	383560.00
2017/04/27	1017	19.51	19.57	19.51	19.57	35900	706842.00
2017/04/27	1018	19.55	19.57	19.55	19.56	15100	297659.00
2017/04/27	1019	19.54	19.57	19.50	19.53	64600	1269872.00
2017/04/27	1020	19.55	19.56	19.52	19.52	9200	181038.00
2017/04/27	1021	19.52	19.52	19.50	19.51	24700	485587.00
2017/04/27	1022	19.51	19.53	19.51	19.51	20400	401161.00
2017/04/27	1023	19.53	19.54	19.51	19.54	8500	167273.00
2017/04/27	1024	19.54	19.54	19.52	19.52	19600	385720.00
2017/04/27	1025	19.52	19.52	19.50	19.51	17000	334298.00
2017/04/27	1026	19.50	19.51	19.49	19.49	25400	499169.00
2017/04/27	1027	19.50	19.51	19.49	19.50	19800	389015.00
2017/04/27	1028	19.51	19.51	19.48	19.50	20800	408719.00
2017/04/27	1029	19.51	19.51	19.47	19.47	21500	422244.00
2017/04/27	1030	19.47	19.48	19.46	19.47	27600	541545.00
2017/04/27	1031	19.47	19.47	19.44	19.46	47400	929234.00
2017/04/27	1032	19.46	19.46	19.43	19.43	17700	346680.00
2017/04/27	1033	19.42	19.42	19.38	19.38	35900	702031.00
2017/04/27	1034	19.38	19.38	19.35	19.36	107300	2093949.00
2017/04/27	1035	19.36	19.36	19.35	19.36	119400	2329327.00
2017/04/27	1036	19.36	19.36	19.33	19.33	171100	3337052.00
2017/04/27	1037	19.33	19.33	19.25	19.25	73100	1420849.00
2017/04/27	1038	19.25	19.25	19.23	19.23	56300	1091793.00
2017/04/27	1039	19.24	19.24	19.21	19.22	62900	1218625.00
2017/04/27	1040	19.21	19.23	19.19	19.23	77200	1494405.00
2017/04/27	1041	19.24	19.29	19.23	19.29	47800	926987.00
2017/04/27	1042	19.32	19.33	19.29	19.33	76800	1493352.00
2017/04/27	1043	19.33	19.35	19.30	19.30	19900	387522.00
2017/04/27	1044	19.31	19.34	19.30	19.34	38400	747667.00
2017/04/27	1045	19.35	19.38	19.34	19.36	60700	1183961.00
2017/04/27	1046	19.38	19.47	19.38	19.47	53800	1054070.00
2017/04/27	1047	19.47	19.53	19.47	19.50	23200	455944.00
2017/04/27	1048	19.53	19.53	19.48	19.50	24500	481515.00
2017/04/27	1049	19.48	19.48	19.46	19.46	14100	276651.00
2017/04/27	1050	19.45	19.46	19.44	19.44	6000	117593.00
2017/04/27	1051	19.44	19.44	19.43	19.43	16900	330980.00
2017/04/27	1052	19.43	19.45	19.43	19.45	18700	366338.00
2017/04/27	1053	19.45	19.47	19.45	19.47	21800	427548.00
2017/04/27	1054	19.46	19.50	19.46	19.47	20500	402329.00
2017/04/27	1055	19.47	19.50	19.47	19.48	31500	618090.00
2017/04/27	1056	19.48	19.55	19.48	19.55	18500	364031.00
2017/04/27	1057	19.55	19.55	19.53	19.55	42700	841137.00
2017/04/27	1058	19.55	19.57	19.55	19.56	19100	376456.00
2017/04/27	1059	19.56	19.57	19.54	19.56	23800	469048.97
2017/04/27	1100	19.56	19.60	19.56	19.60	13600	268139.00
2017/04/27	1101	19.57	19.59	19.57	19.59	5200	102593.99
2017/04/27	1102	19.57	19.59	19.57	19.58	13500	266345.00
2017/04/27	1103	19.59	19.60	19.59	19.60	20200	398898.00
2017/04/27	1104	19.61	19.64	19.61	19.62	19200	379646.00
2017/04/27	1105	19.62	19.64	19.61	19.64	12600	249226.00
2017/04/27	1106	19.62	19.65	19.62	19.63	17200	340214.00
2017/04/27	1107	19.63	19.64	19.61	19.61	66000	1304405.00
2017/04/27	1108	19.62	19.62	19.60	19.60	17800	351650.00
2017/04/27	1109	19.60	19.61	19.60	19.61	6800	134316.00
2017/04/27	1110	19.60	19.61	19.60	19.60	3400	67165.00
2017/04/27	1111	19.61	19.61	19.60	19.61	13200	260730.00
2017/04/27	1112	19.60	19.66	19.60	19.66	42800	847402.00
2017/04/27	1113	19.61	19.68	19.61	19.68	8100	160421.00
2017/04/27	1114	19.68	19.70	19.65	19.67	25400	503840.00
2017/04/27	1115	19.73	19.83	19.73	19.83	57800	1151180.00
2017/04/27	1116	19.83	19.83	19.79	19.79	32100	640867.00
2017/04/27	1117	19.79	19.79	19.78	19.78	13800	275062.00
2017/04/27	1118	19.78	19.79	19.78	19.78	21000	418650.00
2017/04/27	1119	19.78	19.79	19.78	19.79	7300	145507.00
2017/04/27	1120	19.81	19.83	19.80	19.83	11000	219587.00
2017/04/27	1121	19.82	19.83	19.82	19.82	11500	229730.00
2017/04/27	1122	19.83	19.83	19.81	19.81	6300	125810.00
2017/04/27	1123	19.81	19.81	19.78	19.80	19400	386992.00
2017/04/27	1124	19.80	19.80	19.79	19.79	14000	279218.00
2017/04/27	1125	19.79	19.79	19.78	19.78	17000	338855.00
2017/04/27	1126	19.77	19.78	19.77	19.78	20200	402509.00
2017/04/27	1127	19.77	19.81	19.76	19.81	30900	616502.00
