600260 凯乐科技 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	20.82	20.92	20.81	20.89	115600	2407983.00
2017/04/27	0932	20.85	21.00	20.85	20.86	111700	2342686.00
2017/04/27	0933	20.98	21.08	20.98	21.08	91500	1925276.00
2017/04/27	0934	21.08	21.08	21.06	21.07	80800	1702202.00
2017/04/27	0935	21.07	21.07	21.03	21.05	77700	1635944.00
2017/04/27	0936	21.05	21.05	20.90	20.90	102700	2153473.00
2017/04/27	0937	20.91	20.93	20.90	20.93	63800	1334012.00
2017/04/27	0938	20.92	20.96	20.92	20.96	33900	709329.00
2017/04/27	0939	20.98	21.01	20.98	21.00	64300	1349871.00
2017/04/27	0940	21.00	21.01	20.98	21.00	66400	1394439.00
2017/04/27	0941	20.99	21.00	20.94	20.94	10300	215881.00
2017/04/27	0942	20.94	20.96	20.94	20.95	14200	297498.00
2017/04/27	0943	20.95	20.98	20.94	20.94	32500	680881.00
2017/04/27	0944	20.93	20.94	20.92	20.92	58700	1228830.00
2017/04/27	0945	20.94	20.94	20.88	20.90	164800	3443265.00
2017/04/27	0946	20.88	20.89	20.88	20.88	83400	1741397.88
2017/04/27	0947	20.86	20.89	20.86	20.88	43800	914211.00
2017/04/27	0948	20.88	20.90	20.88	20.90	30800	643395.00
2017/04/27	0949	20.90	20.92	20.89	20.90	36300	758928.00
2017/04/27	0950	20.92	20.92	20.90	20.90	24600	514305.00
2017/04/27	0951	20.90	20.92	20.89	20.90	13300	277968.00
2017/04/27	0952	20.90	20.92	20.88	20.89	46700	975626.00
2017/04/27	0953	20.89	20.89	20.84	20.84	98500	2054047.00
2017/04/27	0954	20.85	20.88	20.83	20.84	60700	1265515.00
2017/04/27	0955	20.84	20.84	20.82	20.82	62600	1303884.00
2017/04/27	0956	20.83	20.84	20.82	20.83	24100	502125.00
2017/04/27	0957	20.82	20.84	20.82	20.82	30100	626802.00
2017/04/27	0958	20.82	20.83	20.80	20.80	135600	2821704.00
2017/04/27	0959	20.79	20.79	20.75	20.75	100400	2084930.00
2017/04/27	1000	20.74	20.75	20.71	20.71	85900	1780022.00
2017/04/27	1001	20.71	20.72	20.69	20.71	156700	3244588.00
2017/04/27	1002	20.72	20.73	20.70	20.73	64000	1325404.00
2017/04/27	1003	20.73	20.82	20.73	20.82	23300	483949.00
2017/04/27	1004	20.80	20.84	20.80	20.81	35400	736464.94
2017/04/27	1005	20.81	20.82	20.75	20.75	55800	1159414.00
2017/04/27	1006	20.73	20.75	20.72	20.72	36500	756771.00
2017/04/27	1007	20.73	20.75	20.72	20.75	30500	632407.00
2017/04/27	1008	20.75	20.76	20.73	20.75	46600	966908.00
2017/04/27	1009	20.75	20.75	20.74	20.74	24400	506288.00
2017/04/27	1010	20.75	20.76	20.74	20.76	14200	294670.00
2017/04/27	1011	20.76	20.76	20.73	20.73	48500	1006208.00
2017/04/27	1012	20.73	20.73	20.68	20.68	95900	1985288.00
2017/04/27	1013	20.71	20.71	20.66	20.70	64200	1328006.00
2017/04/27	1014	20.71	20.71	20.68	20.68	27100	560740.00
2017/04/27	1015	20.69	20.69	20.67	20.67	43400	897498.00
2017/04/27	1016	20.67	20.67	20.65	20.65	49700	1026869.00
2017/04/27	1017	20.65	20.65	20.63	20.63	55900	1153768.00
2017/04/27	1018	20.63	20.63	20.61	20.61	86700	1787440.00
2017/04/27	1019	20.60	20.60	20.53	20.54	85300	1755596.00
2017/04/27	1020	20.53	20.55	20.52	20.55	107400	2205214.00
2017/04/27	1021	20.52	20.59	20.52	20.55	131300	2698224.00
2017/04/27	1022	20.55	20.56	20.54	20.56	105700	2172305.00
2017/04/27	1023	20.60	20.62	20.60	20.62	40400	832251.00
2017/04/27	1024	20.62	20.65	20.62	20.64	53800	1110573.00
2017/04/27	1025	20.64	20.65	20.62	20.63	66800	1378925.00
2017/04/27	1026	20.63	20.63	20.61	20.61	17500	360827.00
2017/04/27	1027	20.61	20.63	20.59	20.60	24300	500667.00
2017/04/27	1028	20.55	20.60	20.53	20.53	109900	2257466.00
2017/04/27	1029	20.55	20.55	20.53	20.53	48600	997927.00
2017/04/27	1030	20.55	20.55	20.52	20.54	78500	1611755.00
2017/04/27	1031	20.54	20.54	20.47	20.47	271500	5565757.00
2017/04/27	1032	20.47	20.47	20.43	20.45	117200	2397514.00
2017/04/27	1033	20.45	20.46	20.41	20.46	103200	2109385.00
2017/04/27	1034	20.47	20.50	20.45	20.50	75600	1548032.00
2017/04/27	1035	20.50	20.50	20.45	20.45	83500	1708859.00
2017/04/27	1036	20.45	20.50	20.45	20.46	21000	429636.00
2017/04/27	1037	20.46	20.50	20.46	20.47	18300	374631.00
2017/04/27	1038	20.48	20.50	20.46	20.50	111500	2281625.75
2017/04/27	1039	20.46	20.50	20.45	20.49	58100	1188529.00
2017/04/27	1040	20.49	20.50	20.45	20.50	48100	984486.00
2017/04/27	1041	20.50	20.50	20.45	20.49	28300	579245.00
2017/04/27	1042	20.49	20.50	20.41	20.45	142700	2916447.00
2017/04/27	1043	20.45	20.49	20.45	20.46	23600	482987.00
2017/04/27	1044	20.45	20.50	20.45	20.46	82000	1677362.13
2017/04/27	1045	20.45	20.50	20.45	20.49	67100	1372818.00
2017/04/27	1046	20.45	20.49	20.45	20.45	54000	1104340.13
2017/04/27	1047	20.45	20.46	20.45	20.46	61000	1248019.88
2017/04/27	1048	20.46	20.48	20.46	20.48	1000	20472.00
2017/04/27	1049	20.49	20.49	20.48	20.48	16200	331836.00
2017/04/27	1050	20.48	20.48	20.47	20.47	44900	919350.00
2017/04/27	1051	20.47	20.48	20.45	20.47	64000	1309098.00
2017/04/27	1052	20.47	20.48	20.47	20.48	16700	342006.00
2017/04/27	1053	20.47	20.49	20.47	20.49	21200	434236.00
2017/04/27	1054	20.50	20.55	20.50	20.54	77600	1591388.00
2017/04/27	1055	20.54	20.57	20.53	20.57	39400	809684.00
2017/04/27	1056	20.57	20.58	20.57	20.58	37400	769467.00
2017/04/27	1057	20.58	20.60	20.58	20.60	28400	584640.00
2017/04/27	1058	20.61	20.65	20.61	20.65	38500	794638.00
2017/04/27	1059	20.64	20.65	20.64	20.64	34300	708115.00
2017/04/27	1100	20.62	20.64	20.57	20.57	33900	698490.00
2017/04/27	1101	20.60	20.60	20.57	20.58	12600	259487.00
2017/04/27	1102	20.60	20.60	20.60	20.60	4300	88580.00
2017/04/27	1103	20.62	20.64	20.62	20.64	24600	507496.97
2017/04/27	1104	20.64	20.64	20.63	20.64	38800	800787.00
2017/04/27	1105	20.64	20.66	20.64	20.66	54400	1123126.00
2017/04/27	1106	20.66	20.66	20.65	20.66	8400	173517.00
2017/04/27	1107	20.66	20.68	20.66	20.68	42000	867850.00
2017/04/27	1108	20.68	20.68	20.67	20.67	40400	835472.00
2017/04/27	1109	20.69	20.69	20.66	20.67	26500	548119.00
2017/04/27	1110	20.66	20.67	20.66	20.67	4600	95073.00
2017/04/27	1111	20.68	20.68	20.67	20.67	2500	51684.00
2017/04/27	1112	20.69	20.70	20.68	20.70	29300	606497.00
2017/04/27	1113	20.73	20.76	20.73	20.76	18900	391938.00
2017/04/27	1114	20.76	20.76	20.70	20.75	53700	1112722.00
2017/04/27	1115	20.75	20.76	20.75	20.76	34600	718260.00
2017/04/27	1116	20.75	20.75	20.70	20.75	24600	509375.00
2017/04/27	1117	20.72	20.72	20.70	20.71	20700	428836.00
2017/04/27	1118	20.72	20.72	20.69	20.70	24900	515543.00
2017/04/27	1119	20.72	20.72	20.69	20.69	10300	213254.00
2017/04/27	1120	20.70	20.70	20.69	20.69	18800	389143.00
2017/04/27	1121	20.69	20.71	20.69	20.71	5800	120036.00
2017/04/27	1122	20.71	20.75	20.70	20.75	71600	1484590.00
2017/04/27	1123	20.75	20.80	20.69	20.69	28300	587319.00
2017/04/27	1124	20.69	20.70	20.69	20.70	11100	229759.00
2017/04/27	1125	20.69	20.69	20.69	20.69	300	6207.00
2017/04/27	1126	20.70	20.70	20.69	20.69	6500	134507.00
2017/04/27	1127	20.69	20.70	20.69	20.69	10800	223481.00
2017/04/27	1128	20.70	20.70	20.61	20.61	55300	1140123.00
2017/04/27	1129	20.61	20.66	20.60	20.66	2500	51515.00
2017/04/27	1300	20.58	20.65	20.57	20.61	58300	1200055.00
2017/04/27	1301	20.61	20.61	20.61	20.61	0	0.00
2017/04/27	1302	20.61	20.61	20.59	20.60	219800	4527893.00
2017/04/27	1303	20.60	20.60	20.55	20.55	34500	709029.00
2017/04/27	1304	20.51	20.57	20.51	20.57	21000	430740.00
2017/04/27	1305	20.55	20.60	20.55	20.60	1500	30880.00
2017/04/27	1306	20.56	20.56	20.56	20.56	19800	407088.00
2017/04/27	1307	20.56	20.56	20.56	20.56	500	10280.00
2017/04/27	1308	20.58	20.58	20.58	20.58	1400	28812.00
2017/04/27	1309	20.60	20.60	20.58	20.60	26300	541754.00
2017/04/27	1310	20.58	20.60	20.58	20.60	6700	137990.00
2017/04/27	1311	20.60	20.60	20.59	20.59	1500	30890.00
2017/04/27	1312	20.59	20.60	20.59	20.59	7300	150317.00
2017/04/27	1313	20.59	20.59	20.59	20.59	3600	74124.00
2017/04/27	1314	20.59	20.59	20.58	20.59	13900	286089.00
2017/04/27	1315	20.58	20.58	20.51	20.56	74900	1537228.00
2017/04/27	1316	20.56	20.56	20.48	20.52	103500	2119760.00
2017/04/27	1317	20.52	20.52	20.48	20.52	7100	145552.00
2017/04/27	1318	20.55	20.55	20.50	20.50	23600	483980.00
2017/04/27	1319	20.52	20.55	20.50	20.51	42900	879656.00
2017/04/27	1320	20.51	20.55	20.49	20.55	61400	1259272.00
2017/04/27	1321	20.49	20.56	20.49	20.56	37000	759095.00
2017/04/27	1322	20.50	20.58	20.50	20.58	34000	698910.00
2017/04/27	1323	20.59	20.66	20.59	20.66	64300	1326539.00
2017/04/27	1324	20.66	20.68	20.63	20.63	17000	351161.00
2017/04/27	1325	20.63	20.66	20.63	20.66	58300	1204388.00
2017/04/27	1326	20.68	20.70	20.68	20.70	127800	2642906.00
2017/04/27	1327	20.68	20.75	20.68	20.68	25500	528341.00
2017/04/27	1328	20.77	20.77	20.75	20.75	12600	261637.00
2017/04/27	1329	20.76	20.76	20.75	20.75	7700	159847.00
2017/04/27	1330	20.72	20.75	20.70	20.73	84100	1742297.00
2017/04/27	1331	20.74	20.74	20.73	20.73	8100	167927.00
2017/04/27	1332	20.72	20.72	20.70	20.71	12600	260870.00
2017/04/27	1333	20.72	20.72	20.68	20.68	62000	1282168.00
2017/04/27	1334	20.72	20.72	20.70	20.70	48200	998044.00
2017/04/27	1335	20.70	20.70	20.68	20.68	29700	614296.00
2017/04/27	1336	20.67	20.68	20.59	20.62	80600	1661695.00
2017/04/27	1337	20.62	20.62	20.58	20.58	26200	539600.00
2017/04/27	1338	20.58	20.62	20.58	20.62	31500	648686.00
2017/04/27	1339	20.62	20.69	20.62	20.69	3300	68074.01
2017/04/27	1340	20.60	20.69	20.55	20.55	126700	2606774.00
2017/04/27	1341	20.56	20.60	20.56	20.60	12700	261474.00
2017/04/27	1342	20.58	20.60	20.58	20.58	14400	296392.00
2017/04/27	1343	20.60	20.60	20.60	20.60	12200	251320.00
2017/04/27	1344	20.60	20.60	20.58	20.60	16900	347810.00
2017/04/27	1345	20.68	20.68	20.57	20.57	54300	1118172.00
2017/04/27	1346	20.59	20.60	20.57	20.60	22200	457143.00
2017/04/27	1347	20.60	20.69	20.60	20.69	17400	359387.00
2017/04/27	1348	20.69	20.69	20.68	20.68	17100	353714.00
2017/04/27	1349	20.63	20.63	20.63	20.63	20300	418789.00
2017/04/27	1350	20.63	20.63	20.59	20.60	57800	1190747.00
2017/04/27	1351	20.60	20.63	20.59	20.60	46000	947418.00
2017/04/27	1352	20.63	20.65	20.60	20.60	32800	676083.00
2017/04/27	1353	20.61	20.63	20.60	20.63	32400	667563.00
2017/04/27	1354	20.63	20.63	20.60	20.61	22100	455442.00
2017/04/27	1355	20.63	20.63	20.61	20.63	60500	1247783.00
2017/04/27	1356	20.62	20.62	20.59	20.60	42000	865234.00
2017/04/27	1357	20.63	20.63	20.58	20.60	81200	1672405.00
2017/04/27	1358	20.63	20.63	20.60	20.60	5300	109335.99
2017/04/27	1359	20.63	20.63	20.60	20.60	27500	566920.00
2017/04/27	1400	20.60	20.62	20.60	20.60	75500	1556208.00
2017/04/27	1401	20.56	20.60	20.55	20.57	113000	2322840.00
2017/04/27	1402	20.60	20.62	20.55	20.62	155600	3202364.00
2017/04/27	1403	20.55	20.56	20.54	20.55	19500	400713.97
2017/04/27	1404	20.58	20.58	20.54	20.55	43400	891894.00
2017/04/27	1405	20.55	20.59	20.55	20.55	97700	2007751.00
2017/04/27	1406	20.55	20.55	20.53	20.54	42000	862694.00
2017/04/27	1407	20.55	20.55	20.54	20.54	14000	287697.00
2017/04/27	1408	20.54	20.54	20.50	20.51	84900	1740563.00
2017/04/27	1409	20.51	20.51	20.46	20.46	134300	2751175.00
2017/04/27	1410	20.47	20.47	20.45	20.45	102400	2095801.00
2017/04/27	1411	20.45	20.45	20.40	20.44	239200	4887034.00
2017/04/27	1412	20.40	20.44	20.37	20.41	109400	2230299.00
2017/04/27	1413	20.42	20.42	20.40	20.42	103600	2114623.00
2017/04/27	1414	20.40	20.41	20.35	20.40	126300	2572649.00
2017/04/27	1415	20.31	20.39	20.31	20.37	58000	1178173.00
2017/04/27	1416	20.37	20.39	20.36	20.36	48600	989976.00
2017/04/27	1417	20.36	20.36	20.30	20.34	213400	4340128.00
2017/04/27	1418	20.34	20.34	20.26	20.26	92800	1883216.00
2017/04/27	1419	20.28	20.30	20.26	20.28	148700	3015106.00
2017/04/27	1420	20.29	20.30	20.28	20.28	212100	4303351.00
2017/04/27	1421	20.28	20.28	20.24	20.28	128600	2605917.00
2017/04/27	1422	20.28	20.28	20.26	20.28	119800	2428304.00
2017/04/27	1423	20.28	20.28	20.26	20.28	28600	579947.00
2017/04/27	1424	20.28	20.32	20.28	20.32	82600	1676290.00
2017/04/27	1425	20.32	20.40	20.32	20.40	121300	2471465.00
2017/04/27	1426	20.40	20.49	20.40	20.48	62000	1265399.00
2017/04/27	1427	20.49	20.49	20.46	20.46	20900	427773.00
2017/04/27	1428	20.46	20.46	20.44	20.44	30800	629870.00
2017/04/27	1429	20.46	20.46	20.45	20.45	14100	288370.00
2017/04/27	1430	20.45	20.45	20.44	20.44	23100	472281.03
2017/04/27	1431	20.45	20.45	20.44	20.44	5800	118555.00
2017/04/27	1432	20.44	20.44	20.38	20.38	20500	418142.00
2017/04/27	1433	20.38	20.40	20.34	20.40	28500	581039.00
2017/04/27	1434	20.39	20.39	20.35	20.39	10600	215890.00
2017/04/27	1435	20.36	20.36	20.36	20.36	71100	1447596.00
2017/04/27	1436	20.39	20.40	20.36	20.39	70200	1431320.00
2017/04/27	1437	20.36	20.39	20.36	20.37	205700	4191824.00
2017/04/27	1438	20.38	20.39	20.38	20.39	102800	2095532.88
2017/04/27	1439	20.40	20.43	20.39	20.40	40200	819836.00
2017/04/27	1440	20.42	20.45	20.42	20.45	33900	692484.00
2017/04/27	1441	20.44	20.50	20.44	20.50	33600	688533.00
2017/04/27	1442	20.52	20.61	20.52	20.61	57900	1191932.00
2017/04/27	1443	20.62	20.69	20.62	20.67	130600	2699346.00
2017/04/27	1444	20.70	20.70	20.64	20.64	152000	3143821.00
2017/04/27	1445	20.64	20.64	20.61	20.62	44300	914079.00
2017/04/27	1446	20.61	20.62	20.56	20.59	43700	900175.00
2017/04/27	1447	20.59	20.60	20.55	20.60	62600	1287436.00
2017/04/27	1448	20.59	20.60	20.56	20.60	56100	1154846.00
2017/04/27	1449	20.57	20.60	20.52	20.52	125500	2579741.00
2017/04/27	1450	20.50	20.52	20.45	20.46	36000	736348.00
2017/04/27	1451	20.45	20.46	20.45	20.45	81900	1674859.00
2017/04/27	1452	20.45	20.46	20.42	20.45	48600	993716.00
2017/04/27	1453	20.45	20.46	20.43	20.45	34400	703540.00
2017/04/27	1454	20.42	20.49	20.42	20.49	194500	3978619.00
2017/04/27	1455	20.46	20.47	20.46	20.47	23600	482899.97
2017/04/27	1456	20.47	20.47	20.45	20.45	18500	378459.00
2017/04/27	1457	20.45	20.47	20.45	20.45	49900	1020538.00
2017/04/27	1458	20.45	20.49	20.44	20.49	73000	1492980.00
2017/04/27	1459	20.50	20.51	20.47	20.50	56500	1158045.00
2017/04/27	1500	20.51	20.63	20.49	20.56	91100	1873143.00
2017/04/28	0931	20.67	20.67	20.61	20.67	43300	894767.00
2017/04/28	0932	20.64	20.65	20.63	20.65	35500	732538.00
2017/04/28	0933	20.66	20.67	20.63	20.63	126100	2602893.00
2017/04/28	0934	20.63	20.63	20.61	20.61	78400	1616201.00
2017/04/28	0935	20.61	20.61	20.60	20.61	63200	1302349.00
2017/04/28	0936	20.61	20.63	20.61	20.63	37900	781478.00
2017/04/28	0937	20.63	20.63	20.61	20.63	22600	466228.00
2017/04/28	0938	20.63	20.66	20.63	20.66	104200	2150438.00
2017/04/28	0939	20.67	20.70	20.67	20.70	35600	736416.00
2017/04/28	0940	20.74	20.83	20.74	20.83	112200	2330515.00
2017/04/28	0941	20.85	20.89	20.85	20.87	236900	4946498.00
2017/04/28	0942	20.86	20.87	20.83	20.84	76800	1601872.00
2017/04/28	0943	20.83	20.85	20.83	20.85	40900	852388.00
2017/04/28	0944	20.84	20.84	20.81	20.84	46900	977246.00
2017/04/28	0945	20.82	20.84	20.81	20.81	37500	780856.00
2017/04/28	0946	20.82	20.83	20.80	20.82	43300	901447.00
2017/04/28	0947	20.82	20.82	20.81	20.81	27900	580726.00
2017/04/28	0948	20.81	20.84	20.80	20.84	57400	1195598.00
2017/04/28	0949	20.84	20.85	20.84	20.85	52200	1088298.00
2017/04/28	0950	20.85	20.86	20.85	20.86	59500	1240683.00
2017/04/28	0951	20.86	20.86	20.85	20.86	19000	396306.00
2017/04/28	0952	20.85	20.85	20.84	20.84	39500	823507.00
2017/04/28	0953	20.81	20.83	20.81	20.81	6800	141534.00
2017/04/28	0954	20.81	20.83	20.80	20.83	25100	522334.00
2017/04/28	0955	20.81	20.81	20.79	20.80	43300	900570.00
2017/04/28	0956	20.80	20.80	20.79	20.79	29200	607249.00
2017/04/28	0957	20.79	20.80	20.79	20.80	8200	170533.00
2017/04/28	0958	20.84	20.84	20.82	20.83	107100	2231206.00
2017/04/28	0959	20.82	20.82	20.81	20.81	8600	179050.00
2017/04/28	1000	20.81	20.84	20.81	20.83	52400	1091395.00
2017/04/28	1001	20.85	20.85	20.83	20.83	21100	439812.00
2017/04/28	1002	20.83	20.85	20.83	20.85	62000	1292273.00
2017/04/28	1003	20.85	20.85	20.83	20.85	8900	185502.00
2017/04/28	1004	20.85	20.85	20.82	20.82	16800	350176.00
2017/04/28	1005	20.83	20.83	20.82	20.83	24200	504014.00
2017/04/28	1006	20.84	20.84	20.82	20.83	14700	306321.00
2017/04/28	1007	20.84	20.85	20.82	20.85	41000	854713.00
2017/04/28	1008	20.85	20.85	20.84	20.85	28800	600456.00
2017/04/28	1009	20.85	20.85	20.84	20.84	9900	206375.00
2017/04/28	1010	20.84	20.85	20.84	20.84	16900	352209.00
2017/04/28	1011	20.84	20.84	20.84	20.84	9500	197980.00
2017/04/28	1012	20.85	20.85	20.84	20.85	23500	489949.00
2017/04/28	1013	20.85	20.87	20.85	20.87	25700	536103.00
2017/04/28	1014	20.87	20.88	20.86	20.88	57000	1189712.00
2017/04/28	1015	20.88	20.98	20.88	20.98	108900	2279498.00
2017/04/28	1016	20.98	21.05	20.98	21.00	166700	3502261.00
2017/04/28	1017	21.03	21.08	21.00	21.02	117200	2467075.00
2017/04/28	1018	21.02	21.11	21.02	21.11	151300	3189789.00
2017/04/28	1019	21.14	21.15	21.07	21.09	69900	1475777.00
2017/04/28	1020	21.09	21.11	21.07	21.11	142500	3007223.00
2017/04/28	1021	21.15	21.15	21.11	21.14	91100	1925165.00
2017/04/28	1022	21.14	21.15	21.12	21.12	52500	1109667.00
2017/04/28	1023	21.12	21.12	21.09	21.09	109600	2313309.00
2017/04/28	1024	21.09	21.12	21.04	21.09	84200	1774163.13
2017/04/28	1025	21.10	21.14	21.10	21.11	21500	454061.00
2017/04/28	1026	21.11	21.15	21.11	21.14	47900	1012377.00
2017/04/28	1027	21.14	21.15	21.14	21.15	132700	2805745.00
2017/04/28	1028	21.15	21.15	21.14	21.15	47700	1008707.00
2017/04/28	1029	21.15	21.15	21.14	21.14	23400	494842.00
2017/04/28	1030	21.14	21.14	21.08	21.08	99600	2100849.00
2017/04/28	1031	21.08	21.08	21.05	21.05	21500	452719.00
2017/04/28	1032	21.08	21.10	21.05	21.06	69800	1471146.00
