600266 北京城建 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.42	16.42	16.27	16.27	512400	8530936.00
2017/04/27	0932	16.31	16.31	16.27	16.27	270100	4473665.00
2017/04/27	0933	16.29	16.29	16.24	16.25	241500	3994046.00
2017/04/27	0934	16.24	16.32	16.23	16.32	400900	6637437.00
2017/04/27	0935	16.32	16.35	16.28	16.30	270200	4482532.00
2017/04/27	0936	16.29	16.30	16.22	16.22	453100	7487192.00
2017/04/27	0937	16.20	16.20	16.06	16.07	521800	8556651.00
2017/04/27	0938	16.05	16.07	16.01	16.07	797200	12997922.00
2017/04/27	0939	16.05	16.10	16.05	16.09	480900	7865021.00
2017/04/27	0940	16.10	16.12	16.03	16.04	588000	9612933.00
2017/04/27	0941	16.01	16.11	16.00	16.04	838100	13674591.00
2017/04/27	0942	16.05	16.10	16.03	16.07	568600	9291879.00
2017/04/27	0943	16.06	16.09	16.06	16.08	390300	6384528.00
2017/04/27	0944	16.09	16.09	16.04	16.06	388900	6356560.00
2017/04/27	0945	16.08	16.10	16.05	16.10	379000	6198730.00
2017/04/27	0946	16.09	16.13	16.09	16.13	212400	3481489.00
2017/04/27	0947	16.14	16.16	16.11	16.12	294100	4827801.00
2017/04/27	0948	16.12	16.13	16.11	16.11	447500	7339398.00
2017/04/27	0949	16.11	16.11	16.08	16.10	288100	4718462.00
2017/04/27	0950	16.10	16.11	16.05	16.07	348500	5704005.00
2017/04/27	0951	16.06	16.07	16.06	16.06	357800	5847315.00
2017/04/27	0952	16.07	16.07	16.03	16.06	987200	16131952.00
2017/04/27	0953	16.04	16.05	16.00	16.02	759800	12385855.00
2017/04/27	0954	16.02	16.02	15.98	15.99	721900	11756429.00
2017/04/27	0955	16.01	16.04	16.00	16.04	167600	2732916.00
2017/04/27	0956	16.04	16.11	16.04	16.09	388400	6346879.00
2017/04/27	0957	16.12	16.16	16.12	16.15	253000	4153820.00
2017/04/27	0958	16.14	16.14	16.08	16.09	321200	5265941.00
2017/04/27	0959	16.09	16.09	16.05	16.06	206300	3372599.00
2017/04/27	1000	16.07	16.07	16.05	16.06	248300	4058284.00
2017/04/27	1001	16.05	16.05	16.04	16.04	170300	2780770.00
2017/04/27	1002	16.03	16.03	16.01	16.02	366100	5967362.00
2017/04/27	1003	16.02	16.03	16.01	16.03	209200	3410201.00
2017/04/27	1004	16.03	16.06	16.03	16.06	405700	6621062.00
2017/04/27	1005	16.06	16.08	16.05	16.08	122400	2001238.00
2017/04/27	1006	16.08	16.09	16.07	16.08	71600	1171657.00
2017/04/27	1007	16.08	16.14	16.08	16.13	86700	1422176.00
2017/04/27	1008	16.15	16.17	16.11	16.12	214300	3518374.00
2017/04/27	1009	16.13	16.13	16.10	16.10	100300	1643738.00
2017/04/27	1010	16.11	16.17	16.10	16.17	161400	2651519.00
2017/04/27	1011	16.21	16.22	16.18	16.20	287000	4730265.00
2017/04/27	1012	16.20	16.20	16.17	16.17	220200	3626353.00
2017/04/27	1013	16.19	16.21	16.17	16.19	212500	3500410.00
2017/04/27	1014	16.19	16.20	16.16	16.16	217400	3578984.75
2017/04/27	1015	16.16	16.17	16.15	16.16	74600	1226680.00
2017/04/27	1016	16.16	16.17	16.15	16.15	172600	2837749.00
2017/04/27	1017	16.15	16.15	16.11	16.11	122000	2001591.00
2017/04/27	1018	16.11	16.12	16.10	16.10	109300	1791649.00
