600376 首开股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.15	12.15	12.08	12.08	288500	3596786.00
2017/04/27	0932	12.07	12.10	12.07	12.09	92600	1150934.00
2017/04/27	0933	12.09	12.14	12.07	12.14	247700	3083202.00
2017/04/27	0934	12.14	12.15	12.09	12.12	134600	1677377.00
2017/04/27	0935	12.10	12.14	12.10	12.12	102200	1273201.00
2017/04/27	0936	12.12	12.13	12.11	12.11	217800	2716161.00
2017/04/27	0937	12.10	12.12	12.06	12.06	173800	2160169.00
2017/04/27	0938	12.06	12.06	12.01	12.02	180600	2237684.00
2017/04/27	0939	12.01	12.07	12.01	12.05	391100	4849684.00
2017/04/27	0940	12.05	12.09	12.04	12.08	187000	2321375.00
2017/04/27	0941	12.07	12.09	12.07	12.07	303800	3775358.00
2017/04/27	0942	12.07	12.07	12.05	12.05	206100	2558355.00
2017/04/27	0943	12.05	12.05	12.03	12.05	116700	1445615.00
2017/04/27	0944	12.04	12.07	12.04	12.07	177800	2203895.00
2017/04/27	0945	12.06	12.09	12.06	12.09	167700	2083842.00
2017/04/27	0946	12.09	12.09	12.07	12.07	137700	1712454.00
2017/04/27	0947	12.08	12.08	12.07	12.07	80400	998733.00
2017/04/27	0948	12.08	12.08	12.06	12.06	60000	745159.00
2017/04/27	0949	12.06	12.07	12.04	12.05	170500	2114356.00
2017/04/27	0950	12.05	12.05	11.99	11.99	278900	3447520.00
2017/04/27	0951	12.00	12.00	11.96	11.97	433600	5348306.00
2017/04/27	0952	11.98	12.01	11.98	12.01	110600	1365378.00
2017/04/27	0953	12.01	12.03	12.00	12.02	244900	3028340.00
2017/04/27	0954	12.03	12.03	12.01	12.01	92300	1141582.00
2017/04/27	0955	12.01	12.01	12.00	12.00	74900	925704.00
2017/04/27	0956	12.01	12.03	12.00	12.03	310000	3835093.00
2017/04/27	0957	12.03	12.05	12.02	12.05	183600	2273575.00
2017/04/27	0958	12.05	12.05	12.02	12.03	104900	1299300.00
2017/04/27	0959	12.03	12.03	11.99	11.99	136700	1688705.00
