600415 小商品城 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.25	7.25	7.23	7.24	69300	505596.00
2017/04/27	0932	7.23	7.24	7.22	7.23	48800	355634.00
2017/04/27	0933	7.22	7.23	7.22	7.23	116800	850890.00
2017/04/27	0934	7.22	7.23	7.22	7.22	93300	679741.00
2017/04/27	0935	7.23	7.23	7.20	7.20	101200	736094.00
2017/04/27	0936	7.21	7.21	7.20	7.20	159500	1158795.00
2017/04/27	0937	7.20	7.21	7.19	7.21	74000	537309.00
2017/04/27	0938	7.20	7.21	7.19	7.20	151400	1098258.00
2017/04/27	0939	7.20	7.21	7.19	7.21	122400	887804.00
2017/04/27	0940	7.20	7.20	7.18	7.19	84000	608517.00
2017/04/27	0941	7.20	7.20	7.18	7.19	89900	652013.00
2017/04/27	0942	7.19	7.19	7.18	7.18	161500	1170014.00
2017/04/27	0943	7.19	7.19	7.18	7.19	74100	537180.00
2017/04/27	0944	7.19	7.20	7.19	7.19	52100	377729.00
2017/04/27	0945	7.19	7.19	7.18	7.18	25500	184799.00
2017/04/27	0946	7.19	7.19	7.18	7.19	19200	139163.00
2017/04/27	0947	7.18	7.19	7.18	7.19	128800	933748.00
2017/04/27	0948	7.19	7.20	7.19	7.19	36000	261083.00
2017/04/27	0949	7.19	7.20	7.19	7.19	26700	193687.00
2017/04/27	0950	7.20	7.20	7.19	7.19	46500	337480.00
2017/04/27	0951	7.20	7.20	7.19	7.19	26800	194468.00
2017/04/27	0952	7.19	7.20	7.19	7.20	25400	184235.00
2017/04/27	0953	7.19	7.20	7.19	7.19	67800	491560.00
2017/04/27	0954	7.19	7.20	7.19	7.19	94200	683085.00
2017/04/27	0955	7.19	7.20	7.19	7.19	30100	218269.00
2017/04/27	0956	7.19	7.19	7.19	7.19	82300	596675.00
2017/04/27	0957	7.18	7.19	7.18	7.18	16400	118822.00
2017/04/27	0958	7.18	7.19	7.18	7.19	62500	452657.00
2017/04/27	0959	7.19	7.19	7.18	7.18	37900	274463.00
2017/04/27	1000	7.18	7.18	7.18	7.18	157600	1141024.00
2017/04/27	1001	7.18	7.18	7.16	7.16	201100	1453825.00
2017/04/27	1002	7.16	7.16	7.14	7.14	305300	2199633.00
2017/04/27	1003	7.14	7.14	7.12	7.12	204100	1468160.00
2017/04/27	1004	7.12	7.13	7.12	7.13	146500	1052876.00
2017/04/27	1005	7.14	7.15	7.13	7.15	77200	555685.00
2017/04/27	1006	7.14	7.15	7.14	7.14	27500	198120.00
2017/04/27	1007	7.15	7.15	7.14	7.14	84000	605044.00
2017/04/27	1008	7.14	7.15	7.14	7.14	51000	367261.00
2017/04/27	1009	7.14	7.15	7.04	7.04	533100	3788918.00
2017/04/27	1010	7.12	7.14	7.09	7.09	62700	448682.00
2017/04/27	1011	7.09	7.09	7.06	7.07	516400	3685317.00
2017/04/27	1012	7.07	7.07	7.06	7.06	108900	776066.00
2017/04/27	1013	7.07	7.08	7.06	7.08	147100	1048265.00
2017/04/27	1014	7.08	7.09	7.07	7.09	59400	424241.00
2017/04/27	1015	7.09	7.09	7.08	7.09	71300	509502.00
2017/04/27	1016	7.09	7.10	7.08	7.09	89300	638202.00
2017/04/27	1017	7.09	7.10	7.08	7.09	77300	552481.00
2017/04/27	1018	7.09	7.10	7.08	7.10	48200	344605.00
2017/04/27	1019	7.08	7.09	7.07	7.08	90700	647216.00
2017/04/27	1020	7.07	7.09	7.07	7.08	67800	484035.00
2017/04/27	1021	7.08	7.08	7.07	7.08	40100	286113.00
2017/04/27	1022	7.07	7.09	7.07	7.09	56000	399741.00
2017/04/27	1023	7.08	7.10	7.08	7.10	50000	357835.00
2017/04/27	1024	7.10	7.11	7.10	7.10	21200	151863.00
2017/04/27	1025	7.10	7.11	7.09	7.09	117800	842820.00
2017/04/27	1026	7.10	7.11	7.10	7.10	12900	92409.00
2017/04/27	1027	7.10	7.11	7.10	7.10	60200	431316.00
2017/04/27	1028	7.11	7.11	7.09	7.10	29000	207631.00
2017/04/27	1029	7.10	7.10	7.09	7.09	64100	458699.00
2017/04/27	1030	7.10	7.11	7.10	7.10	24300	173990.00
2017/04/27	1031	7.10	7.10	7.09	7.09	30900	221225.00
2017/04/27	1032	7.09	7.09	7.05	7.08	441100	3140557.00
2017/04/27	1033	7.07	7.07	7.04	7.05	167200	1187361.00
2017/04/27	1034	7.04	7.06	7.04	7.05	277900	1973519.00
2017/04/27	1035	7.04	7.05	7.03	7.04	171600	1218316.00
2017/04/27	1036	7.04	7.04	7.03	7.04	132500	940609.00
2017/04/27	1037	7.04	7.04	7.02	7.03	141600	1004094.00
2017/04/27	1038	7.03	7.04	7.03	7.04	138900	985081.00
2017/04/27	1039	7.04	7.07	7.03	7.07	76300	542784.00
2017/04/27	1040	7.06	7.07	7.06	7.07	48100	342947.00
2017/04/27	1041	7.07	7.08	7.06	7.08	111600	796149.00
2017/04/27	1042	7.07	7.08	7.07	7.07	45800	326850.00
2017/04/27	1043	7.07	7.08	7.06	7.08	69500	496067.00
2017/04/27	1044	7.08	7.10	7.08	7.10	75900	542444.00
2017/04/27	1045	7.09	7.10	7.09	7.09	33600	240467.00
2017/04/27	1046	7.09	7.10	7.09	7.09	53800	384737.00
2017/04/27	1047	7.09	7.09	7.07	7.07	17800	127029.00
2017/04/27	1048	7.08	7.09	7.08	7.09	18600	132944.00
2017/04/27	1049	7.08	7.08	7.07	7.08	4200	29973.00
2017/04/27	1050	7.07	7.08	7.07	7.08	23000	164201.00
2017/04/27	1051	7.07	7.08	7.07	7.07	60300	429976.00
2017/04/27	1052	7.08	7.08	7.06	7.06	50700	361454.00
2017/04/27	1053	7.06	7.08	7.06	7.07	35700	254520.00
2017/04/27	1054	7.08	7.08	7.07	7.07	39300	280251.00
2017/04/27	1055	7.08	7.08	7.07	7.08	42600	304118.00
2017/04/27	1056	7.08	7.08	7.07	7.08	70800	505495.00
2017/04/27	1057	7.07	7.09	7.07	7.08	33900	241956.00
2017/04/27	1058	7.09	7.10	7.09	7.10	52500	375600.00
2017/04/27	1059	7.09	7.10	7.09	7.10	33200	237493.00
2017/04/27	1100	7.10	7.11	7.09	7.10	70000	500975.00
2017/04/27	1101	7.09	7.10	7.08	7.09	96000	686096.00
2017/04/27	1102	7.10	7.10	7.08	7.10	9200	65771.00
2017/04/27	1103	7.09	7.09	7.09	7.09	89600	640640.00
2017/04/27	1104	7.09	7.10	7.09	7.10	10800	77227.00
2017/04/27	1105	7.10	7.10	7.10	7.10	7900	56564.00
2017/04/27	1106	7.10	7.11	7.08	7.11	88000	629661.00
2017/04/27	1107	7.10	7.11	7.09	7.09	33600	240707.00
2017/04/27	1108	7.09	7.10	7.09	7.10	25200	180431.00
2017/04/27	1109	7.10	7.10	7.09	7.10	38000	272027.00
2017/04/27	1110	7.10	7.11	7.08	7.09	88700	633762.00
2017/04/27	1111	7.09	7.09	7.08	7.08	3200	22879.00
2017/04/27	1112	7.09	7.09	7.08	7.08	11500	82174.00
2017/04/27	1113	7.09	7.09	7.07	7.07	102100	728701.00
2017/04/27	1114	7.09	7.09	7.08	7.09	101300	724289.00
2017/04/27	1115	7.09	7.11	7.09	7.10	285400	2040834.00
2017/04/27	1116	7.10	7.10	7.08	7.09	39000	278820.00
2017/04/27	1117	7.09	7.09	7.09	7.09	69800	499070.00
2017/04/27	1118	7.10	7.10	7.08	7.10	327500	2342388.00
2017/04/27	1119	7.10	7.11	7.06	7.10	269600	1920118.00
2017/04/27	1120	7.09	7.10	7.08	7.09	12200	87212.00
2017/04/27	1121	7.09	7.09	7.08	7.09	5700	40751.00
2017/04/27	1122	7.08	7.09	7.08	7.09	17100	122134.00
2017/04/27	1123	7.09	7.09	7.09	7.09	14100	100815.00
2017/04/27	1124	7.09	7.10	7.08	7.10	20600	147296.00
2017/04/27	1125	7.10	7.11	7.09	7.10	21900	156787.00
2017/04/27	1126	7.11	7.11	7.09	7.11	35300	252869.00
2017/04/27	1127	7.10	7.10	7.09	7.10	6100	43667.00
2017/04/27	1128	7.09	7.10	7.09	7.10	38300	274116.00
2017/04/27	1129	7.10	7.10	7.09	7.09	12100	86630.00
2017/04/27	1300	7.10	7.11	7.10	7.11	122700	878918.00
2017/04/27	1301	7.11	7.11	7.11	7.11	0	0.00
2017/04/27	1302	7.11	7.11	7.10	7.10	39400	282119.00
2017/04/27	1303	7.11	7.11	7.10	7.10	6000	43015.00
2017/04/27	1304	7.11	7.11	7.10	7.11	30400	217825.00
2017/04/27	1305	7.10	7.10	7.09	7.09	29600	211775.00
2017/04/27	1306	7.10	7.10	7.09	7.09	44200	316309.00
2017/04/27	1307	7.10	7.11	7.10	7.10	56900	407448.00
2017/04/27	1308	7.11	7.11	7.10	7.11	59100	423685.00
2017/04/27	1309	7.10	7.12	7.10	7.12	43700	313523.00
2017/04/27	1310	7.12	7.13	7.11	7.11	36400	261222.00
2017/04/27	1311	7.12	7.12	7.12	7.12	2900	20822.00
2017/04/27	1312	7.12	7.13	7.12	7.12	32400	232939.00
2017/04/27	1313	7.14	7.14	7.13	7.13	141900	1021576.00
2017/04/27	1314	7.14	7.14	7.14	7.14	21400	154080.00
2017/04/27	1315	7.14	7.14	7.14	7.14	30900	222480.00
2017/04/27	1316	7.13	7.15	7.13	7.13	27400	197228.00
2017/04/27	1317	7.14	7.14	7.14	7.14	27100	195120.00
2017/04/27	1318	7.15	7.15	7.14	7.14	43500	313205.00
2017/04/27	1319	7.14	7.15	7.14	7.14	42300	304844.00
2017/04/27	1320	7.14	7.18	7.14	7.18	96900	700340.00
2017/04/27	1321	7.17	7.18	7.15	7.15	150000	1084935.00
2017/04/27	1322	7.16	7.16	7.15	7.15	74800	539555.00
2017/04/27	1323	7.14	7.16	7.14	7.16	46200	333005.00
