600436 片仔癀 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	55.85	56.42	55.85	56.20	170600	9600990.00
2017/04/27	0932	56.19	56.19	55.63	55.73	173600	9725338.00
2017/04/27	0933	55.71	55.71	55.53	55.68	83700	4678878.00
2017/04/27	0934	55.68	56.05	55.68	56.05	24800	1392129.00
2017/04/27	0935	56.03	56.23	56.03	56.23	51600	2910359.00
2017/04/27	0936	56.29	56.42	56.23	56.41	33000	1866392.00
2017/04/27	0937	56.33	56.38	56.09	56.09	60400	3417003.00
2017/04/27	0938	56.09	56.09	55.93	55.93	36900	2077369.00
2017/04/27	0939	55.92	55.98	55.82	55.98	35400	1988676.00
2017/04/27	0940	55.98	56.18	55.93	56.15	42400	2385654.00
2017/04/27	0941	56.20	56.23	56.06	56.20	36800	2077517.00
2017/04/27	0942	56.22	56.22	55.99	56.03	45600	2569708.00
2017/04/27	0943	56.08	56.08	55.94	56.03	35400	1992140.00
2017/04/27	0944	56.03	56.23	56.03	56.23	30600	1726052.00
2017/04/27	0945	56.24	56.38	56.23	56.38	29500	1669332.00
2017/04/27	0946	56.38	56.52	56.38	56.51	23600	1338547.00
2017/04/27	0947	56.51	56.53	56.43	56.51	34900	1980382.00
2017/04/27	0948	56.43	56.48	56.41	56.45	18100	1026731.00
2017/04/27	0949	56.43	56.46	56.41	56.43	19200	1088751.00
2017/04/27	0950	56.44	56.44	56.33	56.33	47000	2663567.00
2017/04/27	0951	56.33	56.39	56.22	56.33	34700	1964081.00
2017/04/27	0952	56.37	56.38	56.23	56.23	19100	1080565.00
2017/04/27	0953	56.23	56.29	56.00	56.00	30700	1730184.00
2017/04/27	0954	56.00	56.14	55.94	56.13	29300	1650360.00
2017/04/27	0955	56.18	56.18	56.13	56.17	29200	1647990.00
2017/04/27	0956	56.22	56.22	56.14	56.20	4800	271028.00
2017/04/27	0957	56.20	56.22	56.18	56.18	15300	864111.00
2017/04/27	0958	56.23	56.23	56.14	56.17	31700	1789476.00
2017/04/27	0959	56.17	56.19	55.97	55.97	69200	3901572.00
2017/04/27	1000	55.99	56.03	55.93	56.03	39800	2238821.00
2017/04/27	1001	55.93	56.03	55.93	55.95	26700	1501287.00
2017/04/27	1002	55.95	55.97	55.95	55.96	34900	1962240.00
2017/04/27	1003	55.98	56.13	55.98	56.12	18900	1064273.00
2017/04/27	1004	56.18	56.19	56.13	56.13	13600	767679.00
2017/04/27	1005	56.13	56.13	56.06	56.07	6500	366262.00
2017/04/27	1006	56.08	56.18	56.07	56.13	24500	1381297.00
2017/04/27	1007	56.13	56.19	56.13	56.18	11500	649203.00
2017/04/27	1008	56.19	56.23	56.19	56.23	15300	863988.00
2017/04/27	1009	56.23	56.23	56.13	56.13	20100	1134870.00
2017/04/27	1010	56.13	56.13	56.08	56.08	16100	907595.00
2017/04/27	1011	56.10	56.13	56.07	56.10	29600	1668713.00
2017/04/27	1012	56.10	56.13	56.08	56.10	14100	794826.00
2017/04/27	1013	56.13	56.13	56.09	56.13	11400	642656.00
2017/04/27	1014	56.22	56.36	56.22	56.36	12000	678273.00
2017/04/27	1015	56.36	56.36	56.30	56.36	11400	645298.00
2017/04/27	1016	56.38	56.38	56.30	56.30	10900	617073.00
2017/04/27	1017	56.29	56.30	56.23	56.30	20700	1170121.00
2017/04/27	1018	56.31	56.31	56.13	56.13	9600	541970.00
2017/04/27	1019	56.20	56.20	56.13	56.18	12900	727857.00
2017/04/27	1020	56.19	56.20	56.17	56.17	9100	513708.00
2017/04/27	1021	56.18	56.20	56.14	56.15	9400	530456.00
2017/04/27	1022	56.13	56.15	56.13	56.15	25700	1449862.00
2017/04/27	1023	56.14	56.15	56.13	56.15	11000	620499.00
2017/04/27	1024	56.15	56.23	56.14	56.23	12200	688772.00
