600500 中化国际 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.07	11.07	10.99	10.99	59300	659844.00
2017/04/27	0932	10.99	11.03	10.99	11.03	32400	359760.00
2017/04/27	0933	11.03	11.04	11.02	11.04	97800	1087469.00
2017/04/27	0934	11.03	11.06	11.01	11.05	44200	492040.00
2017/04/27	0935	11.06	11.06	11.02	11.05	27200	302713.00
2017/04/27	0936	11.03	11.05	11.02	11.03	63800	709955.00
2017/04/27	0937	11.04	11.04	11.03	11.03	64000	711938.00
2017/04/27	0938	11.02	11.03	11.01	11.01	56500	627766.00
2017/04/27	0939	11.01	11.05	11.01	11.05	105500	1173322.00
2017/04/27	0940	11.05	11.06	11.03	11.06	51100	569256.00
2017/04/27	0941	11.03	11.06	11.03	11.05	22800	254034.00
2017/04/27	0942	11.05	11.05	11.03	11.04	64400	716824.00
2017/04/27	0943	11.03	11.06	11.03	11.05	42500	473401.00
2017/04/27	0944	11.05	11.05	11.04	11.04	23500	261626.00
2017/04/27	0945	11.04	11.05	11.03	11.05	8300	92402.00
2017/04/27	0946	11.05	11.05	11.04	11.04	60800	676973.00
2017/04/27	0947	11.05	11.05	11.03	11.04	62900	700088.00
2017/04/27	0948	11.04	11.04	11.02	11.03	6400	71223.00
2017/04/27	0949	11.02	11.04	11.02	11.03	42900	477022.00
2017/04/27	0950	11.03	11.03	11.02	11.02	15700	174455.00
2017/04/27	0951	11.03	11.03	10.98	10.98	173000	1919506.00
2017/04/27	0952	10.98	10.99	10.98	10.99	73600	814975.00
2017/04/27	0953	11.00	11.00	10.98	10.99	53800	596188.00
2017/04/27	0954	10.99	11.00	10.99	11.00	29700	329161.00
2017/04/27	0955	11.00	11.00	10.99	11.00	14500	160751.00
2017/04/27	0956	11.00	11.00	10.99	11.00	43900	486533.00
2017/04/27	0957	10.99	11.01	10.99	11.01	84000	931848.00
2017/04/27	0958	11.01	11.02	11.01	11.02	24400	270997.00
2017/04/27	0959	11.01	11.02	11.00	11.01	83200	923359.00
2017/04/27	1000	11.01	11.01	11.00	11.00	77700	861985.00
2017/04/27	1001	11.00	11.00	10.98	10.98	55500	614749.00
2017/04/27	1002	10.98	10.99	10.96	10.96	182800	2020692.00
2017/04/27	1003	10.96	10.97	10.95	10.96	81200	897298.00
2017/04/27	1004	10.96	10.97	10.96	10.97	102200	1129612.00
2017/04/27	1005	10.97	10.99	10.96	10.96	50800	561768.00
2017/04/27	1006	10.98	10.98	10.91	10.91	417000	4600009.00
2017/04/27	1007	10.93	10.93	10.90	10.91	115000	1264841.00
2017/04/27	1008	10.91	10.95	10.91	10.95	134500	1483460.00
2017/04/27	1009	10.93	10.95	10.93	10.94	52600	580166.00
2017/04/27	1010	10.94	10.95	10.94	10.94	44800	494487.00
2017/04/27	1011	10.95	10.95	10.93	10.95	25200	277916.00
2017/04/27	1012	10.94	10.95	10.94	10.95	71700	791391.00
2017/04/27	1013	10.95	10.95	10.93	10.94	26100	287836.00
2017/04/27	1014	10.92	10.92	10.88	10.89	280700	3086532.00
2017/04/27	1015	10.88	10.90	10.88	10.89	88300	969116.00
2017/04/27	1016	10.90	10.90	10.88	10.89	66300	728101.00
2017/04/27	1017	10.89	10.89	10.87	10.87	133600	1465010.00
2017/04/27	1018	10.88	10.88	10.81	10.81	421400	4602603.00
2017/04/27	1019	10.81	10.81	10.74	10.79	163300	1773942.00
2017/04/27	1020	10.78	10.81	10.78	10.81	383900	4180539.00
2017/04/27	1021	10.86	10.86	10.81	10.81	115600	1260514.88
2017/04/27	1022	10.83	10.84	10.82	10.82	44500	485891.00
2017/04/27	1023	10.83	10.83	10.81	10.82	184100	2007530.00
2017/04/27	1024	10.81	10.81	10.80	10.80	94600	1030628.00
2017/04/27	1025	10.80	10.82	10.80	10.82	27100	295326.00
2017/04/27	1026	10.82	10.82	10.80	10.80	77200	841121.00
2017/04/27	1027	10.80	10.81	10.79	10.80	221800	2414514.00
2017/04/27	1028	10.81	10.81	10.80	10.81	18500	201624.00
2017/04/27	1029	10.80	10.81	10.76	10.76	353200	3839504.00
2017/04/27	1030	10.77	10.81	10.76	10.80	51100	554833.00
2017/04/27	1031	10.79	10.80	10.78	10.78	39800	432997.00
2017/04/27	1032	10.78	10.79	10.72	10.73	335100	3630636.00
2017/04/27	1033	10.71	10.73	10.70	10.71	352300	3804854.00
2017/04/27	1034	10.73	10.74	10.71	10.73	162300	1753910.00
2017/04/27	1035	10.73	10.74	10.73	10.74	45200	489414.00
2017/04/27	1036	10.74	10.79	10.74	10.76	46000	499450.00
2017/04/27	1037	10.78	10.81	10.76	10.81	216800	2361198.00
2017/04/27	1038	10.80	10.80	10.79	10.80	34000	370183.00
2017/04/27	1039	10.80	10.80	10.79	10.80	20700	225290.00
2017/04/27	1040	10.81	10.81	10.79	10.80	78100	850787.00
2017/04/27	1041	10.80	10.80	10.79	10.80	51700	562745.00
2017/04/27	1042	10.79	10.82	10.79	10.82	44900	489169.00
2017/04/27	1043	10.81	10.84	10.81	10.83	10500	114692.00
2017/04/27	1044	10.83	10.84	10.82	10.82	26400	288262.00
2017/04/27	1045	10.84	10.85	10.84	10.85	19500	213215.00
2017/04/27	1046	10.85	10.86	10.84	10.85	19400	212241.00
2017/04/27	1047	10.85	10.86	10.85	10.85	19800	216621.98
2017/04/27	1048	10.85	10.85	10.85	10.85	11500	125810.00
2017/04/27	1049	10.85	10.85	10.84	10.84	17500	191312.00
2017/04/27	1050	10.85	10.85	10.83	10.83	16100	175976.00
2017/04/27	1051	10.83	10.85	10.83	10.84	30400	332320.00
2017/04/27	1052	10.84	10.85	10.84	10.85	16600	181535.00
2017/04/27	1053	10.84	10.85	10.82	10.82	105700	1154788.00
2017/04/27	1054	10.82	10.85	10.81	10.85	123900	1350735.00
2017/04/27	1055	10.82	10.85	10.82	10.85	30400	331863.00
2017/04/27	1056	10.85	10.85	10.84	10.84	13600	148673.00
