600518 康美药业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.44	19.50	19.41	19.41	504600	9921986.00
2017/04/27	0932	19.43	19.55	19.43	19.53	246500	4861007.00
2017/04/27	0933	19.53	19.55	19.45	19.46	178000	3510610.00
2017/04/27	0934	19.50	19.52	19.48	19.48	150300	2961918.00
2017/04/27	0935	19.48	19.48	19.35	19.36	96000	1881717.00
2017/04/27	0936	19.38	19.38	19.35	19.35	137500	2688932.00
2017/04/27	0937	19.31	19.35	19.25	19.25	144500	2817915.00
2017/04/27	0938	19.26	19.26	19.21	19.26	86000	1672005.00
2017/04/27	0939	19.29	19.30	19.26	19.30	74400	1449444.00
2017/04/27	0940	19.28	19.34	19.27	19.34	104100	2030003.00
2017/04/27	0941	19.34	19.37	19.34	19.35	46700	912822.00
2017/04/27	0942	19.35	19.35	19.30	19.30	24600	480363.00
2017/04/27	0943	19.31	19.33	19.29	19.29	54300	1058978.00
2017/04/27	0944	19.29	19.30	19.27	19.30	38200	744416.00
2017/04/27	0945	19.28	19.30	19.26	19.26	44100	859375.00
2017/04/27	0946	19.26	19.27	19.25	19.26	64200	1249278.00
2017/04/27	0947	19.26	19.27	19.26	19.27	27700	539174.94
2017/04/27	0948	19.25	19.27	19.25	19.25	99300	1931532.00
2017/04/27	0949	19.25	19.25	19.21	19.21	60900	1183125.00
2017/04/27	0950	19.21	19.22	19.20	19.20	145700	2827185.00
2017/04/27	0951	19.20	19.21	19.18	19.19	198000	3842180.00
2017/04/27	0952	19.18	19.20	19.18	19.19	43400	841293.94
2017/04/27	0953	19.20	19.20	19.19	19.20	38400	744884.00
2017/04/27	0954	19.20	19.24	19.20	19.24	33800	656328.00
2017/04/27	0955	19.21	19.26	19.21	19.25	38400	746761.00
2017/04/27	0956	19.25	19.26	19.25	19.26	24900	484530.00
2017/04/27	0957	19.28	19.28	19.26	19.26	18900	367931.00
2017/04/27	0958	19.26	19.27	19.25	19.25	23300	453262.00
2017/04/27	0959	19.25	19.25	19.22	19.23	75900	1475884.00
2017/04/27	1000	19.23	19.23	19.19	19.19	54300	1053344.00
2017/04/27	1001	19.19	19.20	19.18	19.19	64800	1256539.00
2017/04/27	1002	19.18	19.22	19.18	19.21	137500	2666508.00
2017/04/27	1003	19.20	19.21	19.19	19.20	142100	2756844.00
2017/04/27	1004	19.20	19.20	19.18	19.19	49100	952101.00
2017/04/27	1005	19.19	19.19	19.18	19.19	70300	1362853.00
2017/04/27	1006	19.19	19.20	19.18	19.19	66400	1287153.00
2017/04/27	1007	19.19	19.20	19.18	19.19	70700	1370855.00
2017/04/27	1008	19.18	19.19	19.17	19.18	55600	1077616.88
2017/04/27	1009	19.17	19.18	19.15	19.15	118300	2290069.25
2017/04/27	1010	19.10	19.11	19.09	19.11	432900	8354969.50
2017/04/27	1011	19.14	19.14	19.10	19.10	382100	7375690.00
2017/04/27	1012	19.10	19.10	19.09	19.09	79800	1539784.00
2017/04/27	1013	19.09	19.09	19.08	19.08	103000	1986565.00
2017/04/27	1014	19.08	19.09	19.07	19.08	103300	1991418.00
2017/04/27	1015	19.08	19.10	19.07	19.09	128100	2469781.00
2017/04/27	1016	19.09	19.10	19.07	19.08	90300	1741483.00
2017/04/27	1017	19.08	19.08	19.06	19.07	98000	1888428.00
2017/04/27	1018	19.07	19.08	19.06	19.07	79800	1537623.00
2017/04/27	1019	19.06	19.08	19.05	19.07	84100	1620271.00
2017/04/27	1020	19.05	19.07	19.05	19.06	48700	937867.00
2017/04/27	1021	19.06	19.07	19.06	19.06	37100	714782.00
2017/04/27	1022	19.07	19.15	19.06	19.15	126800	2446329.00
2017/04/27	1023	19.15	19.17	19.12	19.12	14400	278666.00
2017/04/27	1024	19.15	19.16	19.12	19.15	33400	646263.00
2017/04/27	1025	19.16	19.17	19.16	19.17	22100	427994.00
2017/04/27	1026	19.17	19.18	19.16	19.18	28300	548351.00
2017/04/27	1027	19.18	19.18	19.16	19.16	11200	216971.00
2017/04/27	1028	19.16	19.17	19.10	19.10	95100	1839590.00
2017/04/27	1029	19.10	19.10	19.09	19.10	106500	2055187.00
2017/04/27	1030	19.10	19.11	19.07	19.10	91500	1765619.00
2017/04/27	1031	19.07	19.10	19.07	19.07	134900	2600510.00
2017/04/27	1032	19.08	19.08	19.06	19.06	159300	3069403.00
2017/04/27	1033	19.06	19.10	19.06	19.10	165100	3181566.00
2017/04/27	1034	19.08	19.12	19.08	19.09	18800	362835.00
2017/04/27	1035	19.08	19.12	19.08	19.09	81800	1578277.00
2017/04/27	1036	19.12	19.12	19.09	19.11	14800	285769.00
2017/04/27	1037	19.09	19.15	19.09	19.12	15500	299348.00
2017/04/27	1038	19.12	19.15	19.11	19.11	13500	260847.00
2017/04/27	1039	19.11	19.12	19.11	19.11	55800	1077530.00
2017/04/27	1040	19.11	19.12	19.11	19.11	24700	476996.00
2017/04/27	1041	19.12	19.15	19.11	19.15	20300	392536.00
2017/04/27	1042	19.15	19.15	19.12	19.12	24000	463871.00
2017/04/27	1043	19.12	19.16	19.12	19.16	74200	1436170.00
2017/04/27	1044	19.17	19.17	19.16	19.17	15900	307973.03
2017/04/27	1045	19.17	19.21	19.16	19.21	89100	1728122.00
2017/04/27	1046	19.20	19.21	19.20	19.21	53300	1034441.00
2017/04/27	1047	19.20	19.21	19.17	19.17	61800	1198915.00
2017/04/27	1048	19.16	19.23	19.16	19.20	134800	2615239.00
2017/04/27	1049	19.21	19.23	19.21	19.23	11900	231054.00
2017/04/27	1050	19.26	19.27	19.26	19.26	76000	1479153.00
2017/04/27	1051	19.27	19.30	19.25	19.25	99000	1928954.00
2017/04/27	1052	19.25	19.26	19.22	19.26	67100	1305480.00
2017/04/27	1053	19.26	19.26	19.23	19.26	18400	358012.97
2017/04/27	1054	19.26	19.26	19.23	19.23	32200	626249.00
2017/04/27	1055	19.24	19.24	19.20	19.20	38600	749582.00
2017/04/27	1056	19.20	19.20	19.20	19.20	79000	1532600.00
2017/04/27	1057	19.20	19.21	19.20	19.21	6100	118366.00
2017/04/27	1058	19.21	19.25	19.20	19.25	73100	1421365.00
2017/04/27	1059	19.25	19.25	19.22	19.25	25400	494003.03
2017/04/27	1100	19.26	19.27	19.25	19.25	46700	908602.00
2017/04/27	1101	19.22	19.24	19.22	19.22	44500	864696.00
2017/04/27	1102	19.22	19.24	19.21	19.21	251600	4883712.00
2017/04/27	1103	19.22	19.25	19.22	19.22	41200	800302.00
2017/04/27	1104	19.22	19.23	19.22	19.23	11100	215665.00
2017/04/27	1105	19.23	19.25	19.22	19.22	50400	979112.00
2017/04/27	1106	19.22	19.22	19.20	19.20	193800	3759938.00
2017/04/27	1107	19.21	19.21	19.19	19.19	17500	339472.00
2017/04/27	1108	19.19	19.21	19.18	19.21	8500	164838.00
2017/04/27	1109	19.20	19.20	19.15	19.15	48500	938913.00
2017/04/27	1110	19.14	19.15	19.10	19.11	53800	1038703.00
2017/04/27	1111	19.11	19.15	19.10	19.14	34400	664422.00
2017/04/27	1112	19.15	19.15	19.11	19.12	35200	679945.00
2017/04/27	1113	19.12	19.14	19.11	19.12	17900	345768.00
2017/04/27	1114	19.12	19.12	19.12	19.12	15500	299460.00
2017/04/27	1115	19.12	19.12	19.11	19.12	35700	689592.00
2017/04/27	1116	19.14	19.18	19.12	19.18	21200	410005.00
2017/04/27	1117	19.17	19.17	19.14	19.15	49200	951945.00
2017/04/27	1118	19.15	19.15	19.13	19.13	35100	678843.00
2017/04/27	1119	19.14	19.17	19.13	19.15	16600	321079.00
2017/04/27	1120	19.20	19.22	19.20	19.22	138900	2695522.00
2017/04/27	1121	19.20	19.23	19.20	19.22	11100	215576.00
2017/04/27	1122	19.22	19.22	19.22	19.22	4700	91274.00
2017/04/27	1123	19.22	19.22	19.20	19.20	18600	361120.00
2017/04/27	1124	19.20	19.23	19.19	19.23	18800	364943.00
2017/04/27	1125	19.22	19.22	19.15	19.15	12400	240294.00
2017/04/27	1126	19.16	19.16	19.16	19.16	2600	50336.00
2017/04/27	1127	19.16	19.16	19.15	19.16	13000	251640.00
2017/04/27	1128	19.16	19.17	19.16	19.17	7500	145211.00
2017/04/27	1129	19.17	19.17	19.15	19.15	7500	145209.02
2017/04/27	1300	19.15	19.16	19.13	19.14	46300	895782.00
2017/04/27	1301	19.14	19.14	19.14	19.14	0	0.00
2017/04/27	1302	19.13	19.14	19.13	19.14	12900	249359.00
2017/04/27	1303	19.13	19.16	19.13	19.15	106200	2054915.00
2017/04/27	1304	19.14	19.16	19.14	19.15	13000	251563.00
2017/04/27	1305	19.15	19.16	19.15	19.16	10900	210993.00
2017/04/27	1306	19.16	19.16	19.15	19.15	20200	390943.00
2017/04/27	1307	19.16	19.16	19.15	19.16	16800	325135.00
2017/04/27	1308	19.16	19.16	19.15	19.15	4100	79352.00
2017/04/27	1309	19.16	19.17	19.16	19.17	3700	71653.00
2017/04/27	1310	19.19	19.19	19.16	19.18	19900	385815.00
2017/04/27	1311	19.20	19.21	19.20	19.21	28800	558731.00
2017/04/27	1312	19.21	19.23	19.21	19.23	7800	151481.00
2017/04/27	1313	19.23	19.23	19.20	19.20	23100	448338.00
2017/04/27	1314	19.20	19.20	19.20	19.20	14700	285180.00
2017/04/27	1315	19.20	19.21	19.20	19.21	23300	452024.00
2017/04/27	1316	19.21	19.21	19.20	19.20	12700	246436.00
2017/04/27	1317	19.22	19.22	19.20	19.21	6800	131950.00
2017/04/27	1318	19.20	19.20	19.20	19.20	6100	118340.00
2017/04/27	1319	19.20	19.22	19.20	19.21	16400	318324.00
2017/04/27	1320	19.21	19.21	19.20	19.21	16000	310530.00
2017/04/27	1321	19.21	19.22	19.21	19.22	13900	269882.00
2017/04/27	1322	19.23	19.25	19.23	19.23	119200	2316360.00
2017/04/27	1323	19.24	19.24	19.23	19.23	5600	108839.00
2017/04/27	1324	19.22	19.23	19.22	19.22	21000	407829.00
2017/04/27	1325	19.21	19.22	19.21	19.22	7500	145578.00
2017/04/27	1326	19.21	19.21	19.20	19.20	36200	702602.00
2017/04/27	1327	19.21	19.22	19.21	19.22	34300	665876.00
2017/04/27	1328	19.22	19.22	19.21	19.22	22600	438750.00
2017/04/27	1329	19.22	19.22	19.21	19.22	21100	409723.00
2017/04/27	1330	19.22	19.23	19.21	19.23	25700	499082.00
2017/04/27	1331	19.23	19.28	19.23	19.28	56200	1093763.00
2017/04/27	1332	19.25	19.28	19.24	19.28	20700	402666.00
2017/04/27	1333	19.28	19.28	19.27	19.27	18100	352514.00
2017/04/27	1334	19.25	19.27	19.25	19.27	11300	219857.00
2017/04/27	1335	19.28	19.28	19.25	19.25	17400	338611.00
2017/04/27	1336	19.25	19.26	19.25	19.25	19700	383234.00
2017/04/27	1337	19.26	19.26	19.25	19.26	8200	159570.00
2017/04/27	1338	19.25	19.26	19.25	19.25	64600	1256478.00
2017/04/27	1339	19.25	19.25	19.24	19.24	93500	1818384.00
2017/04/27	1340	19.25	19.25	19.24	19.25	31200	606616.00
2017/04/27	1341	19.25	19.26	19.25	19.26	24500	476663.00
2017/04/27	1342	19.26	19.26	19.25	19.25	4900	95338.00
2017/04/27	1343	19.25	19.26	19.25	19.26	8300	161449.00
2017/04/27	1344	19.25	19.26	19.25	19.26	34500	671028.06
2017/04/27	1345	19.25	19.26	19.25	19.25	18900	367615.03
2017/04/27	1346	19.26	19.26	19.25	19.25	27300	531004.00
2017/04/27	1347	19.25	19.26	19.25	19.26	27000	525172.00
2017/04/27	1348	19.25	19.26	19.25	19.25	17000	330678.00
2017/04/27	1349	19.25	19.26	19.25	19.25	41900	815119.00
2017/04/27	1350	19.25	19.27	19.25	19.25	62200	1209926.00
2017/04/27	1351	19.25	19.25	19.23	19.23	53600	1041672.00
2017/04/27	1352	19.24	19.24	19.22	19.22	8700	169054.00
2017/04/27	1353	19.23	19.25	19.23	19.25	55000	1069490.00
2017/04/27	1354	19.25	19.27	19.23	19.25	64200	1248704.00
2017/04/27	1355	19.23	19.25	19.23	19.25	20300	394523.00
2017/04/27	1356	19.25	19.25	19.22	19.25	85600	1662718.00
2017/04/27	1357	19.23	19.23	19.22	19.22	60000	1165225.00
2017/04/27	1358	19.23	19.23	19.22	19.23	4300	83535.00
