600519 贵州茅台 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	408.74	409.20	407.39	407.71	103100	42842176.00
2017/04/27	0932	407.34	407.34	405.21	405.33	49800	20566914.00
2017/04/27	0933	405.33	405.33	404.71	405.25	86800	35749160.00
2017/04/27	0934	405.21	409.71	405.21	405.53	66900	27657584.00
2017/04/27	0935	405.80	406.55	405.80	406.55	16200	6691293.00
2017/04/27	0936	406.75	407.22	406.75	407.22	20000	8274508.00
2017/04/27	0937	407.31	408.38	407.23	408.38	24500	10155673.00
2017/04/27	0938	408.24	409.21	408.02	408.73	36200	15022443.00
2017/04/27	0939	408.73	410.88	408.73	410.80	20800	8663285.00
2017/04/27	0940	410.80	410.80	409.69	409.69	15900	6634192.00
2017/04/27	0941	409.69	410.61	409.69	410.61	19500	8130707.00
2017/04/27	0942	410.66	411.69	410.66	411.32	21900	9152786.00
2017/04/27	0943	411.67	412.21	411.30	412.11	24400	10214113.00
2017/04/27	0944	412.19	412.34	411.72	411.72	38300	16042548.00
2017/04/27	0945	412.01	412.01	411.07	411.07	22700	9498152.00
2017/04/27	0946	410.55	411.07	409.72	410.21	11300	4714876.00
2017/04/27	0947	409.89	411.30	409.72	411.30	20500	8552077.00
2017/04/27	0948	411.36	412.21	411.36	412.21	31100	13020538.00
2017/04/27	0949	412.20	412.61	412.01	412.20	27400	11485828.00
2017/04/27	0950	411.71	412.19	411.69	411.79	9200	3851756.00
2017/04/27	0951	411.91	411.99	410.51	410.55	19700	8238767.00
2017/04/27	0952	410.55	410.55	409.72	409.81	8400	3500495.00
2017/04/27	0953	409.75	410.41	409.75	410.41	10200	4252741.00
2017/04/27	0954	410.20	410.55	410.20	410.55	8100	3379014.00
2017/04/27	0955	411.13	411.63	410.63	411.13	10000	4180114.00
2017/04/27	0956	411.15	411.20	410.33	410.38	4800	2003327.00
2017/04/27	0957	410.21	410.21	409.90	409.93	9300	3876706.00
2017/04/27	0958	409.82	409.91	409.41	409.41	30200	12580696.00
2017/04/27	0959	409.34	409.41	409.01	409.16	18100	7530130.00
2017/04/27	1000	409.02	409.21	409.01	409.21	14200	5906074.00
2017/04/27	1001	409.35	409.35	408.95	409.01	11500	4782152.00
2017/04/27	1002	409.01	409.01	408.80	408.89	29800	12386883.00
2017/04/27	1003	408.96	409.21	408.79	409.21	24000	9980481.00
2017/04/27	1004	409.21	411.51	409.21	411.21	28900	12057124.00
2017/04/27	1005	411.71	411.71	410.21	410.21	33500	14005202.00
2017/04/27	1006	411.21	411.21	410.24	411.19	3300	1379087.00
2017/04/27	1007	411.19	411.19	410.70	410.70	6900	2883113.00
2017/04/27	1008	410.67	410.92	410.41	410.92	3800	1586392.00
2017/04/27	1009	410.92	411.07	410.71	410.71	5500	2296524.00
2017/04/27	1010	410.71	411.51	410.71	411.13	19700	8231758.00
2017/04/27	1011	411.21	411.41	411.06	411.21	9000	3761909.00
2017/04/27	1012	411.41	412.20	411.16	411.74	28900	12095957.00
2017/04/27	1013	411.22	411.74	411.22	411.71	7100	2970420.00
2017/04/27	1014	411.74	412.46	411.74	412.46	14100	5908226.00
2017/04/27	1015	412.24	412.41	412.22	412.22	9100	3813688.00
2017/04/27	1016	412.22	412.22	411.74	412.11	9300	3895886.00
2017/04/27	1017	412.12	412.12	411.74	412.09	9100	3811518.00
2017/04/27	1018	412.10	412.20	412.09	412.20	10900	4566362.00
2017/04/27	1019	412.21	412.64	412.21	412.64	18900	7921869.00
2017/04/27	1020	412.40	412.67	412.21	412.21	23700	9936526.00
2017/04/27	1021	412.54	412.54	412.19	412.19	6800	2850121.00
2017/04/27	1022	412.16	412.45	412.09	412.17	15500	6493946.00
2017/04/27	1023	412.21	412.31	412.01	412.01	5300	2220601.00
2017/04/27	1024	412.01	412.01	411.71	411.71	12100	5066094.00
2017/04/27	1025	411.71	411.71	411.21	411.21	4700	1965858.00
2017/04/27	1026	411.21	411.60	411.20	411.21	7900	3302795.00
2017/04/27	1027	411.20	411.21	411.12	411.17	4300	1797207.00
2017/04/27	1028	411.12	411.20	411.09	411.09	5000	2089527.00
2017/04/27	1029	411.09	411.11	411.06	411.06	4500	1880413.00
2017/04/27	1030	411.05	411.11	410.96	410.96	8800	3676891.00
2017/04/27	1031	410.97	410.97	410.84	410.94	2800	1169631.00
2017/04/27	1032	410.92	410.92	410.80	410.80	7300	3048663.00
2017/04/27	1033	410.80	410.80	410.76	410.78	8300	3465829.00
2017/04/27	1034	410.76	411.11	410.76	411.10	11200	4678476.00
2017/04/27	1035	411.11	411.60	410.56	411.21	36500	15244351.00
2017/04/27	1036	411.71	411.74	411.20	411.20	20300	8487037.00
2017/04/27	1037	411.21	411.71	411.20	411.20	18700	7816801.00
2017/04/27	1038	411.20	411.21	411.08	411.10	10200	4262880.00
2017/04/27	1039	411.19	411.59	411.11	411.59	3100	1295752.00
2017/04/27	1040	411.31	411.79	411.31	411.79	6300	2636276.00
2017/04/27	1041	411.79	412.51	411.79	412.43	27600	11563473.00
2017/04/27	1042	412.21	412.51	412.10	412.41	12300	5154806.00
2017/04/27	1043	412.49	412.73	412.23	412.71	25100	10524047.00
2017/04/27	1044	412.73	412.73	412.10	412.12	14500	6078133.00
2017/04/27	1045	412.12	412.12	412.05	412.10	15600	6534857.00
2017/04/27	1046	412.10	412.67	412.10	412.66	13800	5781896.00
2017/04/27	1047	412.66	412.67	412.59	412.62	5600	2348889.00
2017/04/27	1048	412.66	412.71	412.66	412.71	15000	6292281.00
2017/04/27	1049	412.70	412.73	412.67	412.71	25000	10487511.00
2017/04/27	1050	412.71	412.73	412.65	412.65	21000	8809367.00
2017/04/27	1051	412.60	412.66	412.26	412.60	4000	1677313.00
2017/04/27	1052	412.60	412.60	412.22	412.22	3400	1425266.00
2017/04/27	1053	412.22	412.59	412.21	412.59	2600	1089974.00
2017/04/27	1054	412.59	412.60	412.33	412.33	2700	1132279.00
2017/04/27	1055	412.51	412.61	412.27	412.60	6200	2599864.00
2017/04/27	1056	412.67	412.70	412.65	412.70	7000	2936332.00
2017/04/27	1057	412.71	412.71	412.65	412.65	8900	3733378.00
2017/04/27	1058	412.61	412.68	412.54	412.60	6000	2516467.00
2017/04/27	1059	412.61	412.69	412.57	412.68	4500	1887613.00
2017/04/27	1100	412.69	412.71	412.55	412.65	6700	2809943.00
2017/04/27	1101	412.66	412.69	412.61	412.66	5400	2264941.00
2017/04/27	1102	412.66	412.69	412.56	412.56	2100	880786.00
2017/04/27	1103	412.56	412.59	412.54	412.55	7700	3228912.00
2017/04/27	1104	412.55	412.59	412.55	412.55	3800	1593516.00
2017/04/27	1105	412.60	412.68	412.59	412.61	4600	1929366.00
2017/04/27	1106	412.60	412.71	412.60	412.71	5100	2139329.00
2017/04/27	1107	412.72	413.07	412.71	413.07	28800	12083425.00
2017/04/27	1108	413.09	413.66	413.07	413.51	48500	20373724.00
2017/04/27	1109	413.70	414.00	413.51	414.00	9300	3911597.00
2017/04/27	1110	413.91	413.92	413.66	413.70	11800	4963286.00
2017/04/27	1111	413.51	413.61	413.12	413.12	4800	2016607.00
2017/04/27	1112	413.11	413.21	412.91	412.99	9200	3863102.00
2017/04/27	1113	412.91	413.07	412.71	413.07	4500	1889034.00
2017/04/27	1114	413.07	413.17	412.91	412.91	9500	3988077.00
2017/04/27	1115	412.81	412.81	412.69	412.69	5500	2307407.00
2017/04/27	1116	412.64	412.69	412.57	412.66	4600	1929371.00
2017/04/27	1117	412.62	412.62	412.56	412.60	5500	2306615.00
2017/04/27	1118	412.59	412.70	412.59	412.70	6900	2893986.00
2017/04/27	1119	412.69	412.71	412.57	412.57	2600	1090500.00
2017/04/27	1120	412.56	412.56	411.62	411.62	38500	16139131.00
2017/04/27	1121	411.29	411.73	411.10	411.10	12200	5099821.00
2017/04/27	1122	411.23	411.31	411.10	411.23	14200	5935906.00
2017/04/27	1123	411.24	411.59	411.24	411.37	3400	1421604.00
2017/04/27	1124	411.55	411.56	411.24	411.24	12300	5142356.00
2017/04/27	1125	411.24	411.24	411.11	411.11	10800	4514013.00
2017/04/27	1126	411.11	411.11	410.73	410.73	10000	4177964.00
2017/04/27	1127	410.77	410.80	410.42	410.60	7800	3255984.00
2017/04/27	1128	410.60	410.61	410.42	410.44	4400	1836100.00
2017/04/27	1129	410.43	410.56	410.43	410.51	3300	1377083.00
2017/04/27	1300	410.46	410.50	410.22	410.38	24600	10261379.00
2017/04/27	1301	410.38	410.38	410.38	410.38	0	0.00
2017/04/27	1302	410.32	410.49	410.31	410.49	4200	1752187.00
2017/04/27	1303	410.49	410.49	410.32	410.32	6300	2628091.00
2017/04/27	1304	410.37	410.46	410.32	410.46	5600	2335986.00
2017/04/27	1305	410.32	410.49	410.29	410.44	5500	2294533.00
2017/04/27	1306	410.49	410.55	410.41	410.42	4600	1919399.00
2017/04/27	1307	410.46	410.56	410.41	410.41	4400	1835975.00
2017/04/27	1308	410.41	410.55	410.41	410.41	4500	1877699.00
2017/04/27	1309	410.52	410.52	410.28	410.42	12800	5339345.00
2017/04/27	1310	410.31	410.43	410.28	410.32	4200	1752037.00
2017/04/27	1311	410.32	410.43	410.31	410.32	3400	1418319.00
2017/04/27	1312	410.39	410.43	410.39	410.43	6300	2628406.00
2017/04/27	1313	410.41	410.54	410.37	410.40	4300	1794041.00
2017/04/27	1314	410.40	410.56	410.40	410.56	3500	1460551.00
2017/04/27	1315	410.56	410.73	410.47	410.72	9800	4090688.00
2017/04/27	1316	410.81	411.41	410.81	411.41	4300	1797347.00
2017/04/27	1317	411.38	411.71	411.38	411.70	3200	1338837.00
2017/04/27	1318	411.79	412.19	411.71	412.10	3400	1424094.00
2017/04/27	1319	412.10	412.21	412.10	412.10	16700	6996985.00
2017/04/27	1320	412.21	412.21	412.10	412.17	6200	2597577.00
2017/04/27	1321	412.17	412.29	412.16	412.29	7900	3310077.00
2017/04/27	1322	412.29	412.56	412.26	412.56	5500	2305594.00
2017/04/27	1323	412.56	413.00	412.51	412.96	6800	2852404.00
2017/04/27	1324	412.72	412.91	412.56	412.57	6200	2601022.00
2017/04/27	1325	412.56	413.31	412.56	413.31	40600	17050490.00
2017/04/27	1326	413.31	413.73	413.31	413.53	15500	6516507.00
2017/04/27	1327	413.31	413.61	413.31	413.31	10400	4370223.00
2017/04/27	1328	413.31	413.32	412.86	412.86	15200	6383960.00
2017/04/27	1329	412.86	412.86	412.56	412.56	11900	4991404.00
2017/04/27	1330	412.71	412.71	412.31	412.32	7200	3019726.00
2017/04/27	1331	412.32	412.40	412.32	412.39	6100	2556732.00
2017/04/27	1332	412.39	413.28	412.39	413.21	12600	5290486.00
2017/04/27	1333	413.22	413.31	413.21	413.29	6200	2604366.00
2017/04/27	1334	413.27	413.43	413.27	413.43	7200	3024795.00
2017/04/27	1335	413.43	413.46	413.28	413.31	9400	3949103.00
2017/04/27	1336	413.22	413.27	412.41	412.41	27400	11507709.00
2017/04/27	1337	412.42	412.42	412.21	412.21	7100	2976010.00
2017/04/27	1338	412.21	412.21	411.81	411.81	1800	753865.00
2017/04/27	1339	411.81	411.91	411.81	411.91	4600	1925873.00
2017/04/27	1340	411.91	412.02	411.91	412.01	3700	1549538.00
2017/04/27	1341	412.01	412.01	411.89	411.92	3200	1339865.00
2017/04/27	1342	411.89	411.89	411.55	411.67	1700	711550.00
2017/04/27	1343	411.21	411.21	411.16	411.21	20700	8652595.00
2017/04/27	1344	411.21	411.24	411.17	411.17	4000	1672007.00
2017/04/27	1345	411.17	411.21	411.17	411.17	4000	1671908.00
2017/04/27	1346	411.21	411.24	411.17	411.23	3700	1546619.00
2017/04/27	1347	411.24	411.28	411.23	411.28	3800	1588591.00
2017/04/27	1348	411.26	411.29	411.25	411.29	5200	2173910.00
2017/04/27	1349	411.32	411.51	411.32	411.51	2400	1003705.00
2017/04/27	1350	411.47	411.71	411.36	411.71	2500	1045989.00
2017/04/27	1351	411.81	411.81	411.72	411.81	2200	920895.00
2017/04/27	1352	411.82	412.01	411.82	411.93	2000	837424.00
2017/04/27	1353	412.01	412.11	411.91	412.11	5800	2428982.00
2017/04/27	1354	412.11	412.21	412.11	412.21	3700	1550132.00
2017/04/27	1355	412.17	412.17	412.13	412.13	3000	1256836.00
2017/04/27	1356	412.13	412.17	412.11	412.11	6500	2722895.00
2017/04/27	1357	412.09	412.09	411.91	411.91	2300	963079.00
2017/04/27	1358	411.71	411.71	411.30	411.33	6200	2593985.00
2017/04/27	1359	411.33	411.44	411.33	411.44	5100	2132661.00
2017/04/27	1400	411.44	411.71	411.34	411.48	2100	878403.00
2017/04/27	1401	411.91	411.91	411.45	411.87	1900	795476.00
2017/04/27	1402	411.49	411.75	411.36	411.48	1100	460104.00
