600522 中天科技 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	10.31	10.35	10.31	10.33	668700	6969301.00
2017/04/27	0932	10.32	10.32	10.23	10.23	800100	8318756.00
2017/04/27	0933	10.24	10.26	10.23	10.26	409200	4233781.00
2017/04/27	0934	10.27	10.30	10.26	10.30	165500	1717647.00
2017/04/27	0935	10.30	10.33	10.30	10.33	142300	1481893.88
2017/04/27	0936	10.34	10.36	10.33	10.34	324800	3391994.00
2017/04/27	0937	10.34	10.35	10.31	10.31	261500	2727230.00
2017/04/27	0938	10.30	10.30	10.26	10.26	255300	2649403.00
2017/04/27	0939	10.26	10.30	10.25	10.29	348200	3610138.00
2017/04/27	0940	10.28	10.32	10.28	10.32	203500	2116773.00
2017/04/27	0941	10.31	10.32	10.30	10.31	190100	1979230.00
2017/04/27	0942	10.31	10.33	10.31	10.33	133200	1387233.00
2017/04/27	0943	10.33	10.34	10.31	10.33	129600	1351219.00
2017/04/27	0944	10.34	10.37	10.33	10.35	291000	3040031.00
2017/04/27	0945	10.35	10.36	10.34	10.34	141100	1474144.00
2017/04/27	0946	10.34	10.35	10.32	10.33	135700	1416791.88
2017/04/27	0947	10.32	10.33	10.32	10.32	73800	769537.00
2017/04/27	0948	10.32	10.33	10.31	10.32	213900	2228909.00
2017/04/27	0949	10.32	10.33	10.31	10.32	93400	972916.00
2017/04/27	0950	10.32	10.33	10.32	10.32	106400	1108689.00
2017/04/27	0951	10.32	10.33	10.31	10.32	99300	1034764.00
2017/04/27	0952	10.33	10.33	10.31	10.32	150300	1566640.00
2017/04/27	0953	10.32	10.32	10.31	10.32	127200	1325037.00
2017/04/27	0954	10.31	10.33	10.31	10.32	235900	2457530.00
2017/04/27	0955	10.32	10.33	10.31	10.33	134600	1402077.00
2017/04/27	0956	10.33	10.33	10.31	10.31	124800	1299484.00
2017/04/27	0957	10.31	10.32	10.30	10.31	217800	2268690.00
2017/04/27	0958	10.32	10.32	10.31	10.32	63800	664688.00
