600566 济川药业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	34.07	34.07	33.90	33.90	8500	294620.00
2017/04/27	0932	33.92	33.92	33.86	33.87	7800	269929.00
2017/04/27	0933	33.90	33.92	33.85	33.85	7000	242157.02
2017/04/27	0934	33.90	33.97	33.86	33.86	9700	335884.00
2017/04/27	0935	33.89	33.92	33.87	33.89	3500	121161.00
2017/04/27	0936	33.89	33.89	33.86	33.87	18000	622940.00
2017/04/27	0937	33.86	33.87	33.77	33.77	14000	483934.00
2017/04/27	0938	33.77	33.77	33.27	33.27	52100	1780517.00
2017/04/27	0939	33.27	33.57	33.27	33.44	26300	895550.00
2017/04/27	0940	33.55	33.61	33.44	33.54	12000	411149.00
2017/04/27	0941	33.44	33.54	33.42	33.54	21800	745523.00
2017/04/27	0942	33.55	33.55	33.49	33.53	6000	205611.00
2017/04/27	0943	33.53	33.67	33.53	33.61	12500	429375.00
2017/04/27	0944	33.67	33.73	33.61	33.61	13500	464210.00
2017/04/27	0945	33.53	33.73	33.53	33.61	16100	552703.00
2017/04/27	0946	33.55	33.61	33.52	33.52	19900	682715.00
2017/04/27	0947	33.52	33.52	33.45	33.45	11500	393391.00
2017/04/27	0948	33.45	33.45	33.37	33.37	19200	655055.00
2017/04/27	0949	33.37	33.45	33.36	33.37	21100	719620.94
2017/04/27	0950	33.52	33.52	33.40	33.45	25400	869111.00
2017/04/27	0951	33.52	33.52	33.40	33.42	12100	413474.00
2017/04/27	0952	33.42	33.69	33.41	33.41	24200	829498.00
2017/04/27	0953	33.41	33.65	33.41	33.65	14700	503328.00
2017/04/27	0954	33.67	33.71	33.45	33.71	27100	930326.00
2017/04/27	0955	33.49	33.60	33.45	33.60	8200	280598.00
2017/04/27	0956	33.46	33.51	33.46	33.46	11800	403451.00
2017/04/27	0957	33.55	33.56	33.43	33.43	12600	430820.00
2017/04/27	0958	33.43	33.46	33.43	33.46	6300	215310.00
2017/04/27	0959	33.46	33.47	33.43	33.45	15800	540062.00
2017/04/27	1000	33.46	33.52	33.45	33.52	17500	598778.00
2017/04/27	1001	33.52	33.52	33.52	33.52	6800	232900.00
2017/04/27	1002	33.52	33.56	33.47	33.47	5800	198409.00
2017/04/27	1003	33.55	33.55	33.47	33.47	8400	287366.00
2017/04/27	1004	33.56	33.57	33.47	33.48	6500	222334.00
2017/04/27	1005	33.47	33.48	33.45	33.48	11300	386372.00
2017/04/27	1006	33.47	33.56	33.45	33.45	7600	259871.00
2017/04/27	1007	33.45	33.57	33.45	33.47	12600	430871.00
