600718 东软集团 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	18.08	18.08	18.05	18.05	39600	719705.00
2017/04/27	0932	18.04	18.04	17.93	17.93	71100	1284931.13
2017/04/27	0933	17.93	17.93	17.90	17.93	107100	1929285.00
2017/04/27	0934	17.95	17.97	17.92	17.97	39000	703452.00
2017/04/27	0935	17.96	18.01	17.96	17.96	50100	904868.00
2017/04/27	0936	17.96	17.97	17.95	17.95	105500	1904551.00
2017/04/27	0937	17.95	17.95	17.90	17.90	250900	4519209.00
2017/04/27	0938	17.88	17.89	17.83	17.86	196200	3523889.00
2017/04/27	0939	17.86	17.86	17.82	17.82	202000	3622103.00
2017/04/27	0940	17.82	17.84	17.81	17.83	121200	2172456.00
2017/04/27	0941	17.84	17.87	17.84	17.87	112600	2021306.00
2017/04/27	0942	17.87	17.87	17.84	17.86	110000	1975050.00
2017/04/27	0943	17.85	17.85	17.84	17.85	152900	2744420.25
2017/04/27	0944	17.85	17.85	17.81	17.81	120500	2160569.00
2017/04/27	0945	17.81	17.82	17.80	17.81	321700	5760238.00
2017/04/27	0946	17.82	17.83	17.80	17.82	122300	2191102.00
2017/04/27	0947	17.83	17.85	17.83	17.85	78800	1414018.00
2017/04/27	0948	17.85	17.85	17.83	17.84	39900	715923.00
2017/04/27	0949	17.83	17.85	17.83	17.84	45400	814057.00
2017/04/27	0950	17.84	17.85	17.82	17.84	70600	1265955.00
2017/04/27	0951	17.84	17.85	17.82	17.84	32600	584781.00
2017/04/27	0952	17.84	17.85	17.82	17.82	60700	1088662.00
2017/04/27	0953	17.82	17.83	17.81	17.81	81700	1463857.00
2017/04/27	0954	17.81	17.81	17.79	17.80	202700	3628492.00
2017/04/27	0955	17.80	17.80	17.77	17.78	121900	2179717.00
2017/04/27	0956	17.77	17.78	17.75	17.76	165800	2961886.00
2017/04/27	0957	17.76	17.78	17.75	17.78	118900	2123855.00
2017/04/27	0958	17.77	17.78	17.77	17.78	70400	1258520.00
2017/04/27	0959	17.80	17.80	17.76	17.76	155400	2780100.00
2017/04/27	1000	17.76	17.76	17.70	17.71	212400	3787433.00
2017/04/27	1001	17.71	17.71	17.65	17.65	325100	5775114.00
2017/04/27	1002	17.65	17.66	17.60	17.65	418000	7411835.00
2017/04/27	1003	17.61	17.65	17.61	17.63	204700	3629394.00
