600741 华域汽车 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	18.55	18.55	18.46	18.46	196400	3832823.00
2017/04/27	0932	18.46	18.54	18.45	18.53	199100	3877467.75
2017/04/27	0933	18.53	18.55	18.48	18.48	34200	667608.00
2017/04/27	0934	18.53	18.53	18.46	18.47	109900	2142435.00
2017/04/27	0935	18.47	18.52	18.47	18.50	97000	1891308.00
2017/04/27	0936	18.48	18.52	18.48	18.50	101200	1972770.00
2017/04/27	0937	18.48	18.50	18.46	18.46	255400	4972142.00
2017/04/27	0938	18.47	18.50	18.45	18.48	113400	2210183.00
2017/04/27	0939	18.47	18.51	18.45	18.51	132400	2578144.00
2017/04/27	0940	18.49	18.56	18.46	18.55	76800	1498068.00
2017/04/27	0941	18.56	18.60	18.54	18.60	73600	1440373.00
2017/04/27	0942	18.58	18.59	18.55	18.57	58800	1151140.00
2017/04/27	0943	18.55	18.63	18.55	18.60	74500	1459265.00
2017/04/27	0944	18.63	18.68	18.60	18.68	75500	1484348.00
2017/04/27	0945	18.66	18.67	18.59	18.59	79500	1559751.00
2017/04/27	0946	18.60	18.60	18.51	18.51	102900	2013613.00
2017/04/27	0947	18.54	18.57	18.50	18.51	43900	856818.00
2017/04/27	0948	18.54	18.57	18.50	18.54	43400	847344.00
2017/04/27	0949	18.55	18.57	18.54	18.55	27200	531824.00
2017/04/27	0950	18.55	18.58	18.55	18.56	28200	551581.00
2017/04/27	0951	18.55	18.57	18.54	18.55	30500	596406.00
2017/04/27	0952	18.54	18.54	18.51	18.51	40500	790556.06
2017/04/27	0953	18.50	18.53	18.47	18.47	80600	1571107.00
2017/04/27	0954	18.46	18.50	18.46	18.46	74800	1456945.00
2017/04/27	0955	18.46	18.50	18.46	18.49	103300	2011944.00
2017/04/27	0956	18.50	18.51	18.48	18.50	38500	750705.00
2017/04/27	0957	18.50	18.54	18.50	18.53	31200	609526.00
2017/04/27	0958	18.52	18.54	18.49	18.54	52000	1014030.00
2017/04/27	0959	18.53	18.54	18.48	18.51	48100	938763.00
2017/04/27	1000	18.49	18.53	18.48	18.49	33000	643440.00
2017/04/27	1001	18.48	18.48	18.46	18.46	85100	1657062.00
2017/04/27	1002	18.46	18.47	18.45	18.45	310100	6034536.00
2017/04/27	1003	18.45	18.45	18.39	18.39	190400	3696044.00
2017/04/27	1004	18.39	18.43	18.39	18.43	118600	2301765.00
2017/04/27	1005	18.42	18.44	18.42	18.43	54300	1055016.00
2017/04/27	1006	18.43	18.43	18.42	18.42	41900	813785.00
2017/04/27	1007	18.42	18.42	18.41	18.42	40600	788378.00
2017/04/27	1008	18.41	18.43	18.40	18.40	90200	1751217.00
2017/04/27	1009	18.42	18.43	18.40	18.41	30800	598270.00
2017/04/27	1010	18.40	18.43	18.40	18.42	46500	902956.00
2017/04/27	1011	18.41	18.43	18.40	18.41	119300	2315237.00
2017/04/27	1012	18.41	18.46	18.41	18.45	63900	1242444.00
2017/04/27	1013	18.47	18.48	18.45	18.48	37800	735878.00
2017/04/27	1014	18.47	18.49	18.47	18.49	20900	407075.00
2017/04/27	1015	18.49	18.53	18.47	18.48	31900	621699.00
2017/04/27	1016	18.47	18.53	18.47	18.52	22500	439194.00
2017/04/27	1017	18.52	18.54	18.51	18.53	49600	968384.00
2017/04/27	1018	18.51	18.53	18.51	18.51	32500	634451.00
2017/04/27	1019	18.53	18.53	18.48	18.48	118300	2307336.00
2017/04/27	1020	18.48	18.49	18.45	18.46	56900	1108438.00
