600804 鹏博士 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.34	19.36	19.31	19.36	67100	1307550.00
2017/04/27	0932	19.36	19.44	19.36	19.43	24300	475608.00
2017/04/27	0933	19.43	19.46	19.34	19.34	61500	1201634.00
2017/04/27	0934	19.40	19.45	19.37	19.45	81800	1600496.00
2017/04/27	0935	19.44	19.44	19.41	19.43	39100	765963.00
2017/04/27	0936	19.43	19.44	19.41	19.44	19100	374168.00
2017/04/27	0937	19.42	19.42	19.34	19.34	69800	1364535.00
2017/04/27	0938	19.35	19.35	19.32	19.32	27200	530429.00
2017/04/27	0939	19.32	19.39	19.29	19.34	42500	827960.00
2017/04/27	0940	19.34	19.35	19.34	19.34	61000	1189521.00
2017/04/27	0941	19.35	19.41	19.35	19.41	59800	1169202.00
2017/04/27	0942	19.41	19.42	19.37	19.41	9900	193790.00
2017/04/27	0943	19.41	19.41	19.37	19.38	9700	189610.00
2017/04/27	0944	19.37	19.37	19.35	19.36	15300	298673.03
2017/04/27	0945	19.34	19.36	19.34	19.36	40400	788385.00
2017/04/27	0946	19.38	19.40	19.38	19.40	31300	611898.00
2017/04/27	0947	19.39	19.41	19.39	19.40	29500	577128.00
2017/04/27	0948	19.40	19.41	19.39	19.41	16400	320783.00
2017/04/27	0949	19.40	19.41	19.39	19.39	42600	833082.00
2017/04/27	0950	19.40	19.40	19.39	19.40	12900	252245.00
2017/04/27	0951	19.40	19.40	19.39	19.39	7700	150545.00
2017/04/27	0952	19.39	19.40	19.38	19.39	10300	201420.00
2017/04/27	0953	19.39	19.39	19.38	19.38	12800	250137.00
2017/04/27	0954	19.38	19.38	19.36	19.37	11500	224621.02
2017/04/27	0955	19.36	19.37	19.36	19.36	11800	230369.00
2017/04/27	0956	19.37	19.37	19.36	19.36	18600	363110.03
2017/04/27	0957	19.36	19.36	19.33	19.33	88500	1725495.00
2017/04/27	0958	19.33	19.33	19.32	19.33	35600	693771.00
2017/04/27	0959	19.32	19.33	19.30	19.31	96500	1878925.00
2017/04/27	1000	19.31	19.31	19.30	19.31	26600	517802.00
2017/04/27	1001	19.33	19.35	19.31	19.34	48000	934901.00
2017/04/27	1002	19.34	19.36	19.34	19.36	30600	596855.00
2017/04/27	1003	19.35	19.35	19.31	19.34	114400	2230287.00
2017/04/27	1004	19.34	19.35	19.34	19.35	62400	1216906.00
2017/04/27	1005	19.35	19.35	19.33	19.35	36700	715443.00
2017/04/27	1006	19.34	19.34	19.32	19.32	16900	329340.00
2017/04/27	1007	19.33	19.35	19.33	19.35	26800	522484.00
2017/04/27	1008	19.35	19.38	19.34	19.37	86600	1690737.00
2017/04/27	1009	19.37	19.38	19.34	19.35	26000	507368.00
2017/04/27	1010	19.36	19.37	19.36	19.36	25500	497774.00
2017/04/27	1011	19.37	19.43	19.36	19.38	182300	3567493.00
2017/04/27	1012	19.46	19.46	19.39	19.46	79500	1559755.13
2017/04/27	1013	19.44	19.46	19.42	19.45	21100	413593.00
2017/04/27	1014	19.45	19.45	19.43	19.43	15300	299876.00
2017/04/27	1015	19.41	19.41	19.41	19.41	5900	115463.00
2017/04/27	1016	19.41	19.42	19.41	19.42	14800	289721.00
2017/04/27	1017	19.42	19.42	19.40	19.40	11100	217231.00
2017/04/27	1018	19.41	19.41	19.40	19.40	7600	148670.00
2017/04/27	1019	19.40	19.41	19.40	19.41	14900	291445.00
2017/04/27	1020	19.40	19.40	19.39	19.39	3500	68447.00
2017/04/27	1021	19.39	19.39	19.38	19.39	10300	201303.00
2017/04/27	1022	19.38	19.39	19.38	19.38	33200	648970.00
2017/04/27	1023	19.39	19.39	19.38	19.39	45700	893431.00
2017/04/27	1024	19.39	19.44	19.39	19.44	168200	3294363.00
2017/04/27	1025	19.44	19.49	19.43	19.49	128500	2524317.00
2017/04/27	1026	19.49	19.49	19.46	19.47	22700	445751.00
2017/04/27	1027	19.48	19.48	19.46	19.46	17800	349443.00
2017/04/27	1028	19.46	19.48	19.45	19.48	63100	1238761.00
2017/04/27	1029	19.49	19.49	19.47	19.49	31600	620816.00
2017/04/27	1030	19.49	19.49	19.48	19.49	30400	597257.00
2017/04/27	1031	19.49	19.49	19.46	19.46	24400	479133.00
2017/04/27	1032	19.46	19.48	19.44	19.45	49000	961441.06
2017/04/27	1033	19.44	19.45	19.44	19.44	18300	358682.00
2017/04/27	1034	19.41	19.41	19.40	19.40	29100	569435.00
2017/04/27	1035	19.40	19.41	19.40	19.40	28000	547730.00
2017/04/27	1036	19.39	19.40	19.38	19.38	13000	254065.00
2017/04/27	1037	19.40	19.41	19.37	19.41	72800	1423938.00
2017/04/27	1038	19.41	19.41	19.37	19.41	32600	637057.00
2017/04/27	1039	19.40	19.41	19.40	19.41	8200	160465.00
2017/04/27	1040	19.42	19.42	19.39	19.40	17400	340385.00
