600816 安信信托 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.39	11.39	11.33	11.33	206600	2345461.00
2017/04/27	0932	11.35	11.36	11.33	11.33	62000	702796.00
2017/04/27	0933	11.32	11.33	11.30	11.31	203600	2301743.00
2017/04/27	0934	11.30	11.30	11.28	11.30	97100	1095927.00
2017/04/27	0935	11.30	11.33	11.30	11.33	98000	1108759.00
2017/04/27	0936	11.33	11.37	11.33	11.35	97800	1110668.00
2017/04/27	0937	11.35	11.36	11.34	11.36	62800	712883.00
2017/04/27	0938	11.34	11.36	11.33	11.35	121600	1378992.00
2017/04/27	0939	11.37	11.37	11.34	11.36	85300	968973.00
2017/04/27	0940	11.36	11.38	11.36	11.38	141400	1607655.00
2017/04/27	0941	11.37	11.38	11.37	11.38	90100	1025139.00
2017/04/27	0942	11.37	11.38	11.37	11.37	166400	1892960.00
2017/04/27	0943	11.37	11.37	11.35	11.35	84600	961058.00
2017/04/27	0944	11.35	11.35	11.34	11.34	30100	341411.00
2017/04/27	0945	11.34	11.35	11.33	11.34	54300	615735.00
2017/04/27	0946	11.35	11.35	11.34	11.34	32500	368660.00
2017/04/27	0947	11.34	11.35	11.33	11.35	65100	738580.00
2017/04/27	0948	11.35	11.35	11.34	11.35	92500	1049874.00
2017/04/27	0949	11.34	11.36	11.34	11.36	41000	465409.00
2017/04/27	0950	11.36	11.36	11.35	11.36	68700	780271.00
2017/04/27	0951	11.36	11.37	11.35	11.37	31200	354355.00
2017/04/27	0952	11.37	11.37	11.36	11.36	75500	857952.00
2017/04/27	0953	11.36	11.36	11.35	11.36	16100	182875.00
2017/04/27	0954	11.36	11.36	11.34	11.34	72000	817337.00
2017/04/27	0955	11.35	11.36	11.35	11.35	83700	950100.00
2017/04/27	0956	11.35	11.36	11.35	11.35	70200	796990.00
2017/04/27	0957	11.35	11.36	11.35	11.35	79000	897252.00
2017/04/27	0958	11.35	11.36	11.35	11.36	26100	296375.00
2017/04/27	0959	11.34	11.36	11.34	11.34	26200	297260.00
2017/04/27	1000	11.35	11.35	11.34	11.35	67700	767773.00
2017/04/27	1001	11.34	11.34	11.32	11.33	109500	1240470.00
2017/04/27	1002	11.31	11.34	11.31	11.32	130600	1478352.00
2017/04/27	1003	11.34	11.34	11.32	11.34	131300	1488589.00
2017/04/27	1004	11.33	11.34	11.32	11.33	85100	963612.00
2017/04/27	1005	11.33	11.33	11.32	11.33	110800	1255128.00
2017/04/27	1006	11.33	11.33	11.31	11.31	128500	1454194.00
2017/04/27	1007	11.32	11.32	11.31	11.32	141700	1603811.00
2017/04/27	1008	11.31	11.33	11.31	11.32	98300	1113287.00
2017/04/27	1009	11.33	11.33	11.32	11.33	60100	680782.00
2017/04/27	1010	11.33	11.33	11.32	11.33	53200	602482.00
2017/04/27	1011	11.33	11.33	11.32	11.33	59800	677171.00
2017/04/27	1012	11.33	11.33	11.32	11.33	80800	915030.00
2017/04/27	1013	11.33	11.33	11.32	11.33	47900	542535.00
2017/04/27	1014	11.33	11.33	11.32	11.33	71200	806631.00
2017/04/27	1015	11.33	11.34	11.32	11.32	39100	442967.00
2017/04/27	1016	11.34	11.34	11.33	11.34	29900	339026.00
2017/04/27	1017	11.34	11.35	11.34	11.35	55400	628488.00
2017/04/27	1018	11.34	11.35	11.34	11.34	45200	512635.00
2017/04/27	1019	11.33	11.34	11.33	11.34	33000	374131.00
