600837 海通证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.44	14.45	14.43	14.43	116800	1712308.00
2017/04/27	0932	14.44	14.45	14.42	14.43	73900	1082406.00
2017/04/27	0933	14.44	14.46	14.43	14.45	144200	2113731.00
2017/04/27	0934	14.44	14.47	14.44	14.47	87000	1276965.00
2017/04/27	0935	14.47	14.50	14.47	14.50	78100	1148269.00
2017/04/27	0936	14.51	14.51	14.46	14.46	126700	1863863.00
2017/04/27	0937	14.43	14.46	14.40	14.40	218300	3196450.00
2017/04/27	0938	14.40	14.46	14.40	14.43	88000	1288406.00
2017/04/27	0939	14.41	14.49	14.41	14.49	278200	4079596.00
2017/04/27	0940	14.45	14.49	14.42	14.47	58400	857351.00
2017/04/27	0941	14.48	14.48	14.44	14.44	68600	1007635.00
2017/04/27	0942	14.46	14.46	14.45	14.45	48800	715969.00
2017/04/27	0943	14.45	14.45	14.42	14.44	71700	1050301.00
2017/04/27	0944	14.43	14.45	14.43	14.45	41300	605527.00
2017/04/27	0945	14.44	14.44	14.43	14.43	95800	1403681.00
2017/04/27	0946	14.43	14.44	14.43	14.44	68600	1005168.00
2017/04/27	0947	14.43	14.45	14.43	14.43	25400	372283.00
2017/04/27	0948	14.43	14.43	14.41	14.41	190600	2790960.00
2017/04/27	0949	14.41	14.43	14.41	14.43	68600	1004414.00
2017/04/27	0950	14.43	14.44	14.43	14.44	32400	474933.00
2017/04/27	0951	14.43	14.48	14.43	14.47	153200	2250993.00
2017/04/27	0952	14.48	14.48	14.45	14.45	64400	946106.00
2017/04/27	0953	14.46	14.46	14.44	14.45	35000	513588.00
2017/04/27	0954	14.45	14.47	14.45	14.45	80700	1184622.00
2017/04/27	0955	14.47	14.48	14.46	14.46	87300	1282003.00
2017/04/27	0956	14.46	14.47	14.46	14.46	34800	510886.00
2017/04/27	0957	14.46	14.46	14.44	14.46	44900	658798.00
2017/04/27	0958	14.45	14.46	14.44	14.44	36900	541153.00
2017/04/27	0959	14.44	14.45	14.43	14.44	125600	1840729.00
2017/04/27	1000	14.40	14.42	14.39	14.40	224300	3279198.00
2017/04/27	1001	14.39	14.41	14.39	14.40	78200	1143256.00
2017/04/27	1002	14.42	14.46	14.40	14.44	197200	2888995.00
2017/04/27	1003	14.46	14.46	14.43	14.43	141400	2073031.00
2017/04/27	1004	14.43	14.44	14.43	14.43	48500	710613.00
2017/04/27	1005	14.43	14.44	14.42	14.43	109000	1596754.00
2017/04/27	1006	14.43	14.44	14.43	14.44	32900	482043.00
2017/04/27	1007	14.44	14.46	14.44	14.44	121200	1778185.00
2017/04/27	1008	14.44	14.46	14.44	14.45	42300	620352.00
2017/04/27	1009	14.45	14.46	14.45	14.46	55000	807318.00
2017/04/27	1010	14.46	14.46	14.45	14.46	69100	1014286.00
2017/04/27	1011	14.46	14.46	14.45	14.46	87100	1277902.00
2017/04/27	1012	14.46	14.46	14.44	14.45	79600	1167492.00
2017/04/27	1013	14.45	14.45	14.44	14.44	67700	992786.00
2017/04/27	1014	14.43	14.45	14.43	14.44	40200	589194.00
2017/04/27	1015	14.44	14.44	14.42	14.43	72300	1058922.00
2017/04/27	1016	14.42	14.43	14.42	14.43	42900	628321.00
2017/04/27	1017	14.42	14.43	14.41	14.41	58200	852007.00
2017/04/27	1018	14.42	14.42	14.41	14.41	56400	825267.00
2017/04/27	1019	14.41	14.42	14.40	14.41	71000	1038669.00
2017/04/27	1020	14.42	14.43	14.41	14.43	27200	398158.00
2017/04/27	1021	14.43	14.44	14.43	14.43	48900	716406.00
2017/04/27	1022	14.43	14.45	14.43	14.44	101100	1481974.00
2017/04/27	1023	14.45	14.46	14.44	14.45	99700	1463361.00
2017/04/27	1024	14.46	14.48	14.45	14.48	343400	5044445.00
2017/04/27	1025	14.48	14.55	14.48	14.55	358600	5283990.00
2017/04/27	1026	14.55	14.57	14.52	14.52	183700	2713112.00
2017/04/27	1027	14.52	14.55	14.51	14.53	146100	2153642.00
2017/04/27	1028	14.54	14.61	14.53	14.58	447100	6605165.00
2017/04/27	1029	14.60	14.64	14.60	14.61	592600	8795916.00
2017/04/27	1030	14.62	14.62	14.58	14.58	186100	2757546.00
2017/04/27	1031	14.59	14.60	14.57	14.57	137100	2029529.00
2017/04/27	1032	14.57	14.57	14.53	14.53	78100	1152982.00
2017/04/27	1033	14.54	14.54	14.50	14.50	66400	978760.00
2017/04/27	1034	14.51	14.54	14.50	14.54	167000	2462133.00
2017/04/27	1035	14.54	14.58	14.54	14.56	285700	4225285.00
2017/04/27	1036	14.57	14.57	14.54	14.55	84100	1242796.00
2017/04/27	1037	14.55	14.56	14.53	14.55	213900	3158215.00
2017/04/27	1038	14.55	14.57	14.55	14.57	131600	1944660.00
2017/04/27	1039	14.57	14.59	14.57	14.58	201700	2985603.00
2017/04/27	1040	14.58	14.59	14.57	14.59	137500	2035191.00
2017/04/27	1041	14.58	14.58	14.55	14.55	162100	2396772.00
2017/04/27	1042	14.56	14.58	14.55	14.58	187400	2771738.00
2017/04/27	1043	14.57	14.58	14.57	14.57	119500	1768378.00
2017/04/27	1044	14.58	14.59	14.57	14.57	85500	1265698.00
2017/04/27	1045	14.56	14.57	14.56	14.56	56500	835165.00
2017/04/27	1046	14.56	14.57	14.54	14.54	121500	1795614.00
2017/04/27	1047	14.54	14.55	14.54	14.55	43500	642178.00
2017/04/27	1048	14.55	14.56	14.54	14.55	53400	788879.00
2017/04/27	1049	14.56	14.56	14.53	14.54	27100	400012.00
2017/04/27	1050	14.54	14.54	14.53	14.53	75300	1111120.00
2017/04/27	1051	14.53	14.53	14.52	14.52	51900	765032.00
2017/04/27	1052	14.52	14.52	14.50	14.51	47000	692468.00
2017/04/27	1053	14.50	14.53	14.50	14.51	45700	673510.00
2017/04/27	1054	14.51	14.54	14.51	14.54	85700	1264267.00
2017/04/27	1055	14.55	14.55	14.53	14.53	106800	1576716.00
2017/04/27	1056	14.54	14.54	14.53	14.53	54300	801263.00
2017/04/27	1057	14.52	14.53	14.50	14.50	101000	1488327.00
2017/04/27	1058	14.50	14.52	14.49	14.49	81200	1194999.00
2017/04/27	1059	14.50	14.50	14.49	14.50	113200	1665728.00
2017/04/27	1100	14.50	14.51	14.48	14.49	64300	946094.00
2017/04/27	1101	14.49	14.50	14.48	14.49	87100	1281147.00
2017/04/27	1102	14.50	14.52	14.49	14.50	89600	1318940.00
2017/04/27	1103	14.52	14.52	14.49	14.50	76600	1127322.00
2017/04/27	1104	14.50	14.51	14.49	14.50	56400	830338.00
2017/04/27	1105	14.50	14.52	14.49	14.50	48400	712360.00
2017/04/27	1106	14.50	14.50	14.49	14.50	40800	600338.00
2017/04/27	1107	14.50	14.53	14.50	14.53	41000	604179.00
2017/04/27	1108	14.51	14.52	14.51	14.51	39600	583406.94
2017/04/27	1109	14.52	14.52	14.50	14.50	58500	861277.00
2017/04/27	1110	14.50	14.50	14.49	14.50	35800	526899.00
2017/04/27	1111	14.50	14.50	14.48	14.48	38600	567669.00
2017/04/27	1112	14.49	14.50	14.48	14.48	93800	1379143.00
2017/04/27	1113	14.48	14.50	14.48	14.49	19900	292602.00
2017/04/27	1114	14.48	14.49	14.48	14.48	27300	401340.00
2017/04/27	1115	14.49	14.50	14.48	14.50	50300	740016.00
2017/04/27	1116	14.49	14.49	14.47	14.49	116000	1705326.00
2017/04/27	1117	14.48	14.52	14.48	14.50	47800	703078.00
2017/04/27	1118	14.50	14.53	14.50	14.53	77800	1146591.00
2017/04/27	1119	14.53	14.55	14.53	14.55	80800	1193052.00
2017/04/27	1120	14.54	14.55	14.50	14.50	63100	930194.00
2017/04/27	1121	14.50	14.51	14.49	14.50	14400	211894.00
2017/04/27	1122	14.50	14.50	14.48	14.49	91200	1341349.00
2017/04/27	1123	14.48	14.49	14.48	14.49	17300	254363.00
2017/04/27	1124	14.49	14.49	14.47	14.47	101000	1484135.00
2017/04/27	1125	14.48	14.49	14.47	14.48	46200	678899.00
2017/04/27	1126	14.47	14.48	14.47	14.47	39600	581785.00
2017/04/27	1127	14.47	14.47	14.46	14.47	63900	938478.00
2017/04/27	1128	14.47	14.47	14.46	14.47	40500	594590.00
2017/04/27	1129	14.47	14.48	14.47	14.47	40300	592223.00
2017/04/27	1300	14.48	14.50	14.47	14.48	157300	2311484.00
2017/04/27	1301	14.48	14.48	14.48	14.48	0	0.00
2017/04/27	1302	14.48	14.50	14.48	14.48	91000	1339130.00
2017/04/27	1303	14.49	14.51	14.48	14.49	74800	1100199.00
2017/04/27	1304	14.49	14.50	14.49	14.50	83500	1229040.00
2017/04/27	1305	14.50	14.52	14.50	14.51	33700	496476.00
2017/04/27	1306	14.51	14.52	14.50	14.51	71500	1053743.00
2017/04/27	1307	14.51	14.53	14.51	14.52	5900	86960.00
2017/04/27	1308	14.52	14.53	14.52	14.52	3500	51594.00
2017/04/27	1309	14.51	14.52	14.50	14.50	28800	424159.97
2017/04/27	1310	14.50	14.51	14.50	14.50	13200	194315.00
2017/04/27	1311	14.50	14.51	14.50	14.50	16200	238513.00
2017/04/27	1312	14.50	14.50	14.50	14.50	63900	940608.00
2017/04/27	1313	14.50	14.51	14.50	14.50	10200	150179.00
2017/04/27	1314	14.50	14.51	14.49	14.49	65100	958289.00
2017/04/27	1315	14.49	14.49	14.48	14.49	19100	280868.00
2017/04/27	1316	14.49	14.49	14.48	14.48	3600	52928.00
2017/04/27	1317	14.49	14.49	14.48	14.48	18100	266094.00
2017/04/27	1318	14.49	14.50	14.48	14.50	33600	494376.00
2017/04/27	1319	14.49	14.50	14.48	14.49	75700	1114232.00
2017/04/27	1320	14.49	14.50	14.49	14.50	125500	1847228.00
2017/04/27	1321	14.50	14.51	14.50	14.50	23700	349083.00
2017/04/27	1322	14.50	14.53	14.50	14.52	62900	926811.00
2017/04/27	1323	14.52	14.53	14.52	14.52	84300	1242682.00
2017/04/27	1324	14.53	14.54	14.52	14.54	173200	2554507.00
2017/04/27	1325	14.54	14.56	14.54	14.55	53400	788574.00
2017/04/27	1326	14.54	14.56	14.54	14.54	32300	477138.00
