600874 创业环保 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.10	16.10	15.74	15.86	28624600	460825984.00
2017/04/27	0932	15.73	16.12	15.73	16.12	12354600	199365472.00
2017/04/27	0933	16.12	16.12	16.12	16.12	1599500	25927890.00
2017/04/27	0934	16.12	16.12	16.12	16.12	475600	7709475.50
2017/04/27	0935	16.12	16.12	16.12	16.12	380500	6167904.50
2017/04/27	0936	16.12	16.12	16.12	16.12	185000	2998849.75
2017/04/27	0937	16.12	16.12	16.12	16.12	235700	3820696.75
2017/04/27	0938	16.12	16.12	16.12	16.12	166500	2698964.75
2017/04/27	0939	16.12	16.12	16.12	16.12	163900	2656818.75
2017/04/27	0940	16.12	16.12	16.12	16.12	189800	3076657.75
2017/04/27	0941	16.12	16.12	16.12	16.12	138500	2245084.75
2017/04/27	0942	16.12	16.12	16.12	16.12	185200	3002091.75
2017/04/27	0943	16.12	16.12	16.12	16.12	93400	1514013.88
2017/04/27	0944	16.12	16.12	16.12	16.12	83600	1355155.88
2017/04/27	0945	16.12	16.12	16.12	16.12	59500	964494.94
2017/04/27	0946	16.12	16.12	16.12	16.12	137500	2228875.00
2017/04/27	0947	16.12	16.12	16.12	16.12	87000	1410269.88
2017/04/27	0948	16.12	16.12	16.12	16.12	259300	4203252.50
2017/04/27	0949	16.12	16.12	16.12	16.12	69300	1123352.88
2017/04/27	0950	16.12	16.12	16.12	16.12	50400	816983.94
2017/04/27	0951	16.12	16.12	16.12	16.12	110400	1789583.88
2017/04/27	0952	16.12	16.12	16.12	16.12	50900	825088.94
2017/04/27	0953	16.12	16.12	16.12	16.12	24200	392281.97
2017/04/27	0954	16.12	16.12	16.12	16.12	21800	353377.97
2017/04/27	0955	16.12	16.12	16.12	16.12	43500	705134.94
2017/04/27	0956	16.12	16.12	16.12	16.12	32100	520340.97
2017/04/27	0957	16.12	16.12	16.12	16.12	29900	484678.97
2017/04/27	0958	16.12	16.12	16.12	16.12	32100	520340.97
2017/04/27	0959	16.12	16.12	16.12	16.12	18600	301505.97
2017/04/27	1000	16.12	16.12	16.12	16.12	22900	371208.97
2017/04/27	1001	16.12	16.12	16.12	16.12	43000	697029.94
2017/04/27	1002	16.12	16.12	16.12	16.12	50800	823467.94
2017/04/27	1003	16.12	16.12	16.12	16.12	44700	724587.00
2017/04/27	1004	16.12	16.12	16.12	16.12	29500	478194.97
2017/04/27	1005	16.12	16.12	16.12	16.12	33100	536550.94
2017/04/27	1006	16.12	16.12	16.12	16.12	23700	384176.97
2017/04/27	1007	16.12	16.12	16.12	16.12	23500	380934.97
2017/04/27	1008	16.12	16.12	16.12	16.12	41200	667851.94
2017/04/27	1009	16.12	16.12	16.12	16.12	16800	272327.97
2017/04/27	1010	16.12	16.12	16.12	16.12	26000	421459.97
2017/04/27	1011	16.12	16.12	16.12	16.12	87800	1423237.88
2017/04/27	1012	16.12	16.12	16.12	16.12	7800	126437.99
2017/04/27	1013	16.12	16.12	16.12	16.12	26100	423080.97
2017/04/27	1014	16.12	16.12	16.12	16.12	7400	119953.99
2017/04/27	1015	16.12	16.12	16.12	16.12	21700	351756.97
2017/04/27	1016	16.12	16.12	16.12	16.12	9500	153994.98
2017/04/27	1017	16.12	16.12	16.12	16.12	10700	173446.98
2017/04/27	1018	16.12	16.12	16.12	16.12	21200	343651.97
2017/04/27	1019	16.12	16.12	16.12	16.12	38200	619221.94
2017/04/27	1020	16.12	16.12	16.12	16.12	22600	366345.97
2017/04/27	1021	16.12	16.12	16.12	16.12	18500	299884.97
2017/04/27	1022	16.12	16.12	16.12	16.12	9800	158857.98
2017/04/27	1023	16.12	16.12	16.12	16.12	34000	551139.94
2017/04/27	1024	16.12	16.12	16.12	16.12	51700	838056.94
2017/04/27	1025	16.12	16.12	16.12	16.12	49000	794289.94
2017/04/27	1026	16.12	16.12	16.12	16.12	57500	932074.94
2017/04/27	1027	16.12	16.12	16.12	16.12	35300	572212.94
2017/04/27	1028	16.12	16.12	16.12	16.12	18700	303127.00
2017/04/27	1029	16.12	16.12	16.12	16.12	12554500	203508432.00
2017/04/27	1030	16.10	16.10	15.86	15.92	6885300	110893056.00
2017/04/27	1031	15.71	15.86	15.65	15.78	4460100	70495008.00
2017/04/27	1032	15.71	15.87	15.68	15.68	4289200	68121096.00
2017/04/27	1033	15.68	15.69	15.38	15.54	6955600	108548472.00
2017/04/27	1034	15.61	15.81	15.59	15.71	3071100	48617048.00
2017/04/27	1035	15.69	15.76	15.59	15.59	2249000	35492008.00
2017/04/27	1036	15.62	15.62	15.48	15.48	3145200	49245208.00
2017/04/27	1037	15.46	15.49	15.35	15.41	4445200	68828864.00
2017/04/27	1038	15.48	15.71	15.48	15.71	1910400	29978964.00
2017/04/27	1039	15.72	15.76	15.63	15.63	2621000	41455964.00
2017/04/27	1040	15.66	15.66	15.56	15.61	1290000	20227946.00
2017/04/27	1041	15.62	15.88	15.61	15.87	1421600	22546604.00
2017/04/27	1042	15.87	15.90	15.67	15.68	1377500	21864754.00
2017/04/27	1043	15.61	15.81	15.61	15.81	2060300	32569810.00
2017/04/27	1044	15.87	15.98	15.77	15.82	896800	14315693.00
2017/04/27	1045	15.81	15.83	15.72	15.76	827400	13135460.00
2017/04/27	1046	15.78	15.89	15.78	15.85	1049000	16719732.00
2017/04/27	1047	15.91	15.96	15.73	15.76	1055000	16852812.00
2017/04/27	1048	15.73	15.79	15.63	15.79	1068400	16891284.00
2017/04/27	1049	15.76	15.76	15.70	15.73	746000	11794948.00
2017/04/27	1050	15.74	15.80	15.71	15.80	432700	6852498.00
2017/04/27	1051	15.76	15.76	15.61	15.61	1035800	16329295.00
2017/04/27	1052	15.61	15.61	15.47	15.47	1113800	17408086.00
2017/04/27	1053	15.48	15.63	15.47	15.63	1299200	20302848.00
2017/04/27	1054	15.62	15.68	15.60	15.60	1051900	16556983.00
2017/04/27	1055	15.59	15.66	15.57	15.66	361900	5691932.00
2017/04/27	1056	15.64	15.73	15.64	15.73	314000	4953468.00
2017/04/27	1057	15.73	15.81	15.72	15.81	354200	5618837.00
2017/04/27	1058	15.81	15.83	15.74	15.74	510300	8098127.00
2017/04/27	1059	15.74	15.84	15.72	15.79	748800	11889231.00
2017/04/27	1100	15.80	15.81	15.75	15.78	294700	4681106.00
2017/04/27	1101	15.79	15.91	15.78	15.90	678400	10795652.00
2017/04/27	1102	15.90	15.97	15.90	15.97	757400	12122819.00
2017/04/27	1103	15.91	15.91	15.89	15.91	424600	6791876.00
2017/04/27	1104	15.91	15.94	15.90	15.91	326000	5217530.00
2017/04/27	1105	15.91	15.93	15.88	15.89	484600	7753615.00
2017/04/27	1106	15.88	15.89	15.73	15.73	553600	8822793.00
2017/04/27	1107	15.77	15.83	15.72	15.83	729600	11556471.00
2017/04/27	1108	15.83	15.86	15.79	15.85	168600	2686186.00
2017/04/27	1109	15.83	15.85	15.77	15.77	252100	4007824.00
2017/04/27	1110	15.79	15.79	15.77	15.77	219200	3477359.00
2017/04/27	1111	15.77	15.79	15.75	15.79	241200	3824833.00
2017/04/27	1112	15.79	15.94	15.79	15.93	536500	8576729.00
2017/04/27	1113	15.91	15.93	15.85	15.85	463600	7413987.00
2017/04/27	1114	15.82	15.84	15.78	15.80	171600	2728540.00
2017/04/27	1115	15.80	15.89	15.80	15.86	389700	6202343.00
2017/04/27	1116	15.83	15.89	15.82	15.84	203600	3248356.00
2017/04/27	1117	15.83	15.89	15.81	15.81	389900	6208074.00
2017/04/27	1118	15.82	15.84	15.80	15.81	263000	4181733.00
2017/04/27	1119	15.81	15.81	15.73	15.73	279600	4434373.00
2017/04/27	1120	15.73	15.73	15.64	15.64	396800	6263429.00
2017/04/27	1121	15.66	15.66	15.57	15.59	554500	8706096.00
2017/04/27	1122	15.58	15.62	15.58	15.61	653900	10259493.00
2017/04/27	1123	15.62	15.65	15.49	15.49	732300	11457149.00
2017/04/27	1124	15.50	15.50	15.32	15.35	2024600	31336876.00
2017/04/27	1125	15.31	15.46	15.31	15.45	925000	14296090.00
2017/04/27	1126	15.48	15.49	15.41	15.45	563100	8749757.00
