600886 国投电力 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.55	7.55	7.52	7.55	144400	1088123.00
2017/04/27	0932	7.55	7.55	7.52	7.54	148300	1117755.00
2017/04/27	0933	7.54	7.54	7.52	7.54	79500	598972.00
2017/04/27	0934	7.53	7.54	7.52	7.52	122400	920867.00
2017/04/27	0935	7.52	7.52	7.50	7.50	282400	2122380.00
2017/04/27	0936	7.50	7.50	7.49	7.50	254200	1905906.00
2017/04/27	0937	7.50	7.51	7.49	7.51	155800	1167362.00
2017/04/27	0938	7.50	7.51	7.49	7.50	131100	983331.00
2017/04/27	0939	7.49	7.50	7.48	7.50	137500	1030114.00
2017/04/27	0940	7.49	7.50	7.48	7.50	254300	1903831.00
2017/04/27	0941	7.50	7.51	7.49	7.50	190300	1427205.00
2017/04/27	0942	7.50	7.50	7.49	7.49	165100	1237330.00
2017/04/27	0943	7.50	7.50	7.49	7.50	94500	708710.00
2017/04/27	0944	7.50	7.50	7.49	7.50	109500	820644.00
2017/04/27	0945	7.49	7.50	7.49	7.49	89900	673504.00
2017/04/27	0946	7.49	7.50	7.49	7.50	150500	1127903.00
2017/04/27	0947	7.49	7.50	7.47	7.49	328100	2452655.00
2017/04/27	0948	7.48	7.50	7.48	7.48	87900	657993.00
2017/04/27	0949	7.48	7.50	7.48	7.48	74500	557824.00
2017/04/27	0950	7.48	7.50	7.48	7.49	144800	1084585.00
2017/04/27	0951	7.49	7.50	7.48	7.49	263300	1972737.00
2017/04/27	0952	7.49	7.50	7.48	7.48	103600	776070.00
2017/04/27	0953	7.49	7.49	7.48	7.48	300200	2246387.00
2017/04/27	0954	7.48	7.49	7.48	7.48	175400	1312671.00
2017/04/27	0955	7.48	7.49	7.47	7.47	168500	1260038.00
2017/04/27	0956	7.49	7.49	7.47	7.49	121800	911850.00
2017/04/27	0957	7.48	7.49	7.47	7.49	140900	1054140.00
2017/04/27	0958	7.49	7.50	7.48	7.48	138200	1034805.00
2017/04/27	0959	7.48	7.49	7.46	7.46	370600	2769394.00
2017/04/27	1000	7.45	7.46	7.43	7.43	707600	5269242.00
2017/04/27	1001	7.43	7.44	7.42	7.44	371100	2757163.00
2017/04/27	1002	7.43	7.45	7.42	7.45	264800	1968039.00
2017/04/27	1003	7.45	7.46	7.44	7.45	246100	1833046.00
2017/04/27	1004	7.44	7.46	7.44	7.45	144000	1073434.00
2017/04/27	1005	7.45	7.45	7.43	7.43	223600	1664256.00
2017/04/27	1006	7.44	7.45	7.44	7.45	247600	1842408.00
2017/04/27	1007	7.45	7.46	7.44	7.45	237400	1768880.00
2017/04/27	1008	7.46	7.46	7.43	7.44	334900	2493950.00
2017/04/27	1009	7.44	7.45	7.43	7.43	331000	2460523.00
2017/04/27	1010	7.45	7.45	7.42	7.45	366300	2718596.00
2017/04/27	1011	7.45	7.45	7.43	7.44	147900	1100448.00
2017/04/27	1012	7.43	7.44	7.43	7.43	309900	2305102.00
2017/04/27	1013	7.43	7.45	7.43	7.45	238300	1771995.00
2017/04/27	1014	7.45	7.45	7.45	7.45	78400	584080.00
2017/04/27	1015	7.45	7.46	7.43	7.44	231800	1726582.00
2017/04/27	1016	7.44	7.44	7.42	7.44	270400	2009312.00
2017/04/27	1017	7.43	7.45	7.43	7.44	113900	847555.00
2017/04/27	1018	7.45	7.45	7.44	7.45	67600	503233.00
2017/04/27	1019	7.45	7.45	7.44	7.45	136200	1014496.00
2017/04/27	1020	7.44	7.45	7.43	7.43	236700	1759476.00
2017/04/27	1021	7.43	7.44	7.42	7.44	214500	1593395.00
2017/04/27	1022	7.44	7.44	7.42	7.42	135200	1005199.00
2017/04/27	1023	7.43	7.43	7.42	7.42	393900	2926355.00
2017/04/27	1024	7.42	7.43	7.42	7.43	239500	1779165.00
2017/04/27	1025	7.42	7.43	7.41	7.42	245100	1817640.00
2017/04/27	1026	7.41	7.42	7.41	7.41	204600	1516473.00
2017/04/27	1027	7.42	7.43	7.41	7.42	247600	1837066.00
2017/04/27	1028	7.42	7.43	7.41	7.42	258400	1917121.00
2017/04/27	1029	7.42	7.43	7.40	7.42	596000	4412967.00
2017/04/27	1030	7.41	7.42	7.41	7.42	409100	3031802.00
2017/04/27	1031	7.42	7.42	7.40	7.40	236900	1754900.00
2017/04/27	1032	7.41	7.41	7.40	7.40	508200	3761167.00
2017/04/27	1033	7.40	7.41	7.39	7.39	229300	1696702.00
2017/04/27	1034	7.39	7.40	7.38	7.39	575100	4249229.00
2017/04/27	1035	7.39	7.39	7.38	7.39	155800	1150844.00
2017/04/27	1036	7.39	7.40	7.38	7.39	350300	2589771.00
2017/04/27	1037	7.39	7.40	7.38	7.40	292700	2161480.00
2017/04/27	1038	7.40	7.40	7.39	7.39	159800	1181980.00
2017/04/27	1039	7.40	7.40	7.39	7.39	100700	744561.00
2017/04/27	1040	7.39	7.40	7.39	7.40	98900	731672.00
2017/04/27	1041	7.40	7.40	7.39	7.40	264300	1955412.00
2017/04/27	1042	7.40	7.41	7.39	7.40	112600	833025.00
2017/04/27	1043	7.41	7.41	7.40	7.41	43600	322945.00
2017/04/27	1044	7.41	7.41	7.40	7.41	106400	788294.00
2017/04/27	1045	7.41	7.42	7.40	7.42	172200	1276072.00
2017/04/27	1046	7.41	7.42	7.41	7.42	53500	396904.00
2017/04/27	1047	7.41	7.42	7.41	7.41	149200	1106541.00
2017/04/27	1048	7.42	7.43	7.42	7.43	164900	1223866.00
2017/04/27	1049	7.42	7.43	7.42	7.43	107900	801393.00
2017/04/27	1050	7.42	7.43	7.42	7.42	104600	776728.00
2017/04/27	1051	7.43	7.43	7.42	7.42	184500	1370375.00
2017/04/27	1052	7.43	7.43	7.42	7.43	172500	1281427.00
2017/04/27	1053	7.44	7.44	7.42	7.42	101900	757080.00
2017/04/27	1054	7.43	7.44	7.42	7.43	279200	2073906.00
2017/04/27	1055	7.42	7.44	7.42	7.43	57700	428576.00
2017/04/27	1056	7.43	7.44	7.43	7.43	100100	744569.00
2017/04/27	1057	7.44	7.44	7.43	7.43	322400	2396646.00
2017/04/27	1058	7.43	7.43	7.42	7.43	75200	558371.00
2017/04/27	1059	7.43	7.43	7.42	7.42	40200	298552.00
2017/04/27	1100	7.43	7.44	7.42	7.44	173600	1291179.00
2017/04/27	1101	7.43	7.44	7.43	7.44	132700	987135.00
2017/04/27	1102	7.44	7.45	7.43	7.45	104000	774335.00
2017/04/27	1103	7.45	7.45	7.44	7.45	184100	1371346.00
2017/04/27	1104	7.44	7.45	7.44	7.45	112600	838707.00
2017/04/27	1105	7.45	7.46	7.45	7.46	148000	1103705.00
2017/04/27	1106	7.46	7.46	7.45	7.45	142300	1060442.00
2017/04/27	1107	7.45	7.46	7.45	7.45	148400	1105646.00
2017/04/27	1108	7.46	7.46	7.45	7.46	75400	562303.00
2017/04/27	1109	7.46	7.46	7.44	7.44	86500	643859.00
2017/04/27	1110	7.44	7.45	7.44	7.45	190700	1419506.00
2017/04/27	1111	7.45	7.45	7.44	7.45	31700	235944.00
2017/04/27	1112	7.45	7.46	7.44	7.46	97400	725589.00
2017/04/27	1113	7.46	7.46	7.45	7.46	69800	520580.00
2017/04/27	1114	7.46	7.46	7.45	7.46	86900	647996.00
2017/04/27	1115	7.45	7.47	7.45	7.47	180000	1343449.00
2017/04/27	1116	7.46	7.47	7.45	7.47	111400	831310.00
2017/04/27	1117	7.45	7.47	7.45	7.46	42500	316771.00
2017/04/27	1118	7.46	7.47	7.45	7.47	80900	603949.00
2017/04/27	1119	7.46	7.47	7.46	7.46	73700	550379.00
2017/04/27	1120	7.47	7.47	7.45	7.47	26700	199185.00
