600887 伊利股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/28	0931	18.02	18.02	17.91	17.91	4000400	74366816.00
2017/04/28	0932	17.96	18.01	17.94	18.01	1349300	25079924.00
2017/04/28	0933	18.01	18.05	18.00	18.05	875900	16318232.00
2017/04/28	0934	18.06	18.10	18.05	18.10	952600	17792304.00
2017/04/28	0935	18.05	18.19	18.05	18.19	660500	12358597.00
2017/04/28	0936	18.17	18.18	18.12	18.13	642000	12030495.00
2017/04/28	0937	18.14	18.17	18.10	18.14	566100	10604414.00
2017/04/28	0938	18.13	18.13	18.04	18.05	453500	8465687.00
2017/04/28	0939	18.04	18.09	18.04	18.04	574900	10724217.00
2017/04/28	0940	18.07	18.07	18.04	18.05	434800	8110482.00
2017/04/28	0941	18.04	18.06	18.04	18.04	375900	7010169.50
2017/04/28	0942	18.04	18.04	17.97	17.98	976500	18176828.00
2017/04/28	0943	17.98	17.98	17.90	17.90	1101000	20388694.00
2017/04/28	0944	17.88	17.89	17.82	17.84	1342400	24758534.00
2017/04/28	0945	17.80	17.83	17.75	17.82	1853900	34113492.00
2017/04/28	0946	17.80	17.90	17.80	17.89	867200	16001063.00
2017/04/28	0947	17.89	17.89	17.85	17.88	617800	11412285.00
2017/04/28	0948	17.88	17.90	17.87	17.90	749900	13860884.00
2017/04/28	0949	17.92	17.92	17.89	17.90	418300	7741497.00
2017/04/28	0950	17.91	17.93	17.91	17.91	522900	9682124.00
2017/04/28	0951	17.90	17.91	17.88	17.89	469300	8680413.00
2017/04/28	0952	17.88	17.88	17.85	17.85	383400	7078656.00
2017/04/28	0953	17.84	17.85	17.80	17.84	625400	11518706.00
2017/04/28	0954	17.84	17.86	17.83	17.86	401100	7396375.00
2017/04/28	0955	17.85	17.92	17.85	17.91	373500	6902577.00
2017/04/28	0956	17.92	17.93	17.91	17.93	276800	5126804.00
2017/04/28	0957	17.91	17.95	17.91	17.93	449700	8333061.00
2017/04/28	0958	17.91	17.92	17.90	17.90	330500	6118037.00
2017/04/28	0959	17.91	17.92	17.89	17.90	190000	3516237.00
2017/04/28	1000	17.88	17.89	17.85	17.86	261500	4830865.00
2017/04/28	1001	17.86	17.86	17.83	17.83	634300	11700209.00
2017/04/28	1002	17.83	17.83	17.81	17.82	409800	7549791.00
2017/04/28	1003	17.82	17.84	17.82	17.83	329700	6074833.00
2017/04/28	1004	17.82	17.82	17.76	17.76	1651800	30390406.00
2017/04/28	1005	17.75	17.79	17.75	17.77	1746900	32074440.00
2017/04/28	1006	17.77	17.84	17.77	17.80	378100	6959204.00
2017/04/28	1007	17.79	17.80	17.79	17.80	593700	10920849.00
2017/04/28	1008	17.78	17.80	17.78	17.79	822700	15130440.00
2017/04/28	1009	17.79	17.84	17.79	17.84	341800	6292887.00
2017/04/28	1010	17.84	17.88	17.84	17.86	158200	2919881.00
2017/04/28	1011	17.87	17.88	17.85	17.88	237500	4385665.00
2017/04/28	1012	17.88	17.89	17.87	17.89	193000	3567222.00
2017/04/28	1013	17.87	17.90	17.87	17.88	170500	3150740.75
2017/04/28	1014	17.88	17.92	17.88	17.90	559800	10350758.00
2017/04/28	1015	17.90	17.93	17.90	17.92	154100	2853293.00
2017/04/28	1016	17.92	18.00	17.91	17.94	423800	7870346.00
2017/04/28	1017	18.00	18.00	17.92	17.97	193100	3588068.00
2017/04/28	1018	17.96	17.96	17.93	17.93	187000	3467920.00
2017/04/28	1019	17.93	17.93	17.91	17.91	171400	3174480.00
2017/04/28	1020	17.91	17.95	17.91	17.95	144800	2682066.00
2017/04/28	1021	17.95	17.96	17.94	17.96	267300	4958086.00
2017/04/28	1022	17.96	17.96	17.94	17.95	268300	4978069.00
2017/04/28	1023	17.95	17.96	17.94	17.95	259100	4806116.00
2017/04/28	1024	17.93	17.95	17.93	17.93	133000	2464971.00
2017/04/28	1025	17.94	17.94	17.92	17.92	320200	5931573.50
2017/04/28	1026	17.92	17.98	17.91	17.98	397800	7376753.00
2017/04/28	1027	17.98	17.98	17.96	17.96	142000	2636638.00
2017/04/28	1028	17.97	17.97	17.93	17.96	109100	2024747.00
2017/04/28	1029	17.95	17.96	17.95	17.96	178800	3317135.00
2017/04/28	1030	17.94	17.98	17.94	17.97	220900	4101644.00
2017/04/28	1031	17.97	17.98	17.96	17.98	230200	4275281.00
2017/04/28	1032	17.98	17.98	17.96	17.97	158400	2941842.00
2017/04/28	1033	17.96	17.97	17.95	17.95	177500	3293394.00
2017/04/28	1034	17.94	17.95	17.90	17.90	247700	4592950.00
2017/04/28	1035	17.90	17.98	17.90	17.96	188200	3489773.00
2017/04/28	1036	17.96	17.96	17.92	17.94	113000	2095209.00
2017/04/28	1037	17.96	17.96	17.94	17.94	128100	2375873.00
2017/04/28	1038	17.94	17.96	17.94	17.96	183900	3411541.00
2017/04/28	1039	17.95	17.96	17.93	17.95	126500	2346470.75
2017/04/28	1040	17.92	17.93	17.92	17.92	158900	2943226.00
2017/04/28	1041	17.93	17.93	17.92	17.93	136700	2532674.00
2017/04/28	1042	17.92	17.93	17.91	17.92	81400	1507592.00
2017/04/28	1043	17.91	17.92	17.89	17.89	441100	8165856.00
2017/04/28	1044	17.89	17.89	17.88	17.89	236700	4375762.00
2017/04/28	1045	17.90	17.92	17.89	17.92	231500	4283119.00
2017/04/28	1046	17.91	17.92	17.90	17.92	139700	2585285.00
2017/04/28	1047	17.91	17.95	17.91	17.95	277200	5136556.00
2017/04/28	1048	17.95	17.95	17.90	17.90	167700	3105133.00
2017/04/28	1049	17.92	17.92	17.90	17.92	80500	1490125.00
2017/04/28	1050	17.92	17.92	17.90	17.91	246000	4555320.00
2017/04/28	1051	17.89	17.90	17.89	17.90	116600	2156459.00
2017/04/28	1052	17.89	17.90	17.88	17.89	101400	1875144.00
2017/04/28	1053	17.88	17.89	17.85	17.86	347100	6411294.00
2017/04/28	1054	17.85	17.88	17.85	17.87	342900	6332395.00
2017/04/28	1055	17.88	17.88	17.86	17.86	137100	2533200.00
2017/04/28	1056	17.87	17.87	17.85	17.87	203600	3759165.00
2017/04/28	1057	17.86	17.87	17.85	17.85	216900	4003672.00
2017/04/28	1058	17.85	17.85	17.81	17.82	258300	4760833.50
2017/04/28	1059	17.83	17.83	17.80	17.81	1006200	18534406.00
2017/04/28	1100	17.80	17.84	17.80	17.84	538100	9907380.00
2017/04/28	1101	17.84	17.87	17.83	17.86	174100	3212916.00
2017/04/28	1102	17.86	17.88	17.85	17.87	148200	2736345.00
2017/04/28	1103	17.86	17.88	17.86	17.88	101500	1874798.88
2017/04/28	1104	17.88	17.89	17.88	17.89	364500	6738299.00
2017/04/28	1105	17.89	17.93	17.88	17.92	253500	4690691.00
2017/04/28	1106	17.92	17.93	17.91	17.92	134100	2483523.00
2017/04/28	1107	17.92	17.95	17.92	17.94	251900	4669309.00
2017/04/28	1108	17.95	17.96	17.94	17.94	154700	2869413.00
2017/04/28	1109	17.94	17.95	17.93	17.93	336500	6238824.00
2017/04/28	1110	17.93	17.96	17.93	17.96	169500	3142806.00
2017/04/28	1111	17.96	17.96	17.95	17.95	129700	2406236.00
2017/04/28	1112	17.95	17.96	17.93	17.95	151300	2806844.00
2017/04/28	1113	17.94	17.96	17.94	17.96	134400	2493477.00
2017/04/28	1114	17.94	17.97	17.94	17.95	263800	4895230.00
2017/04/28	1115	17.94	17.96	17.94	17.96	187400	3477341.75
2017/04/28	1116	17.95	17.96	17.95	17.95	99500	1846357.88
2017/04/28	1117	17.95	17.97	17.95	17.97	125200	2323205.00
2017/04/28	1118	17.96	17.96	17.94	17.95	118700	2202400.00
2017/04/28	1119	17.95	17.96	17.90	17.94	252900	4685241.00
2017/04/28	1120	17.93	17.94	17.92	17.93	134400	2491026.00
2017/04/28	1121	17.93	17.94	17.91	17.92	105500	1954058.00
2017/04/28	1122	17.93	17.94	17.90	17.90	331400	6135909.00
2017/04/28	1123	17.89	17.94	17.89	17.90	270900	5012165.00
2017/04/28	1124	17.89	17.92	17.89	17.91	163300	3021910.00
2017/04/28	1125	17.91	17.92	17.89	17.90	362100	6699436.00
2017/04/28	1126	17.91	17.91	17.89	17.89	157000	2904405.00
2017/04/28	1127	17.89	17.90	17.88	17.89	279300	5164487.00
2017/04/28	1128	17.88	17.90	17.88	17.89	155000	2865370.00
2017/04/28	1129	17.89	17.90	17.85	17.86	247000	4561460.00
2017/04/28	1300	17.85	17.89	17.85	17.87	269800	4985015.00
2017/04/28	1301	17.87	17.87	17.87	17.87	0	0.00
2017/04/28	1302	17.86	17.90	17.85	17.86	214400	3959078.00
2017/04/28	1303	17.85	17.87	17.84	17.84	346000	6384572.00
2017/04/28	1304	17.84	17.85	17.83	17.84	437000	8061964.50
2017/04/28	1305	17.87	17.87	17.83	17.85	128200	2365149.00
2017/04/28	1306	17.83	17.87	17.82	17.84	180200	3321799.00
2017/04/28	1307	17.83	17.87	17.83	17.87	72000	1328482.00
2017/04/28	1308	17.87	17.88	17.85	17.88	213200	3936017.00
2017/04/28	1309	17.88	17.89	17.88	17.89	55700	1029581.00
2017/04/28	1310	17.89	17.89	17.86	17.86	59900	1106925.00
2017/04/28	1311	17.87	17.87	17.83	17.86	128700	2373546.00
2017/04/28	1312	17.86	17.86	17.85	17.85	95100	1754968.00
2017/04/28	1313	17.84	17.85	17.82	17.84	296000	5456135.00
2017/04/28	1314	17.83	17.85	17.83	17.85	133000	2451895.00
2017/04/28	1315	17.84	17.85	17.83	17.85	103300	1904331.00
2017/04/28	1316	17.84	17.86	17.83	17.86	116000	2139844.00
2017/04/28	1317	17.86	17.87	17.85	17.86	114800	2119250.00
2017/04/28	1318	17.86	17.86	17.84	17.85	126300	2330333.00
2017/04/28	1319	17.85	17.85	17.83	17.83	138200	2547826.25
2017/04/28	1320	17.83	17.84	17.82	17.82	215100	3963904.00
2017/04/28	1321	17.82	17.83	17.78	17.78	1084700	19966336.00
2017/04/28	1322	17.79	17.79	17.78	17.79	463500	8521736.00
2017/04/28	1323	17.79	17.79	17.78	17.78	358200	6585243.00
2017/04/28	1324	17.78	17.78	17.75	17.76	1738400	31917998.00
2017/04/28	1325	17.75	17.76	17.73	17.73	790300	14500140.00
2017/04/28	1326	17.76	17.78	17.74	17.76	451700	8291848.00
2017/04/28	1327	17.77	17.82	17.77	17.79	308400	5674521.00
2017/04/28	1328	17.81	17.83	17.79	17.82	216000	3976888.00
