600926 杭州银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.94	14.94	14.89	14.89	244600	5185087.00
2017/04/27	0932	14.87	14.91	14.86	14.89	115900	2448290.00
2017/04/27	0933	14.89	14.90	14.89	14.89	78700	1664352.00
2017/04/27	0934	14.90	14.93	14.89	14.93	26800	567287.00
2017/04/27	0935	14.93	14.94	14.92	14.93	49500	1049556.00
2017/04/27	0936	14.94	14.96	14.94	14.94	35500	753233.00
2017/04/27	0937	14.94	14.94	14.91	14.91	55500	1176559.00
2017/04/27	0938	14.91	14.92	14.84	14.84	205100	4331749.00
2017/04/27	0939	14.84	14.84	14.81	14.81	156000	3283069.00
2017/04/27	0940	14.81	14.86	14.81	14.86	80600	1697021.00
2017/04/27	0941	14.84	14.91	14.84	14.89	114400	2415509.00
2017/04/27	0942	14.89	14.91	14.89	14.89	29600	625959.00
2017/04/27	0943	14.89	14.91	14.89	14.90	87100	1843221.00
2017/04/27	0944	14.91	14.91	14.90	14.91	74600	1579185.00
2017/04/27	0945	14.91	14.91	14.90	14.91	59600	1261794.00
2017/04/27	0946	14.91	14.91	14.89	14.90	46800	990394.00
2017/04/27	0947	14.90	14.90	14.87	14.88	75000	1585374.00
2017/04/27	0948	14.86	14.86	14.84	14.86	52700	1111784.00
2017/04/27	0949	14.85	14.87	14.84	14.85	52100	1098815.00
2017/04/27	0950	14.86	14.87	14.86	14.87	33600	709390.00
2017/04/27	0951	14.87	14.88	14.86	14.87	29600	625199.06
2017/04/27	0952	14.86	14.86	14.85	14.86	84500	1782859.00
2017/04/27	0953	14.86	14.86	14.85	14.85	51400	1084243.00
2017/04/27	0954	14.85	14.85	14.84	14.84	87000	1833760.00
2017/04/27	0955	14.84	14.86	14.84	14.86	95100	2004391.00
2017/04/27	0956	14.86	14.86	14.85	14.86	41000	865183.00
2017/04/27	0957	14.84	14.86	14.84	14.86	43500	917352.00
2017/04/27	0958	14.87	14.88	14.87	14.87	31400	663190.00
2017/04/27	0959	14.86	14.86	14.81	14.81	140800	2965115.00
2017/04/27	1000	14.81	14.81	14.78	14.78	207600	4361305.00
2017/04/27	1001	14.77	14.77	14.74	14.74	102900	2156306.00
2017/04/27	1002	14.74	14.77	14.74	14.76	116900	2449200.00
2017/04/27	1003	14.76	14.79	14.75	14.76	100100	2099054.00
2017/04/27	1004	14.79	14.79	14.75	14.78	70500	1477926.00
2017/04/27	1005	14.76	14.78	14.76	14.76	72200	1513989.00
2017/04/27	1006	14.78	14.78	14.76	14.76	21200	444722.00
2017/04/27	1007	14.77	14.79	14.77	14.79	47200	991148.00
2017/04/27	1008	14.79	14.79	14.78	14.79	70300	1476210.00
2017/04/27	1009	14.79	14.79	14.78	14.78	24300	510090.00
2017/04/27	1010	14.79	14.79	14.78	14.79	67400	1415090.00
2017/04/27	1011	14.78	14.79	14.78	14.78	64100	1345843.00
2017/04/27	1012	14.78	14.79	14.78	14.79	42500	892346.00
2017/04/27	1013	14.79	14.79	14.79	14.79	21000	441027.00
2017/04/27	1014	14.79	14.80	14.79	14.80	41000	861594.00
2017/04/27	1015	14.80	14.81	14.80	14.81	28000	588710.00
2017/04/27	1016	14.81	14.81	14.80	14.81	17800	374275.00
2017/04/27	1017	14.80	14.81	14.79	14.79	38800	815256.00
2017/04/27	1018	14.79	14.79	14.78	14.78	47100	988735.00
2017/04/27	1019	14.77	14.79	14.77	14.78	33200	696763.00
2017/04/27	1020	14.79	14.79	14.78	14.78	30500	640378.00
2017/04/27	1021	14.78	14.78	14.76	14.76	57700	1210484.00
2017/04/27	1022	14.76	14.76	14.75	14.76	64700	1356244.00
2017/04/27	1023	14.75	14.77	14.75	14.77	79000	1656271.00
2017/04/27	1024	14.77	14.78	14.76	14.77	49700	1042453.00
2017/04/27	1025	14.77	14.79	14.76	14.79	40900	858314.00
2017/04/27	1026	14.79	14.79	14.78	14.79	14300	300252.00
2017/04/27	1027	14.79	14.79	14.78	14.78	28100	590048.00
2017/04/27	1028	14.78	14.79	14.78	14.79	7000	146957.00
2017/04/27	1029	14.77	14.78	14.77	14.78	26000	545580.00
2017/04/27	1030	14.79	14.79	14.77	14.78	12600	264396.00
2017/04/27	1031	14.78	14.79	14.77	14.77	26700	560244.00
2017/04/27	1032	14.77	14.78	14.77	14.77	34900	732226.00
2017/04/27	1033	14.76	14.77	14.76	14.76	86000	1803126.00
2017/04/27	1034	14.76	14.76	14.74	14.74	37700	789646.00
2017/04/27	1035	14.74	14.74	14.74	14.74	40000	837452.00
2017/04/27	1036	14.74	14.74	14.74	14.74	77300	1618426.00
2017/04/27	1037	14.74	14.74	14.73	14.74	42900	897885.00
2017/04/27	1038	14.75	14.76	14.75	14.76	38200	800391.00
2017/04/27	1039	14.75	14.76	14.75	14.76	12100	253586.00
2017/04/27	1040	14.76	14.77	14.76	14.77	48800	1023385.94
2017/04/27	1041	14.77	14.77	14.76	14.76	20400	427774.00
2017/04/27	1042	14.76	14.78	14.76	14.78	37500	786251.00
2017/04/27	1043	14.78	14.81	14.78	14.81	29800	626396.00
2017/04/27	1044	14.79	14.81	14.79	14.81	15700	330120.00
2017/04/27	1045	14.81	14.81	14.79	14.79	17400	365673.00
2017/04/27	1046	14.79	14.79	14.79	14.79	22900	481005.00
2017/04/27	1047	14.79	14.79	14.79	14.79	21500	451592.00
2017/04/27	1048	14.79	14.81	14.79	14.81	17700	371816.00
2017/04/27	1049	14.81	14.81	14.79	14.80	13200	277505.00
2017/04/27	1050	14.80	14.80	14.80	14.80	8400	176568.00
2017/04/27	1051	14.79	14.79	14.79	14.79	8300	174338.00
2017/04/27	1052	14.79	14.80	14.78	14.78	21600	453626.00
2017/04/27	1053	14.78	14.79	14.78	14.78	13400	281277.00
2017/04/27	1054	14.80	14.80	14.79	14.79	9400	197510.00
2017/04/27	1055	14.79	14.80	14.79	14.79	18900	397030.00
2017/04/27	1056	14.79	14.81	14.79	14.80	18600	390885.00
2017/04/27	1057	14.79	14.80	14.79	14.79	17200	361420.00
2017/04/27	1058	14.79	14.80	14.79	14.80	8600	180653.00
2017/04/27	1059	14.80	14.80	14.79	14.80	18500	388759.00
2017/04/27	1100	14.79	14.80	14.79	14.79	8500	178578.00
2017/04/27	1101	14.79	14.79	14.79	14.79	57200	1201319.00
2017/04/27	1102	14.79	14.81	14.78	14.81	35900	754246.00
2017/04/27	1103	14.81	14.82	14.80	14.82	29900	629050.00
2017/04/27	1104	14.81	14.84	14.81	14.84	17600	370449.00
2017/04/27	1105	14.82	14.84	14.82	14.83	24300	511688.97
2017/04/27	1106	14.83	14.83	14.81	14.81	93700	1971071.00
2017/04/27	1107	14.81	14.83	14.81	14.82	4700	98939.00
2017/04/27	1108	14.82	14.84	14.81	14.84	19600	412923.00
2017/04/27	1109	14.84	14.85	14.84	14.85	22700	478549.00
2017/04/27	1110	14.84	14.84	14.84	14.84	8800	185455.00
2017/04/27	1111	14.84	14.84	14.84	14.84	8700	183329.00
2017/04/27	1112	14.84	14.84	14.83	14.84	5300	111640.00
2017/04/27	1113	14.84	14.85	14.84	14.85	30600	645091.00
2017/04/27	1114	14.84	14.87	14.84	14.87	19100	402996.00
2017/04/27	1115	14.87	14.90	14.87	14.89	25700	543398.00
2017/04/27	1116	14.90	14.91	14.89	14.90	33700	713330.00
2017/04/27	1117	14.91	14.91	14.86	14.89	30700	649517.00
2017/04/27	1118	14.89	14.89	14.89	14.89	8200	173430.00
2017/04/27	1119	14.89	14.89	14.87	14.88	28500	602185.00
2017/04/27	1120	14.88	14.89	14.88	14.89	7600	160728.00
2017/04/27	1121	14.89	14.90	14.89	14.90	11700	247548.00
2017/04/27	1122	14.90	14.90	14.89	14.89	10300	217855.00
2017/04/27	1123	14.89	14.89	14.86	14.86	49700	1050257.00
2017/04/27	1124	14.86	14.87	14.86	14.87	33700	711592.00
2017/04/27	1125	14.87	14.87	14.86	14.86	24000	506516.00
2017/04/27	1126	14.85	14.85	14.82	14.82	33400	704142.00
2017/04/27	1127	14.82	14.84	14.82	14.84	9800	206374.00
2017/04/27	1128	14.84	14.84	14.82	14.84	25200	530859.00
2017/04/27	1129	14.83	14.84	14.81	14.84	25400	534556.00
2017/04/27	1300	14.81	14.84	14.81	14.81	147300	3101894.00
2017/04/27	1301	14.81	14.81	14.81	14.81	0	0.00
2017/04/27	1302	14.81	14.83	14.81	14.83	14700	309474.00
2017/04/27	1303	14.83	14.83	14.81	14.82	33500	705257.00
2017/04/27	1304	14.83	14.83	14.80	14.80	46700	982134.00
2017/04/27	1305	14.81	14.81	14.79	14.79	69400	1457613.00
2017/04/27	1306	14.78	14.79	14.77	14.78	39200	822791.00
2017/04/27	1307	14.78	14.79	14.78	14.79	26100	548068.00
2017/04/27	1308	14.79	14.81	14.78	14.81	59600	1251244.00
2017/04/27	1309	14.81	14.83	14.81	14.81	4200	88329.00
2017/04/27	1310	14.81	14.83	14.80	14.83	9800	206324.00
2017/04/27	1311	14.83	14.83	14.80	14.83	19700	414584.00
2017/04/27	1312	14.82	14.82	14.81	14.82	4800	101031.00
2017/04/27	1313	14.81	14.81	14.80	14.80	6500	136697.00
2017/04/27	1314	14.80	14.81	14.79	14.80	5900	124023.00
2017/04/27	1315	14.80	14.81	14.79	14.79	16300	342583.00
2017/04/27	1316	14.80	14.81	14.78	14.81	56300	1181947.00
2017/04/27	1317	14.81	14.81	14.79	14.81	13800	289974.00
2017/04/27	1318	14.81	14.81	14.79	14.79	18600	390718.00
2017/04/27	1319	14.76	14.79	14.76	14.77	154300	3235388.00
2017/04/27	1320	14.80	14.83	14.76	14.79	35300	741008.00
2017/04/27	1321	14.80	14.83	14.75	14.79	169300	3550280.00
2017/04/27	1322	14.75	14.80	14.75	14.80	32800	688347.00
2017/04/27	1323	14.83	14.91	14.80	14.88	56700	1198518.00
2017/04/27	1324	14.88	14.91	14.88	14.91	20900	442477.00
2017/04/27	1325	14.91	14.92	14.89	14.91	75200	1592270.00
2017/04/27	1326	14.91	14.91	14.87	14.87	36700	775958.00
2017/04/27	1327	14.87	14.87	14.86	14.86	28100	593206.06
2017/04/27	1328	14.87	14.87	14.84	14.86	62600	1320246.00
2017/04/27	1329	14.86	14.88	14.86	14.88	11300	238636.00
2017/04/27	1330	14.89	14.90	14.89	14.90	22800	482384.00
2017/04/27	1331	14.90	14.91	14.86	14.89	56700	1198259.00
2017/04/27	1332	14.89	14.89	14.86	14.89	12600	266312.00
2017/04/27	1333	14.89	14.93	14.87	14.93	84000	1779174.00
2017/04/27	1334	14.90	14.97	14.90	14.96	75700	1606103.00
2017/04/27	1335	14.96	15.01	14.96	15.01	145200	3090336.00
2017/04/27	1336	15.00	15.01	14.98	14.98	121400	2585442.00
2017/04/27	1337	14.98	14.98	14.93	14.97	55200	1173549.00
2017/04/27	1338	14.97	14.97	14.92	14.96	49600	1052402.00
2017/04/27	1339	14.91	14.96	14.91	14.96	81500	1728928.00
2017/04/27	1340	14.96	14.96	14.93	14.96	25500	541103.00
2017/04/27	1341	14.96	14.96	14.95	14.95	58200	1236159.00
2017/04/27	1342	14.95	14.96	14.95	14.95	17400	369422.00
2017/04/27	1343	14.95	14.95	14.94	14.94	14400	305691.00
2017/04/27	1344	14.94	14.94	14.94	14.94	13200	280087.00
2017/04/27	1345	14.94	14.94	14.94	14.94	20600	437094.97
2017/04/27	1346	14.95	14.96	14.95	14.96	11800	250558.00
2017/04/27	1347	14.96	14.97	14.96	14.96	15000	318727.00
2017/04/27	1348	14.96	14.99	14.96	14.99	42100	894899.00
2017/04/27	1349	14.99	14.99	14.97	14.97	54200	1153566.00
2017/04/27	1350	14.99	14.99	14.97	14.99	15700	334150.00
2017/04/27	1351	14.99	14.99	14.98	14.99	13700	291582.03
2017/04/27	1352	15.00	15.01	15.00	15.00	69600	1482806.00
2017/04/27	1353	15.00	15.00	14.97	14.97	27100	576928.00
2017/04/27	1354	14.96	14.97	14.96	14.96	20600	437626.00
2017/04/27	1355	14.96	14.99	14.96	14.97	16600	352834.00
2017/04/27	1356	14.98	14.99	14.97	14.98	4100	87199.00
2017/04/27	1357	14.97	14.98	14.97	14.97	19900	423081.00
2017/04/27	1358	14.98	15.00	14.98	15.00	33900	721910.00
2017/04/27	1359	14.99	15.00	14.98	15.00	42900	912828.00
2017/04/27	1400	15.01	15.03	15.01	15.01	40500	863351.00
2017/04/27	1401	15.02	15.06	15.02	15.05	102900	2197988.00
2017/04/27	1402	15.05	15.05	15.03	15.04	68700	1466912.00
2017/04/27	1403	15.04	15.04	15.00	15.00	48800	1041037.00
2017/04/27	1404	14.99	15.04	14.99	15.00	108300	2310187.00
2017/04/27	1405	15.00	15.03	15.00	15.01	27700	590644.00
2017/04/27	1406	15.01	15.01	15.01	15.01	20000	426321.00
2017/04/27	1407	15.01	15.01	14.98	14.98	43100	917262.00
2017/04/27	1408	14.99	14.99	14.98	14.99	11300	240453.00
2017/04/27	1409	14.99	14.99	14.98	14.98	14300	304276.00
2017/04/27	1410	14.99	15.00	14.99	15.00	12700	270393.00
2017/04/27	1411	14.99	14.99	14.97	14.97	17100	363748.00
2017/04/27	1412	14.98	14.98	14.97	14.98	11500	244535.00
2017/04/27	1413	14.97	14.98	14.97	14.97	32700	695337.00
2017/04/27	1414	14.98	14.99	14.97	14.99	14600	310492.00
2017/04/27	1415	14.97	14.98	14.97	14.98	22100	469988.00
2017/04/27	1416	14.98	14.99	14.98	14.98	12000	255334.00
2017/04/27	1417	14.99	14.99	14.98	14.99	8400	178733.00
2017/04/27	1418	14.98	14.99	14.97	14.97	46300	984437.00
2017/04/27	1419	14.96	14.97	14.95	14.95	28600	607478.00
2017/04/27	1420	14.95	14.95	14.94	14.94	25000	530627.00
2017/04/27	1421	14.94	14.95	14.94	14.94	13100	278017.00
2017/04/27	1422	14.94	14.96	14.94	14.94	12600	267384.00
2017/04/27	1423	14.95	14.96	14.94	14.95	14400	305748.00
2017/04/27	1424	14.94	14.95	14.94	14.94	8300	176146.00
2017/04/27	1425	14.95	14.96	14.94	14.96	9100	193198.00
2017/04/27	1426	14.95	14.96	14.95	14.96	6800	144486.00
2017/04/27	1427	14.96	14.97	14.96	14.96	22500	478130.00
2017/04/27	1428	14.96	14.96	14.95	14.96	19100	405633.00
2017/04/27	1429	14.95	14.96	14.95	14.95	13900	295115.00
2017/04/27	1430	14.95	14.96	14.95	14.96	83100	1764379.00
2017/04/27	1431	14.96	14.98	14.95	14.98	27600	586291.00
2017/04/27	1432	14.98	14.98	14.97	14.97	4800	102073.00
2017/04/27	1433	14.99	14.99	14.98	14.99	20600	438329.00
2017/04/27	1434	14.99	14.99	14.98	14.99	11900	253216.00
2017/04/27	1435	14.99	14.99	14.99	14.99	25800	549281.00
2017/04/27	1436	14.99	15.00	14.99	15.00	10500	223573.02
2017/04/27	1437	14.99	15.00	14.99	14.99	37800	804826.00
2017/04/27	1438	14.99	14.99	14.99	14.99	30500	649325.00
2017/04/27	1439	15.00	15.01	15.00	15.01	59300	1263466.00
2017/04/27	1440	15.01	15.04	15.01	15.03	55400	1182353.00
2017/04/27	1441	15.03	15.04	15.02	15.04	56400	1203939.00
2017/04/27	1442	15.06	15.06	15.03	15.04	104800	2238726.00
2017/04/27	1443	15.03	15.06	15.03	15.04	79900	1707045.00
2017/04/27	1444	15.04	15.05	15.03	15.03	41900	894834.00
2017/04/27	1445	15.03	15.04	15.02	15.03	49900	1065077.00
2017/04/27	1446	15.02	15.02	15.00	15.01	64400	1372632.00
2017/04/27	1447	15.01	15.01	15.00	15.00	27200	579513.00
2017/04/27	1448	15.01	15.01	14.99	14.99	46400	988280.00
2017/04/27	1449	14.99	14.99	14.97	14.98	73600	1566018.00
2017/04/27	1450	14.98	14.98	14.95	14.96	78000	1657002.00
2017/04/27	1451	14.94	14.96	14.94	14.96	18100	384280.00
2017/04/27	1452	14.95	14.96	14.94	14.96	99000	2101853.00
2017/04/27	1453	14.96	14.99	14.96	14.99	16000	340302.00
2017/04/27	1454	14.98	15.01	14.98	15.01	63400	1349693.00
2017/04/27	1455	15.00	15.01	14.99	14.99	35900	764615.00
2017/04/27	1456	14.99	15.00	14.99	15.00	66900	1424378.00
2017/04/27	1457	15.00	15.01	14.99	15.01	110100	2345473.00
2017/04/27	1458	15.00	15.01	15.00	15.00	53900	1148255.00
2017/04/27	1459	15.00	15.01	15.00	15.01	75500	1608587.00
2017/04/27	1500	15.01	15.01	14.99	15.00	72400	1542296.00
2017/04/28	0931	14.93	14.93	14.90	14.92	110500	2341891.00
2017/04/28	0932	14.91	14.93	14.91	14.93	43900	930408.00
2017/04/28	0933	14.94	14.97	14.94	14.96	48800	1036049.00
2017/04/28	0934	14.97	14.99	14.96	14.99	76000	1616686.00
2017/04/28	0935	14.99	15.01	14.99	15.00	116000	2469797.00
2017/04/28	0936	15.01	15.04	15.01	15.04	56300	1201657.00
2017/04/28	0937	15.04	15.04	15.01	15.01	67600	1442468.00
2017/04/28	0938	15.01	15.01	15.00	15.01	44400	946185.00
2017/04/28	0939	15.01	15.04	15.01	15.04	29200	622717.00
2017/04/28	0940	15.05	15.05	15.02	15.03	57600	1229611.00
2017/04/28	0941	15.04	15.04	15.01	15.01	18500	394719.00
2017/04/28	0942	15.02	15.03	15.01	15.01	44500	949249.00
2017/04/28	0943	15.02	15.02	14.96	14.99	34400	732284.00
2017/04/28	0944	14.96	14.96	14.95	14.96	62800	1333654.00
2017/04/28	0945	14.96	14.99	14.96	14.99	18500	393120.00
2017/04/28	0946	14.96	14.99	14.96	14.99	27400	582849.00
2017/04/28	0947	14.99	14.99	14.99	14.99	33700	717355.00
2017/04/28	0948	14.99	15.01	14.99	15.00	38700	823849.00
2017/04/28	0949	15.00	15.01	15.00	15.01	26800	571027.00
2017/04/28	0950	15.01	15.02	15.01	15.01	27400	584165.00
2017/04/28	0951	15.01	15.02	14.99	14.99	39400	839506.00
2017/04/28	0952	14.99	15.00	14.99	15.00	72400	1541917.00
2017/04/28	0953	14.98	15.01	14.98	14.99	41800	889376.00
2017/04/28	0954	15.00	15.00	14.96	14.96	72500	1541391.00
2017/04/28	0955	14.96	14.99	14.96	14.99	130500	2773134.00
2017/04/28	0956	14.99	14.99	14.97	14.98	16700	355330.00
2017/04/28	0957	14.99	14.99	14.96	14.96	78800	1675884.00
2017/04/28	0958	14.96	14.96	14.94	14.94	57200	1215057.00
2017/04/28	0959	14.94	14.96	14.94	14.96	15000	318445.97
2017/04/28	1000	14.96	14.96	14.95	14.95	12800	271806.00
2017/04/28	1001	14.95	14.95	14.94	14.95	36700	778951.00
2017/04/28	1002	14.94	14.94	14.94	14.94	41900	888940.00
2017/04/28	1003	14.94	14.94	14.93	14.94	43300	918091.00
2017/04/28	1004	14.94	14.95	14.94	14.95	21200	449733.00
2017/04/28	1005	14.94	14.95	14.94	14.94	46200	980468.00
2017/04/28	1006	14.94	14.95	14.93	14.93	53900	1143099.00
2017/04/28	1007	14.94	14.94	14.93	14.94	28900	612962.00
2017/04/28	1008	14.94	14.94	14.93	14.94	56600	1200339.00
2017/04/28	1009	14.94	14.94	14.92	14.93	48200	1022071.00
2017/04/28	1010	14.93	14.94	14.93	14.94	43100	913965.00
2017/04/28	1011	14.95	14.99	14.94	14.99	28600	608121.00
2017/04/28	1012	14.99	14.99	14.97	14.98	18600	395690.00
2017/04/28	1013	14.99	15.01	14.99	15.01	26100	555824.00
