600958 东方证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.48	14.49	14.47	14.48	88200	1290325.00
2017/04/27	0932	14.48	14.48	14.43	14.44	57600	840974.00
2017/04/27	0933	14.44	14.47	14.40	14.47	65200	949515.00
2017/04/27	0934	14.41	14.47	14.41	14.45	33600	489568.00
2017/04/27	0935	14.44	14.44	14.41	14.43	42400	618203.00
2017/04/27	0936	14.41	14.43	14.38	14.38	116900	1703734.00
2017/04/27	0937	14.36	14.40	14.36	14.37	137100	1990177.00
2017/04/27	0938	14.38	14.40	14.35	14.38	169200	2455001.00
2017/04/27	0939	14.38	14.40	14.35	14.36	124400	1807045.00
2017/04/27	0940	14.40	14.40	14.37	14.37	20500	297919.00
2017/04/27	0941	14.39	14.39	14.37	14.37	22900	332699.00
2017/04/27	0942	14.38	14.39	14.38	14.38	29600	430260.00
2017/04/27	0943	14.38	14.40	14.38	14.39	52400	761799.00
2017/04/27	0944	14.39	14.40	14.38	14.40	68200	991635.00
2017/04/27	0945	14.40	14.40	14.38	14.40	18100	263001.00
2017/04/27	0946	14.38	14.40	14.37	14.37	43200	627752.00
2017/04/27	0947	14.37	14.39	14.36	14.37	64600	938332.00
2017/04/27	0948	14.38	14.38	14.36	14.37	41200	598224.00
2017/04/27	0949	14.37	14.38	14.37	14.37	9900	143775.00
2017/04/27	0950	14.38	14.38	14.35	14.35	36300	526942.00
2017/04/27	0951	14.36	14.36	14.34	14.34	102200	1481749.00
2017/04/27	0952	14.33	14.34	14.31	14.31	73400	1062078.00
2017/04/27	0953	14.31	14.32	14.30	14.31	75800	1095896.00
2017/04/27	0954	14.33	14.36	14.32	14.34	29300	424596.00
2017/04/27	0955	14.36	14.36	14.34	14.34	40900	592940.00
2017/04/27	0956	14.35	14.35	14.34	14.35	20500	297104.00
2017/04/27	0957	14.34	14.35	14.33	14.33	31400	454881.00
2017/04/27	0958	14.34	14.34	14.32	14.32	21800	315485.00
2017/04/27	0959	14.32	14.34	14.31	14.32	56600	818940.00
2017/04/27	1000	14.32	14.32	14.31	14.31	57200	827333.00
2017/04/27	1001	14.31	14.32	14.30	14.30	89300	1290640.00
2017/04/27	1002	14.31	14.35	14.30	14.35	91800	1328189.00
2017/04/27	1003	14.34	14.34	14.31	14.32	48300	698761.00
2017/04/27	1004	14.31	14.33	14.31	14.32	24600	356038.00
2017/04/27	1005	14.33	14.34	14.32	14.34	21800	315635.00
2017/04/27	1006	14.33	14.34	14.33	14.33	16500	239007.00
2017/04/27	1007	14.33	14.34	14.32	14.33	54800	793502.00
2017/04/27	1008	14.34	14.34	14.33	14.34	35400	512735.00
2017/04/27	1009	14.33	14.33	14.32	14.32	14700	212768.00
2017/04/27	1010	14.33	14.34	14.32	14.34	20300	293914.00
2017/04/27	1011	14.33	14.34	14.32	14.33	40600	587692.00
2017/04/27	1012	14.33	14.33	14.32	14.33	14500	209931.00
2017/04/27	1013	14.32	14.33	14.32	14.33	9300	134640.00
