600977 中国电影 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.81	19.94	19.81	19.83	82900	1659972.00
2017/04/27	0932	19.84	19.91	19.84	19.87	17100	343455.00
2017/04/27	0933	19.91	19.92	19.86	19.86	28600	575077.00
2017/04/27	0934	19.91	19.92	19.87	19.92	45200	908874.06
2017/04/27	0935	19.90	19.94	19.90	19.90	44800	901376.00
2017/04/27	0936	19.89	19.91	19.88	19.89	15600	313724.00
2017/04/27	0937	19.89	19.89	19.87	19.87	53200	1068928.00
2017/04/27	0938	19.87	19.89	19.86	19.87	27700	556304.00
2017/04/27	0939	19.87	19.87	19.86	19.86	28500	572210.00
2017/04/27	0940	19.86	19.86	19.85	19.86	36100	724413.00
2017/04/27	0941	19.86	19.88	19.85	19.88	50600	1015501.00
2017/04/27	0942	19.86	19.88	19.86	19.87	10300	206837.00
2017/04/27	0943	19.88	19.89	19.87	19.89	22600	454137.00
2017/04/27	0944	19.89	19.90	19.88	19.88	14600	293430.00
2017/04/27	0945	19.90	19.90	19.87	19.87	21500	432058.00
2017/04/27	0946	19.88	19.88	19.86	19.87	45900	921786.00
2017/04/27	0947	19.87	19.88	19.86	19.86	17100	343299.00
2017/04/27	0948	19.89	19.89	19.86	19.87	18800	377708.00
2017/04/27	0949	19.87	19.89	19.85	19.85	46800	939712.00
2017/04/27	0950	19.87	19.87	19.85	19.86	20000	401408.00
2017/04/27	0951	19.85	19.89	19.84	19.84	32800	658269.00
2017/04/27	0952	19.84	19.88	19.84	19.88	44400	890457.00
2017/04/27	0953	19.84	19.86	19.84	19.84	24100	483370.00
2017/04/27	0954	19.85	19.87	19.85	19.85	33500	672228.00
2017/04/27	0955	19.86	19.86	19.84	19.86	30000	601758.00
2017/04/27	0956	19.86	19.88	19.84	19.84	16800	337135.00
2017/04/27	0957	19.85	19.88	19.84	19.84	29700	595774.00
2017/04/27	0958	19.83	19.85	19.82	19.82	35700	715583.00
2017/04/27	0959	19.82	19.82	19.70	19.70	224600	4492267.00
2017/04/27	1000	19.72	19.72	19.68	19.68	121400	2416987.00
2017/04/27	1001	19.69	19.72	19.68	19.72	79700	1585804.00
2017/04/27	1002	19.74	19.74	19.67	19.67	180900	3600908.00
2017/04/27	1003	19.67	19.69	19.62	19.63	108800	2161173.00
2017/04/27	1004	19.59	19.66	19.54	19.57	215000	4256869.00
2017/04/27	1005	19.59	19.64	19.57	19.64	72200	1431283.00
2017/04/27	1006	19.64	19.66	19.62	19.62	67300	1335894.00
2017/04/27	1007	19.64	19.64	19.60	19.60	49000	971375.00
2017/04/27	1008	19.62	19.62	19.60	19.60	66900	1325970.00
2017/04/27	1009	19.62	19.62	19.59	19.62	65900	1305792.00
2017/04/27	1010	19.62	19.62	19.59	19.61	129100	2557509.00
2017/04/27	1011	19.59	19.67	19.59	19.66	34100	676682.00
2017/04/27	1012	19.64	19.67	19.64	19.67	33700	669485.00
2017/04/27	1013	19.71	19.75	19.66	19.75	50900	1014705.00
2017/04/27	1014	19.71	19.94	19.68	19.94	148000	2963047.00
2017/04/27	1015	19.77	19.94	19.74	19.81	125900	2527757.00
2017/04/27	1016	19.92	19.92	19.88	19.88	42800	860581.00
2017/04/27	1017	19.88	19.88	19.82	19.83	24200	485511.00
2017/04/27	1018	19.80	19.85	19.79	19.81	30300	606852.00
2017/04/27	1019	19.84	19.86	19.81	19.82	29000	581273.00
2017/04/27	1020	19.83	19.86	19.81	19.83	26400	529154.00
2017/04/27	1021	19.83	19.86	19.81	19.82	27500	551040.00
2017/04/27	1022	19.82	19.86	19.82	19.83	27900	559119.00
2017/04/27	1023	19.83	19.87	19.82	19.85	28800	577427.00
2017/04/27	1024	19.87	19.88	19.86	19.86	31400	630547.00
2017/04/27	1025	19.86	19.87	19.83	19.84	41900	840411.00
2017/04/27	1026	19.84	19.87	19.83	19.83	10500	210711.00
2017/04/27	1027	19.87	19.87	19.82	19.83	22900	459306.00
2017/04/27	1028	19.84	19.87	19.82	19.82	30900	619394.00
2017/04/27	1029	19.81	19.82	19.79	19.79	26600	532361.00
2017/04/27	1030	19.79	19.81	19.78	19.78	21700	433986.00
2017/04/27	1031	19.78	19.81	19.78	19.78	20400	408023.00
2017/04/27	1032	19.78	19.80	19.77	19.77	31200	623583.00
2017/04/27	1033	19.77	19.80	19.73	19.76	36000	718734.00
2017/04/27	1034	19.77	19.77	19.69	19.70	44000	876886.00
2017/04/27	1035	19.73	19.75	19.70	19.75	76200	1518257.00
2017/04/27	1036	19.71	19.79	19.71	19.77	38900	776696.94
2017/04/27	1037	19.78	19.81	19.78	19.81	37000	740070.00
2017/04/27	1038	19.81	19.81	19.78	19.78	17900	357966.00
2017/04/27	1039	19.77	19.78	19.76	19.78	96200	1921977.00
2017/04/27	1040	19.77	19.84	19.77	19.84	35100	702193.00
2017/04/27	1041	19.85	19.87	19.78	19.79	14400	288653.00
2017/04/27	1042	19.83	19.87	19.80	19.84	16300	326743.00
2017/04/27	1043	19.81	19.87	19.81	19.84	14900	298631.00
2017/04/27	1044	19.87	19.87	19.84	19.87	27200	546080.00
2017/04/27	1045	19.86	19.89	19.84	19.85	23800	478089.00
2017/04/27	1046	19.85	19.88	19.85	19.87	13900	279122.00
2017/04/27	1047	19.87	19.89	19.86	19.87	30900	620647.00
2017/04/27	1048	19.86	19.89	19.85	19.85	15300	307135.00
2017/04/27	1049	19.85	19.89	19.85	19.85	10100	202855.00
2017/04/27	1050	19.85	19.89	19.85	19.85	23600	473636.00
2017/04/27	1051	19.85	19.89	19.85	19.88	22300	447782.00
2017/04/27	1052	19.90	19.93	19.88	19.92	126200	2537966.00
2017/04/27	1053	19.92	19.93	19.92	19.92	22700	457068.97
2017/04/27	1054	19.94	19.94	19.91	19.93	15500	312238.00
2017/04/27	1055	19.93	19.94	19.92	19.93	29300	589914.00
2017/04/27	1056	19.93	19.94	19.92	19.92	16200	326227.00
2017/04/27	1057	19.92	19.94	19.92	19.92	15300	308166.00
2017/04/27	1058	19.93	19.95	19.92	19.95	23200	467522.00
2017/04/27	1059	19.93	19.97	19.93	19.97	33500	675772.00
2017/04/27	1100	19.97	19.98	19.95	19.97	43200	871724.00
2017/04/27	1101	19.97	19.98	19.95	19.97	50500	1018976.00
2017/04/27	1102	19.97	19.99	19.96	19.97	48800	985187.00
2017/04/27	1103	19.97	19.99	19.97	19.99	35900	724970.00
2017/04/27	1104	20.02	20.04	20.02	20.03	56800	1149689.00
2017/04/27	1105	20.03	20.03	19.99	20.02	28900	584393.00
2017/04/27	1106	20.01	20.02	19.99	19.99	40200	812729.00
2017/04/27	1107	19.99	20.02	19.99	19.99	24500	495174.00
2017/04/27	1108	20.01	20.03	19.98	20.00	50000	1010775.94
2017/04/27	1109	20.00	20.02	19.98	19.98	34400	694954.00
2017/04/27	1110	19.99	20.01	19.99	19.99	21400	432531.00
2017/04/27	1111	19.99	20.02	19.98	19.98	21100	426341.00
2017/04/27	1112	20.01	20.01	19.98	19.99	16900	341475.00
2017/04/27	1113	19.98	20.00	19.97	20.00	21600	436174.00
2017/04/27	1114	20.00	20.00	19.99	20.00	15800	319196.00
2017/04/27	1115	20.01	20.02	19.99	20.01	44900	907993.00
2017/04/27	1116	20.01	20.03	20.01	20.03	24500	495681.00
2017/04/27	1117	20.02	20.04	20.02	20.04	39500	799345.00
2017/04/27	1118	20.03	20.05	19.99	20.05	59400	1201366.00
2017/04/27	1119	20.04	20.06	19.97	20.06	79400	1605267.00
2017/04/27	1120	20.06	20.06	20.01	20.04	12600	255213.00
2017/04/27	1121	20.01	20.04	20.01	20.04	10100	204386.00
2017/04/27	1122	20.04	20.06	20.02	20.06	26400	534888.00
2017/04/27	1123	20.06	20.06	20.02	20.04	8700	176209.00
2017/04/27	1124	20.04	20.09	20.04	20.04	90200	1830785.00
2017/04/27	1125	20.08	20.08	20.04	20.07	9000	182438.00
2017/04/27	1126	20.07	20.07	20.05	20.05	6600	133787.00
2017/04/27	1127	20.04	20.04	20.03	20.03	42200	854365.00
2017/04/27	1128	20.03	20.04	20.03	20.03	8500	172041.00
2017/04/27	1129	20.02	20.02	20.01	20.02	29300	592718.00
2017/04/27	1300	20.01	20.09	20.01	20.09	116200	2356363.00
2017/04/27	1301	20.09	20.09	20.09	20.09	0	0.00
2017/04/27	1302	20.10	20.13	20.10	20.12	43200	878151.00
2017/04/27	1303	20.12	20.15	20.10	20.15	53800	1093668.00
2017/04/27	1304	20.10	20.15	20.10	20.14	17400	354109.00
2017/04/27	1305	20.14	20.14	20.10	20.13	68200	1386217.00
2017/04/27	1306	20.15	20.16	20.15	20.15	96800	1970916.00
2017/04/27	1307	20.15	20.16	20.12	20.12	50900	1036509.00
2017/04/27	1308	20.14	20.14	20.12	20.13	7000	142363.00
2017/04/27	1309	20.13	20.13	20.12	20.13	9000	183034.00
