600999 招商证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.91	15.91	15.86	15.86	48700	781965.00
2017/04/27	0932	15.86	15.86	15.80	15.85	125500	2009573.00
2017/04/27	0933	15.78	15.85	15.78	15.84	53400	854224.00
2017/04/27	0934	15.84	15.84	15.80	15.82	67200	1075404.00
2017/04/27	0935	15.81	15.84	15.81	15.83	11600	185735.00
2017/04/27	0936	15.81	15.83	15.79	15.80	126800	2029959.00
2017/04/27	0937	15.79	15.80	15.76	15.76	266300	4251664.00
2017/04/27	0938	15.75	15.76	15.75	15.76	90100	1436971.00
2017/04/27	0939	15.75	15.78	15.75	15.77	100700	1607716.00
2017/04/27	0940	15.77	15.78	15.77	15.78	53200	849095.00
2017/04/27	0941	15.79	15.81	15.78	15.81	29200	466550.00
2017/04/27	0942	15.81	15.84	15.79	15.84	45000	719461.00
2017/04/27	0943	15.83	15.84	15.79	15.79	13800	220870.00
2017/04/27	0944	15.79	15.81	15.77	15.77	75300	1203554.00
2017/04/27	0945	15.80	15.80	15.76	15.77	121800	1944345.00
2017/04/27	0946	15.77	15.77	15.76	15.77	60700	968205.00
2017/04/27	0947	15.77	15.78	15.77	15.77	9400	150037.00
2017/04/27	0948	15.77	15.77	15.75	15.75	91800	1464205.00
2017/04/27	0949	15.76	15.76	15.75	15.76	26400	420829.00
2017/04/27	0950	15.75	15.76	15.75	15.76	37100	591435.00
2017/04/27	0951	15.76	15.76	15.75	15.76	29300	467313.00
2017/04/27	0952	15.75	15.76	15.75	15.75	37400	596216.00
2017/04/27	0953	15.75	15.76	15.75	15.75	33300	530864.00
2017/04/27	0954	15.76	15.76	15.75	15.76	19300	307760.00
2017/04/27	0955	15.76	15.76	15.74	15.74	50600	806730.00
2017/04/27	0956	15.75	15.75	15.74	15.75	37300	594294.00
2017/04/27	0957	15.74	15.75	15.74	15.75	26800	426979.00
2017/04/27	0958	15.74	15.75	15.74	15.74	37500	597378.00
2017/04/27	0959	15.74	15.75	15.72	15.72	87300	1390090.00
2017/04/27	1000	15.72	15.72	15.71	15.72	128500	2043635.00
2017/04/27	1001	15.72	15.72	15.71	15.71	37900	602823.00
2017/04/27	1002	15.71	15.73	15.70	15.73	88000	1399513.00
2017/04/27	1003	15.71	15.74	15.71	15.74	46200	734811.00
2017/04/27	1004	15.74	15.74	15.71	15.71	53200	845988.00
2017/04/27	1005	15.74	15.74	15.70	15.71	53100	844327.00
2017/04/27	1006	15.71	15.71	15.70	15.71	38600	613665.00
2017/04/27	1007	15.71	15.72	15.70	15.70	35300	561277.00
2017/04/27	1008	15.70	15.71	15.69	15.71	62700	996424.00
2017/04/27	1009	15.71	15.71	15.70	15.70	20000	317959.00
2017/04/27	1010	15.71	15.71	15.71	15.71	5900	93810.00
2017/04/27	1011	15.71	15.71	15.70	15.70	31200	495955.00
2017/04/27	1012	15.71	15.71	15.70	15.70	26600	422871.00
2017/04/27	1013	15.71	15.71	15.70	15.71	20700	329119.00
2017/04/27	1014	15.70	15.72	15.70	15.71	41400	658408.00
2017/04/27	1015	15.71	15.71	15.69	15.70	58800	933905.00
2017/04/27	1016	15.70	15.71	15.70	15.70	10400	165310.00
2017/04/27	1017	15.69	15.70	15.68	15.68	45200	718000.00
2017/04/27	1018	15.68	15.70	15.67	15.67	61900	982350.00
2017/04/27	1019	15.65	15.67	15.64	15.64	177700	2814648.00
2017/04/27	1020	15.66	15.66	15.63	15.63	37100	587264.00
2017/04/27	1021	15.64	15.66	15.63	15.65	31300	495319.00
2017/04/27	1022	15.65	15.67	15.64	15.67	19100	302774.00
2017/04/27	1023	15.67	15.69	15.65	15.68	50700	803586.00
2017/04/27	1024	15.68	15.68	15.66	15.68	20200	320301.00
2017/04/27	1025	15.67	15.70	15.67	15.70	152600	2424579.00
2017/04/27	1026	15.70	15.71	15.68	15.69	5700	90556.00
2017/04/27	1027	15.69	15.69	15.65	15.65	97300	1542475.00
2017/04/27	1028	15.66	15.66	15.65	15.66	34100	540483.00
2017/04/27	1029	15.67	15.68	15.66	15.68	56300	892905.00
2017/04/27	1030	15.66	15.66	15.66	15.66	20600	326510.00
2017/04/27	1031	15.65	15.65	15.64	15.65	92200	1460264.00
2017/04/27	1032	15.64	15.65	15.64	15.64	26600	421108.00
2017/04/27	1033	15.64	15.65	15.64	15.64	48600	769463.00
2017/04/27	1034	15.64	15.64	15.63	15.64	47000	743989.00
2017/04/27	1035	15.63	15.70	15.62	15.70	195500	3094871.00
2017/04/27	1036	15.66	15.70	15.63	15.68	21700	343588.00
2017/04/27	1037	15.66	15.68	15.63	15.65	47200	747147.00
2017/04/27	1038	15.66	15.66	15.62	15.63	123400	1951933.00
2017/04/27	1039	15.61	15.63	15.61	15.63	73900	1168112.00
2017/04/27	1040	15.62	15.62	15.61	15.62	149000	2354688.00
2017/04/27	1041	15.62	15.65	15.62	15.65	268700	4250008.00
2017/04/27	1042	15.65	15.65	15.63	15.65	231900	3671360.00
2017/04/27	1043	15.65	15.65	15.62	15.62	76400	1208305.00
2017/04/27	1044	15.63	15.64	15.63	15.64	46500	735728.00
2017/04/27	1045	15.64	15.64	15.61	15.61	72100	1140131.00
2017/04/27	1046	15.61	15.64	15.61	15.62	63300	1000485.00
2017/04/27	1047	15.62	15.62	15.61	15.62	44400	701536.00
2017/04/27	1048	15.62	15.63	15.61	15.63	15300	241847.00
2017/04/27	1049	15.62	15.63	15.61	15.62	63700	1006609.00
2017/04/27	1050	15.61	15.62	15.60	15.62	26100	412252.00
2017/04/27	1051	15.61	15.62	15.61	15.62	35600	562620.00
2017/04/27	1052	15.61	15.63	15.60	15.60	73600	1162880.00
2017/04/27	1053	15.61	15.64	15.61	15.62	77500	1226176.00
2017/04/27	1054	15.61	15.63	15.61	15.62	21700	343012.00
2017/04/27	1055	15.63	15.64	15.61	15.62	46700	738021.00
2017/04/27	1056	15.64	15.64	15.62	15.64	19600	310035.00
2017/04/27	1057	15.64	15.65	15.62	15.63	39800	629885.00
2017/04/27	1058	15.65	15.65	15.63	15.63	18000	284784.00
2017/04/27	1059	15.65	15.65	15.62	15.62	49100	776602.00
2017/04/27	1100	15.66	15.66	15.61	15.61	100000	1580457.00
2017/04/27	1101	15.61	15.63	15.60	15.63	37100	586053.00
2017/04/27	1102	15.61	15.66	15.61	15.63	67900	1073845.00
2017/04/27	1103	15.63	15.66	15.62	15.62	79600	1258661.00
2017/04/27	1104	15.66	15.66	15.61	15.63	86600	1369114.00
2017/04/27	1105	15.62	15.66	15.62	15.62	45100	713206.00
2017/04/27	1106	15.62	15.65	15.61	15.62	140300	2217151.00
2017/04/27	1107	15.64	15.65	15.62	15.63	26800	424348.00
2017/04/27	1108	15.62	15.65	15.62	15.65	21200	335303.00
2017/04/27	1109	15.65	15.65	15.62	15.62	65600	1037553.00
2017/04/27	1110	15.65	15.66	15.63	15.65	7600	120349.00
2017/04/27	1111	15.66	15.66	15.65	15.65	11500	182170.00
2017/04/27	1112	15.65	15.67	15.65	15.66	27800	440702.00
2017/04/27	1113	15.66	15.67	15.66	15.67	26200	415390.00
2017/04/27	1114	15.67	15.68	15.66	15.66	11100	176076.00
2017/04/27	1115	15.68	15.68	15.66	15.68	14300	226846.00
2017/04/27	1116	15.68	15.68	15.66	15.66	89700	1423446.00
2017/04/27	1117	15.67	15.68	15.66	15.66	32900	521817.00
2017/04/27	1118	15.69	15.69	15.67	15.67	8100	128548.00
2017/04/27	1119	15.69	15.71	15.67	15.68	23300	369884.00
2017/04/27	1120	15.71	15.71	15.68	15.68	9400	149227.00
2017/04/27	1121	15.68	15.72	15.68	15.68	52800	839040.00
2017/04/27	1122	15.68	15.70	15.68	15.70	13600	215940.00
2017/04/27	1123	15.71	15.71	15.70	15.70	11100	176402.00
2017/04/27	1124	15.69	15.71	15.69	15.71	14500	230480.00
2017/04/27	1125	15.71	15.71	15.69	15.69	19000	301870.00
2017/04/27	1126	15.68	15.69	15.68	15.68	2800	44438.00
