601006 大秦铁路 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.56	7.57	7.55	7.55	1001900	7826857.00
2017/04/27	0932	7.55	7.55	7.54	7.55	177900	1387219.00
2017/04/27	0933	7.54	7.55	7.54	7.54	119000	927326.00
2017/04/27	0934	7.55	7.55	7.54	7.55	107400	837547.00
2017/04/27	0935	7.55	7.56	7.55	7.56	239200	1866728.00
2017/04/27	0936	7.56	7.57	7.56	7.56	327100	2556237.00
2017/04/27	0937	7.55	7.57	7.55	7.56	154500	1206422.00
2017/04/27	0938	7.56	7.57	7.55	7.57	486600	3800077.00
2017/04/27	0939	7.57	7.61	7.57	7.59	471800	3695298.00
2017/04/27	0940	7.61	7.61	7.58	7.59	234500	1840033.00
2017/04/27	0941	7.59	7.61	7.59	7.60	447500	3513749.00
2017/04/27	0942	7.60	7.60	7.58	7.60	200700	1574801.00
2017/04/27	0943	7.60	7.60	7.58	7.59	133300	1044793.00
2017/04/27	0944	7.59	7.59	7.57	7.59	245200	1919770.00
2017/04/27	0945	7.59	7.59	7.57	7.58	195300	1529100.00
2017/04/27	0946	7.58	7.59	7.57	7.59	320100	2506626.00
2017/04/27	0947	7.59	7.59	7.57	7.58	192500	1506138.00
2017/04/27	0948	7.57	7.62	7.57	7.61	700900	5506885.00
2017/04/27	0949	7.62	7.62	7.61	7.62	311300	2448504.00
2017/04/27	0950	7.61	7.62	7.60	7.60	669800	5265748.00
2017/04/27	0951	7.60	7.61	7.59	7.59	245000	1922605.00
2017/04/27	0952	7.59	7.60	7.58	7.60	241200	1890760.00
2017/04/27	0953	7.60	7.60	7.59	7.60	250400	1964432.00
2017/04/27	0954	7.60	7.60	7.58	7.60	264800	2077514.00
2017/04/27	0955	7.61	7.61	7.59	7.60	296500	2326767.00
2017/04/27	0956	7.59	7.60	7.59	7.60	192000	1507073.00
2017/04/27	0957	7.59	7.60	7.59	7.59	163200	1280097.00
2017/04/27	0958	7.60	7.60	7.58	7.59	183700	1440177.00
2017/04/27	0959	7.59	7.60	7.58	7.59	278200	2180148.00
2017/04/27	1000	7.59	7.60	7.58	7.58	257900	2022034.00
2017/04/27	1001	7.59	7.59	7.56	7.57	1029900	8063568.00
2017/04/27	1002	7.57	7.57	7.55	7.56	686000	5357629.00
2017/04/27	1003	7.57	7.57	7.55	7.56	296200	2313501.00
2017/04/27	1004	7.56	7.56	7.55	7.56	259600	2026898.00
2017/04/27	1005	7.56	7.56	7.55	7.56	311100	2429626.00
2017/04/27	1006	7.56	7.57	7.56	7.56	85800	670322.00
2017/04/27	1007	7.57	7.57	7.55	7.56	275900	2154369.00
2017/04/27	1008	7.55	7.56	7.54	7.56	338100	2636931.00
2017/04/27	1009	7.56	7.57	7.55	7.57	289300	2259462.00
2017/04/27	1010	7.56	7.57	7.56	7.56	310500	2427962.00
2017/04/27	1011	7.56	7.57	7.55	7.55	143900	1123848.00
2017/04/27	1012	7.56	7.58	7.55	7.58	349300	2729363.00
2017/04/27	1013	7.57	7.57	7.56	7.56	125900	983326.00
2017/04/27	1014	7.56	7.56	7.54	7.55	173700	1354859.00
2017/04/27	1015	7.55	7.55	7.53	7.54	159100	1239297.00
2017/04/27	1016	7.54	7.55	7.53	7.54	481200	3746199.00
2017/04/27	1017	7.54	7.54	7.52	7.53	128300	998607.00
2017/04/27	1018	7.53	7.54	7.52	7.54	138500	1077707.00
2017/04/27	1019	7.53	7.54	7.53	7.54	45600	355021.00
2017/04/27	1020	7.54	7.55	7.53	7.55	235800	1836557.00
2017/04/27	1021	7.54	7.55	7.54	7.55	31000	241665.00
2017/04/27	1022	7.54	7.55	7.53	7.54	138500	1078726.00
2017/04/27	1023	7.55	7.55	7.54	7.55	79900	623165.00
2017/04/27	1024	7.54	7.55	7.54	7.55	56200	438036.00
2017/04/27	1025	7.54	7.55	7.54	7.55	85400	665983.00
2017/04/27	1026	7.55	7.55	7.53	7.53	227900	1773578.00
2017/04/27	1027	7.53	7.53	7.52	7.53	88600	689263.00
2017/04/27	1028	7.52	7.53	7.52	7.52	219900	1709075.00
2017/04/27	1029	7.52	7.52	7.51	7.51	167200	1298614.00
2017/04/27	1030	7.51	7.52	7.50	7.51	190900	1481553.00
2017/04/27	1031	7.51	7.51	7.48	7.48	375400	2909035.00
2017/04/27	1032	7.48	7.49	7.48	7.48	210300	1626441.00
2017/04/27	1033	7.48	7.48	7.46	7.46	580200	4484335.00
2017/04/27	1034	7.48	7.49	7.45	7.45	923500	7119500.00
2017/04/27	1035	7.44	7.45	7.41	7.44	640800	4922717.00
2017/04/27	1036	7.43	7.44	7.43	7.44	298600	2295060.00
2017/04/27	1037	7.44	7.45	7.43	7.45	188600	1450062.00
2017/04/27	1038	7.45	7.45	7.42	7.43	795400	6114398.00
2017/04/27	1039	7.42	7.42	7.41	7.41	316300	2424934.00
2017/04/27	1040	7.42	7.42	7.41	7.42	282100	2162204.00
2017/04/27	1041	7.42	7.44	7.41	7.44	1246400	9559272.00
2017/04/27	1042	7.44	7.44	7.43	7.43	335100	2575080.00
2017/04/27	1043	7.44	7.44	7.43	7.43	262700	2018963.00
2017/04/27	1044	7.44	7.45	7.43	7.45	215100	1652986.00
2017/04/27	1045	7.45	7.46	7.44	7.45	1195400	9205772.00
2017/04/27	1046	7.45	7.45	7.44	7.44	584700	4500597.00
2017/04/27	1047	7.45	7.47	7.45	7.46	298000	2295502.00
2017/04/27	1048	7.46	7.47	7.45	7.45	201900	1555743.00
2017/04/27	1049	7.45	7.45	7.44	7.45	157100	1208830.00
2017/04/27	1050	7.45	7.45	7.44	7.44	212100	1631320.00
2017/04/27	1051	7.44	7.45	7.44	7.44	197900	1522411.00
2017/04/27	1052	7.45	7.45	7.44	7.44	211000	1622970.00
2017/04/27	1053	7.45	7.45	7.44	7.44	342300	2633904.00
2017/04/27	1054	7.44	7.47	7.44	7.45	329500	2537122.00
2017/04/27	1055	7.45	7.47	7.44	7.46	454300	3497858.00
2017/04/27	1056	7.46	7.46	7.44	7.45	97000	747673.00
2017/04/27	1057	7.46	7.46	7.44	7.44	1091200	8396394.00
2017/04/27	1058	7.44	7.45	7.44	7.45	347900	2677153.00
2017/04/27	1059	7.45	7.45	7.44	7.44	401700	3092554.00
2017/04/27	1100	7.45	7.45	7.44	7.44	313200	2410098.00
2017/04/27	1101	7.44	7.46	7.44	7.46	1304100	10035705.00
2017/04/27	1102	7.47	7.48	7.45	7.47	216600	1670658.00
2017/04/27	1103	7.47	7.48	7.46	7.48	401700	3104175.00
2017/04/27	1104	7.48	7.48	7.45	7.46	516000	3980231.00
2017/04/27	1105	7.48	7.48	7.45	7.47	115200	888541.00
2017/04/27	1106	7.47	7.50	7.46	7.50	381400	2951630.00
2017/04/27	1107	7.49	7.51	7.48	7.50	600600	4653965.00
2017/04/27	1108	7.50	7.51	7.49	7.49	184400	1429834.00
2017/04/27	1109	7.49	7.50	7.48	7.49	224400	1736834.00
2017/04/27	1110	7.49	7.50	7.48	7.48	229000	1771935.00
2017/04/27	1111	7.49	7.50	7.48	7.49	227200	1758668.00
2017/04/27	1112	7.49	7.50	7.48	7.49	402200	3112950.00
2017/04/27	1113	7.50	7.52	7.49	7.52	578000	4483790.00
2017/04/27	1114	7.51	7.53	7.51	7.53	545700	4242628.00
2017/04/27	1115	7.52	7.54	7.52	7.54	362800	2825277.00
2017/04/27	1116	7.53	7.54	7.53	7.54	270400	2105724.00
2017/04/27	1117	7.54	7.54	7.53	7.53	198700	1547484.00
2017/04/27	1118	7.54	7.54	7.53	7.53	168500	1311692.00
2017/04/27	1119	7.53	7.54	7.53	7.53	202400	1576074.00
2017/04/27	1120	7.54	7.54	7.53	7.54	56400	439341.00
2017/04/27	1121	7.54	7.55	7.53	7.54	409200	3185025.00
2017/04/27	1122	7.54	7.54	7.53	7.53	109400	851854.00
2017/04/27	1123	7.54	7.54	7.53	7.53	91100	709494.00
2017/04/27	1124	7.53	7.54	7.53	7.53	230400	1793656.00
2017/04/27	1125	7.54	7.54	7.53	7.54	104000	809684.00
2017/04/27	1126	7.53	7.54	7.53	7.53	168600	1311936.00
