601012 隆基股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.78	16.78	16.73	16.75	135600	2286552.00
2017/04/27	0932	16.75	16.78	16.73	16.75	62200	1048558.00
2017/04/27	0933	16.75	16.84	16.75	16.84	108800	1838923.00
2017/04/27	0934	16.85	16.90	16.85	16.88	41000	696053.00
2017/04/27	0935	16.87	16.88	16.84	16.84	37100	629202.00
2017/04/27	0936	16.84	16.93	16.84	16.92	200700	3410640.00
2017/04/27	0937	16.86	16.92	16.85	16.92	90700	1542029.00
2017/04/27	0938	16.92	16.92	16.89	16.92	73100	1243327.00
2017/04/27	0939	16.92	16.92	16.82	16.87	133800	2269407.00
2017/04/27	0940	16.87	16.93	16.87	16.93	168500	2862759.00
2017/04/27	0941	16.96	17.00	16.91	16.98	143700	2447399.00
2017/04/27	0942	16.99	16.99	16.92	16.93	173000	2949021.00
2017/04/27	0943	16.93	16.96	16.92	16.96	200800	3422970.00
2017/04/27	0944	16.95	17.06	16.95	17.05	149400	2556841.00
2017/04/27	0945	17.05	17.06	17.02	17.02	161800	2774858.00
2017/04/27	0946	17.02	17.05	17.00	17.03	138900	2379662.00
2017/04/27	0947	17.04	17.06	17.00	17.02	263900	4522107.00
2017/04/27	0948	17.02	17.03	16.99	17.00	106900	1828920.13
2017/04/27	0949	16.99	17.02	16.99	16.99	82300	1407032.00
2017/04/27	0950	16.99	17.00	16.96	16.96	95400	1630201.00
2017/04/27	0951	16.99	17.00	16.96	16.99	51600	881574.00
2017/04/27	0952	16.99	17.00	16.97	16.97	67300	1149864.00
2017/04/27	0953	16.97	16.97	16.96	16.97	131900	2250378.00
2017/04/27	0954	16.96	17.01	16.96	16.99	98500	1684083.00
2017/04/27	0955	17.00	17.00	16.97	16.99	88500	1512001.00
2017/04/27	0956	16.99	17.00	16.96	16.96	260300	4446386.00
2017/04/27	0957	16.98	16.98	16.94	16.94	53600	914475.00
2017/04/27	0958	16.94	16.94	16.87	16.90	122900	2089644.00
2017/04/27	0959	16.90	16.90	16.82	16.85	56900	965630.00
2017/04/27	1000	16.85	16.88	16.83	16.83	80800	1369562.00
2017/04/27	1001	16.83	16.83	16.78	16.79	127100	2148353.00
2017/04/27	1002	16.78	16.84	16.76	16.84	259900	4388850.00
2017/04/27	1003	16.81	16.89	16.81	16.88	79800	1354298.00
2017/04/27	1004	16.88	16.88	16.83	16.88	85800	1455522.00
2017/04/27	1005	16.88	16.88	16.83	16.87	92200	1563348.00
2017/04/27	1006	16.87	16.87	16.82	16.82	119400	2021782.00
2017/04/27	1007	16.82	16.83	16.81	16.81	94900	1605177.00
2017/04/27	1008	16.81	16.81	16.78	16.78	118000	1993932.00
2017/04/27	1009	16.78	16.78	16.74	16.76	239700	4040423.25
2017/04/27	1010	16.77	16.79	16.76	16.77	30100	507825.00
2017/04/27	1011	16.79	16.82	16.78	16.82	94600	1599086.00
2017/04/27	1012	16.83	16.83	16.81	16.83	60500	1023694.00
2017/04/27	1013	16.84	16.84	16.83	16.84	40400	684205.00
2017/04/27	1014	16.82	16.85	16.82	16.85	41800	708001.00
2017/04/27	1015	16.82	16.86	16.82	16.83	22500	381416.00
2017/04/27	1016	16.83	16.84	16.82	16.82	29800	504620.00
2017/04/27	1017	16.83	16.83	16.81	16.82	44300	749604.00
2017/04/27	1018	16.81	16.83	16.81	16.82	58500	990110.00
2017/04/27	1019	16.82	16.83	16.79	16.81	114800	1940570.00
2017/04/27	1020	16.81	16.82	16.79	16.80	21900	370149.00
2017/04/27	1021	16.80	16.82	16.78	16.82	47200	798240.00
2017/04/27	1022	16.83	16.83	16.79	16.79	98700	1668305.00
2017/04/27	1023	16.80	16.81	16.79	16.81	49900	843129.00
2017/04/27	1024	16.80	16.80	16.79	16.79	140100	2367449.00
2017/04/27	1025	16.78	16.78	16.77	16.77	65800	1110296.00
2017/04/27	1026	16.77	16.80	16.75	16.78	141800	2390205.00
2017/04/27	1027	16.77	16.77	16.73	16.73	219000	3687619.00
2017/04/27	1028	16.73	16.73	16.70	16.70	284700	4785312.00
2017/04/27	1029	16.71	16.74	16.70	16.73	116900	1966597.00
2017/04/27	1030	16.74	16.74	16.71	16.72	80700	1358174.00
2017/04/27	1031	16.71	16.72	16.68	16.69	85000	1428004.00
2017/04/27	1032	16.67	16.68	16.61	16.61	204800	3430488.00
2017/04/27	1033	16.65	16.65	16.60	16.63	162600	2719562.00
2017/04/27	1034	16.60	16.63	16.60	16.63	222700	3722133.00
2017/04/27	1035	16.63	16.64	16.60	16.60	166100	2776343.00
2017/04/27	1036	16.62	16.64	16.60	16.63	186400	3116006.00
2017/04/27	1037	16.65	16.69	16.65	16.69	162500	2723824.00
2017/04/27	1038	16.69	16.71	16.67	16.70	77100	1295228.00
2017/04/27	1039	16.71	16.72	16.66	16.66	91300	1533743.00
2017/04/27	1040	16.68	16.71	16.67	16.71	128500	2155094.00
2017/04/27	1041	16.71	16.71	16.69	16.71	41800	702583.00
2017/04/27	1042	16.71	16.73	16.70	16.72	112000	1883370.00
2017/04/27	1043	16.72	16.74	16.71	16.72	215700	3628426.00
2017/04/27	1044	16.73	16.73	16.70	16.70	90400	1520002.00
2017/04/27	1045	16.70	16.73	16.70	16.73	128600	2162356.00
2017/04/27	1046	16.73	16.74	16.71	16.71	72300	1215891.00
2017/04/27	1047	16.72	16.76	16.71	16.76	121200	2038579.00
2017/04/27	1048	16.73	16.78	16.73	16.74	17200	289646.00
2017/04/27	1049	16.74	16.77	16.74	16.77	21900	369089.00
2017/04/27	1050	16.77	16.77	16.72	16.73	208200	3504603.00
2017/04/27	1051	16.76	16.77	16.72	16.72	37500	631059.00
2017/04/27	1052	16.72	16.72	16.69	16.69	78700	1322146.00
2017/04/27	1053	16.68	16.70	16.68	16.69	39200	658452.00
2017/04/27	1054	16.70	16.70	16.69	16.70	20200	339267.00
2017/04/27	1055	16.70	16.71	16.69	16.70	62700	1053788.00
2017/04/27	1056	16.69	16.69	16.67	16.67	55300	928179.06
2017/04/27	1057	16.67	16.69	16.67	16.69	28900	484812.00
2017/04/27	1058	16.68	16.70	16.68	16.70	13500	226712.00
2017/04/27	1059	16.69	16.71	16.69	16.71	20400	342634.00
2017/04/27	1100	16.70	16.71	16.69	16.71	75900	1274966.00
2017/04/27	1101	16.71	16.73	16.69	16.73	167600	2816370.00
2017/04/27	1102	16.75	16.77	16.72	16.76	79700	1341646.00
2017/04/27	1103	16.78	16.79	16.77	16.77	59600	1006310.00
2017/04/27	1104	16.77	16.77	16.77	16.77	14300	241241.02
2017/04/27	1105	16.76	16.78	16.73	16.73	48700	820280.00
2017/04/27	1106	16.73	16.73	16.72	16.73	17800	299503.00
2017/04/27	1107	16.73	16.73	16.72	16.73	9900	166565.00
2017/04/27	1108	16.73	16.75	16.72	16.75	66500	1119195.00
2017/04/27	1109	16.75	16.77	16.73	16.77	16200	273124.00
2017/04/27	1110	16.74	16.77	16.73	16.77	18200	306972.00
2017/04/27	1111	16.78	16.78	16.77	16.78	46200	779536.00
2017/04/27	1112	16.78	16.81	16.77	16.81	176400	2980899.00
2017/04/27	1113	16.80	16.82	16.80	16.82	34900	590260.00
2017/04/27	1114	16.83	16.83	16.79	16.80	57700	975482.00
2017/04/27	1115	16.79	16.81	16.79	16.81	38600	652369.00
2017/04/27	1116	16.81	16.83	16.79	16.83	93400	1579393.00
2017/04/27	1117	16.83	16.83	16.78	16.83	152400	2577208.00
2017/04/27	1118	16.83	16.83	16.78	16.80	138900	2346841.00
2017/04/27	1119	16.82	16.82	16.78	16.80	60000	1013438.00
2017/04/27	1120	16.80	16.80	16.78	16.78	31300	528520.00
2017/04/27	1121	16.79	16.80	16.77	16.77	79700	1346682.00
2017/04/27	1122	16.77	16.82	16.77	16.82	75300	1272647.00
2017/04/27	1123	16.82	16.82	16.78	16.80	53100	896989.00
2017/04/27	1124	16.79	16.82	16.79	16.79	66400	1121749.00
2017/04/27	1125	16.79	16.80	16.78	16.80	33000	557439.00
2017/04/27	1126	16.78	16.82	16.78	16.80	84000	1419536.00
2017/04/27	1127	16.78	16.82	16.78	16.80	65200	1101683.00
2017/04/27	1128	16.80	16.82	16.79	16.80	96100	1624665.00
2017/04/27	1129	16.80	16.82	16.79	16.82	55600	939725.00
