601021 春秋航空 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	32.32	32.32	32.14	32.19	28000	906068.00
2017/04/27	0932	32.09	32.09	31.99	31.99	7300	235095.00
2017/04/27	0933	31.94	32.00	31.92	31.94	6900	221628.00
2017/04/27	0934	31.94	32.05	31.94	32.05	3500	112440.00
2017/04/27	0935	32.05	32.17	31.99	32.04	7600	245070.02
2017/04/27	0936	32.04	32.04	32.01	32.01	4500	144794.98
2017/04/27	0937	32.03	32.04	32.00	32.00	13100	421501.00
2017/04/27	0938	31.99	32.00	31.97	31.97	8200	263631.00
2017/04/27	0939	31.98	31.99	31.97	31.98	10100	324588.00
2017/04/27	0940	31.96	31.98	31.95	31.98	15000	481943.00
2017/04/27	0941	31.98	32.04	31.97	32.04	14400	463171.00
2017/04/27	0942	32.00	32.04	31.98	32.04	13400	431088.00
2017/04/27	0943	32.05	32.05	32.05	32.05	4200	135282.00
2017/04/27	0944	32.05	32.05	32.04	32.04	8700	280185.00
2017/04/27	0945	31.99	31.99	31.98	31.99	7000	225048.02
2017/04/27	0946	31.99	32.04	31.99	32.04	5200	167300.02
2017/04/27	0947	32.00	32.00	31.99	32.00	8000	257214.00
2017/04/27	0948	32.00	32.04	31.99	32.04	6600	212243.00
2017/04/27	0949	32.00	32.04	31.99	32.00	5100	164089.00
2017/04/27	0950	32.02	32.02	32.02	32.02	2100	67578.00
2017/04/27	0951	32.02	32.02	31.99	31.99	8900	286232.00
2017/04/27	0952	31.99	32.14	31.99	31.99	8900	286386.00
2017/04/27	0953	31.99	31.99	31.98	31.98	3800	122162.00
2017/04/27	0954	31.99	32.14	31.99	32.14	7600	245014.00
2017/04/27	0955	32.13	32.13	32.02	32.02	6000	193388.00
2017/04/27	0956	32.02	32.02	32.02	32.02	3800	122284.00
2017/04/27	0957	32.02	32.02	32.02	32.02	2700	86886.00
2017/04/27	0958	32.05	32.12	32.04	32.04	2800	90297.00
2017/04/27	0959	32.07	32.07	32.02	32.02	5700	183491.00
2017/04/27	1000	32.02	32.02	31.99	31.99	15800	508064.00
2017/04/27	1001	31.98	31.99	31.97	31.97	11700	376013.00
2017/04/27	1002	31.98	31.98	31.94	31.94	24700	793025.00
2017/04/27	1003	31.94	31.94	31.84	31.84	56100	1796787.00
2017/04/27	1004	31.86	31.89	31.80	31.80	15900	508711.00
2017/04/27	1005	31.80	31.83	31.74	31.83	24700	788932.00
2017/04/27	1006	31.75	31.76	31.75	31.75	19900	635093.00
2017/04/27	1007	31.75	31.83	31.74	31.74	18400	587207.00
2017/04/27	1008	31.75	31.75	31.74	31.74	10800	344549.00
2017/04/27	1009	31.75	31.84	31.74	31.84	16400	523580.00
2017/04/27	1010	31.82	31.82	31.81	31.81	3900	124705.00
2017/04/27	1011	31.82	31.82	31.77	31.77	6800	217368.00
2017/04/27	1012	31.77	31.77	31.76	31.76	3800	121308.00
2017/04/27	1013	31.76	31.81	31.75	31.75	4100	130876.00
2017/04/27	1014	31.75	31.76	31.74	31.74	9600	306368.00
2017/04/27	1015	31.76	31.81	31.76	31.76	1700	54274.00
2017/04/27	1016	31.75	31.76	31.74	31.76	8800	280826.00
2017/04/27	1017	31.75	31.75	31.74	31.75	7600	242502.00
2017/04/27	1018	31.75	31.75	31.72	31.73	15200	484758.00
2017/04/27	1019	31.72	31.72	31.62	31.64	22300	709813.00
2017/04/27	1020	31.60	31.64	31.54	31.54	16600	526806.00
2017/04/27	1021	31.54	31.59	31.53	31.54	14700	466052.00
2017/04/27	1022	31.52	31.54	31.48	31.54	12600	398956.00
2017/04/27	1023	31.52	31.59	31.52	31.54	12400	393167.00
2017/04/27	1024	31.55	31.57	31.55	31.56	11700	371169.00
2017/04/27	1025	31.56	31.59	31.56	31.59	8900	282437.00
2017/04/27	1026	31.59	31.59	31.56	31.56	4500	142811.00
2017/04/27	1027	31.58	31.58	31.55	31.57	7600	241092.00
2017/04/27	1028	31.55	31.69	31.55	31.69	10100	320872.00
2017/04/27	1029	31.60	31.69	31.60	31.63	8400	266950.00
2017/04/27	1030	31.64	31.64	31.58	31.59	10900	346100.00
2017/04/27	1031	31.59	31.59	31.57	31.58	11000	349111.00
2017/04/27	1032	31.64	31.68	31.58	31.58	5300	168654.00
2017/04/27	1033	31.55	31.65	31.55	31.64	13700	434879.00
2017/04/27	1034	31.54	31.64	31.54	31.64	9600	304751.00
2017/04/27	1035	31.61	31.61	31.52	31.53	15700	497680.00
2017/04/27	1036	31.47	31.53	31.44	31.45	18300	578726.00
2017/04/27	1037	31.44	31.45	31.42	31.42	17100	540247.00
2017/04/27	1038	31.43	31.46	31.35	31.46	44800	1414040.00
2017/04/27	1039	31.47	31.47	31.37	31.39	18500	584097.00
2017/04/27	1040	31.39	31.40	31.37	31.39	17900	564702.00
2017/04/27	1041	31.38	31.40	31.37	31.40	17100	539387.00
2017/04/27	1042	31.40	31.49	31.39	31.48	14000	441999.00
2017/04/27	1043	31.49	31.55	31.48	31.55	7900	250251.00
2017/04/27	1044	31.60	31.63	31.59	31.59	6100	193833.00
2017/04/27	1045	31.57	31.62	31.57	31.62	5800	184118.00
2017/04/27	1046	31.62	31.63	31.61	31.63	10100	320954.00
2017/04/27	1047	31.61	31.63	31.61	31.63	7700	244715.00
2017/04/27	1048	31.62	31.64	31.62	31.62	5500	174878.00
2017/04/27	1049	31.63	31.64	31.63	31.64	4300	136723.00
2017/04/27	1050	31.65	31.72	31.65	31.65	5800	184778.00
2017/04/27	1051	31.65	31.69	31.65	31.69	5200	165492.00
2017/04/27	1052	31.69	31.69	31.66	31.69	7000	222914.00
2017/04/27	1053	31.69	31.71	31.69	31.69	9500	302577.00
2017/04/27	1054	31.68	31.72	31.68	31.72	14000	446012.00
2017/04/27	1055	31.69	31.72	31.69	31.69	11200	356876.00
2017/04/27	1056	31.74	31.76	31.71	31.76	13100	418039.00
2017/04/27	1057	31.76	31.81	31.76	31.81	10800	344866.00
2017/04/27	1058	31.81	31.83	31.81	31.82	15700	502033.00
2017/04/27	1059	31.81	31.83	31.81	31.83	7100	227039.00
2017/04/27	1100	31.83	31.86	31.83	31.86	10000	319966.00
2017/04/27	1101	31.85	31.94	31.84	31.90	6400	204963.00
2017/04/27	1102	31.94	31.94	31.86	31.92	4900	157023.00
2017/04/27	1103	31.90	32.03	31.90	32.00	13700	440033.00
2017/04/27	1104	32.04	32.13	32.04	32.13	13800	444847.00
2017/04/27	1105	32.13	32.13	32.13	32.13	13000	419770.00
2017/04/27	1106	32.12	32.12	32.04	32.04	8700	280274.00
2017/04/27	1107	32.04	32.04	32.00	32.00	8900	286340.00
2017/04/27	1108	32.00	32.03	32.00	32.00	6200	199407.00
2017/04/27	1109	31.95	31.99	31.95	31.98	3800	122123.01
2017/04/27	1110	31.98	31.98	31.95	31.95	2800	89962.00
2017/04/27	1111	31.94	31.94	31.92	31.94	5100	163622.02
2017/04/27	1112	31.94	31.94	31.85	31.94	16100	516492.00
2017/04/27	1113	31.94	31.94	31.84	31.85	7700	246667.00
2017/04/27	1114	31.84	31.85	31.84	31.84	8900	284833.00
2017/04/27	1115	31.92	32.03	31.85	32.03	17700	568616.00
2017/04/27	1116	32.04	32.07	31.85	32.02	14000	449505.00
2017/04/27	1117	32.03	32.03	31.84	31.85	7300	233926.00
2017/04/27	1118	31.85	32.02	31.84	31.85	14100	451546.00
2017/04/27	1119	31.85	31.85	31.75	31.84	9300	297171.00
2017/04/27	1120	31.84	32.00	31.75	31.77	4600	147394.00
2017/04/27	1121	31.77	31.84	31.76	31.84	4300	137297.00
2017/04/27	1122	31.84	31.84	31.83	31.83	9100	291179.00
2017/04/27	1123	31.83	31.83	31.79	31.79	3000	95926.00
2017/04/27	1124	31.78	31.81	31.78	31.79	3800	121404.00
2017/04/27	1125	31.79	31.83	31.77	31.77	4400	140572.00
2017/04/27	1126	31.78	31.78	31.78	31.78	400	12776.00
2017/04/27	1127	31.78	31.84	31.78	31.78	3700	118308.00
2017/04/27	1128	31.78	31.78	31.77	31.77	1700	54288.00
2017/04/27	1129	31.77	31.82	31.77	31.82	800	25567.00
2017/04/27	1300	31.83	31.84	31.79	31.83	9500	303667.00
2017/04/27	1301	31.83	31.83	31.83	31.83	0	0.00
2017/04/27	1302	31.83	31.84	31.83	31.83	3400	108768.00
2017/04/27	1303	31.82	31.84	31.82	31.84	4200	134373.00
2017/04/27	1304	31.83	31.84	31.83	31.83	2100	67192.00
2017/04/27	1305	31.83	31.83	31.82	31.82	2600	83165.00
2017/04/27	1306	31.81	31.82	31.80	31.82	1500	47957.00
2017/04/27	1307	31.82	31.83	31.78	31.78	2100	67135.00
2017/04/27	1308	31.79	31.80	31.79	31.80	900	28762.00
2017/04/27	1309	31.81	31.82	31.81	31.82	1100	35176.00
2017/04/27	1310	31.82	31.83	31.82	31.82	5000	159933.00
2017/04/27	1311	31.84	31.84	31.82	31.82	2600	83174.00
2017/04/27	1312	31.83	31.83	31.82	31.82	1600	51172.00
2017/04/27	1313	31.84	31.84	31.82	31.82	4100	131164.00
2017/04/27	1314	31.82	31.84	31.82	31.82	63600	2035128.00
2017/04/27	1315	32.04	32.14	31.84	31.84	35900	1154253.00
2017/04/27	1316	31.84	32.18	31.83	32.17	74100	2377479.00
2017/04/27	1317	32.17	32.18	31.86	31.86	40800	1314887.13
2017/04/27	1318	31.86	31.87	31.86	31.87	21400	685322.00
2017/04/27	1319	31.87	31.88	31.87	31.88	11800	378021.00
2017/04/27	1320	31.88	31.88	31.87	31.88	7800	249895.00
2017/04/27	1321	32.02	32.02	31.88	31.88	10300	330249.00
2017/04/27	1322	31.88	32.04	31.88	32.04	13600	436636.00
2017/04/27	1323	32.04	32.07	31.89	31.90	9600	308309.00
2017/04/27	1324	31.90	32.03	31.88	32.03	5500	176414.00
2017/04/27	1325	31.91	31.91	31.90	31.90	7900	253330.00
2017/04/27	1326	31.91	31.91	31.90	31.90	6200	198798.00
2017/04/27	1327	31.89	32.18	31.88	31.90	36100	1162512.00
2017/04/27	1328	31.89	32.32	31.89	32.04	36400	1177841.00
2017/04/27	1329	32.04	32.04	31.95	31.95	14100	453836.00
2017/04/27	1330	31.96	32.03	31.95	32.03	9000	289145.00
2017/04/27	1331	32.03	32.18	32.03	32.03	10900	351984.00
2017/04/27	1332	32.03	32.18	32.03	32.04	5300	170982.00
2017/04/27	1333	32.04	32.20	32.04	32.07	8700	281043.00
2017/04/27	1334	32.18	32.18	32.07	32.09	5200	167941.00
2017/04/27	1335	32.23	32.23	32.18	32.18	8800	284812.00
2017/04/27	1336	32.22	32.22	32.11	32.11	4900	158574.00
2017/04/27	1337	32.11	32.11	32.10	32.10	200	6453.00
2017/04/27	1338	32.10	32.11	32.09	32.11	6500	209649.00
2017/04/27	1339	32.09	32.14	32.09	32.11	4500	145233.00
2017/04/27	1340	32.11	32.11	32.10	32.11	2300	74220.00
2017/04/27	1341	32.11	32.11	32.11	32.11	1500	48405.00
2017/04/27	1342	32.11	32.18	32.11	32.18	3400	109871.00
2017/04/27	1343	32.10	32.11	32.10	32.11	1600	51617.00
2017/04/27	1344	32.12	32.12	32.12	32.12	700	22596.00
2017/04/27	1345	32.12	32.15	32.12	32.13	400	12916.00
2017/04/27	1346	32.13	32.15	32.13	32.13	1600	51684.00
2017/04/27	1347	32.13	32.14	32.13	32.14	1700	54894.00
2017/04/27	1348	32.13	32.15	32.13	32.14	5000	161494.00
2017/04/27	1349	32.15	32.18	32.15	32.18	28100	908511.00
2017/04/27	1350	32.19	32.23	32.16	32.23	11800	381640.97
2017/04/27	1351	32.19	32.19	32.19	32.19	1900	61465.00
2017/04/27	1352	32.16	32.22	32.16	32.22	3800	122912.00
2017/04/27	1353	32.16	32.16	32.16	32.16	1500	48480.00
2017/04/27	1354	32.17	32.17	32.17	32.17	8300	268339.03
2017/04/27	1355	32.16	32.17	32.16	32.16	9300	300598.00
2017/04/27	1356	32.16	32.16	32.16	32.16	5500	177760.00
2017/04/27	1357	32.15	32.15	32.15	32.15	3000	96930.00
2017/04/27	1358	32.15	32.22	32.15	32.16	23000	743260.00
2017/04/27	1359	32.16	32.16	32.15	32.15	8600	277919.00
2017/04/27	1400	32.15	32.18	32.13	32.18	9500	307047.00
2017/04/27	1401	32.15	32.20	32.15	32.18	7100	229518.00
2017/04/27	1402	32.18	32.18	32.18	32.18	1700	54978.00
2017/04/27	1403	32.17	32.20	32.17	32.20	7800	252204.02
2017/04/27	1404	32.17	32.17	32.16	32.16	1800	58192.00
2017/04/27	1405	32.16	32.16	32.14	32.14	10000	323170.00
