601155 新城控股 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.50	15.56	15.50	15.53	242000	3832631.00
2017/04/27	0932	15.53	15.53	15.49	15.50	116800	1848762.00
2017/04/27	0933	15.48	15.50	15.47	15.47	148100	2341435.00
2017/04/27	0934	15.48	15.52	15.48	15.52	56900	899805.00
2017/04/27	0935	15.52	15.52	15.48	15.49	41500	656464.00
2017/04/27	0936	15.49	15.51	15.48	15.49	39800	629787.00
2017/04/27	0937	15.48	15.49	15.34	15.34	461200	7273526.00
2017/04/27	0938	15.31	15.31	15.28	15.29	148700	2323622.00
2017/04/27	0939	15.29	15.31	15.27	15.31	221500	3459244.00
2017/04/27	0940	15.30	15.35	15.30	15.35	149100	2331558.00
2017/04/27	0941	15.35	15.35	15.32	15.34	101200	1585743.00
2017/04/27	0942	15.33	15.39	15.32	15.35	68200	1068645.00
2017/04/27	0943	15.33	15.35	15.33	15.35	143400	2247426.00
2017/04/27	0944	15.35	15.36	15.34	15.35	75500	1183751.00
2017/04/27	0945	15.38	15.38	15.32	15.33	59000	924763.00
2017/04/27	0946	15.32	15.33	15.31	15.31	115000	1799571.00
2017/04/27	0947	15.31	15.31	15.27	15.27	181300	2831210.00
2017/04/27	0948	15.28	15.28	15.23	15.23	118600	1848138.00
2017/04/27	0949	15.23	15.23	15.12	15.12	228700	3545920.00
2017/04/27	0950	15.12	15.17	15.10	15.15	268100	4144442.00
2017/04/27	0951	15.15	15.19	15.15	15.15	106400	1648428.00
2017/04/27	0952	15.15	15.18	15.14	15.14	93900	1454325.00
2017/04/27	0953	15.15	15.18	15.15	15.18	105400	1632263.00
2017/04/27	0954	15.18	15.28	15.17	15.19	99900	1552683.00
2017/04/27	0955	15.26	15.26	15.19	15.19	29400	456948.00
2017/04/27	0956	15.20	15.20	15.14	15.14	84200	1304386.00
2017/04/27	0957	15.14	15.15	15.12	15.14	153800	2378417.00
2017/04/27	0958	15.14	15.17	15.13	15.17	123600	1912562.00
2017/04/27	0959	15.16	15.17	15.13	15.14	56000	866459.00
2017/04/27	1000	15.13	15.14	15.11	15.11	117300	1813321.00
2017/04/27	1001	15.11	15.11	15.02	15.02	301200	4639159.00
2017/04/27	1002	15.02	15.06	15.01	15.01	165100	2534680.00
2017/04/27	1003	15.04	15.09	15.03	15.03	119800	1842805.00
2017/04/27	1004	15.10	15.16	15.07	15.10	84600	1308139.00
2017/04/27	1005	15.14	15.16	15.10	15.10	88000	1358641.00
2017/04/27	1006	15.10	15.10	15.08	15.09	52400	807885.00
2017/04/27	1007	15.09	15.09	15.08	15.08	105000	1618652.00
2017/04/27	1008	15.08	15.09	15.06	15.08	39200	603883.00
2017/04/27	1009	15.07	15.10	15.05	15.10	33900	522230.00
2017/04/27	1010	15.10	15.12	15.07	15.12	52500	809814.00
2017/04/27	1011	15.11	15.15	15.11	15.15	41200	636772.00
2017/04/27	1012	15.15	15.17	15.15	15.17	124400	1927480.00
2017/04/27	1013	15.17	15.23	15.17	15.18	75200	1167793.00
2017/04/27	1014	15.18	15.22	15.17	15.21	38900	603851.00
2017/04/27	1015	15.21	15.22	15.20	15.21	93900	1459534.00
2017/04/27	1016	15.21	15.21	15.18	15.18	33100	513552.00
2017/04/27	1017	15.18	15.19	15.17	15.19	25400	393872.00
2017/04/27	1018	15.18	15.18	15.16	15.16	32600	505297.00
2017/04/27	1019	15.15	15.15	15.10	15.12	67400	1041407.00
2017/04/27	1020	15.10	15.12	15.09	15.09	50400	777863.00
2017/04/27	1021	15.10	15.12	15.10	15.10	45600	703980.00
2017/04/27	1022	15.12	15.12	15.10	15.11	47900	739559.00
2017/04/27	1023	15.11	15.12	15.07	15.11	61800	953196.00
2017/04/27	1024	15.08	15.11	15.07	15.08	42500	655116.00
2017/04/27	1025	15.09	15.09	15.06	15.08	60800	936476.00
2017/04/27	1026	15.08	15.09	15.06	15.08	41800	643448.00
2017/04/27	1027	15.08	15.09	15.08	15.09	14800	228140.00
2017/04/27	1028	15.09	15.10	15.05	15.10	99500	1532396.00
2017/04/27	1029	15.10	15.14	15.10	15.12	26900	415454.00
2017/04/27	1030	15.13	15.15	15.13	15.15	25800	399069.00
2017/04/27	1031	15.16	15.16	15.12	15.12	94500	1462588.00
2017/04/27	1032	15.12	15.17	15.10	15.16	272000	4212289.00
2017/04/27	1033	15.17	15.17	15.10	15.15	175400	2717160.00
2017/04/27	1034	15.14	15.14	15.05	15.05	87200	1343510.00
2017/04/27	1035	15.08	15.08	15.02	15.06	249700	3845106.00
2017/04/27	1036	15.07	15.07	14.98	15.05	75800	1161791.00
2017/04/27	1037	15.02	15.05	14.99	15.01	38300	587568.00
2017/04/27	1038	15.02	15.05	14.99	15.04	189600	2905406.00
2017/04/27	1039	15.05	15.05	15.01	15.04	39200	601741.00
2017/04/27	1040	15.04	15.06	15.02	15.06	15100	232226.00
2017/04/27	1041	15.05	15.07	15.05	15.07	23700	364824.00
2017/04/27	1042	15.06	15.07	15.05	15.07	22100	340192.00
2017/04/27	1043	15.07	15.07	15.06	15.06	34000	523519.00
2017/04/27	1044	15.07	15.07	15.06	15.07	87800	1352001.00
2017/04/27	1045	15.10	15.14	15.07	15.12	21600	333755.00
2017/04/27	1046	15.13	15.14	15.12	15.12	29500	455909.00
2017/04/27	1047	15.12	15.12	15.06	15.06	35400	545236.00
2017/04/27	1048	15.07	15.07	15.06	15.07	33800	520252.00
2017/04/27	1049	15.06	15.07	15.04	15.04	40700	625915.00
2017/04/27	1050	15.04	15.07	15.03	15.05	12200	187571.00
2017/04/27	1051	15.07	15.07	15.03	15.03	25700	395026.00
2017/04/27	1052	15.07	15.07	15.03	15.07	20800	319788.00
2017/04/27	1053	15.07	15.07	15.03	15.07	19300	296904.00
2017/04/27	1054	15.03	15.07	15.03	15.07	12500	192302.00
2017/04/27	1055	15.04	15.07	15.04	15.06	14500	223059.00
2017/04/27	1056	15.06	15.07	15.04	15.07	76200	1172974.00
2017/04/27	1057	15.10	15.10	15.07	15.07	20700	318848.00
2017/04/27	1058	15.09	15.09	15.04	15.04	20900	321611.00
2017/04/27	1059	15.05	15.07	15.05	15.07	28500	438621.00
2017/04/27	1100	15.07	15.08	15.06	15.07	33200	511159.00
2017/04/27	1101	15.07	15.07	15.06	15.07	23200	357271.00
2017/04/27	1102	15.07	15.09	15.07	15.07	59500	916592.00
2017/04/27	1103	15.06	15.10	15.06	15.10	55200	849926.00
2017/04/27	1104	15.07	15.14	15.07	15.12	63700	983826.00
2017/04/27	1105	15.14	15.14	15.10	15.13	16700	258128.00
2017/04/27	1106	15.12	15.15	15.10	15.14	72700	1124333.00
2017/04/27	1107	15.14	15.15	15.13	15.15	33000	510637.00
2017/04/27	1108	15.15	15.17	15.14	15.14	80100	1239941.00
2017/04/27	1109	15.15	15.15	15.13	15.15	26700	413198.00
2017/04/27	1110	15.13	15.15	15.12	15.15	7200	111341.00
2017/04/27	1111	15.15	15.16	15.11	15.15	6600	102081.00
2017/04/27	1112	15.15	15.15	15.11	15.11	14200	219507.00
2017/04/27	1113	15.10	15.12	15.07	15.07	94800	1461224.00
2017/04/27	1114	15.06	15.12	15.06	15.11	22600	348592.00
2017/04/27	1115	15.12	15.15	15.12	15.12	68800	1063146.00
2017/04/27	1116	15.12	15.12	15.09	15.09	7500	115794.00
2017/04/27	1117	15.10	15.10	15.09	15.10	30400	469039.00
2017/04/27	1118	15.11	15.11	15.10	15.11	62900	970618.00
2017/04/27	1119	15.11	15.11	15.09	15.11	35300	544965.00
2017/04/27	1120	15.10	15.11	15.10	15.11	45500	702298.00
2017/04/27	1121	15.11	15.12	15.10	15.12	9900	152874.00
2017/04/27	1122	15.12	15.13	15.11	15.13	30700	474304.00
2017/04/27	1123	15.13	15.13	15.12	15.13	38600	596519.00
2017/04/27	1124	15.13	15.14	15.12	15.13	21200	327802.00
2017/04/27	1125	15.13	15.14	15.13	15.14	16900	261417.00
2017/04/27	1126	15.13	15.16	15.13	15.16	109200	1691256.00
2017/04/27	1127	15.16	15.17	15.15	15.17	61700	956021.00
2017/04/27	1128	15.17	15.17	15.15	15.15	39300	608921.00
2017/04/27	1129	15.15	15.15	15.13	15.14	52600	813335.00
2017/04/27	1300	15.15	15.15	15.09	15.13	154000	2379402.00
2017/04/27	1301	15.13	15.13	15.13	15.13	0	0.00
2017/04/27	1302	15.07	15.13	15.06	15.13	161000	2479773.00
2017/04/27	1303	15.12	15.12	15.08	15.08	11100	171290.00
2017/04/27	1304	15.07	15.11	15.07	15.09	103400	1594477.00
2017/04/27	1305	15.09	15.12	15.07	15.09	139700	2154659.00
2017/04/27	1306	15.07	15.09	15.07	15.09	6700	103266.00
2017/04/27	1307	15.09	15.09	15.08	15.09	8000	123348.00
2017/04/27	1308	15.09	15.09	15.07	15.08	51600	795070.00
2017/04/27	1309	15.08	15.08	15.07	15.08	8200	126324.00
2017/04/27	1310	15.07	15.07	15.06	15.07	67200	1034485.00
2017/04/27	1311	15.07	15.07	15.06	15.06	18200	280107.00
2017/04/27	1312	15.06	15.06	15.05	15.06	22400	344522.00
2017/04/27	1313	15.06	15.06	15.05	15.05	6500	100007.00
2017/04/27	1314	15.05	15.06	15.04	15.05	25300	389103.00
2017/04/27	1315	15.05	15.06	15.02	15.02	105600	1621733.00
2017/04/27	1316	15.02	15.06	15.01	15.05	55700	856168.00
2017/04/27	1317	15.05	15.05	15.03	15.04	19700	302906.00
