601166 兴业银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.73	14.73	14.68	14.69	1105900	16948762.00
2017/04/27	0932	14.68	14.68	14.62	14.65	528100	8065095.00
2017/04/27	0933	14.67	14.70	14.65	14.67	328000	5012306.00
2017/04/27	0934	14.69	14.69	14.67	14.69	279600	4275550.00
2017/04/27	0935	14.67	14.69	14.67	14.69	288400	4410436.00
2017/04/27	0936	14.67	14.68	14.67	14.68	340200	5200615.00
2017/04/27	0937	14.67	14.70	14.67	14.70	376200	5755985.00
2017/04/27	0938	14.69	14.72	14.68	14.68	217400	3326466.00
2017/04/27	0939	14.68	14.74	14.68	14.71	323600	4958964.00
2017/04/27	0940	14.70	14.73	14.70	14.73	135600	2077873.00
2017/04/27	0941	14.73	14.73	14.69	14.71	235500	3606789.00
2017/04/27	0942	14.71	14.72	14.69	14.69	180700	2766822.00
2017/04/27	0943	14.71	14.71	14.69	14.71	125700	1924194.00
2017/04/27	0944	14.71	14.72	14.70	14.72	199000	3048627.00
2017/04/27	0945	14.70	14.71	14.69	14.69	438600	6717564.00
2017/04/27	0946	14.69	14.71	14.69	14.69	227200	3476637.00
2017/04/27	0947	14.69	14.70	14.69	14.69	78400	1199720.00
2017/04/27	0948	14.69	14.71	14.68	14.70	161100	2465191.00
2017/04/27	0949	14.70	14.72	14.68	14.71	232700	3562190.00
2017/04/27	0950	14.69	14.72	14.68	14.70	129200	1977409.00
2017/04/27	0951	14.71	14.71	14.69	14.70	111000	1698923.00
2017/04/27	0952	14.69	14.70	14.68	14.69	185600	2839286.00
2017/04/27	0953	14.68	14.70	14.68	14.69	312600	4781468.00
2017/04/27	0954	14.70	14.71	14.68	14.70	199600	3054616.00
2017/04/27	0955	14.69	14.71	14.69	14.70	150600	2305918.00
2017/04/27	0956	14.70	14.71	14.69	14.70	102000	1560882.00
2017/04/27	0957	14.70	14.71	14.70	14.70	52700	806937.00
2017/04/27	0958	14.71	14.71	14.70	14.71	124600	1907926.00
2017/04/27	0959	14.70	14.70	14.69	14.70	217700	3331385.00
2017/04/27	1000	14.69	14.70	14.67	14.68	398800	6099781.00
2017/04/27	1001	14.68	14.69	14.67	14.68	358700	5484366.00
2017/04/27	1002	14.68	14.68	14.67	14.67	526300	8044767.00
2017/04/27	1003	14.67	14.68	14.66	14.68	399100	6098560.00
2017/04/27	1004	14.67	14.68	14.67	14.68	161700	2471821.00
2017/04/27	1005	14.68	14.68	14.65	14.67	826000	12617204.00
2017/04/27	1006	14.67	14.68	14.66	14.67	127700	1950801.00
2017/04/27	1007	14.67	14.68	14.66	14.67	294100	4493310.00
2017/04/27	1008	14.67	14.68	14.67	14.67	620100	9478090.00
2017/04/27	1009	14.68	14.69	14.68	14.69	291900	4464519.00
2017/04/27	1010	14.69	14.70	14.69	14.70	160700	2459779.00
2017/04/27	1011	14.70	14.70	14.68	14.69	458200	7012365.00
2017/04/27	1012	14.69	14.69	14.68	14.69	215000	3289082.00
2017/04/27	1013	14.69	14.70	14.68	14.70	468700	7167764.00
2017/04/27	1014	14.70	14.71	14.69	14.71	200700	3071838.00
2017/04/27	1015	14.70	14.71	14.70	14.71	378600	5799403.00
2017/04/27	1016	14.70	14.71	14.69	14.70	541700	8294823.00
2017/04/27	1017	14.71	14.71	14.70	14.71	111700	1710423.00
2017/04/27	1018	14.70	14.71	14.70	14.71	103600	1586864.00
2017/04/27	1019	14.70	14.72	14.70	14.72	242100	3709022.00
2017/04/27	1020	14.71	14.72	14.71	14.71	667000	10220479.00
2017/04/27	1021	14.72	14.72	14.71	14.71	169500	2597612.00
2017/04/27	1022	14.71	14.72	14.71	14.72	205300	3146405.00
2017/04/27	1023	14.72	14.72	14.71	14.72	164100	2515425.00
2017/04/27	1024	14.71	14.72	14.71	14.71	176400	2702678.00
2017/04/27	1025	14.72	14.72	14.71	14.72	133700	2048938.00
2017/04/27	1026	14.72	14.72	14.71	14.71	130700	2002825.00
2017/04/27	1027	14.72	14.72	14.71	14.72	124300	1904951.00
2017/04/27	1028	14.72	14.72	14.71	14.71	328500	5033132.00
2017/04/27	1029	14.71	14.72	14.71	14.72	186200	2852728.00
2017/04/27	1030	14.71	14.72	14.70	14.70	271000	4153330.00
2017/04/27	1031	14.70	14.71	14.70	14.71	155000	2373228.00
2017/04/27	1032	14.71	14.72	14.70	14.71	202000	3093222.00
2017/04/27	1033	14.70	14.70	14.69	14.69	377400	5777427.00
2017/04/27	1034	14.69	14.70	14.69	14.69	488000	7467199.00
2017/04/27	1035	14.69	14.71	14.69	14.71	315100	4824450.00
2017/04/27	1036	14.70	14.70	14.68	14.70	169300	2590879.00
2017/04/27	1037	14.69	14.70	14.69	14.69	130800	2001611.00
2017/04/27	1038	14.69	14.70	14.68	14.69	124800	1909714.00
2017/04/27	1039	14.69	14.69	14.68	14.68	296200	4529540.00
2017/04/27	1040	14.68	14.69	14.67	14.69	120300	1839459.00
2017/04/27	1041	14.68	14.70	14.68	14.68	156700	2396985.00
2017/04/27	1042	14.69	14.70	14.69	14.70	147000	2249392.00
2017/04/27	1043	14.70	14.71	14.69	14.69	63500	972122.00
2017/04/27	1044	14.69	14.70	14.69	14.69	114100	1746656.00
2017/04/27	1045	14.69	14.71	14.69	14.70	142800	2187079.00
2017/04/27	1046	14.70	14.71	14.70	14.70	97100	1487203.00
