601225 陕西煤业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	5.82	5.82	5.79	5.79	166900	988079.00
2017/04/27	0932	5.79	5.80	5.79	5.79	127800	754697.00
2017/04/27	0933	5.80	5.80	5.79	5.80	52300	308985.00
2017/04/27	0934	5.82	5.82	5.80	5.82	14100	83562.00
2017/04/27	0935	5.82	5.82	5.81	5.82	16200	95966.00
2017/04/27	0936	5.81	5.82	5.81	5.81	84200	498729.00
2017/04/27	0937	5.81	5.81	5.80	5.80	171400	1013401.00
2017/04/27	0938	5.79	5.80	5.79	5.80	212400	1253676.00
2017/04/27	0939	5.80	5.81	5.79	5.81	138800	820170.00
2017/04/27	0940	5.81	5.81	5.80	5.80	60700	359244.00
2017/04/27	0941	5.79	5.80	5.79	5.79	128000	755919.00
2017/04/27	0942	5.79	5.80	5.79	5.80	206700	1221407.00
2017/04/27	0943	5.79	5.80	5.79	5.79	87600	517051.00
2017/04/27	0944	5.79	5.79	5.78	5.79	47400	279321.00
2017/04/27	0945	5.79	5.79	5.78	5.78	21900	129207.00
2017/04/27	0946	5.78	5.79	5.78	5.78	53700	316294.00
2017/04/27	0947	5.78	5.79	5.78	5.78	20500	120805.00
2017/04/27	0948	5.79	5.79	5.78	5.79	86700	511022.00
2017/04/27	0949	5.79	5.80	5.78	5.79	190000	1120748.00
2017/04/27	0950	5.79	5.82	5.79	5.81	43600	258114.00
2017/04/27	0951	5.81	5.82	5.81	5.82	83400	494394.00
2017/04/27	0952	5.81	5.81	5.79	5.79	70700	417945.00
2017/04/27	0953	5.80	5.80	5.79	5.80	86000	508132.00
2017/04/27	0954	5.80	5.80	5.79	5.80	52200	308152.00
2017/04/27	0955	5.80	5.81	5.80	5.81	96900	572816.00
2017/04/27	0956	5.81	5.82	5.81	5.82	125300	742833.00
2017/04/27	0957	5.82	5.82	5.81	5.82	30000	177851.00
2017/04/27	0958	5.82	5.82	5.80	5.81	46700	276474.00
2017/04/27	0959	5.80	5.81	5.80	5.81	35900	212204.00
2017/04/27	1000	5.80	5.81	5.79	5.79	100100	591237.00
2017/04/27	1001	5.80	5.80	5.79	5.80	74300	438774.00
2017/04/27	1002	5.80	5.81	5.79	5.81	144500	853934.00
2017/04/27	1003	5.80	5.81	5.77	5.80	926700	5472748.00
