601238 广汽集团 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	25.01	25.08	25.01	25.08	54700	1386387.00
2017/04/27	0932	25.10	25.13	25.04	25.08	16300	414418.00
2017/04/27	0933	25.13	25.13	25.08	25.11	18100	460467.00
2017/04/27	0934	25.12	25.12	25.08	25.08	26600	676236.00
2017/04/27	0935	25.08	25.11	25.04	25.10	38700	983434.00
2017/04/27	0936	25.11	25.11	25.08	25.08	52000	1320894.00
2017/04/27	0937	25.08	25.08	25.07	25.07	10800	274309.00
2017/04/27	0938	25.07	25.07	25.04	25.04	20000	507356.00
2017/04/27	0939	25.04	25.04	25.01	25.02	20200	511924.00
2017/04/27	0940	25.01	25.02	24.98	24.98	32500	823155.00
2017/04/27	0941	24.95	24.95	24.89	24.95	6600	166549.00
2017/04/27	0942	24.96	25.01	24.96	24.98	6000	151781.00
2017/04/27	0943	25.01	25.03	25.01	25.03	13300	336944.00
2017/04/27	0944	25.03	25.06	25.03	25.06	5700	144553.00
2017/04/27	0945	25.04	25.05	25.04	25.05	5500	139513.00
2017/04/27	0946	25.04	25.04	25.01	25.03	6700	169866.00
2017/04/27	0947	25.01	25.03	24.97	25.02	5200	131743.00
2017/04/27	0948	25.02	25.03	25.02	25.03	6800	172379.00
2017/04/27	0949	25.03	25.05	25.03	25.03	4700	119157.00
2017/04/27	0950	25.04	25.05	25.04	25.04	4800	121756.00
2017/04/27	0951	25.05	25.06	25.04	25.05	4600	116687.00
2017/04/27	0952	25.04	25.05	25.04	25.05	6900	175004.00
2017/04/27	0953	25.05	25.06	25.04	25.04	24200	614040.00
2017/04/27	0954	25.04	25.05	25.03	25.03	10000	253569.00
2017/04/27	0955	25.02	25.02	25.01	25.02	5000	126675.00
2017/04/27	0956	25.02	25.03	25.02	25.03	4300	108978.00
2017/04/27	0957	25.03	25.03	25.02	25.03	3700	93794.00
2017/04/27	0958	25.03	25.03	25.02	25.02	4400	111499.00
2017/04/27	0959	25.02	25.02	24.98	24.99	13200	334325.00
2017/04/27	1000	25.00	25.00	24.93	24.93	8700	220055.00
2017/04/27	1001	24.93	24.93	24.90	24.90	29600	746802.00
2017/04/27	1002	24.91	24.93	24.90	24.93	15600	393570.00
2017/04/27	1003	24.92	24.98	24.92	24.97	5500	138966.00
2017/04/27	1004	24.93	24.97	24.93	24.94	13700	346191.00
2017/04/27	1005	24.94	24.94	24.93	24.93	7500	189394.00
2017/04/27	1006	24.93	24.95	24.93	24.95	27300	689639.00
2017/04/27	1007	24.97	24.97	24.93	24.94	34100	861572.06
2017/04/27	1008	24.94	24.98	24.94	24.95	14600	368865.00
2017/04/27	1009	24.95	24.95	24.93	24.93	4200	106118.00
2017/04/27	1010	24.93	24.93	24.93	24.93	2600	65650.00
2017/04/27	1011	24.93	24.98	24.93	24.93	6500	164130.00
2017/04/27	1012	24.93	24.93	24.93	24.93	6300	159075.00
2017/04/27	1013	24.94	24.97	24.94	24.96	4100	103620.00
2017/04/27	1014	24.96	24.96	24.95	24.96	7000	176950.00
2017/04/27	1015	24.96	24.96	24.95	24.95	4400	111192.00
2017/04/27	1016	24.96	24.96	24.95	24.96	5000	126398.00
2017/04/27	1017	24.96	24.97	24.96	24.97	1600	40452.00
2017/04/27	1018	24.97	24.98	24.97	24.98	1900	48052.00
2017/04/27	1019	24.98	24.98	24.97	24.98	4700	118868.00
2017/04/27	1020	24.98	24.98	24.96	24.98	3800	96082.00
2017/04/27	1021	24.95	24.98	24.95	24.98	4000	101147.00
2017/04/27	1022	24.98	24.98	24.96	24.96	1100	27820.00
2017/04/27	1023	24.98	24.98	24.96	24.96	3700	93554.00
2017/04/27	1024	24.96	24.98	24.96	24.97	2000	50581.00
2017/04/27	1025	24.98	24.98	24.97	24.98	2600	65765.00
2017/04/27	1026	24.98	24.98	24.97	24.98	7700	194774.00
2017/04/27	1027	24.98	24.98	24.97	24.98	6500	164396.00
2017/04/27	1028	24.98	24.98	24.96	24.96	2300	58165.00
2017/04/27	1029	24.96	24.96	24.96	24.96	2300	58144.00
2017/04/27	1030	24.96	24.97	24.96	24.96	4200	106196.00
2017/04/27	1031	24.96	24.96	24.96	24.96	0	0.00
2017/04/27	1032	24.95	24.95	24.94	24.94	54800	1384302.00
2017/04/27	1033	24.94	24.94	24.90	24.90	34400	868434.00
2017/04/27	1034	24.89	24.89	24.86	24.86	36000	906758.00
2017/04/27	1035	24.86	24.86	24.83	24.83	33700	848388.00
2017/04/27	1036	24.84	24.84	24.80	24.84	51000	1283140.00
2017/04/27	1037	24.79	24.90	24.79	24.86	19700	496121.00
2017/04/27	1038	24.89	24.90	24.86	24.86	14000	352797.00
2017/04/27	1039	24.87	24.87	24.84	24.84	21700	546487.00
2017/04/27	1040	24.83	24.84	24.83	24.84	19400	488040.00
2017/04/27	1041	24.83	24.86	24.83	24.86	29000	729826.00
2017/04/27	1042	24.85	24.86	24.85	24.85	900	22654.00
2017/04/27	1043	24.85	24.86	24.85	24.86	4000	100717.00
2017/04/27	1044	24.85	24.85	24.84	24.84	11100	279361.00
2017/04/27	1045	24.83	24.83	24.82	24.82	5500	138301.00
2017/04/27	1046	24.82	24.82	24.80	24.81	15400	386940.00
2017/04/27	1047	24.80	24.82	24.80	24.82	2200	55295.00
2017/04/27	1048	24.81	24.81	24.81	24.81	2500	62825.00
2017/04/27	1049	24.81	24.83	24.81	24.83	15300	384646.00
2017/04/27	1050	24.83	24.83	24.82	24.83	27400	689068.00
2017/04/27	1051	24.83	24.83	24.82	24.82	9900	248944.00
2017/04/27	1052	24.83	24.84	24.82	24.83	7700	193650.00
2017/04/27	1053	24.83	24.84	24.83	24.84	6800	171056.00
2017/04/27	1054	24.84	24.85	24.83	24.85	5800	145898.00
2017/04/27	1055	24.85	24.85	24.85	24.85	22800	573876.00
2017/04/27	1056	24.86	24.87	24.85	24.87	7600	191392.00
2017/04/27	1057	24.89	24.89	24.87	24.89	2800	70546.00
2017/04/27	1058	24.87	24.89	24.87	24.89	500	12597.00
2017/04/27	1059	24.88	24.88	24.88	24.88	100	2520.00
2017/04/27	1100	24.89	24.89	24.89	24.89	7300	184033.00
2017/04/27	1101	24.89	24.89	24.88	24.88	9400	236911.00
2017/04/27	1102	24.88	24.88	24.88	24.88	3900	98280.00
2017/04/27	1103	24.87	24.88	24.87	24.88	5800	146132.00
2017/04/27	1104	24.88	24.89	24.88	24.88	2800	70574.00
2017/04/27	1105	24.88	24.90	24.88	24.90	15200	383204.00
2017/04/27	1106	24.90	24.93	24.90	24.93	4100	103420.00
2017/04/27	1107	24.90	24.90	24.90	24.90	900	22698.00
2017/04/27	1108	24.91	24.93	24.91	24.93	3600	90856.00
2017/04/27	1109	24.91	24.93	24.91	24.93	2900	73223.00
2017/04/27	1110	24.91	24.91	24.90	24.90	2300	58025.00
2017/04/27	1111	24.90	24.90	24.89	24.89	4200	105909.00
2017/04/27	1112	24.89	24.92	24.89	24.92	1700	42863.00
2017/04/27	1113	24.88	24.92	24.88	24.90	2300	57970.00
2017/04/27	1114	24.92	24.92	24.91	24.92	3800	95903.00
2017/04/27	1115	24.92	24.92	24.89	24.89	13000	327948.00
2017/04/27	1116	24.89	24.89	24.89	24.89	2600	65546.00
2017/04/27	1117	24.88	24.89	24.88	24.88	3200	80641.00
2017/04/27	1118	24.89	24.89	24.88	24.89	2300	57981.00
2017/04/27	1119	24.89	24.89	24.89	24.89	8700	219327.00
2017/04/27	1120	24.89	24.90	24.89	24.90	11900	300116.00
2017/04/27	1121	24.90	24.91	24.89	24.91	3400	85756.00
2017/04/27	1122	24.91	24.92	24.90	24.91	13300	335594.00
2017/04/27	1123	24.90	24.92	24.90	24.92	3900	98405.00
2017/04/27	1124	24.91	24.91	24.90	24.90	13200	332995.00
2017/04/27	1125	24.90	24.91	24.90	24.91	7600	191740.00
2017/04/27	1126	24.91	24.91	24.90	24.90	3700	93346.00
2017/04/27	1127	24.90	24.90	24.89	24.90	2800	70612.00
2017/04/27	1128	24.90	24.90	24.90	24.90	1600	40352.00
2017/04/27	1129	24.90	24.91	24.90	24.90	1500	37832.00
2017/04/27	1300	24.89	24.98	24.89	24.98	83300	2103040.00
2017/04/27	1301	24.98	24.98	24.98	24.98	0	0.00
2017/04/27	1302	24.99	24.99	24.98	24.99	8700	220193.00
2017/04/27	1303	24.99	25.00	24.92	24.92	7100	179691.00
2017/04/27	1304	24.92	24.98	24.92	24.98	1200	30336.00
2017/04/27	1305	24.99	25.02	24.99	25.00	45300	1147238.00
2017/04/27	1306	25.03	25.03	25.01	25.03	10400	263638.00
2017/04/27	1307	25.04	25.05	25.04	25.05	16000	405885.00
2017/04/27	1308	25.05	25.07	25.05	25.07	25800	654696.00
2017/04/27	1309	25.07	25.18	25.07	25.18	115600	2941824.00
2017/04/27	1310	25.18	25.20	25.16	25.20	27800	708720.00
2017/04/27	1311	25.19	25.21	25.19	25.20	29200	745071.00
2017/04/27	1312	25.20	25.21	25.19	25.20	7700	196496.00
2017/04/27	1313	25.20	25.20	25.18	25.18	7100	181190.00
2017/04/27	1314	25.20	25.20	25.17	25.17	14400	367190.00
2017/04/27	1315	25.17	25.17	25.13	25.13	16900	430681.00
2017/04/27	1316	25.13	25.13	25.09	25.10	33400	849044.00
2017/04/27	1317	25.09	25.10	25.07	25.07	26100	662866.00
2017/04/27	1318	25.07	25.07	25.06	25.07	11800	299500.00
2017/04/27	1319	25.07	25.08	25.07	25.07	1600	40638.00
2017/04/27	1320	25.08	25.08	25.08	25.08	1400	35560.00
2017/04/27	1321	25.08	25.10	25.07	25.10	29200	741916.00
2017/04/27	1322	25.10	25.13	25.09	25.11	13200	335860.00
2017/04/27	1323	25.12	25.18	25.12	25.18	67600	1723740.00
2017/04/27	1324	25.17	25.21	25.17	25.18	42200	1076136.00
2017/04/27	1325	25.22	25.37	25.22	25.37	147000	3764124.00
2017/04/27	1326	25.38	25.47	25.38	25.45	34500	888644.00
2017/04/27	1327	25.43	25.45	25.43	25.43	62900	1620198.00
2017/04/27	1328	25.45	25.55	25.43	25.55	45500	1174001.00
2017/04/27	1329	25.54	25.56	25.47	25.53	152100	3932016.00
2017/04/27	1330	25.53	25.78	25.53	25.74	312100	8115604.00
2017/04/27	1331	25.74	25.98	25.68	25.98	545300	14314680.00
2017/04/27	1332	25.98	26.02	25.74	25.74	236000	6204565.00
2017/04/27	1333	25.74	25.75	25.70	25.74	50300	1310803.00
2017/04/27	1334	25.70	25.98	25.67	25.68	554500	14567133.00
2017/04/27	1335	25.68	25.98	25.68	25.69	605600	15893948.00
2017/04/27	1336	25.71	25.71	25.69	25.70	46100	1199759.00
2017/04/27	1337	25.70	25.70	25.62	25.62	38400	998379.00
2017/04/27	1338	25.61	25.63	25.61	25.61	13900	360503.00
2017/04/27	1339	25.60	25.60	25.58	25.58	32100	831678.00
2017/04/27	1340	25.56	25.71	25.56	25.70	381300	9915711.00
2017/04/27	1341	25.71	25.71	25.68	25.68	412400	10723297.00
2017/04/27	1342	25.70	25.70	25.68	25.68	293600	7633862.00
2017/04/27	1343	25.67	25.67	25.58	25.58	5700	147738.00
2017/04/27	1344	25.58	25.58	25.54	25.56	18200	470792.00
2017/04/27	1345	25.55	25.55	25.49	25.49	40700	1051680.00
2017/04/27	1346	25.49	25.49	25.46	25.46	49800	1284950.00
2017/04/27	1347	25.48	25.48	25.45	25.45	41000	1057672.00
2017/04/27	1348	25.48	25.50	25.48	25.48	56300	1452664.00
2017/04/27	1349	25.53	25.56	25.48	25.55	88700	2294467.00
2017/04/27	1350	25.54	25.54	25.49	25.49	16100	416168.00
2017/04/27	1351	25.49	25.49	25.48	25.49	73300	1891629.00
2017/04/27	1352	25.49	25.49	25.46	25.46	31100	802390.00
2017/04/27	1353	25.46	25.46	25.43	25.44	29300	754900.00
2017/04/27	1354	25.45	25.46	25.45	25.45	51800	1335010.00
2017/04/27	1355	25.48	25.48	25.46	25.48	43600	1124836.00
2017/04/27	1356	25.49	25.49	25.48	25.48	57700	1489037.00
2017/04/27	1357	25.48	25.50	25.48	25.50	14300	369079.00
2017/04/27	1358	25.52	25.52	25.50	25.50	15200	392616.00
2017/04/27	1359	25.50	25.50	25.46	25.46	19100	492818.00
2017/04/27	1400	25.46	25.46	25.43	25.44	46700	1202595.00
2017/04/27	1401	25.42	25.42	25.41	25.41	53500	1377081.00
2017/04/27	1402	25.41	25.44	25.41	25.43	40800	1050185.00
2017/04/27	1403	25.44	25.46	25.41	25.43	146400	3770366.00
2017/04/27	1404	25.43	25.43	25.39	25.39	66600	1712864.00
2017/04/27	1405	25.38	25.38	25.38	25.38	36300	932910.00
2017/04/27	1406	25.38	25.38	25.34	25.34	4800	123259.00
2017/04/27	1407	25.34	25.35	25.34	25.34	2300	59019.00
2017/04/27	1408	25.35	25.35	25.35	25.35	8200	210494.00
2017/04/27	1409	25.37	25.37	25.35	25.35	2100	53938.00
2017/04/27	1410	25.37	25.39	25.35	25.39	82500	2120246.00
2017/04/27	1411	25.39	25.39	25.38	25.39	14700	377936.00
2017/04/27	1412	25.39	25.39	25.38	25.38	23200	596258.00
2017/04/27	1413	25.38	25.38	25.37	25.38	3700	95086.00
2017/04/27	1414	25.38	25.38	25.37	25.38	32600	837805.00
2017/04/27	1415	25.38	25.39	25.37	25.37	29200	750288.00
2017/04/27	1416	25.37	25.37	25.34	25.34	35800	919206.00
2017/04/27	1417	25.35	25.35	25.35	25.35	12800	328576.00
2017/04/27	1418	25.36	25.38	25.34	25.38	73100	1877824.00
2017/04/27	1419	25.38	25.38	25.35	25.38	54400	1397233.00
2017/04/27	1420	25.39	25.39	25.38	25.38	18800	483284.00
2017/04/27	1421	25.36	25.36	25.33	25.33	149000	3822789.00
2017/04/27	1422	25.33	25.37	25.33	25.33	88400	2267472.00
2017/04/27	1423	25.32	25.32	25.31	25.31	6500	166654.00
2017/04/27	1424	25.32	25.32	25.29	25.29	70900	1816573.00
2017/04/27	1425	25.29	25.29	25.28	25.28	5900	151082.00
2017/04/27	1426	25.28	25.29	25.27	25.27	25000	639839.00
2017/04/27	1427	25.25	25.25	25.24	25.24	58600	1497886.00
2017/04/27	1428	25.23	25.25	25.23	25.25	56700	1449442.00
2017/04/27	1429	25.27	25.29	25.26	25.29	29700	760283.00
2017/04/27	1430	25.29	25.32	25.29	25.32	34800	892128.00
2017/04/27	1431	25.32	25.32	25.32	25.32	13300	341012.00
2017/04/27	1432	25.33	25.33	25.32	25.33	15500	397510.00
2017/04/27	1433	25.32	25.32	25.28	25.28	85400	2187416.00
2017/04/27	1434	25.29	25.29	25.28	25.28	3300	84490.00
2017/04/27	1435	25.28	25.28	25.25	25.25	5600	143266.00
2017/04/27	1436	25.25	25.25	25.24	25.25	58400	1493223.00
2017/04/27	1437	25.25	25.25	25.23	25.24	12400	316952.00
2017/04/27	1438	25.25	25.25	25.23	25.23	18800	480379.00
2017/04/27	1439	25.23	25.23	25.22	25.22	18300	467444.00
2017/04/27	1440	25.22	25.22	25.19	25.19	77100	1968293.13
2017/04/27	1441	25.18	25.18	25.15	25.15	50300	1282126.00
2017/04/27	1442	25.14	25.17	25.14	25.16	96400	2456200.00
2017/04/27	1443	25.16	25.18	25.13	25.13	111800	2847358.00
2017/04/27	1444	25.13	25.13	25.10	25.10	51300	1304397.00
2017/04/27	1445	25.10	25.10	25.08	25.08	131900	3351541.00
2017/04/27	1446	25.08	25.08	25.05	25.05	59400	1507566.00
2017/04/27	1447	25.04	25.04	25.02	25.03	117200	2970805.00
2017/04/27	1448	25.03	25.03	24.98	24.98	79400	2010632.00
2017/04/27	1449	24.97	24.98	24.94	24.95	92500	2339516.00
2017/04/27	1450	24.94	24.94	24.90	24.90	160900	4061244.00
2017/04/27	1451	24.90	24.90	24.86	24.86	121900	3071968.00
2017/04/27	1452	24.86	24.87	24.84	24.84	159600	4018308.00
2017/04/27	1453	24.84	24.84	24.80	24.80	136900	3441740.00
2017/04/27	1454	24.80	24.80	24.79	24.80	129300	3247050.00
2017/04/27	1455	24.80	24.81	24.80	24.81	62200	1562494.00
2017/04/27	1456	24.81	24.98	24.80	24.98	24400	613813.00
2017/04/27	1457	24.97	25.08	24.97	25.08	27700	700999.00
2017/04/27	1458	25.11	25.14	25.11	25.14	67100	1707396.00
2017/04/27	1459	25.14	25.16	25.13	25.16	86800	2209811.00
2017/04/27	1500	25.18	25.20	25.16	25.19	102600	2616916.00
2017/04/28	0931	25.18	25.18	25.09	25.09	81700	2082826.00
2017/04/28	0932	25.13	25.13	25.08	25.10	34100	866477.00
2017/04/28	0933	25.14	25.14	25.10	25.14	7300	185706.00
2017/04/28	0934	25.11	25.15	25.10	25.15	15600	396750.00
2017/04/28	0935	25.15	25.16	25.08	25.08	56800	1443916.00
2017/04/28	0936	25.08	25.08	24.96	24.96	3700	93784.00
2017/04/28	0937	24.96	25.02	24.91	24.98	28100	710084.00
2017/04/28	0938	25.03	25.07	25.02	25.02	22200	562654.00
2017/04/28	0939	25.08	25.08	25.02	25.08	82800	2102738.00
2017/04/28	0940	25.08	25.08	25.08	25.08	15400	391160.00
2017/04/28	0941	25.03	25.08	25.03	25.08	10300	261340.00
2017/04/28	0942	25.08	25.08	25.07	25.08	12300	312399.00
2017/04/28	0943	25.06	25.08	25.06	25.06	16700	424050.00
2017/04/28	0944	25.08	25.14	25.08	25.08	11800	300020.00
2017/04/28	0945	25.12	25.15	25.09	25.15	5400	137465.00
2017/04/28	0946	25.15	25.15	25.12	25.12	7900	201172.00
2017/04/28	0947	25.15	25.19	25.14	25.19	67600	1722766.00
2017/04/28	0948	25.19	25.26	25.19	25.23	34900	891813.00
2017/04/28	0949	25.23	25.23	25.20	25.21	5100	130243.00
2017/04/28	0950	25.20	25.26	25.20	25.26	44400	1133944.00
2017/04/28	0951	25.24	25.26	25.20	25.20	44800	1143776.00
2017/04/28	0952	25.24	25.24	25.18	25.18	50900	1299794.00
2017/04/28	0953	25.24	25.24	25.21	25.24	13300	339924.00
2017/04/28	0954	25.24	25.28	25.24	25.24	45500	1164054.00
2017/04/28	0955	25.31	25.33	25.31	25.31	38000	974175.00
2017/04/28	0956	25.31	25.34	25.31	25.31	44300	1136264.00
2017/04/28	0957	25.31	25.31	25.25	25.25	31600	808114.00
2017/04/28	0958	25.30	25.30	25.24	25.24	20100	513819.00
2017/04/28	0959	25.26	25.26	25.21	25.21	11300	288997.00
2017/04/28	1000	25.22	25.26	25.22	25.26	33700	861901.00
2017/04/28	1001	25.27	25.30	25.27	25.30	5700	145947.00
