601333 广深铁路 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	4.81	4.82	4.78	4.82	2280300	11135494.00
2017/04/27	0932	4.83	4.84	4.83	4.83	417500	2050147.00
2017/04/27	0933	4.83	4.83	4.81	4.83	590100	2895286.00
2017/04/27	0934	4.82	4.83	4.81	4.82	415800	2037339.00
2017/04/27	0935	4.82	4.82	4.81	4.81	515000	2520221.00
2017/04/27	0936	4.81	4.81	4.80	4.80	329000	1607035.00
2017/04/27	0937	4.81	4.81	4.78	4.78	658700	3212101.00
2017/04/27	0938	4.77	4.79	4.76	4.77	757000	3675485.00
2017/04/27	0939	4.77	4.78	4.76	4.77	871400	4222834.00
2017/04/27	0940	4.77	4.78	4.77	4.77	499000	2421056.00
2017/04/27	0941	4.78	4.78	4.76	4.77	504100	2445965.00
2017/04/27	0942	4.77	4.77	4.76	4.76	798800	3870886.00
2017/04/27	0943	4.75	4.76	4.74	4.75	531700	2569040.00
2017/04/27	0944	4.75	4.75	4.74	4.75	345400	1667361.00
2017/04/27	0945	4.74	4.75	4.74	4.75	392100	1893533.00
2017/04/27	0946	4.75	4.76	4.74	4.75	396900	1916593.00
2017/04/27	0947	4.75	4.76	4.74	4.75	799100	3858592.00
2017/04/27	0948	4.75	4.75	4.73	4.73	668000	3220174.00
2017/04/27	0949	4.74	4.74	4.73	4.73	410900	1977617.00
2017/04/27	0950	4.73	4.74	4.72	4.72	1144700	5497305.00
2017/04/27	0951	4.72	4.72	4.70	4.70	603200	2888075.00
2017/04/27	0952	4.69	4.69	4.67	4.67	920700	4383668.00
2017/04/27	0953	4.66	4.66	4.61	4.62	919500	4346482.00
2017/04/27	0954	4.62	4.62	4.60	4.62	2175000	10209288.00
2017/04/27	0955	4.62	4.64	4.62	4.63	1240200	5843336.00
2017/04/27	0956	4.63	4.64	4.63	4.63	1870600	8816521.00
2017/04/27	0957	4.63	4.63	4.61	4.62	840800	3954917.00
2017/04/27	0958	4.62	4.63	4.62	4.62	1054800	4961452.00
2017/04/27	0959	4.62	4.63	4.61	4.61	1260600	5922188.00
2017/04/27	1000	4.60	4.61	4.59	4.59	1587200	7419825.00
2017/04/27	1001	4.58	4.58	4.49	4.49	1635000	7514086.00
2017/04/27	1002	4.51	4.52	4.49	4.51	1891100	8668558.00
2017/04/27	1003	4.51	4.53	4.50	4.52	1546500	7096065.00
2017/04/27	1004	4.52	4.56	4.52	4.56	570000	2635098.00
2017/04/27	1005	4.56	4.58	4.55	4.58	326100	1514631.00
2017/04/27	1006	4.58	4.60	4.58	4.60	551900	2577636.00
2017/04/27	1007	4.60	4.61	4.59	4.61	765500	3578609.00
2017/04/27	1008	4.60	4.61	4.59	4.59	446200	2088956.00
2017/04/27	1009	4.59	4.60	4.56	4.57	513500	2392556.00
2017/04/27	1010	4.57	4.58	4.56	4.58	979100	4553790.00
2017/04/27	1011	4.58	4.60	4.58	4.60	298800	1394054.00
2017/04/27	1012	4.60	4.61	4.59	4.61	347800	1630254.00
2017/04/27	1013	4.61	4.62	4.61	4.62	709300	3332957.00
2017/04/27	1014	4.62	4.63	4.62	4.62	255400	1200969.88
2017/04/27	1015	4.62	4.62	4.61	4.61	514400	2414188.00
2017/04/27	1016	4.60	4.60	4.59	4.59	226700	1060004.00
2017/04/27	1017	4.58	4.60	4.58	4.59	585800	2735559.00
2017/04/27	1018	4.59	4.60	4.58	4.59	196000	914334.00
2017/04/27	1019	4.59	4.60	4.58	4.59	46800	218510.00
2017/04/27	1020	4.60	4.60	4.58	4.59	313700	1464611.00
2017/04/27	1021	4.59	4.60	4.59	4.60	177800	831091.00
2017/04/27	1022	4.59	4.62	4.59	4.60	283700	1329254.00
2017/04/27	1023	4.62	4.62	4.61	4.62	453400	2126777.00
2017/04/27	1024	4.61	4.62	4.61	4.62	100700	472845.00
2017/04/27	1025	4.62	4.63	4.61	4.62	139200	654938.00
2017/04/27	1026	4.62	4.63	4.61	4.62	197800	929734.00
2017/04/27	1027	4.62	4.63	4.62	4.63	83400	392439.00
2017/04/27	1028	4.62	4.63	4.62	4.62	136100	639858.00
2017/04/27	1029	4.62	4.63	4.62	4.62	50200	236107.00
2017/04/27	1030	4.62	4.62	4.61	4.61	347900	1633677.00
2017/04/27	1031	4.62	4.62	4.61	4.61	81100	380799.00
2017/04/27	1032	4.61	4.62	4.60	4.60	389900	1827161.00
2017/04/27	1033	4.60	4.61	4.59	4.60	538900	2522216.00
2017/04/27	1034	4.59	4.60	4.58	4.58	256200	1196211.00
2017/04/27	1035	4.59	4.59	4.58	4.58	168400	785319.00
2017/04/27	1036	4.58	4.59	4.58	4.58	275800	1285969.00
2017/04/27	1037	4.58	4.59	4.57	4.59	200800	935071.00
2017/04/27	1038	4.59	4.59	4.58	4.58	74400	347112.00
2017/04/27	1039	4.59	4.61	4.59	4.61	219800	1029007.00
2017/04/27	1040	4.60	4.61	4.60	4.60	110700	518244.00
2017/04/27	1041	4.60	4.61	4.59	4.60	78400	366974.00
2017/04/27	1042	4.60	4.61	4.59	4.60	42800	200376.00
2017/04/27	1043	4.61	4.61	4.60	4.60	116500	545642.00
2017/04/27	1044	4.60	4.61	4.60	4.60	108700	509547.00
2017/04/27	1045	4.60	4.62	4.60	4.61	134600	631443.00
2017/04/27	1046	4.61	4.62	4.60	4.60	124500	584556.00
2017/04/27	1047	4.60	4.62	4.60	4.61	96400	452526.00
2017/04/27	1048	4.60	4.62	4.60	4.61	76000	356701.00
2017/04/27	1049	4.61	4.62	4.60	4.61	379500	1780028.00
2017/04/27	1050	4.62	4.63	4.60	4.62	252500	1187014.00
2017/04/27	1051	4.62	4.62	4.61	4.62	114400	537521.00
2017/04/27	1052	4.62	4.63	4.62	4.63	86000	404305.97
2017/04/27	1053	4.62	4.63	4.62	4.62	152900	718984.00
2017/04/27	1054	4.63	4.63	4.62	4.63	141800	667815.00
2017/04/27	1055	4.62	4.63	4.62	4.62	60600	285167.00
2017/04/27	1056	4.63	4.63	4.62	4.63	134800	633660.94
2017/04/27	1057	4.62	4.63	4.62	4.63	215500	1014666.00
2017/04/27	1058	4.62	4.63	4.62	4.63	119300	561196.00
2017/04/27	1059	4.64	4.64	4.63	4.63	68400	322778.00
2017/04/27	1100	4.64	4.64	4.63	4.64	1275100	6018381.50
2017/04/27	1101	4.64	4.65	4.62	4.64	263700	1243785.00
2017/04/27	1102	4.64	4.65	4.63	4.65	170100	803623.00
