601336 新华保险 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	44.02	44.10	43.86	44.10	69700	3098179.00
2017/04/27	0932	44.12	44.35	44.03	44.32	29200	1307590.00
2017/04/27	0933	44.32	44.32	44.14	44.22	21800	975142.00
2017/04/27	0934	44.22	44.37	44.14	44.33	34000	1521036.00
2017/04/27	0935	44.37	44.46	44.36	44.46	18600	834854.00
2017/04/27	0936	44.46	44.62	44.46	44.50	66400	2987377.00
2017/04/27	0937	44.50	44.59	44.42	44.59	260400	11710555.00
2017/04/27	0938	44.61	44.62	44.47	44.47	81100	3651174.00
2017/04/27	0939	44.52	44.63	44.47	44.63	102200	4602317.00
2017/04/27	0940	44.57	44.78	44.56	44.60	81300	3670749.00
2017/04/27	0941	44.70	44.72	44.58	44.72	88700	4005184.00
2017/04/27	0942	44.72	44.75	44.61	44.61	137000	6191789.00
2017/04/27	0943	44.72	44.72	44.62	44.70	76500	3457029.00
2017/04/27	0944	44.70	44.72	44.70	44.71	66400	3000598.00
2017/04/27	0945	44.71	44.75	44.71	44.72	49700	2247082.00
2017/04/27	0946	44.75	44.75	44.69	44.74	125900	5692643.00
2017/04/27	0947	44.74	44.87	44.72	44.87	199200	9006721.00
2017/04/27	0948	44.90	45.10	44.87	45.10	221500	10078869.00
2017/04/27	0949	45.07	45.29	45.07	45.29	153800	7028815.00
2017/04/27	0950	45.32	45.32	45.20	45.20	104600	4786131.00
2017/04/27	0951	45.22	45.22	45.07	45.07	45600	2081598.00
2017/04/27	0952	45.07	45.07	44.91	44.91	218800	9948282.00
2017/04/27	0953	45.00	45.00	44.87	44.92	74000	3359450.00
2017/04/27	0954	44.96	44.98	44.92	44.92	84300	3828948.00
2017/04/27	0955	44.92	44.92	44.89	44.92	36700	1666085.00
2017/04/27	0956	44.92	44.92	44.87	44.88	48000	2177310.00
2017/04/27	0957	44.89	44.96	44.87	44.96	41200	1870194.00
2017/04/27	0958	44.97	44.99	44.96	44.98	41600	1890968.00
2017/04/27	0959	44.98	44.98	44.87	44.89	50600	2295617.00
2017/04/27	1000	44.87	44.87	44.72	44.72	207500	9382605.00
2017/04/27	1001	44.72	44.76	44.63	44.76	95600	4319907.00
2017/04/27	1002	44.72	44.82	44.63	44.80	92800	4196445.00
2017/04/27	1003	44.78	44.78	44.72	44.72	87500	3956987.00
2017/04/27	1004	44.73	44.80	44.72	44.79	69400	3137618.00
2017/04/27	1005	44.79	44.79	44.74	44.74	27700	1253307.00
2017/04/27	1006	44.74	44.74	44.70	44.71	55200	2495098.00
2017/04/27	1007	44.70	44.71	44.63	44.64	37700	1701082.00
2017/04/27	1008	44.62	44.74	44.62	44.73	98400	4444781.00
2017/04/27	1009	44.74	44.81	44.73	44.77	61300	2773150.00
2017/04/27	1010	44.77	44.82	44.74	44.81	12900	584078.00
2017/04/27	1011	44.80	44.81	44.77	44.77	28300	1280959.00
2017/04/27	1012	44.72	44.77	44.60	44.71	150000	6779535.00
2017/04/27	1013	44.62	44.71	44.62	44.62	41000	1849569.00
2017/04/27	1014	44.69	44.72	44.63	44.66	20800	939114.00
2017/04/27	1015	44.69	44.76	44.64	44.76	64700	2921813.00
2017/04/27	1016	44.76	44.77	44.72	44.76	86100	3893383.00
2017/04/27	1017	44.76	44.79	44.76	44.79	71100	3216912.00
2017/04/27	1018	44.79	44.85	44.75	44.85	93600	4239359.00
2017/04/27	1019	44.86	44.92	44.86	44.92	63100	2863231.00
2017/04/27	1020	44.92	44.92	44.82	44.86	75000	3400694.00
2017/04/27	1021	44.86	44.92	44.77	44.92	107900	4891660.00
2017/04/27	1022	44.94	44.94	44.92	44.94	26700	1212568.00
2017/04/27	1023	44.94	44.94	44.90	44.90	98800	4485544.00
2017/04/27	1024	44.90	44.90	44.74	44.89	30400	1378588.00
2017/04/27	1025	44.89	44.89	44.75	44.87	22700	1028196.00
2017/04/27	1026	44.85	44.89	44.85	44.89	20000	907260.00
2017/04/27	1027	44.89	44.90	44.87	44.89	88600	4018342.00
2017/04/27	1028	44.87	44.91	44.85	44.90	68900	3124802.00
2017/04/27	1029	44.87	44.92	44.87	44.90	45600	2069903.00
2017/04/27	1030	44.90	44.92	44.87	44.91	35100	1593031.00
2017/04/27	1031	44.91	44.92	44.87	44.92	60000	2722041.00
2017/04/27	1032	44.92	44.92	44.87	44.87	31800	1442901.00
2017/04/27	1033	44.93	44.94	44.87	44.94	86800	3939368.00
2017/04/27	1034	44.92	44.92	44.87	44.92	37000	1678759.00
2017/04/27	1035	44.87	44.88	44.72	44.86	161200	7294477.00
2017/04/27	1036	44.92	44.94	44.77	44.91	82700	3753503.00
2017/04/27	1037	44.92	44.92	44.75	44.88	41400	1875856.00
2017/04/27	1038	44.88	44.88	44.77	44.87	43500	1970902.00
2017/04/27	1039	44.83	44.87	44.70	44.72	109500	4954722.00
2017/04/27	1040	44.72	44.73	44.60	44.61	222200	10028831.00
2017/04/27	1041	44.60	44.61	44.55	44.55	42800	1929272.13
2017/04/27	1042	44.52	44.55	44.52	44.55	50800	2286464.00
2017/04/27	1043	44.52	44.55	44.43	44.47	51900	2334465.00
2017/04/27	1044	44.43	44.52	44.42	44.50	107100	4809496.00
2017/04/27	1045	44.52	44.76	44.52	44.76	166900	7542030.00
2017/04/27	1046	44.61	44.82	44.61	44.63	70000	3166917.00
2017/04/27	1047	44.70	44.70	44.62	44.70	33400	1507518.00
2017/04/27	1048	44.70	44.70	44.62	44.67	64500	2911177.00
2017/04/27	1049	44.67	44.67	44.52	44.52	92500	4169761.00
2017/04/27	1050	44.52	44.53	44.44	44.48	135000	6074238.00
2017/04/27	1051	44.48	44.48	44.40	44.42	136100	6111655.00
2017/04/27	1052	44.42	44.42	44.37	44.42	95500	4285286.00
2017/04/27	1053	44.42	44.47	44.39	44.47	52900	2375467.00
2017/04/27	1054	44.47	44.48	44.40	44.40	41300	1854488.00
2017/04/27	1055	44.39	44.47	44.39	44.39	39300	1764330.00
2017/04/27	1056	44.48	44.48	44.39	44.48	49400	2218783.00
2017/04/27	1057	44.49	44.49	44.43	44.44	33700	1514703.00
2017/04/27	1058	44.44	44.50	44.44	44.50	28000	1258820.00
2017/04/27	1059	44.50	44.67	44.49	44.67	21200	955025.00
2017/04/27	1100	44.62	44.75	44.62	44.72	22200	1003138.00
2017/04/27	1101	44.71	44.74	44.67	44.74	134400	6074875.00
2017/04/27	1102	44.74	44.75	44.72	44.74	73900	3341700.00
2017/04/27	1103	44.76	44.82	44.76	44.80	28800	1304089.00
2017/04/27	1104	44.83	44.87	44.83	44.87	19000	861386.00
2017/04/27	1105	44.90	44.90	44.87	44.89	31800	1442910.00
2017/04/27	1106	44.90	44.90	44.85	44.85	23700	1074709.00
2017/04/27	1107	44.85	44.88	44.74	44.82	34000	1540463.00
2017/04/27	1108	44.86	44.87	44.75	44.86	14100	639088.00
