601377 兴业证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.40	7.40	7.38	7.38	409100	3088213.00
2017/04/27	0932	7.38	7.39	7.37	7.39	237300	1787924.00
2017/04/27	0933	7.39	7.41	7.38	7.39	308400	2326826.00
2017/04/27	0934	7.40	7.40	7.39	7.40	85700	647006.00
2017/04/27	0935	7.40	7.41	7.39	7.41	131600	993808.00
2017/04/27	0936	7.41	7.41	7.39	7.40	230700	1741681.00
2017/04/27	0937	7.40	7.40	7.39	7.39	637900	4813537.00
2017/04/27	0938	7.40	7.40	7.38	7.38	287600	2167455.00
2017/04/27	0939	7.38	7.40	7.38	7.39	343000	2585900.00
2017/04/27	0940	7.39	7.40	7.39	7.39	179800	1355854.00
2017/04/27	0941	7.39	7.40	7.39	7.39	281900	2125596.00
2017/04/27	0942	7.39	7.40	7.39	7.39	279800	2110347.00
2017/04/27	0943	7.40	7.40	7.39	7.39	217400	1639215.00
2017/04/27	0944	7.39	7.39	7.38	7.39	114800	865241.00
2017/04/27	0945	7.39	7.40	7.39	7.40	195300	1473559.00
2017/04/27	0946	7.40	7.40	7.39	7.40	51200	386383.00
2017/04/27	0947	7.40	7.40	7.39	7.40	276000	2083760.00
2017/04/27	0948	7.40	7.42	7.40	7.41	451900	3413856.00
2017/04/27	0949	7.41	7.42	7.41	7.42	326900	2472302.00
2017/04/27	0950	7.42	7.42	7.40	7.41	156100	1180230.00
2017/04/27	0951	7.41	7.42	7.41	7.41	155300	1174839.00
2017/04/27	0952	7.41	7.42	7.41	7.41	263400	1991546.00
2017/04/27	0953	7.42	7.42	7.40	7.41	297900	2252708.00
2017/04/27	0954	7.41	7.41	7.40	7.40	329800	2491664.00
2017/04/27	0955	7.40	7.40	7.39	7.39	293000	2210896.00
2017/04/27	0956	7.40	7.41	7.39	7.40	438500	3310526.00
2017/04/27	0957	7.41	7.41	7.39	7.40	315700	2385341.00
2017/04/27	0958	7.40	7.41	7.40	7.40	158900	1199697.00
2017/04/27	0959	7.40	7.41	7.39	7.40	212900	1606479.00
2017/04/27	1000	7.39	7.40	7.38	7.39	397300	2995785.00
2017/04/27	1001	7.39	7.39	7.37	7.37	508600	3830075.00
2017/04/27	1002	7.37	7.38	7.36	7.37	783800	5895943.00
2017/04/27	1003	7.38	7.38	7.37	7.37	197000	1482126.00
2017/04/27	1004	7.37	7.38	7.37	7.38	166900	1255342.00
2017/04/27	1005	7.38	7.39	7.37	7.39	312800	2354908.00
2017/04/27	1006	7.39	7.39	7.38	7.38	137900	1039138.00
2017/04/27	1007	7.39	7.39	7.38	7.39	296400	2234221.00
2017/04/27	1008	7.39	7.40	7.39	7.39	182500	1376086.00
2017/04/27	1009	7.39	7.39	7.38	7.39	225700	1701671.00
2017/04/27	1010	7.39	7.39	7.39	7.39	299900	2261246.00
2017/04/27	1011	7.38	7.39	7.38	7.38	267900	2018777.00
2017/04/27	1012	7.38	7.40	7.38	7.40	133400	1005681.00
2017/04/27	1013	7.39	7.40	7.39	7.39	62500	471260.00
2017/04/27	1014	7.39	7.40	7.38	7.40	102800	775046.00
2017/04/27	1015	7.39	7.40	7.39	7.39	195500	1474560.00
2017/04/27	1016	7.39	7.40	7.39	7.40	81300	613565.00
2017/04/27	1017	7.39	7.40	7.39	7.39	205500	1549951.00
2017/04/27	1018	7.39	7.39	7.38	7.38	168700	1270471.00
2017/04/27	1019	7.39	7.39	7.38	7.38	182300	1373432.00
2017/04/27	1020	7.38	7.39	7.38	7.38	74300	559929.00
2017/04/27	1021	7.38	7.40	7.38	7.39	392100	2954198.00
2017/04/27	1022	7.39	7.40	7.38	7.39	129600	977423.00
2017/04/27	1023	7.40	7.40	7.39	7.40	302100	2278494.00
2017/04/27	1024	7.40	7.40	7.39	7.40	416300	3139545.00
2017/04/27	1025	7.40	7.40	7.39	7.40	117400	885964.00
2017/04/27	1026	7.40	7.40	7.39	7.40	135400	1022111.00
2017/04/27	1027	7.39	7.41	7.39	7.40	264500	1997386.00
2017/04/27	1028	7.39	7.41	7.39	7.41	253300	1912806.00
2017/04/27	1029	7.41	7.41	7.40	7.41	460900	3481018.00
2017/04/27	1030	7.41	7.42	7.41	7.42	581700	4401572.00
2017/04/27	1031	7.42	7.42	7.40	7.40	242300	1830262.00
2017/04/27	1032	7.39	7.41	7.39	7.41	246400	1862523.00
2017/04/27	1033	7.41	7.41	7.40	7.40	488900	3694574.00
2017/04/27	1034	7.40	7.41	7.40	7.40	315000	2378752.00
2017/04/27	1035	7.40	7.40	7.39	7.40	233700	1764119.00
2017/04/27	1036	7.40	7.40	7.39	7.39	271200	2046035.00
2017/04/27	1037	7.39	7.39	7.38	7.39	377000	2841346.00
2017/04/27	1038	7.39	7.41	7.38	7.40	688200	5187859.00
2017/04/27	1039	7.40	7.40	7.39	7.40	174100	1314277.00
2017/04/27	1040	7.39	7.40	7.39	7.40	282000	2126443.00
2017/04/27	1041	7.40	7.41	7.39	7.39	331800	2503131.00
2017/04/27	1042	7.39	7.41	7.39	7.40	332800	2512369.00
2017/04/27	1043	7.41	7.41	7.40	7.41	436500	3299365.00
2017/04/27	1044	7.41	7.41	7.40	7.41	286900	2167936.00
2017/04/27	1045	7.41	7.42	7.40	7.42	152500	1153294.00
2017/04/27	1046	7.41	7.42	7.41	7.42	88600	670412.00
2017/04/27	1047	7.41	7.41	7.40	7.41	96100	726172.00
2017/04/27	1048	7.40	7.41	7.40	7.41	93800	708619.00
2017/04/27	1049	7.40	7.41	7.40	7.41	149200	1126785.00
2017/04/27	1050	7.40	7.40	7.39	7.40	83400	629491.00
2017/04/27	1051	7.40	7.40	7.39	7.39	92000	694114.00
2017/04/27	1052	7.40	7.41	7.39	7.40	123800	934416.00
2017/04/27	1053	7.40	7.41	7.40	7.40	54700	413063.00
2017/04/27	1054	7.41	7.41	7.39	7.40	85600	646355.00
2017/04/27	1055	7.40	7.41	7.39	7.39	87500	660719.00
2017/04/27	1056	7.40	7.41	7.40	7.41	113100	853948.00
2017/04/27	1057	7.40	7.41	7.39	7.39	129800	979978.00
2017/04/27	1058	7.39	7.40	7.39	7.39	150900	1138324.00
2017/04/27	1059	7.40	7.41	7.39	7.40	89900	678640.00
2017/04/27	1100	7.40	7.41	7.39	7.39	141100	1065224.00
2017/04/27	1101	7.40	7.41	7.39	7.41	182900	1381625.00
2017/04/27	1102	7.40	7.41	7.40	7.40	295500	2232824.00
2017/04/27	1103	7.41	7.41	7.40	7.41	170500	1288777.00
2017/04/27	1104	7.41	7.41	7.40	7.41	391500	2958952.00
2017/04/27	1105	7.41	7.41	7.40	7.40	234800	1773449.00
2017/04/27	1106	7.41	7.41	7.40	7.40	424900	3208445.00
2017/04/27	1107	7.41	7.41	7.40	7.40	155900	1177943.00
2017/04/27	1108	7.40	7.41	7.40	7.41	44000	332637.00
2017/04/27	1109	7.42	7.42	7.40	7.40	76400	577829.00
2017/04/27	1110	7.41	7.42	7.40	7.42	89500	676742.00
2017/04/27	1111	7.41	7.42	7.40	7.40	70600	533740.00
