601555 东吴证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.73	11.80	11.72	11.73	451300	5368722.00
2017/04/27	0932	11.73	11.76	11.71	11.76	71100	844224.00
2017/04/27	0933	11.74	11.77	11.74	11.77	87200	1038064.00
2017/04/27	0934	11.77	11.78	11.76	11.77	56300	671417.00
2017/04/27	0935	11.77	11.78	11.74	11.77	137800	1639113.00
2017/04/27	0936	11.75	11.77	11.72	11.73	128600	1528048.00
2017/04/27	0937	11.73	11.73	11.66	11.69	403900	4782307.00
2017/04/27	0938	11.69	11.70	11.67	11.68	134700	1593975.00
2017/04/27	0939	11.69	11.74	11.69	11.74	118000	1400027.00
2017/04/27	0940	11.74	11.76	11.74	11.75	75100	893583.00
2017/04/27	0941	11.76	11.77	11.74	11.75	115700	1377467.00
2017/04/27	0942	11.75	11.76	11.74	11.74	67900	808047.00
2017/04/27	0943	11.74	11.75	11.74	11.74	20200	240203.00
2017/04/27	0944	11.74	11.74	11.72	11.72	37900	450275.00
2017/04/27	0945	11.73	11.74	11.72	11.72	65900	782778.00
2017/04/27	0946	11.73	11.74	11.73	11.73	40800	484877.00
2017/04/27	0947	11.73	11.74	11.72	11.73	37400	444359.00
2017/04/27	0948	11.72	11.73	11.72	11.72	73700	875093.00
2017/04/27	0949	11.73	11.73	11.70	11.72	109200	1294349.00
2017/04/27	0950	11.71	11.71	11.70	11.71	65300	774436.00
2017/04/27	0951	11.71	11.72	11.70	11.71	166100	1969459.00
2017/04/27	0952	11.71	11.73	11.70	11.71	49500	587259.00
2017/04/27	0953	11.71	11.73	11.71	11.71	37700	447162.00
2017/04/27	0954	11.71	11.73	11.71	11.73	50500	599452.00
2017/04/27	0955	11.72	11.73	11.72	11.73	41300	490290.00
2017/04/27	0956	11.73	11.74	11.73	11.73	37300	443244.00
2017/04/27	0957	11.72	11.74	11.72	11.73	33400	396762.00
2017/04/27	0958	11.73	11.74	11.73	11.73	43900	521661.00
2017/04/27	0959	11.72	11.74	11.71	11.71	272600	3234822.00
2017/04/27	1000	11.71	11.72	11.70	11.70	196600	2331306.00
2017/04/27	1001	11.70	11.71	11.69	11.69	195400	2314498.00
2017/04/27	1002	11.69	11.71	11.68	11.70	273600	3240724.00
2017/04/27	1003	11.70	11.70	11.68	11.69	124400	1472897.00
2017/04/27	1004	11.70	11.70	11.69	11.70	135100	1600425.00
2017/04/27	1005	11.71	11.71	11.69	11.69	72100	854185.00
2017/04/27	1006	11.69	11.70	11.69	11.69	64900	768904.00
2017/04/27	1007	11.71	11.71	11.70	11.70	52300	619988.00
2017/04/27	1008	11.71	11.71	11.70	11.70	46500	551277.00
2017/04/27	1009	11.70	11.71	11.70	11.70	102600	1215839.00
2017/04/27	1010	11.70	11.71	11.69	11.71	17800	210924.00
2017/04/27	1011	11.71	11.71	11.70	11.70	98600	1168797.00
2017/04/27	1012	11.71	11.72	11.70	11.71	39900	473114.00
2017/04/27	1013	11.72	11.72	11.71	11.71	27600	327516.00
2017/04/27	1014	11.72	11.72	11.71	11.71	28600	339371.00
