601601 中国太保 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	26.90	26.94	26.85	26.91	201500	5561662.00
2017/04/27	0932	26.94	27.02	26.94	27.00	183100	5068299.00
2017/04/27	0933	27.00	27.05	26.96	26.96	171300	4745587.00
2017/04/27	0934	27.00	27.05	26.96	27.00	174600	4837071.00
2017/04/27	0935	26.98	27.07	26.98	27.06	455400	12636340.00
2017/04/27	0936	27.06	27.17	27.06	27.17	362800	10094085.00
2017/04/27	0937	27.18	27.20	27.10	27.16	245400	6835915.00
2017/04/27	0938	27.10	27.18	27.07	27.10	317900	8840419.00
2017/04/27	0939	27.08	27.19	27.08	27.18	241700	6733454.00
2017/04/27	0940	27.20	27.22	27.20	27.21	218100	6085855.00
2017/04/27	0941	27.20	27.33	27.20	27.28	396500	11085162.00
2017/04/27	0942	27.28	27.34	27.25	27.25	134100	3753447.00
2017/04/27	0943	27.25	27.27	27.21	27.24	115700	3231856.00
2017/04/27	0944	27.18	27.23	27.13	27.15	220100	6139697.00
2017/04/27	0945	27.16	27.20	27.16	27.19	103800	2894617.00
2017/04/27	0946	27.18	27.19	27.15	27.15	205300	5721486.00
2017/04/27	0947	27.16	27.24	27.13	27.24	313100	8734488.00
2017/04/27	0948	27.24	27.34	27.23	27.34	650900	18219400.00
2017/04/27	0949	27.35	27.39	27.34	27.38	498700	13990458.00
2017/04/27	0950	27.37	27.45	27.37	27.37	372600	10474618.00
2017/04/27	0951	27.35	27.44	27.30	27.38	493500	13863004.00
2017/04/27	0952	27.35	27.36	27.26	27.30	98900	2767997.00
2017/04/27	0953	27.26	27.30	27.25	27.30	153600	4299935.00
2017/04/27	0954	27.33	27.33	27.30	27.32	121600	3407266.00
2017/04/27	0955	27.31	27.33	27.27	27.29	179800	5033513.00
2017/04/27	0956	27.28	27.32	27.28	27.30	352100	9858862.00
2017/04/27	0957	27.30	27.32	27.30	27.32	100300	2808749.00
2017/04/27	0958	27.31	27.33	27.30	27.33	349600	9793584.00
2017/04/27	0959	27.33	27.33	27.29	27.30	203800	5705934.00
2017/04/27	1000	27.30	27.30	27.27	27.27	202000	5652670.00
2017/04/27	1001	27.27	27.27	27.24	27.25	95300	2664015.00
2017/04/27	1002	27.25	27.27	27.23	27.27	316400	8843234.00
2017/04/27	1003	27.27	27.27	27.21	27.25	96200	2688410.00
2017/04/27	1004	27.21	27.26	27.20	27.25	105800	2955970.00
2017/04/27	1005	27.26	27.27	27.26	27.27	132800	3714224.00
2017/04/27	1006	27.27	27.27	27.24	27.25	121200	3387636.00
2017/04/27	1007	27.26	27.26	27.24	27.24	102400	2862121.00
2017/04/27	1008	27.24	27.24	27.18	27.21	114400	3192977.00
2017/04/27	1009	27.22	27.22	27.18	27.18	127500	3557580.00
2017/04/27	1010	27.19	27.19	27.15	27.17	44500	1240686.00
2017/04/27	1011	27.18	27.18	27.15	27.15	31900	888742.00
2017/04/27	1012	27.15	27.18	27.15	27.18	78000	2173840.00
2017/04/27	1013	27.18	27.20	27.18	27.20	139800	3898840.00
2017/04/27	1014	27.20	27.20	27.18	27.19	30400	847901.00
2017/04/27	1015	27.18	27.22	27.18	27.21	143300	3998100.00
2017/04/27	1016	27.21	27.23	27.16	27.23	242300	6761208.00
2017/04/27	1017	27.21	27.23	27.14	27.23	269400	7506569.00
2017/04/27	1018	27.21	27.23	27.16	27.18	75000	2092732.00
2017/04/27	1019	27.18	27.19	27.16	27.17	183400	5113121.50
2017/04/27	1020	27.16	27.17	27.14	27.15	36200	1008493.00
2017/04/27	1021	27.14	27.16	27.13	27.16	67800	1888277.00
2017/04/27	1022	27.16	27.17	27.15	27.15	187600	5225985.00
2017/04/27	1023	27.15	27.18	27.14	27.18	94500	2632963.00
2017/04/27	1024	27.20	27.20	27.17	27.19	162200	4524871.00
2017/04/27	1025	27.19	27.21	27.19	27.21	105400	2941042.00
2017/04/27	1026	27.21	27.21	27.18	27.21	95700	2670141.00
2017/04/27	1027	27.20	27.21	27.17	27.20	112400	3136276.00
2017/04/27	1028	27.17	27.21	27.17	27.21	98200	2739260.00
2017/04/27	1029	27.20	27.22	27.20	27.22	118700	3313344.00
2017/04/27	1030	27.23	27.23	27.20	27.20	54700	1527040.00
2017/04/27	1031	27.22	27.22	27.21	27.21	58700	1638889.00
2017/04/27	1032	27.21	27.21	27.19	27.19	189500	5287460.00
2017/04/27	1033	27.21	27.21	27.17	27.17	78500	2189410.00
2017/04/27	1034	27.15	27.17	27.12	27.14	225600	6282104.00
2017/04/27	1035	27.14	27.17	27.12	27.13	311700	8677881.00
2017/04/27	1036	27.12	27.14	27.12	27.14	48400	1347115.00
2017/04/27	1037	27.13	27.17	27.13	27.16	126600	3525667.00
2017/04/27	1038	27.16	27.16	27.11	27.15	118100	3289266.00
2017/04/27	1039	27.15	27.17	27.12	27.17	149900	4175584.00
2017/04/27	1040	27.17	27.17	27.16	27.16	55000	1532745.00
2017/04/27	1041	27.17	27.17	27.14	27.16	73000	2033915.00
2017/04/27	1042	27.16	27.16	27.14	27.15	90500	2520669.00
2017/04/27	1043	27.12	27.14	27.11	27.12	37700	1048920.00
2017/04/27	1044	27.12	27.12	27.10	27.10	171100	4757851.00
2017/04/27	1045	27.11	27.11	27.08	27.10	133400	3708450.00
2017/04/27	1046	27.08	27.11	27.08	27.10	115600	3213853.00
2017/04/27	1047	27.08	27.11	27.08	27.11	74900	2082239.00
2017/04/27	1048	27.10	27.11	27.09	27.11	157300	4373779.00
2017/04/27	1049	27.10	27.11	27.10	27.10	203400	5654954.00
2017/04/27	1050	27.10	27.10	27.09	27.10	54300	1509486.00
2017/04/27	1051	27.09	27.10	27.08	27.10	85900	2387641.00
2017/04/27	1052	27.09	27.09	27.08	27.09	46400	1289388.13
2017/04/27	1053	27.09	27.11	27.08	27.10	124000	3446434.00
2017/04/27	1054	27.08	27.10	27.08	27.09	52800	1467431.00
2017/04/27	1055	27.09	27.10	27.08	27.08	92300	2565244.00
2017/04/27	1056	27.09	27.09	27.08	27.08	82900	2303462.25
2017/04/27	1057	27.09	27.09	27.07	27.07	110200	3061409.00
2017/04/27	1058	27.08	27.09	27.07	27.08	141700	3936842.00
2017/04/27	1059	27.06	27.08	27.06	27.08	54900	1524755.00
2017/04/27	1100	27.08	27.08	27.07	27.08	119200	3311027.00
2017/04/27	1101	27.08	27.09	27.08	27.09	134200	3728667.00
2017/04/27	1102	27.09	27.09	27.08	27.09	147700	4104531.00
2017/04/27	1103	27.09	27.10	27.08	27.09	89800	2495610.00
2017/04/27	1104	27.09	27.11	27.09	27.10	269600	7495146.00
2017/04/27	1105	27.10	27.10	27.08	27.09	60400	1678621.00
2017/04/27	1106	27.08	27.09	27.07	27.08	103900	2886438.00
2017/04/27	1107	27.07	27.09	27.07	27.08	91900	2553206.00
2017/04/27	1108	27.08	27.08	27.05	27.08	128600	3571077.00
2017/04/27	1109	27.08	27.08	27.06	27.07	127900	3550993.00
2017/04/27	1110	27.07	27.07	26.99	26.99	129300	3583107.00
2017/04/27	1111	26.99	27.00	26.96	26.96	275000	7614587.00
2017/04/27	1112	26.96	26.99	26.96	26.99	166400	4603854.00
2017/04/27	1113	26.99	27.02	26.98	27.00	381100	10558007.00
2017/04/27	1114	27.00	27.01	26.98	26.98	89100	2467791.00
2017/04/27	1115	26.99	27.01	26.98	27.00	169900	4706783.00
2017/04/27	1116	27.01	27.01	26.99	26.99	117200	3246199.00
2017/04/27	1117	26.99	27.00	26.98	26.98	106200	2940980.00
2017/04/27	1118	27.00	27.01	26.98	27.00	80600	2233171.00
2017/04/27	1119	27.01	27.01	26.99	26.99	127300	3526121.00
2017/04/27	1120	27.01	27.01	26.98	27.00	98500	2728418.00
2017/04/27	1121	26.99	27.00	26.98	26.99	82300	2278977.00
2017/04/27	1122	26.99	27.00	26.98	26.99	97500	2699916.00
2017/04/27	1123	26.99	26.99	26.98	26.98	96100	2660376.00
2017/04/27	1124	26.97	27.00	26.97	26.98	71500	1978820.00
2017/04/27	1125	26.97	27.00	26.94	26.98	142500	3942398.00
2017/04/27	1126	26.95	27.00	26.95	27.00	138000	3821848.00
2017/04/27	1127	27.01	27.01	26.96	27.00	55500	1536960.00
2017/04/27	1128	27.00	27.01	27.00	27.01	97000	2687700.00
2017/04/27	1129	27.00	27.03	27.00	27.03	146700	4066645.00
2017/04/27	1300	27.03	27.03	26.99	27.00	149500	4141769.00
2017/04/27	1301	27.00	27.00	27.00	27.00	0	0.00
2017/04/27	1302	26.99	27.00	26.98	26.98	79500	2201366.00
2017/04/27	1303	26.98	26.99	26.98	26.99	41500	1148925.00
2017/04/27	1304	26.99	27.00	26.98	27.00	70600	1955131.00
2017/04/27	1305	27.00	27.00	26.98	26.99	52200	1445420.00
2017/04/27	1306	26.99	26.99	26.97	26.97	131000	3626209.00
2017/04/27	1307	26.98	26.99	26.97	26.99	37900	1049013.00
2017/04/27	1308	26.98	27.00	26.98	26.99	68900	1908037.00
2017/04/27	1309	26.99	26.99	26.97	26.98	90800	2513690.00
2017/04/27	1310	26.98	26.98	26.96	26.96	96900	2681173.00
2017/04/27	1311	26.96	26.96	26.94	26.94	71300	1971514.00
2017/04/27	1312	26.94	26.95	26.93	26.94	146900	4060301.00
2017/04/27	1313	26.94	26.94	26.91	26.93	132600	3664138.00
2017/04/27	1314	26.93	26.96	26.93	26.96	105500	2916463.00
2017/04/27	1315	26.94	26.95	26.94	26.94	125200	3461126.00
2017/04/27	1316	26.93	26.95	26.93	26.94	83500	2308018.00
2017/04/27	1317	26.94	26.94	26.92	26.92	63500	1754459.00
2017/04/27	1318	26.93	26.94	26.92	26.94	62300	1721535.00
2017/04/27	1319	26.94	26.94	26.93	26.94	67900	1876724.00
2017/04/27	1320	26.94	26.94	26.93	26.94	83700	2313451.00
2017/04/27	1321	26.94	26.94	26.93	26.94	67200	1857389.00
2017/04/27	1322	26.94	26.94	26.93	26.94	77300	2136393.00
2017/04/27	1323	26.94	26.94	26.92	26.93	117500	3246470.00
2017/04/27	1324	26.93	26.93	26.92	26.93	63100	1743367.00
2017/04/27	1325	26.92	26.93	26.92	26.92	131200	3624671.00
2017/04/27	1326	26.93	26.94	26.93	26.94	133900	3700159.00
2017/04/27	1327	26.94	26.94	26.93	26.94	109800	3034646.00
2017/04/27	1328	26.93	26.95	26.93	26.95	128200	3543787.00
2017/04/27	1329	26.94	26.95	26.94	26.94	229300	6338063.00
2017/04/27	1330	26.94	26.95	26.94	26.95	194100	5366362.00
2017/04/27	1331	26.93	26.95	26.93	26.94	169400	4681780.00
2017/04/27	1332	26.94	26.94	26.93	26.94	92400	2553488.00
2017/04/27	1333	26.93	26.94	26.93	26.94	137800	3808698.00
2017/04/27	1334	26.94	26.96	26.94	26.94	188400	5210020.00
2017/04/27	1335	26.95	26.95	26.94	26.95	115300	3187597.00
2017/04/27	1336	26.95	26.95	26.93	26.94	65500	1810672.00
2017/04/27	1337	26.93	26.94	26.93	26.94	168100	4644912.00
2017/04/27	1338	26.93	26.95	26.93	26.95	103900	2872182.00
2017/04/27	1339	26.94	26.95	26.94	26.95	154800	4279478.00
2017/04/27	1340	26.94	26.94	26.93	26.94	68900	1904085.00
2017/04/27	1341	26.93	26.95	26.93	26.95	102900	2844049.00
2017/04/27	1342	26.94	26.94	26.93	26.94	119500	3302960.00
2017/04/27	1343	26.94	26.95	26.94	26.94	101900	2816762.00
2017/04/27	1344	26.94	26.95	26.94	26.95	187000	5169876.00
2017/04/27	1345	26.95	26.95	26.93	26.94	136300	3767722.00
2017/04/27	1346	26.94	26.95	26.93	26.95	124200	3433270.00
2017/04/27	1347	26.95	26.95	26.94	26.95	186500	5156301.00
2017/04/27	1348	26.95	26.96	26.94	26.96	400900	11085167.00
2017/04/27	1349	26.96	26.96	26.95	26.96	71700	1983216.00
2017/04/27	1350	26.96	26.96	26.95	26.96	109600	3031494.00
2017/04/27	1351	26.96	26.96	26.95	26.96	143100	3957906.00
2017/04/27	1352	26.96	26.96	26.94	26.94	166600	4606593.00
2017/04/27	1353	26.94	26.94	26.93	26.94	55000	1520192.00
2017/04/27	1354	26.94	26.94	26.93	26.93	193900	5358853.00
2017/04/27	1355	26.94	26.94	26.93	26.94	95200	2631327.00
2017/04/27	1356	26.94	26.95	26.94	26.94	115200	3184425.00
2017/04/27	1357	26.94	26.95	26.92	26.93	237900	6575178.00
2017/04/27	1358	26.93	26.94	26.93	26.93	98400	2719227.00
2017/04/27	1359	26.94	26.94	26.93	26.94	74600	2061915.00
2017/04/27	1400	26.94	26.94	26.94	26.94	47900	1323956.00
2017/04/27	1401	26.94	26.94	26.94	26.94	91100	2518004.00
2017/04/27	1402	26.94	26.94	26.92	26.93	172500	4766659.00
2017/04/27	1403	26.93	26.93	26.91	26.92	115400	3187635.00
2017/04/27	1404	26.92	26.92	26.91	26.92	88600	2446774.00
2017/04/27	1405	26.92	26.92	26.91	26.92	73900	2040990.00
2017/04/27	1406	26.92	26.92	26.91	26.92	91800	2535343.00
2017/04/27	1407	26.92	26.93	26.91	26.92	80000	2209928.00
2017/04/27	1408	26.93	26.93	26.92	26.93	117100	3234889.00
2017/04/27	1409	26.92	26.93	26.92	26.93	70700	1953090.00
2017/04/27	1410	26.93	26.93	26.92	26.92	99100	2737614.00
2017/04/27	1411	26.92	26.92	26.91	26.92	70500	1947203.00
2017/04/27	1412	26.92	26.93	26.91	26.92	69700	1925170.00
2017/04/27	1413	26.93	26.93	26.93	26.93	99100	2738133.00
2017/04/27	1414	26.93	26.93	26.92	26.93	97900	2704955.00
2017/04/27	1415	26.93	26.94	26.92	26.94	172700	4772550.00
2017/04/27	1416	26.93	26.94	26.93	26.93	92700	2561993.00
2017/04/27	1417	26.94	26.94	26.93	26.94	97200	2686588.00
2017/04/27	1418	26.94	26.95	26.93	26.95	124700	3446852.00
2017/04/27	1419	26.94	26.95	26.93	26.94	100000	2764060.00
2017/04/27	1420	26.93	26.95	26.93	26.94	74600	2062163.00
2017/04/27	1421	26.94	26.95	26.93	26.93	91100	2517977.00
2017/04/27	1422	26.95	26.95	26.94	26.94	135700	3751830.00
2017/04/27	1423	26.94	26.95	26.94	26.95	100000	2764484.00
2017/04/27	1424	26.95	26.95	26.94	26.95	105300	2911489.00
2017/04/27	1425	26.95	26.96	26.94	26.95	117800	3257406.00
2017/04/27	1426	26.95	26.97	26.95	26.97	114200	3158993.00
2017/04/27	1427	26.97	26.97	26.96	26.97	128100	3544056.00
2017/04/27	1428	26.97	26.97	26.96	26.96	74600	2064160.00
2017/04/27	1429	26.97	27.00	26.97	27.00	273500	7573206.00
2017/04/27	1430	27.00	27.01	26.99	27.01	74000	2050252.00
2017/04/27	1431	27.01	27.01	27.00	27.01	61200	1695755.00
2017/04/27	1432	27.01	27.02	27.00	27.00	76800	2128335.00
2017/04/27	1433	27.01	27.03	27.00	27.03	87100	2414494.00
2017/04/27	1434	27.03	27.05	27.02	27.04	121100	3359035.00
2017/04/27	1435	27.04	27.04	27.03	27.04	48600	1348136.00
2017/04/27	1436	27.04	27.04	27.03	27.03	83400	2313229.00
2017/04/27	1437	27.02	27.03	27.02	27.03	82900	2298315.00
2017/04/27	1438	27.03	27.03	27.02	27.03	64400	1785782.00
2017/04/27	1439	27.03	27.04	27.02	27.04	95100	2637594.00
2017/04/27	1440	27.04	27.04	27.03	27.04	28100	779480.00
2017/04/27	1441	27.04	27.06	27.04	27.06	203600	5650984.00
2017/04/27	1442	27.05	27.06	27.05	27.06	109300	3033693.00
2017/04/27	1443	27.05	27.06	27.05	27.06	54100	1501727.00
2017/04/27	1444	27.06	27.06	27.05	27.06	79800	2215223.00
2017/04/27	1445	27.06	27.06	27.05	27.05	58800	1631853.00
2017/04/27	1446	27.06	27.06	27.05	27.05	45300	1257374.00
2017/04/27	1447	27.06	27.06	27.05	27.06	82200	2281782.00
2017/04/27	1448	27.06	27.06	27.05	27.05	206600	5734827.00
2017/04/27	1449	27.05	27.06	27.03	27.03	74700	2072979.00
2017/04/27	1450	27.03	27.03	27.00	27.02	66900	1854640.00
2017/04/27	1451	27.03	27.03	26.99	26.99	33200	919789.00
2017/04/27	1452	26.97	27.00	26.96	26.97	49900	1380827.00
2017/04/27	1453	26.97	26.98	26.96	26.97	81800	2263249.00
2017/04/27	1454	26.98	26.98	26.95	26.95	34100	943344.00
2017/04/27	1455	26.95	26.96	26.92	26.92	60500	1672581.00
2017/04/27	1456	26.94	26.94	26.92	26.93	30600	845572.00
2017/04/27	1457	26.93	26.93	26.92	26.92	70600	1950150.00
2017/04/27	1458	26.92	26.94	26.92	26.94	94400	2608255.00
2017/04/27	1459	26.93	26.99	26.93	26.99	30500	843759.00
2017/04/27	1500	26.99	27.08	26.99	27.06	130400	3619777.00
2017/04/28	0931	27.06	27.14	27.01	27.14	51800	1438132.00
2017/04/28	0932	27.18	27.27	27.13	27.13	91900	2568938.00
2017/04/28	0933	27.26	27.27	27.14	27.14	111000	3101827.00
2017/04/28	0934	27.14	27.15	27.10	27.10	18200	506599.00
2017/04/28	0935	27.10	27.10	27.07	27.07	14200	394449.00
2017/04/28	0936	27.08	27.08	27.01	27.01	20600	572052.00
2017/04/28	0937	27.01	27.05	27.00	27.00	15200	421246.00
