601688 华泰证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.34	16.34	16.31	16.32	303700	5112701.00
2017/04/27	0932	16.33	16.33	16.31	16.32	126300	2124183.00
2017/04/27	0933	16.30	16.33	16.28	16.29	215000	3612157.75
2017/04/27	0934	16.32	16.32	16.29	16.32	45500	764927.00
2017/04/27	0935	16.31	16.33	16.31	16.33	73600	1237863.00
2017/04/27	0936	16.31	16.32	16.30	16.30	142700	2398494.00
2017/04/27	0937	16.30	16.30	16.24	16.24	402900	6754203.00
2017/04/27	0938	16.24	16.25	16.23	16.25	199600	3342258.00
2017/04/27	0939	16.25	16.32	16.24	16.32	223000	3739850.00
2017/04/27	0940	16.30	16.32	16.30	16.31	44300	744563.94
2017/04/27	0941	16.31	16.31	16.30	16.30	77500	1302250.00
2017/04/27	0942	16.30	16.31	16.27	16.28	61900	1039453.94
2017/04/27	0943	16.28	16.28	16.27	16.28	75200	1261357.00
2017/04/27	0944	16.27	16.29	16.27	16.29	94500	1585319.00
2017/04/27	0945	16.29	16.30	16.28	16.28	47100	790696.06
2017/04/27	0946	16.28	16.29	16.27	16.29	56700	951296.06
2017/04/27	0947	16.27	16.29	16.26	16.27	61200	1026234.00
2017/04/27	0948	16.27	16.29	16.27	16.27	37600	630744.00
2017/04/27	0949	16.28	16.28	16.26	16.26	59200	992873.06
2017/04/27	0950	16.27	16.28	16.26	16.28	87900	1474457.00
2017/04/27	0951	16.28	16.30	16.28	16.28	40100	673122.00
2017/04/27	0952	16.30	16.30	16.28	16.28	56000	940242.00
2017/04/27	0953	16.29	16.29	16.28	16.28	84700	1421692.13
2017/04/27	0954	16.28	16.30	16.28	16.30	107000	1796360.00
2017/04/27	0955	16.30	16.31	16.29	16.31	92400	1552649.88
2017/04/27	0956	16.31	16.33	16.31	16.33	55100	926565.00
2017/04/27	0957	16.31	16.32	16.30	16.31	57500	966798.00
2017/04/27	0958	16.31	16.32	16.31	16.32	59900	1007308.00
2017/04/27	0959	16.31	16.32	16.30	16.30	113800	1912583.00
2017/04/27	1000	16.31	16.32	16.29	16.29	220600	3706807.75
2017/04/27	1001	16.30	16.30	16.28	16.28	83900	1408688.00
2017/04/27	1002	16.28	16.29	16.28	16.28	196200	3293487.25
2017/04/27	1003	16.28	16.29	16.27	16.29	133400	2238418.25
2017/04/27	1004	16.29	16.29	16.28	16.29	63200	1060940.13
2017/04/27	1005	16.29	16.30	16.28	16.29	97900	1643647.13
2017/04/27	1006	16.29	16.30	16.29	16.29	31000	520523.03
2017/04/27	1007	16.29	16.30	16.28	16.29	37600	631238.00
2017/04/27	1008	16.28	16.29	16.27	16.27	75700	1270395.13
2017/04/27	1009	16.27	16.28	16.27	16.28	45900	769816.00
2017/04/27	1010	16.27	16.28	16.27	16.27	77400	1298003.00
2017/04/27	1011	16.27	16.27	16.26	16.26	360100	6038423.00
2017/04/27	1012	16.25	16.28	16.25	16.28	47800	801507.00
2017/04/27	1013	16.28	16.28	16.26	16.26	14300	239846.00
2017/04/27	1014	16.26	16.27	16.25	16.26	53800	901675.00
2017/04/27	1015	16.25	16.27	16.25	16.27	80800	1353973.00
2017/04/27	1016	16.26	16.26	16.25	16.26	21200	355289.00
2017/04/27	1017	16.26	16.26	16.24	16.24	129600	2170541.00
2017/04/27	1018	16.25	16.25	16.24	16.24	141300	2365604.00
2017/04/27	1019	16.24	16.24	16.22	16.22	198200	3315385.00
2017/04/27	1020	16.22	16.22	16.20	16.21	328000	5483005.50
2017/04/27	1021	16.20	16.22	16.20	16.21	175000	2923764.00
2017/04/27	1022	16.20	16.23	16.20	16.22	122800	2052488.00
2017/04/27	1023	16.23	16.23	16.22	16.23	56200	940023.00
2017/04/27	1024	16.23	16.24	16.23	16.24	99800	1669922.00
2017/04/27	1025	16.24	16.26	16.23	16.26	39000	653219.00
2017/04/27	1026	16.25	16.28	16.25	16.26	116900	1960213.00
2017/04/27	1027	16.25	16.27	16.25	16.26	40100	671958.00
2017/04/27	1028	16.26	16.27	16.26	16.27	37700	631949.00
2017/04/27	1029	16.27	16.28	16.27	16.28	40100	672815.06
2017/04/27	1030	16.28	16.28	16.27	16.28	62900	1055331.13
2017/04/27	1031	16.28	16.28	16.27	16.27	86000	1442652.13
2017/04/27	1032	16.26	16.27	16.25	16.25	36800	616877.00
2017/04/27	1033	16.25	16.25	16.22	16.22	75500	1263484.00
2017/04/27	1034	16.22	16.24	16.22	16.24	61600	1030321.00
2017/04/27	1035	16.23	16.26	16.23	16.24	130800	2189348.00
2017/04/27	1036	16.24	16.24	16.22	16.23	133800	2237823.75
2017/04/27	1037	16.23	16.26	16.23	16.25	68500	1146812.00
2017/04/27	1038	16.25	16.27	16.25	16.27	160100	2684013.00
2017/04/27	1039	16.26	16.28	16.26	16.28	61600	1033500.00
2017/04/27	1040	16.27	16.29	16.27	16.27	57800	969419.00
2017/04/27	1041	16.27	16.29	16.27	16.28	61600	1033649.00
2017/04/27	1042	16.29	16.29	16.28	16.29	173200	2907664.25
2017/04/27	1043	16.29	16.29	16.28	16.28	46900	787158.06
2017/04/27	1044	16.28	16.28	16.27	16.27	25700	431053.03
2017/04/27	1045	16.28	16.29	16.27	16.28	87400	1465972.00
2017/04/27	1046	16.29	16.29	16.28	16.28	21600	362552.00
2017/04/27	1047	16.28	16.29	16.28	16.28	63300	1062729.00
2017/04/27	1048	16.29	16.29	16.28	16.29	24000	402769.00
2017/04/27	1049	16.28	16.29	16.28	16.28	25100	421190.00
2017/04/27	1050	16.28	16.28	16.27	16.28	24800	416110.00
2017/04/27	1051	16.28	16.28	16.27	16.27	18800	315351.00
2017/04/27	1052	16.27	16.27	16.24	16.24	35300	591287.00
2017/04/27	1053	16.27	16.27	16.24	16.27	26900	450442.00
2017/04/27	1054	16.25	16.27	16.25	16.25	59600	998984.00
2017/04/27	1055	16.25	16.27	16.25	16.27	39300	658799.00
2017/04/27	1056	16.25	16.28	16.25	16.27	43400	727571.00
2017/04/27	1057	16.27	16.27	16.26	16.26	22300	373844.00
2017/04/27	1058	16.26	16.28	16.25	16.27	73500	1231696.00
2017/04/27	1059	16.27	16.30	16.27	16.30	58900	988533.00
2017/04/27	1100	16.29	16.30	16.29	16.30	36700	616339.00
2017/04/27	1101	16.30	16.30	16.28	16.30	46000	772510.00
2017/04/27	1102	16.30	16.30	16.29	16.29	67800	1138576.00
2017/04/27	1103	16.29	16.29	16.27	16.29	39500	662844.06
2017/04/27	1104	16.29	16.29	16.27	16.29	29000	486890.00
2017/04/27	1105	16.30	16.30	16.28	16.28	41400	695075.00
2017/04/27	1106	16.29	16.29	16.28	16.29	33100	555736.06
2017/04/27	1107	16.29	16.30	16.28	16.30	51600	866751.00
2017/04/27	1108	16.30	16.30	16.29	16.29	18700	314033.00
2017/04/27	1109	16.29	16.30	16.28	16.28	38000	637818.00
2017/04/27	1110	16.29	16.29	16.27	16.27	17100	286884.03
2017/04/27	1111	16.27	16.28	16.27	16.27	16700	280067.00
2017/04/27	1112	16.27	16.28	16.27	16.27	48500	813692.00
2017/04/27	1113	16.26	16.29	16.26	16.26	58300	977531.00
2017/04/27	1114	16.27	16.29	16.27	16.28	7900	132566.00
2017/04/27	1115	16.29	16.29	16.28	16.29	49200	826057.06
2017/04/27	1116	16.30	16.31	16.29	16.29	60800	1021403.00
2017/04/27	1117	16.30	16.31	16.30	16.31	96500	1621999.00
2017/04/27	1118	16.32	16.34	16.31	16.34	39600	666498.00
2017/04/27	1119	16.34	16.34	16.33	16.34	62400	1050474.00
2017/04/27	1120	16.33	16.34	16.31	16.34	71800	1208868.00
2017/04/27	1121	16.31	16.33	16.31	16.33	98300	1653930.00
2017/04/27	1122	16.33	16.33	16.32	16.32	44400	746854.00
2017/04/27	1123	16.34	16.34	16.32	16.33	21400	360180.00
2017/04/27	1124	16.33	16.34	16.32	16.32	65100	1095392.00
2017/04/27	1125	16.33	16.33	16.32	16.32	25300	425653.00
2017/04/27	1126	16.32	16.34	16.32	16.34	34700	583993.00
2017/04/27	1127	16.33	16.34	16.32	16.32	26000	437370.00
2017/04/27	1128	16.33	16.33	16.32	16.33	48600	817726.00
2017/04/27	1129	16.31	16.33	16.31	16.32	34800	585115.00
2017/04/27	1300	16.32	16.34	16.31	16.33	139800	2352530.00
2017/04/27	1301	16.33	16.33	16.33	16.33	0	0.00
2017/04/27	1302	16.34	16.34	16.32	16.32	36900	620709.00
2017/04/27	1303	16.32	16.32	16.31	16.32	80700	1357373.00
2017/04/27	1304	16.33	16.34	16.32	16.33	21700	365136.00
2017/04/27	1305	16.33	16.34	16.33	16.34	48500	816324.00
2017/04/27	1306	16.34	16.34	16.32	16.32	29800	501424.00
2017/04/27	1307	16.32	16.32	16.31	16.32	38000	639060.00
2017/04/27	1308	16.32	16.33	16.32	16.32	11600	195119.00
2017/04/27	1309	16.31	16.32	16.31	16.32	69100	1161906.00
2017/04/27	1310	16.31	16.31	16.30	16.30	50000	840398.00
2017/04/27	1311	16.30	16.31	16.30	16.30	25300	425072.00
2017/04/27	1312	16.30	16.31	16.29	16.29	22200	372958.00
2017/04/27	1313	16.30	16.30	16.29	16.30	86700	1456231.00
2017/04/27	1314	16.29	16.30	16.29	16.29	48800	819531.00
2017/04/27	1315	16.30	16.30	16.29	16.29	33500	562503.00
2017/04/27	1316	16.28	16.30	16.28	16.29	33000	553780.00
2017/04/27	1317	16.30	16.30	16.27	16.28	18800	315453.03
2017/04/27	1318	16.29	16.29	16.28	16.28	64700	1085811.00
2017/04/27	1319	16.28	16.30	16.28	16.30	27500	461829.00
2017/04/27	1320	16.30	16.33	16.29	16.32	228700	3841183.00
2017/04/27	1321	16.32	16.32	16.30	16.31	75900	1275879.00
2017/04/27	1322	16.30	16.31	16.30	16.31	142100	2388287.75
2017/04/27	1323	16.31	16.32	16.31	16.32	101200	1702004.00
2017/04/27	1324	16.32	16.33	16.32	16.33	67700	1139304.00
2017/04/27	1325	16.32	16.34	16.32	16.33	39000	656379.00
2017/04/27	1326	16.34	16.34	16.32	16.33	81500	1372018.00
2017/04/27	1327	16.33	16.34	16.32	16.33	46700	786047.00
2017/04/27	1328	16.33	16.34	16.32	16.33	50600	851613.00
2017/04/27	1329	16.33	16.34	16.33	16.34	28200	474626.00
2017/04/27	1330	16.34	16.35	16.33	16.34	142600	2401539.00
2017/04/27	1331	16.35	16.36	16.34	16.36	258300	4352333.00
2017/04/27	1332	16.36	16.36	16.33	16.33	100900	1699580.00
2017/04/27	1333	16.34	16.34	16.33	16.33	79500	1338059.00
2017/04/27	1334	16.33	16.34	16.32	16.32	32000	538482.00
2017/04/27	1335	16.33	16.33	16.32	16.33	45400	764012.00
2017/04/27	1336	16.33	16.33	16.32	16.32	69600	1171057.00
2017/04/27	1337	16.33	16.33	16.31	16.32	43000	723169.00
