601766 中国中车 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	10.00	10.00	9.96	9.97	661200	6743122.00
2017/04/27	0932	9.96	9.96	9.94	9.94	359800	3655734.00
2017/04/27	0933	9.95	9.96	9.94	9.95	408500	4150136.00
2017/04/27	0934	9.95	9.97	9.95	9.96	312000	3174261.00
2017/04/27	0935	9.97	9.98	9.95	9.95	393000	3998093.00
2017/04/27	0936	9.95	9.96	9.94	9.95	487700	4955647.00
2017/04/27	0937	9.95	9.95	9.93	9.93	853600	8659425.00
2017/04/27	0938	9.93	9.93	9.91	9.91	1522200	15424539.00
2017/04/27	0939	9.91	9.94	9.90	9.92	843300	8536160.00
2017/04/27	0940	9.92	9.94	9.91	9.92	552400	5598265.00
2017/04/27	0941	9.93	9.93	9.91	9.92	413500	4190649.00
2017/04/27	0942	9.92	9.93	9.91	9.93	658600	6671304.00
2017/04/27	0943	9.92	9.93	9.91	9.91	367700	3725023.00
2017/04/27	0944	9.91	9.92	9.90	9.91	557000	5637694.00
2017/04/27	0945	9.92	9.92	9.90	9.90	275500	2788367.00
2017/04/27	0946	9.91	9.92	9.90	9.91	275600	2788667.00
2017/04/27	0947	9.91	9.91	9.90	9.91	842800	8528738.00
2017/04/27	0948	9.90	9.91	9.89	9.90	525300	5310194.00
2017/04/27	0949	9.90	9.90	9.86	9.87	2336200	23582454.00
2017/04/27	0950	9.86	9.86	9.85	9.85	990700	9970916.00
2017/04/27	0951	9.84	9.86	9.84	9.85	847000	8517215.00
2017/04/27	0952	9.85	9.86	9.85	9.85	776600	7814982.00
2017/04/27	0953	9.86	9.87	9.86	9.86	419200	4221690.00
2017/04/27	0954	9.87	9.87	9.86	9.86	1461100	14725129.00
2017/04/27	0955	9.87	9.87	9.85	9.86	904400	9108705.00
2017/04/27	0956	9.86	9.87	9.85	9.86	516800	5203993.00
2017/04/27	0957	9.86	9.86	9.85	9.85	814900	8202912.00
2017/04/27	0958	9.85	9.86	9.85	9.85	462200	4652575.00
2017/04/27	0959	9.86	9.86	9.84	9.85	836900	8420586.00
2017/04/27	1000	9.85	9.85	9.82	9.82	1885700	18953008.00
2017/04/27	1001	9.81	9.82	9.80	9.80	1410100	14126791.00
2017/04/27	1002	9.81	9.82	9.80	9.81	1369700	13717133.00
2017/04/27	1003	9.81	9.83	9.81	9.82	630300	6318283.00
2017/04/27	1004	9.83	9.83	9.82	9.83	445800	4473633.00
2017/04/27	1005	9.83	9.84	9.82	9.83	551100	5535137.00
2017/04/27	1006	9.84	9.85	9.84	9.85	318500	3202101.00
2017/04/27	1007	9.86	9.86	9.83	9.84	348000	3499585.00
2017/04/27	1008	9.85	9.86	9.84	9.85	330600	3324990.00
2017/04/27	1009	9.85	9.86	9.85	9.86	162800	1638566.00
2017/04/27	1010	9.85	9.86	9.84	9.84	171300	1723218.00
2017/04/27	1011	9.84	9.85	9.84	9.85	271000	2725156.00
2017/04/27	1012	9.85	9.85	9.84	9.85	245000	2463965.25
