601788 光大证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.64	14.64	14.58	14.58	69100	1022786.00
2017/04/27	0932	14.60	14.60	14.53	14.59	46900	691281.00
2017/04/27	0933	14.57	14.66	14.56	14.66	211200	3129526.00
2017/04/27	0934	14.63	14.65	14.58	14.65	50800	753173.00
2017/04/27	0935	14.65	14.65	14.63	14.64	69400	1030201.00
2017/04/27	0936	14.64	14.64	14.57	14.58	65800	972624.00
2017/04/27	0937	14.55	14.58	14.53	14.54	206000	3038108.00
2017/04/27	0938	14.55	14.58	14.54	14.55	15600	230081.00
2017/04/27	0939	14.58	14.59	14.54	14.58	142200	2098246.00
2017/04/27	0940	14.57	14.57	14.55	14.55	15300	225752.00
2017/04/27	0941	14.56	14.57	14.54	14.56	55400	816893.00
2017/04/27	0942	14.59	14.59	14.56	14.57	11300	167000.00
2017/04/27	0943	14.57	14.58	14.56	14.57	44900	663131.00
2017/04/27	0944	14.57	14.58	14.56	14.56	16000	236280.00
2017/04/27	0945	14.56	14.56	14.54	14.54	33200	489713.00
2017/04/27	0946	14.55	14.56	14.54	14.54	34900	514836.00
2017/04/27	0947	14.56	14.57	14.55	14.56	12800	188915.00
2017/04/27	0948	14.57	14.57	14.56	14.56	23400	345402.00
2017/04/27	0949	14.57	14.57	14.56	14.56	4300	63474.00
2017/04/27	0950	14.56	14.56	14.56	14.56	33300	491508.00
2017/04/27	0951	14.57	14.57	14.56	14.56	30900	456146.00
2017/04/27	0952	14.56	14.56	14.54	14.54	38100	561912.00
2017/04/27	0953	14.54	14.54	14.53	14.53	44400	654066.00
2017/04/27	0954	14.53	14.54	14.52	14.53	72000	1060360.00
2017/04/27	0955	14.54	14.54	14.52	14.52	46700	687887.00
2017/04/27	0956	14.53	14.54	14.52	14.53	84400	1242890.00
2017/04/27	0957	14.53	14.53	14.51	14.52	54100	796128.00
2017/04/27	0958	14.53	14.53	14.51	14.51	82200	1209634.00
2017/04/27	0959	14.51	14.52	14.50	14.50	165700	2436858.00
2017/04/27	1000	14.50	14.50	14.46	14.46	130000	1908564.00
2017/04/27	1001	14.46	14.47	14.46	14.47	126200	1850199.00
2017/04/27	1002	14.47	14.53	14.46	14.50	67600	992906.00
2017/04/27	1003	14.51	14.51	14.47	14.48	73200	1076066.00
2017/04/27	1004	14.48	14.50	14.46	14.48	114400	1677728.00
2017/04/27	1005	14.46	14.48	14.46	14.47	44100	646674.00
2017/04/27	1006	14.46	14.48	14.46	14.48	13700	200968.00
2017/04/27	1007	14.48	14.50	14.48	14.49	45900	673866.00
2017/04/27	1008	14.49	14.50	14.49	14.50	23700	348196.00
2017/04/27	1009	14.50	14.50	14.49	14.49	28400	417361.00
2017/04/27	1010	14.49	14.50	14.48	14.48	47000	690066.00
2017/04/27	1011	14.48	14.49	14.48	14.48	10500	154163.00
2017/04/27	1012	14.48	14.48	14.47	14.48	75200	1103849.00
2017/04/27	1013	14.48	14.49	14.47	14.48	7600	111505.00
2017/04/27	1014	14.48	14.49	14.47	14.48	58200	854353.00
2017/04/27	1015	14.47	14.48	14.47	14.47	23000	337582.00
2017/04/27	1016	14.48	14.48	14.47	14.48	23300	342016.00
2017/04/27	1017	14.47	14.47	14.46	14.46	98800	1449045.00
2017/04/27	1018	14.47	14.47	14.46	14.46	30500	447206.00
2017/04/27	1019	14.47	14.47	14.46	14.46	35700	523425.00
2017/04/27	1020	14.46	14.47	14.46	14.47	27400	401819.00
2017/04/27	1021	14.47	14.48	14.47	14.48	31300	459440.00
2017/04/27	1022	14.48	14.48	14.47	14.48	105200	1543639.00
2017/04/27	1023	14.48	14.50	14.47	14.50	48700	714943.00
2017/04/27	1024	14.48	14.50	14.48	14.48	56500	829820.00
2017/04/27	1025	14.48	14.50	14.48	14.49	40100	589441.00
2017/04/27	1026	14.50	14.52	14.50	14.52	17300	254590.00
2017/04/27	1027	14.52	14.52	14.50	14.50	6000	88280.00
2017/04/27	1028	14.49	14.50	14.48	14.48	32400	475718.00
2017/04/27	1029	14.49	14.50	14.49	14.50	24300	357101.00
2017/04/27	1030	14.51	14.51	14.49	14.49	9200	135221.00
2017/04/27	1031	14.50	14.50	14.48	14.48	87900	1290434.00
2017/04/27	1032	14.48	14.48	14.46	14.46	126000	1848461.00
2017/04/27	1033	14.47	14.47	14.45	14.46	55300	810723.00
2017/04/27	1034	14.46	14.47	14.45	14.45	139000	2036699.00
2017/04/27	1035	14.45	14.46	14.44	14.45	79700	1167724.00
2017/04/27	1036	14.46	14.46	14.45	14.46	110200	1615422.00
2017/04/27	1037	14.46	14.46	14.45	14.46	36600	536489.00
2017/04/27	1038	14.47	14.48	14.46	14.47	39500	579564.00
2017/04/27	1039	14.47	14.49	14.47	14.49	14100	207041.00
2017/04/27	1040	14.49	14.50	14.48	14.49	63100	927060.00
2017/04/27	1041	14.49	14.51	14.49	14.51	60600	890952.00
2017/04/27	1042	14.50	14.51	14.50	14.51	86900	1277500.00
2017/04/27	1043	14.50	14.50	14.49	14.49	37500	550943.00
2017/04/27	1044	14.50	14.50	14.49	14.50	21400	314572.00
2017/04/27	1045	14.50	14.50	14.47	14.49	65600	962548.00
2017/04/27	1046	14.49	14.50	14.48	14.50	7500	110133.00
2017/04/27	1047	14.50	14.50	14.50	14.50	71900	1056930.00
2017/04/27	1048	14.50	14.50	14.50	14.50	7900	116130.00
2017/04/27	1049	14.50	14.51	14.49	14.49	24300	357260.00
2017/04/27	1050	14.49	14.49	14.48	14.48	24700	362795.00
2017/04/27	1051	14.49	14.49	14.47	14.47	16200	237867.00
2017/04/27	1052	14.48	14.48	14.46	14.46	25100	368023.00
2017/04/27	1053	14.47	14.50	14.46	14.50	67900	996500.00
2017/04/27	1054	14.47	14.47	14.47	14.47	8200	120294.00
2017/04/27	1055	14.47	14.49	14.47	14.49	41800	613755.00
2017/04/27	1056	14.50	14.50	14.48	14.50	34300	503946.00
2017/04/27	1057	14.50	14.51	14.50	14.50	10400	152881.00
2017/04/27	1058	14.50	14.50	14.47	14.49	43800	643155.00
2017/04/27	1059	14.49	14.51	14.48	14.51	44300	650937.00
2017/04/27	1100	14.51	14.51	14.50	14.50	17100	251452.00
2017/04/27	1101	14.50	14.51	14.48	14.50	15600	229251.00
2017/04/27	1102	14.51	14.51	14.48	14.50	49200	723006.00
2017/04/27	1103	14.50	14.51	14.50	14.50	42200	620400.00
2017/04/27	1104	14.50	14.51	14.50	14.51	23700	348405.00
2017/04/27	1105	14.51	14.51	14.50	14.50	35300	519171.00
2017/04/27	1106	14.50	14.52	14.50	14.50	23000	338371.00
2017/04/27	1107	14.52	14.53	14.52	14.52	22500	331296.00
2017/04/27	1108	14.52	14.54	14.52	14.54	42800	630734.00
2017/04/27	1109	14.54	14.54	14.50	14.50	37300	548517.00
2017/04/27	1110	14.50	14.52	14.50	14.50	19800	291304.00
2017/04/27	1111	14.50	14.50	14.50	14.50	56700	833490.00
2017/04/27	1112	14.51	14.52	14.51	14.52	14700	216362.00
2017/04/27	1113	14.51	14.54	14.51	14.51	14900	219206.00
2017/04/27	1114	14.51	14.53	14.51	14.52	7200	105964.00
2017/04/27	1115	14.53	14.53	14.52	14.53	15000	220821.00
2017/04/27	1116	14.53	14.55	14.53	14.54	23200	341978.00
2017/04/27	1117	14.54	14.55	14.51	14.51	52700	777204.00
2017/04/27	1118	14.55	14.55	14.51	14.54	15800	232990.00
2017/04/27	1119	14.54	14.55	14.54	14.54	10700	157726.00
2017/04/27	1120	14.54	14.55	14.53	14.53	31800	468890.00
2017/04/27	1121	14.53	14.54	14.52	14.52	13400	197312.00
2017/04/27	1122	14.52	14.53	14.52	14.52	9100	133965.00
2017/04/27	1123	14.53	14.55	14.53	14.55	31000	457059.00
2017/04/27	1124	14.56	14.57	14.55	14.57	35100	518198.00
2017/04/27	1125	14.56	14.56	14.55	14.55	12300	181439.00
2017/04/27	1126	14.55	14.55	14.54	14.55	65000	958162.00
2017/04/27	1127	14.54	14.54	14.53	14.53	2200	32420.00
2017/04/27	1128	14.54	14.54	14.53	14.53	3200	47167.00
2017/04/27	1129	14.54	14.54	14.54	14.54	700	10318.00
2017/04/27	1300	14.55	14.56	14.55	14.56	42500	626883.00
2017/04/27	1301	14.56	14.56	14.56	14.56	0	0.00
2017/04/27	1302	14.55	14.56	14.53	14.53	34400	507167.00
2017/04/27	1303	14.53	14.56	14.53	14.54	41000	604997.00
2017/04/27	1304	14.54	14.56	14.54	14.56	12500	184481.00
2017/04/27	1305	14.56	14.58	14.56	14.58	30400	449016.00
2017/04/27	1306	14.57	14.58	14.57	14.58	20800	307389.00
2017/04/27	1307	14.58	14.58	14.56	14.56	34200	505128.00
2017/04/27	1308	14.57	14.57	14.55	14.55	15800	233353.00
2017/04/27	1309	14.55	14.56	14.55	14.56	2900	42794.00
2017/04/27	1310	14.55	14.55	14.54	14.54	38600	569044.00
2017/04/27	1311	14.54	14.55	14.54	14.54	37100	546901.00
2017/04/27	1312	14.54	14.55	14.53	14.54	4300	63387.00
2017/04/27	1313	14.55	14.55	14.53	14.53	28400	418514.00
2017/04/27	1314	14.54	14.54	14.54	14.54	5400	79596.00
2017/04/27	1315	14.53	14.54	14.53	14.53	2900	42729.00
2017/04/27	1316	14.54	14.54	14.53	14.53	28300	417043.00
2017/04/27	1317	14.53	14.55	14.53	14.54	14500	213796.00
2017/04/27	1318	14.56	14.56	14.54	14.54	18100	267120.00
2017/04/27	1319	14.54	14.56	14.54	14.54	22100	326063.00
2017/04/27	1320	14.54	14.56	14.54	14.56	12400	182912.00
2017/04/27	1321	14.55	14.56	14.55	14.56	37000	546115.00
2017/04/27	1322	14.56	14.56	14.55	14.55	69100	1019742.00
2017/04/27	1323	14.54	14.57	14.54	14.57	29700	437970.00
2017/04/27	1324	14.58	14.59	14.58	14.59	41500	613682.00
2017/04/27	1325	14.58	14.60	14.58	14.59	17200	254372.00
2017/04/27	1326	14.58	14.58	14.57	14.58	36500	539454.00
2017/04/27	1327	14.57	14.58	14.57	14.58	18200	268977.00
2017/04/27	1328	14.57	14.58	14.57	14.57	30100	444853.00
2017/04/27	1329	14.57	14.58	14.57	14.57	11400	168472.00
2017/04/27	1330	14.57	14.58	14.57	14.58	32200	475784.00
2017/04/27	1331	14.58	14.59	14.57	14.59	22000	325237.00
2017/04/27	1332	14.58	14.59	14.57	14.57	58700	867566.00
2017/04/27	1333	14.57	14.58	14.56	14.58	12800	189119.00
2017/04/27	1334	14.57	14.60	14.57	14.58	44700	660770.00
2017/04/27	1335	14.60	14.60	14.59	14.60	35800	529772.00
2017/04/27	1336	14.58	14.58	14.57	14.57	56800	839436.00
2017/04/27	1337	14.57	14.58	14.57	14.57	26800	395941.00
2017/04/27	1338	14.57	14.58	14.57	14.57	32400	478581.00
2017/04/27	1339	14.57	14.58	14.57	14.58	42400	626575.00
2017/04/27	1340	14.58	14.58	14.57	14.57	10000	147727.00
2017/04/27	1341	14.57	14.58	14.57	14.57	17400	257100.00
2017/04/27	1342	14.58	14.58	14.57	14.57	10700	158076.00
2017/04/27	1343	14.57	14.59	14.57	14.58	25200	372380.00
2017/04/27	1344	14.58	14.58	14.57	14.57	32000	472852.00
2017/04/27	1345	14.57	14.57	14.56	14.57	17000	251014.00
2017/04/27	1346	14.56	14.58	14.55	14.57	18700	276240.00
2017/04/27	1347	14.56	14.58	14.56	14.58	17600	259845.00
2017/04/27	1348	14.56	14.58	14.56	14.56	13000	191936.00
2017/04/27	1349	14.56	14.58	14.56	14.58	23100	341296.00
2017/04/27	1350	14.58	14.59	14.57	14.58	23800	351797.00
2017/04/27	1351	14.59	14.61	14.58	14.60	41900	619873.00
2017/04/27	1352	14.59	14.60	14.57	14.57	26900	397801.00
2017/04/27	1353	14.57	14.59	14.57	14.58	12300	181803.00
2017/04/27	1354	14.57	14.57	14.56	14.56	60700	896460.00
2017/04/27	1355	14.56	14.57	14.56	14.57	45300	669071.00
2017/04/27	1356	14.58	14.58	14.58	14.58	36000	532080.00
2017/04/27	1357	14.58	14.58	14.56	14.56	22900	338179.00
2017/04/27	1358	14.57	14.57	14.56	14.57	23300	344076.00
2017/04/27	1359	14.57	14.59	14.57	14.58	137300	2029441.00
2017/04/27	1400	14.59	14.60	14.59	14.59	53300	788645.00
2017/04/27	1401	14.59	14.61	14.59	14.60	22800	337395.00
2017/04/27	1402	14.61	14.61	14.59	14.59	24000	355127.00
2017/04/27	1403	14.59	14.60	14.59	14.59	26600	393542.00
2017/04/27	1404	14.59	14.60	14.58	14.58	26300	388960.00
2017/04/27	1405	14.58	14.59	14.58	14.58	15900	235033.00
2017/04/27	1406	14.58	14.59	14.57	14.57	23500	347280.00
2017/04/27	1407	14.57	14.58	14.57	14.58	5900	87159.00
2017/04/27	1408	14.57	14.58	14.55	14.55	121300	1789467.00
2017/04/27	1409	14.55	14.58	14.55	14.57	26500	391384.00
2017/04/27	1410	14.56	14.57	14.55	14.55	89700	1323165.00
2017/04/27	1411	14.55	14.56	14.55	14.55	42500	626891.00
2017/04/27	1412	14.56	14.57	14.55	14.56	29300	432500.00
2017/04/27	1413	14.56	14.56	14.55	14.55	126700	1869860.00
2017/04/27	1414	14.56	14.56	14.55	14.56	39700	585969.00
2017/04/27	1415	14.57	14.58	14.56	14.57	51600	762339.00
