601800 中国交建 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.31	16.31	16.10	16.10	646800	10609348.00
2017/04/27	0932	16.10	16.10	16.02	16.06	549600	8929885.00
2017/04/27	0933	16.05	16.10	16.00	16.00	951800	15462601.00
2017/04/27	0934	16.00	16.08	16.00	16.07	425900	6916292.00
2017/04/27	0935	16.07	16.09	16.00	16.02	472900	7684677.00
2017/04/27	0936	16.01	16.01	15.91	15.91	569000	9191470.00
2017/04/27	0937	15.90	15.91	15.84	15.86	1021000	16401345.00
2017/04/27	0938	15.88	15.96	15.86	15.94	503300	8096844.00
2017/04/27	0939	15.92	15.97	15.92	15.96	302100	4876109.00
2017/04/27	0940	15.97	16.07	15.97	16.07	395400	6398596.00
2017/04/27	0941	16.06	16.06	16.01	16.01	259000	4201683.00
2017/04/27	0942	16.02	16.02	15.99	15.99	249000	4032224.00
2017/04/27	0943	15.99	16.02	15.98	16.01	212400	3437839.00
2017/04/27	0944	16.02	16.06	16.01	16.04	116300	1885756.00
2017/04/27	0945	16.06	16.06	16.03	16.05	198200	3218163.00
2017/04/27	0946	16.03	16.06	16.02	16.06	150400	2439704.75
2017/04/27	0947	16.04	16.07	16.03	16.04	152000	2468053.00
2017/04/27	0948	16.05	16.05	16.03	16.04	152300	2471676.00
2017/04/27	0949	16.04	16.06	16.04	16.06	223800	3635033.00
2017/04/27	0950	16.06	16.09	16.05	16.09	164900	2680945.00
2017/04/27	0951	16.09	16.11	16.08	16.11	127700	2079643.13
2017/04/27	0952	16.11	16.12	16.08	16.08	289700	4719039.00
2017/04/27	0953	16.08	16.10	16.07	16.10	265100	4312899.00
2017/04/27	0954	16.11	16.21	16.08	16.21	309000	5050656.00
2017/04/27	0955	16.23	16.24	16.18	16.18	226600	3716805.00
2017/04/27	0956	16.19	16.20	16.15	16.15	187100	3062408.00
2017/04/27	0957	16.15	16.18	16.14	16.16	121000	1978964.00
2017/04/27	0958	16.16	16.18	16.15	16.16	136700	2234954.00
2017/04/27	0959	16.16	16.17	16.15	16.16	109800	1795140.00
2017/04/27	1000	16.16	16.16	16.13	16.13	138800	2267853.00
2017/04/27	1001	16.13	16.13	16.06	16.06	308300	5018720.00
2017/04/27	1002	16.06	16.06	16.02	16.03	391300	6353290.00
2017/04/27	1003	16.03	16.09	16.02	16.04	623900	10119877.00
2017/04/27	1004	16.06	16.11	16.06	16.09	128600	2092416.00
2017/04/27	1005	16.09	16.13	16.09	16.12	86300	1406432.00
2017/04/27	1006	16.11	16.13	16.11	16.11	123300	2010494.00
2017/04/27	1007	16.11	16.13	16.09	16.11	284200	4630896.00
2017/04/27	1008	16.13	16.21	16.13	16.21	187300	3060779.00
2017/04/27	1009	16.21	16.26	16.20	16.26	123000	2020394.00
2017/04/27	1010	16.27	16.31	16.27	16.30	176700	2912813.75
2017/04/27	1011	16.30	16.30	16.26	16.26	171900	2829123.00
2017/04/27	1012	16.26	16.30	16.26	16.30	208600	3435931.00
2017/04/27	1013	16.30	16.30	16.28	16.28	103400	1704623.00
2017/04/27	1014	16.29	16.31	16.27	16.28	184500	3041544.00
2017/04/27	1015	16.27	16.27	16.25	16.26	176400	2902483.00
2017/04/27	1016	16.24	16.25	16.23	16.23	42500	698232.00
2017/04/27	1017	16.23	16.23	16.19	16.19	97000	1591234.00
2017/04/27	1018	16.19	16.21	16.18	16.19	77400	1268223.88
2017/04/27	1019	16.18	16.20	16.18	16.19	93700	1534406.00
2017/04/27	1020	16.19	16.23	16.19	16.21	168200	2759342.00
2017/04/27	1021	16.21	16.21	16.19	16.19	137300	2250313.00
2017/04/27	1022	16.19	16.23	16.19	16.23	76200	1248858.88
2017/04/27	1023	16.22	16.23	16.21	16.23	143300	2351610.00
2017/04/27	1024	16.22	16.23	16.20	16.21	123300	2022475.00
2017/04/27	1025	16.20	16.21	16.20	16.20	240900	3950100.00
2017/04/27	1026	16.20	16.20	16.19	16.20	81000	1327158.00
2017/04/27	1027	16.20	16.21	16.19	16.19	117100	1919185.00
2017/04/27	1028	16.19	16.19	16.18	16.18	78300	1282358.00
2017/04/27	1029	16.19	16.20	16.18	16.19	59200	969235.00
2017/04/27	1030	16.19	16.19	16.18	16.19	83600	1369355.88
2017/04/27	1031	16.19	16.19	16.17	16.17	105600	1728491.00
2017/04/27	1032	16.16	16.16	16.08	16.08	313300	5107907.00
2017/04/27	1033	16.11	16.11	16.08	16.10	119900	1952605.00
2017/04/27	1034	16.10	16.12	16.09	16.12	152700	2487333.25
2017/04/27	1035	16.12	16.13	16.11	16.13	171400	2795233.75
2017/04/27	1036	16.13	16.16	16.12	16.13	101700	1659461.00
2017/04/27	1037	16.13	16.17	16.13	16.17	126600	2068199.00
2017/04/27	1038	16.16	16.18	16.16	16.16	105300	1722114.00
2017/04/27	1039	16.16	16.19	16.16	16.18	97400	1593035.00
2017/04/27	1040	16.19	16.19	16.17	16.18	172900	2829804.00
2017/04/27	1041	16.18	16.20	16.18	16.19	65700	1076297.00
2017/04/27	1042	16.19	16.21	16.19	16.21	161900	2652510.00
2017/04/27	1043	16.22	16.22	16.20	16.21	85400	1400912.00
2017/04/27	1044	16.22	16.24	16.21	16.23	263300	4321338.00
2017/04/27	1045	16.23	16.26	16.21	16.24	120900	1985836.00
2017/04/27	1046	16.25	16.26	16.23	16.25	150800	2479153.00
2017/04/27	1047	16.24	16.25	16.22	16.23	70400	1156673.00
2017/04/27	1048	16.23	16.26	16.23	16.24	55300	908953.00
2017/04/27	1049	16.24	16.25	16.22	16.22	44500	731093.00
2017/04/27	1050	16.22	16.22	16.20	16.20	52200	855949.00
2017/04/27	1051	16.18	16.22	16.18	16.21	163600	2682287.00
2017/04/27	1052	16.21	16.27	16.21	16.27	131700	2166353.00
2017/04/27	1053	16.27	16.37	16.27	16.36	279500	4611903.00
2017/04/27	1054	16.35	16.41	16.35	16.40	299600	4968007.00
2017/04/27	1055	16.41	16.41	16.37	16.41	286700	4756003.00
2017/04/27	1056	16.42	16.42	16.39	16.42	169800	2819242.00
2017/04/27	1057	16.42	16.46	16.39	16.44	272400	4522868.00
2017/04/27	1058	16.44	16.47	16.42	16.46	246500	4101169.00
2017/04/27	1059	16.47	16.52	16.47	16.52	258500	4311501.00
2017/04/27	1100	16.51	16.55	16.51	16.55	399000	6670988.00
2017/04/27	1101	16.55	16.56	16.50	16.51	431300	7209225.00
2017/04/27	1102	16.51	16.51	16.48	16.50	204500	3412724.00
2017/04/27	1103	16.51	16.58	16.50	16.58	201200	3367478.00
2017/04/27	1104	16.61	16.66	16.61	16.65	492700	8288689.00
2017/04/27	1105	16.65	16.65	16.60	16.61	225900	3798080.00
2017/04/27	1106	16.60	16.61	16.59	16.61	159800	2683392.25
2017/04/27	1107	16.62	16.74	16.61	16.72	689700	11615519.00
2017/04/27	1108	16.74	16.79	16.72	16.79	526500	8922213.00
2017/04/27	1109	16.77	16.79	16.76	16.76	606800	10298067.00
2017/04/27	1110	16.76	16.76	16.70	16.70	325600	5507722.00
2017/04/27	1111	16.72	16.73	16.70	16.71	277200	4687111.00
2017/04/27	1112	16.71	16.74	16.71	16.73	219500	3712134.00
2017/04/27	1113	16.74	16.79	16.74	16.78	427300	7241438.00
2017/04/27	1114	16.77	16.82	16.77	16.82	587900	9986893.00
2017/04/27	1115	16.83	16.91	16.82	16.91	468100	7987731.00
2017/04/27	1116	16.92	16.93	16.88	16.90	773000	13212589.00
2017/04/27	1117	16.90	16.91	16.89	16.91	572000	9777265.00
2017/04/27	1118	16.91	16.92	16.91	16.91	403300	6898159.00
2017/04/27	1119	16.91	16.96	16.91	16.93	559800	9587033.00
2017/04/27	1120	16.94	16.96	16.94	16.96	188700	3236123.00
2017/04/27	1121	16.95	16.96	16.91	16.91	428900	7343612.00
2017/04/27	1122	16.92	16.92	16.88	16.88	381900	6531116.00
2017/04/27	1123	16.88	16.89	16.86	16.88	254800	4351197.00
2017/04/27	1124	16.88	16.89	16.87	16.88	143000	2441057.00
2017/04/27	1125	16.89	16.90	16.88	16.90	260500	4448112.00
2017/04/27	1126	16.90	16.91	16.90	16.90	171700	2934950.00
2017/04/27	1127	16.91	16.92	16.90	16.91	220200	3765878.00
2017/04/27	1128	16.91	16.92	16.88	16.91	364200	6224393.00
2017/04/27	1129	16.91	16.93	16.90	16.92	243800	4170633.00
2017/04/27	1300	16.92	16.93	16.90	16.93	487800	8341143.00
2017/04/27	1301	16.93	16.93	16.93	16.93	0	0.00
2017/04/27	1302	16.91	16.93	16.91	16.92	59600	1019759.00
2017/04/27	1303	16.92	16.92	16.91	16.91	91300	1561562.00
2017/04/27	1304	16.91	16.92	16.90	16.92	158000	2701669.00
2017/04/27	1305	16.91	16.92	16.90	16.90	63700	1089443.00
2017/04/27	1306	16.90	16.91	16.88	16.89	135600	2317237.00
2017/04/27	1307	16.88	16.89	16.87	16.87	115200	1965655.00
2017/04/27	1308	16.86	16.86	16.83	16.84	67700	1153295.00
2017/04/27	1309	16.83	16.84	16.80	16.81	270600	4603944.00
2017/04/27	1310	16.80	16.80	16.77	16.78	62800	1065950.00
2017/04/27	1311	16.79	16.79	16.78	16.78	101700	1726474.00
2017/04/27	1312	16.78	16.79	16.76	16.76	92000	1560824.00
2017/04/27	1313	16.77	16.77	16.74	16.75	309500	5246455.00
2017/04/27	1314	16.74	16.76	16.74	16.75	71300	1207592.00
2017/04/27	1315	16.76	16.77	16.74	16.75	161600	2738237.00
2017/04/27	1316	16.74	16.78	16.74	16.78	93800	1589379.00
2017/04/27	1317	16.77	16.78	16.76	16.77	79500	1348627.00
2017/04/27	1318	16.77	16.78	16.76	16.78	51800	878808.00
2017/04/27	1319	16.77	16.79	16.77	16.78	147300	2499773.00
2017/04/27	1320	16.78	16.78	16.76	16.76	197900	3355887.00
2017/04/27	1321	16.76	16.78	16.76	16.77	177600	3011455.00
2017/04/27	1322	16.78	16.80	16.78	16.79	112900	1916358.88
2017/04/27	1323	16.80	16.81	16.79	16.81	252500	4291821.00
2017/04/27	1324	16.81	16.81	16.80	16.80	140000	2379122.00
2017/04/27	1325	16.80	16.81	16.80	16.80	263700	4481052.00
2017/04/27	1326	16.79	16.80	16.77	16.79	187400	3181151.00
2017/04/27	1327	16.79	16.79	16.76	16.76	63500	1076765.00
2017/04/27	1328	16.77	16.77	16.75	16.77	150500	2551354.00
2017/04/27	1329	16.76	16.77	16.76	16.77	65100	1103783.00
2017/04/27	1330	16.77	16.79	16.77	16.77	99100	1681230.88
2017/04/27	1331	16.78	16.80	16.78	16.79	175500	2979750.00
2017/04/27	1332	16.79	16.80	16.79	16.80	190100	3228540.00
2017/04/27	1333	16.79	16.80	16.79	16.80	73600	1250060.00
2017/04/27	1334	16.81	16.81	16.79	16.81	191100	3246930.00
2017/04/27	1335	16.80	16.82	16.80	16.82	172300	2928685.00
2017/04/27	1336	16.82	16.82	16.80	16.81	131800	2240877.00
2017/04/27	1337	16.81	16.82	16.80	16.81	74100	1259730.00
2017/04/27	1338	16.79	16.79	16.77	16.77	50200	852162.00
2017/04/27	1339	16.78	16.78	16.77	16.78	53100	900674.00
2017/04/27	1340	16.77	16.77	16.76	16.76	129500	2195333.00
2017/04/27	1341	16.77	16.77	16.76	16.77	66500	1127349.00
2017/04/27	1342	16.76	16.78	16.76	16.78	28100	476586.00
2017/04/27	1343	16.78	16.80	16.78	16.79	71900	1220693.00
2017/04/27	1344	16.80	16.80	16.78	16.79	86200	1463157.00
2017/04/27	1345	16.78	16.78	16.77	16.77	44300	751371.94
2017/04/27	1346	16.77	16.77	16.76	16.76	93700	1588509.00
2017/04/27	1347	16.77	16.78	16.76	16.78	69800	1183736.00
2017/04/27	1348	16.77	16.78	16.77	16.78	58800	997283.94
2017/04/27	1349	16.78	16.79	16.77	16.79	59400	1008394.00
2017/04/27	1350	16.79	16.80	16.79	16.79	73800	1253210.00
2017/04/27	1351	16.79	16.79	16.78	16.78	113300	1923730.00
2017/04/27	1352	16.79	16.80	16.78	16.79	49700	843795.00
2017/04/27	1353	16.79	16.79	16.78	16.79	72300	1227455.00
2017/04/27	1354	16.79	16.80	16.78	16.78	85600	1453323.00
2017/04/27	1355	16.78	16.79	16.77	16.78	34400	583818.94
2017/04/27	1356	16.78	16.79	16.78	16.78	48700	826464.00
2017/04/27	1357	16.78	16.78	16.77	16.78	52600	892337.94
2017/04/27	1358	16.77	16.80	16.77	16.80	87100	1478963.88
2017/04/27	1359	16.80	16.81	16.79	16.81	293200	4982727.00
2017/04/27	1400	16.81	16.81	16.80	16.81	57000	968729.00
2017/04/27	1401	16.81	16.81	16.80	16.81	65700	1116706.00
2017/04/27	1402	16.81	16.83	16.81	16.83	122400	2081612.00
2017/04/27	1403	16.82	16.85	16.82	16.85	178100	3032406.00
2017/04/27	1404	16.85	16.86	16.83	16.84	366800	6244862.50
2017/04/27	1405	16.84	16.85	16.83	16.84	131300	2236460.00
2017/04/27	1406	16.85	16.85	16.83	16.84	54800	933202.06
2017/04/27	1407	16.84	16.84	16.81	16.81	94300	1604114.00
2017/04/27	1408	16.81	16.82	16.81	16.81	76900	1307310.00
2017/04/27	1409	16.82	16.82	16.80	16.80	173500	2949671.00
2017/04/27	1410	16.81	16.81	16.79	16.80	70800	1202951.00
2017/04/27	1411	16.80	16.80	16.78	16.78	67800	1150988.00
2017/04/27	1412	16.78	16.79	16.77	16.78	112300	1906247.00
2017/04/27	1413	16.79	16.79	16.78	16.78	37200	631540.00
2017/04/27	1414	16.78	16.81	16.78	16.81	60800	1033048.00
2017/04/27	1415	16.81	16.82	16.81	16.82	45300	770173.00
2017/04/27	1416	16.82	16.82	16.81	16.82	98000	1666213.00
2017/04/27	1417	16.81	16.81	16.80	16.81	91800	1560394.00
2017/04/27	1418	16.81	16.81	16.80	16.81	89800	1526591.00
2017/04/27	1419	16.82	16.82	16.81	16.81	99100	1685081.00
2017/04/27	1420	16.81	16.81	16.79	16.79	55400	941516.00
2017/04/27	1421	16.80	16.80	16.79	16.79	66600	1131007.00
2017/04/27	1422	16.79	16.80	16.79	16.79	30900	524776.00
2017/04/27	1423	16.80	16.81	16.80	16.81	31400	533615.00
2017/04/27	1424	16.80	16.81	16.80	16.81	155000	2634591.00
2017/04/27	1425	16.80	16.81	16.80	16.80	42800	727373.00
2017/04/27	1426	16.81	16.82	16.80	16.81	77900	1324282.00
2017/04/27	1427	16.82	16.82	16.81	16.82	64800	1102043.00
2017/04/27	1428	16.81	16.83	16.81	16.82	64200	1092074.00
2017/04/27	1429	16.83	16.83	16.82	16.83	39400	670538.00
2017/04/27	1430	16.82	16.84	16.82	16.84	89600	1524976.00
2017/04/27	1431	16.84	16.85	16.84	16.85	93800	1597566.13
2017/04/27	1432	16.85	16.86	16.84	16.85	150400	2563461.00
2017/04/27	1433	16.84	16.85	16.84	16.84	41100	700135.00
2017/04/27	1434	16.85	16.86	16.84	16.86	63700	1085410.00
2017/04/27	1435	16.86	16.86	16.85	16.86	67800	1155610.00
2017/04/27	1436	16.86	16.87	16.85	16.87	312600	5331841.50
2017/04/27	1437	16.87	16.93	16.87	16.93	311100	5317699.00
2017/04/27	1438	16.91	16.96	16.91	16.95	461300	7905755.00
2017/04/27	1439	16.96	16.98	16.96	16.98	384800	6604537.00
2017/04/27	1440	16.98	17.01	16.98	16.99	548200	9422553.00
2017/04/27	1441	16.99	17.01	16.98	16.98	231800	3984233.00
2017/04/27	1442	16.97	16.98	16.96	16.96	157700	2706336.00
2017/04/27	1443	16.96	16.97	16.96	16.97	124200	2130440.00
2017/04/27	1444	16.97	16.98	16.97	16.97	108500	1862082.00
2017/04/27	1445	16.97	16.99	16.97	16.98	301100	5171743.00
2017/04/27	1446	16.98	16.99	16.96	16.97	213900	3670984.00
2017/04/27	1447	16.97	16.97	16.94	16.94	158400	2716074.00
