601811 新华文轩 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	17.30	17.30	17.10	17.10	15100	265355.00
2017/04/27	0932	17.11	17.11	17.10	17.10	6400	111386.00
2017/04/27	0933	17.09	17.09	17.06	17.08	9500	165113.00
2017/04/27	0934	17.07	17.09	17.06	17.09	10300	178946.00
2017/04/27	0935	17.08	17.09	17.03	17.03	15600	270738.00
2017/04/27	0936	17.03	17.04	17.00	17.00	56300	974207.00
2017/04/27	0937	17.00	17.00	16.82	16.86	23100	397025.00
2017/04/27	0938	16.86	16.86	16.82	16.84	25000	428738.00
2017/04/27	0939	16.85	16.85	16.82	16.84	48800	836247.00
2017/04/27	0940	16.85	17.10	16.83	17.10	45500	782998.00
2017/04/27	0941	17.10	17.20	16.90	17.20	84100	1467608.00
2017/04/27	0942	17.07	17.20	17.00	17.05	191200	3331576.00
2017/04/27	0943	17.16	17.16	17.05	17.05	9200	159954.00
2017/04/27	0944	17.05	17.05	17.01	17.01	38900	674518.00
2017/04/27	0945	17.04	17.08	17.03	17.03	5200	90258.99
2017/04/27	0946	17.04	17.05	17.00	17.05	7500	129869.00
2017/04/27	0947	17.05	17.07	17.01	17.06	9200	159516.00
2017/04/27	0948	17.05	17.05	17.02	17.02	2300	39867.00
2017/04/27	0949	17.05	17.05	17.03	17.03	1600	27748.00
2017/04/27	0950	17.03	17.04	17.03	17.04	3800	65879.00
2017/04/27	0951	17.02	17.02	17.00	17.00	10100	174902.00
2017/04/27	0952	17.00	17.00	16.97	16.98	20900	361449.97
2017/04/27	0953	16.97	16.97	16.95	16.95	11900	205405.00
2017/04/27	0954	16.91	16.95	16.91	16.91	4100	70565.00
2017/04/27	0955	16.91	16.97	16.91	16.97	5200	89578.00
2017/04/27	0956	16.96	16.96	16.92	16.96	6900	118925.00
2017/04/27	0957	16.94	16.94	16.93	16.93	9900	170671.00
2017/04/27	0958	16.94	16.94	16.91	16.91	12700	218644.98
2017/04/27	0959	16.91	16.91	16.86	16.86	28800	494730.00
2017/04/27	1000	16.86	16.86	16.82	16.82	20100	344565.00
2017/04/27	1001	16.82	16.82	16.76	16.76	31700	541876.00
2017/04/27	1002	16.77	16.77	16.73	16.73	42000	715993.00
2017/04/27	1003	16.73	16.90	16.70	16.77	157800	2690479.00
2017/04/27	1004	17.06	17.06	16.70	16.97	72800	1250079.00
