601818 光大银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	3.77	3.78	3.77	3.77	949400	3674938.00
2017/04/27	0932	3.77	3.78	3.77	3.77	223200	864200.00
2017/04/27	0933	3.78	3.78	3.77	3.77	511700	1980463.00
2017/04/27	0934	3.76	3.77	3.76	3.77	981400	3797899.00
2017/04/27	0935	3.77	3.77	3.76	3.77	943100	3649242.00
2017/04/27	0936	3.77	3.78	3.76	3.77	766100	2961933.00
2017/04/27	0937	3.77	3.78	3.76	3.77	688000	2662562.00
2017/04/27	0938	3.77	3.78	3.77	3.77	358000	1385572.00
2017/04/27	0939	3.77	3.78	3.77	3.78	673200	2606784.00
2017/04/27	0940	3.78	3.78	3.77	3.78	711400	2759933.00
2017/04/27	0941	3.78	3.78	3.77	3.78	340200	1319866.00
2017/04/27	0942	3.78	3.78	3.77	3.78	129800	503426.00
2017/04/27	0943	3.78	3.78	3.77	3.78	169200	655477.00
2017/04/27	0944	3.77	3.78	3.77	3.77	84900	329340.00
2017/04/27	0945	3.78	3.78	3.77	3.78	1183000	4579807.00
2017/04/27	0946	3.77	3.78	3.77	3.77	704800	2727717.00
2017/04/27	0947	3.78	3.78	3.76	3.77	461900	1787821.00
2017/04/27	0948	3.77	3.78	3.77	3.77	102300	396298.00
2017/04/27	0949	3.77	3.78	3.77	3.77	307600	1190807.00
2017/04/27	0950	3.77	3.77	3.76	3.77	186700	721880.00
2017/04/27	0951	3.77	3.77	3.76	3.77	106500	412084.00
2017/04/27	0952	3.78	3.78	3.76	3.77	217200	839619.00
2017/04/27	0953	3.77	3.78	3.76	3.76	117000	452345.00
2017/04/27	0954	3.77	3.77	3.76	3.77	254200	983610.00
2017/04/27	0955	3.77	3.77	3.76	3.77	362000	1398861.00
2017/04/27	0956	3.77	3.77	3.76	3.77	1198200	4636829.00
2017/04/27	0957	3.77	3.77	3.76	3.77	381000	1474217.00
2017/04/27	0958	3.77	3.77	3.76	3.77	169600	655907.00
2017/04/27	0959	3.76	3.77	3.76	3.77	207800	803430.00
2017/04/27	1000	3.76	3.77	3.76	3.77	346100	1336702.00
2017/04/27	1001	3.76	3.77	3.75	3.76	1645700	6363265.00
2017/04/27	1002	3.76	3.76	3.75	3.76	586200	2261728.00
2017/04/27	1003	3.76	3.76	3.75	3.76	789200	3045465.00
2017/04/27	1004	3.76	3.76	3.75	3.76	272300	1049712.00
2017/04/27	1005	3.76	3.76	3.75	3.76	320400	1236417.00
2017/04/27	1006	3.76	3.76	3.75	3.76	278800	1075254.00
2017/04/27	1007	3.76	3.76	3.75	3.75	341800	1318522.00
2017/04/27	1008	3.76	3.77	3.76	3.77	263900	1019333.00
2017/04/27	1009	3.76	3.77	3.76	3.76	231600	894097.00
2017/04/27	1010	3.75	3.77	3.75	3.77	185100	715364.00
2017/04/27	1011	3.77	3.77	3.76	3.77	223000	862348.00
2017/04/27	1012	3.77	3.77	3.76	3.77	221200	855931.00
2017/04/27	1013	3.77	3.77	3.76	3.77	224700	868889.00
2017/04/27	1014	3.77	3.77	3.76	3.77	141000	545215.00
2017/04/27	1015	3.76	3.77	3.76	3.76	121300	468987.00
2017/04/27	1016	3.77	3.77	3.76	3.77	171800	664189.00
2017/04/27	1017	3.77	3.77	3.75	3.76	441000	1702620.00
2017/04/27	1018	3.76	3.77	3.75	3.75	117300	452877.00
2017/04/27	1019	3.76	3.76	3.75	3.76	137300	529816.00
2017/04/27	1020	3.76	3.76	3.75	3.75	175100	675096.00
2017/04/27	1021	3.76	3.76	3.75	3.76	149500	576916.00
2017/04/27	1022	3.76	3.76	3.75	3.76	363900	1404604.00
2017/04/27	1023	3.76	3.77	3.76	3.77	227000	877832.00
2017/04/27	1024	3.76	3.77	3.76	3.77	131600	508961.00
2017/04/27	1025	3.77	3.77	3.76	3.76	380600	1472577.00
2017/04/27	1026	3.77	3.77	3.76	3.77	145400	561953.00
2017/04/27	1027	3.77	3.77	3.76	3.76	236300	913205.00
2017/04/27	1028	3.76	3.77	3.76	3.77	307100	1187839.00
2017/04/27	1029	3.76	3.77	3.76	3.77	240900	930625.00
