601919 中远海控 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	5.43	5.44	5.43	5.43	300200	1631420.00
2017/04/27	0932	5.43	5.43	5.41	5.41	133700	724806.00
2017/04/27	0933	5.41	5.42	5.40	5.41	141400	765267.00
2017/04/27	0934	5.41	5.41	5.40	5.41	118000	637951.00
2017/04/27	0935	5.41	5.42	5.41	5.41	84300	456237.00
2017/04/27	0936	5.41	5.41	5.40	5.40	30200	163344.00
2017/04/27	0937	5.40	5.41	5.40	5.40	352200	1904240.00
2017/04/27	0938	5.40	5.40	5.35	5.35	570000	3069210.00
2017/04/27	0939	5.35	5.37	5.35	5.36	206100	1103745.00
2017/04/27	0940	5.36	5.37	5.36	5.37	182500	979154.00
2017/04/27	0941	5.37	5.38	5.37	5.37	137500	738851.00
2017/04/27	0942	5.38	5.40	5.38	5.40	118000	635222.00
2017/04/27	0943	5.39	5.39	5.38	5.38	66700	359483.00
2017/04/27	0944	5.39	5.39	5.38	5.38	192300	1036125.00
2017/04/27	0945	5.39	5.39	5.38	5.39	32500	175067.00
2017/04/27	0946	5.38	5.38	5.37	5.38	203600	1094363.00
2017/04/27	0947	5.38	5.38	5.37	5.38	38100	204941.00
2017/04/27	0948	5.37	5.38	5.37	5.38	94600	508587.00
2017/04/27	0949	5.38	5.38	5.36	5.38	343300	1843255.00
2017/04/27	0950	5.38	5.38	5.37	5.37	84200	452612.00
2017/04/27	0951	5.38	5.38	5.37	5.38	28200	151507.00
2017/04/27	0952	5.38	5.38	5.37	5.37	68400	367494.00
2017/04/27	0953	5.37	5.37	5.36	5.36	62500	335273.00
2017/04/27	0954	5.36	5.38	5.36	5.37	166800	895806.00
2017/04/27	0955	5.38	5.38	5.36	5.37	75000	402631.00
2017/04/27	0956	5.37	5.38	5.36	5.38	61100	328009.00
2017/04/27	0957	5.38	5.38	5.37	5.37	19800	106441.00
2017/04/27	0958	5.37	5.38	5.37	5.38	57000	306386.00
2017/04/27	0959	5.37	5.38	5.36	5.36	133600	717403.00
2017/04/27	1000	5.37	5.37	5.36	5.36	231800	1242708.00
2017/04/27	1001	5.36	5.36	5.34	5.34	410000	2195005.00
2017/04/27	1002	5.34	5.35	5.33	5.33	191500	1022312.00
2017/04/27	1003	5.34	5.34	5.33	5.33	294200	1568923.00
2017/04/27	1004	5.34	5.34	5.32	5.33	280300	1495881.00
2017/04/27	1005	5.33	5.34	5.33	5.34	55400	295507.00
2017/04/27	1006	5.33	5.34	5.33	5.34	46900	250163.00
2017/04/27	1007	5.34	5.34	5.33	5.33	137000	730762.00
2017/04/27	1008	5.34	5.34	5.33	5.33	216200	1153174.00
2017/04/27	1009	5.33	5.35	5.33	5.35	95200	508538.00
2017/04/27	1010	5.34	5.35	5.34	5.35	108200	577808.00
2017/04/27	1011	5.34	5.35	5.34	5.35	92000	491662.00
2017/04/27	1012	5.35	5.35	5.34	5.35	110100	589020.00
2017/04/27	1013	5.36	5.36	5.34	5.36	35200	188247.00
