601933 永辉超市 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	6.05	6.05	6.03	6.04	582400	3589888.00
2017/04/27	0932	6.05	6.05	6.00	6.01	642200	3943384.00
2017/04/27	0933	6.01	6.02	5.99	6.00	1292200	7901298.00
2017/04/27	0934	5.99	6.01	5.99	5.99	620300	3793582.00
2017/04/27	0935	6.00	6.01	5.99	6.00	597000	3653915.00
2017/04/27	0936	6.00	6.03	6.00	6.03	559400	3427990.00
2017/04/27	0937	6.03	6.04	6.03	6.03	447800	2755002.00
2017/04/27	0938	6.04	6.05	6.03	6.05	369300	2274430.00
2017/04/27	0939	6.03	6.05	6.03	6.05	198700	1224155.00
2017/04/27	0940	6.04	6.06	6.04	6.06	357300	2203784.00
2017/04/27	0941	6.05	6.07	6.05	6.07	184000	1136557.00
2017/04/27	0942	6.07	6.08	6.07	6.08	373900	2316516.00
2017/04/27	0943	6.08	6.10	6.08	6.09	467000	2903140.00
2017/04/27	0944	6.09	6.10	6.08	6.09	852400	5292281.00
2017/04/27	0945	6.10	6.12	6.10	6.12	441600	2749052.00
2017/04/27	0946	6.12	6.13	6.11	6.13	1078100	6733048.00
2017/04/27	0947	6.13	6.14	6.11	6.13	902700	5637936.00
2017/04/27	0948	6.13	6.15	6.13	6.15	1162700	7276451.00
2017/04/27	0949	6.15	6.15	6.13	6.14	460100	2881425.00
2017/04/27	0950	6.13	6.13	6.12	6.12	228200	1425513.00
2017/04/27	0951	6.13	6.13	6.10	6.10	1145700	7138665.00
2017/04/27	0952	6.10	6.10	6.08	6.08	452100	2808715.00
2017/04/27	0953	6.09	6.10	6.08	6.10	246300	1529850.00
2017/04/27	0954	6.10	6.11	6.09	6.11	262700	1634790.00
2017/04/27	0955	6.11	6.11	6.10	6.11	191400	1191693.00
2017/04/27	0956	6.11	6.12	6.10	6.10	294600	1835169.00
2017/04/27	0957	6.10	6.11	6.09	6.10	187100	1163801.00
2017/04/27	0958	6.10	6.11	6.09	6.10	235600	1465139.00
2017/04/27	0959	6.10	6.10	6.08	6.08	181100	1125433.00
2017/04/27	1000	6.09	6.09	6.08	6.08	307500	1908006.00
2017/04/27	1001	6.08	6.09	6.07	6.08	354300	2195800.00
2017/04/27	1002	6.06	6.11	6.06	6.09	734200	4562975.00
2017/04/27	1003	6.09	6.11	6.09	6.10	101400	630023.00
2017/04/27	1004	6.09	6.10	6.09	6.10	163000	1013106.00
2017/04/27	1005	6.10	6.10	6.09	6.10	107000	665147.00
2017/04/27	1006	6.09	6.10	6.08	6.09	187600	1165288.00
2017/04/27	1007	6.08	6.09	6.08	6.09	137800	855486.00
2017/04/27	1008	6.09	6.10	6.08	6.09	43200	268326.00
2017/04/27	1009	6.09	6.10	6.09	6.09	76100	472919.00
2017/04/27	1010	6.10	6.10	6.09	6.10	88900	552460.00
2017/04/27	1011	6.10	6.10	6.09	6.10	233000	1449181.00
2017/04/27	1012	6.10	6.10	6.08	6.08	235400	1461343.00
2017/04/27	1013	6.09	6.10	6.08	6.09	167200	1038359.00
2017/04/27	1014	6.09	6.10	6.09	6.09	84500	524924.00
2017/04/27	1015	6.10	6.10	6.09	6.09	141200	877012.00
2017/04/27	1016	6.10	6.10	6.09	6.09	187400	1164933.00
2017/04/27	1017	6.09	6.10	6.09	6.10	344600	2142118.00
2017/04/27	1018	6.09	6.10	6.09	6.10	81200	504641.00
2017/04/27	1019	6.10	6.10	6.08	6.09	173900	1079795.00
2017/04/27	1020	6.08	6.09	6.08	6.08	70700	438694.00
2017/04/27	1021	6.09	6.09	6.08	6.08	195400	1211616.00
2017/04/27	1022	6.08	6.08	6.07	6.07	127900	792385.00
2017/04/27	1023	6.08	6.08	6.07	6.07	185800	1150748.00
2017/04/27	1024	6.08	6.08	6.07	6.07	97800	605540.00
2017/04/27	1025	6.08	6.08	6.07	6.07	133000	823835.00
2017/04/27	1026	6.07	6.07	6.04	6.05	579500	3580581.00
2017/04/27	1027	6.04	6.05	6.04	6.04	249700	1538624.00
2017/04/27	1028	6.05	6.05	6.03	6.04	302900	1866028.00
2017/04/27	1029	6.03	6.04	6.03	6.03	305000	1877554.00
2017/04/27	1030	6.04	6.04	6.03	6.03	358200	2203942.00
2017/04/27	1031	6.03	6.04	6.03	6.04	218300	1342740.00
2017/04/27	1032	6.03	6.04	6.02	6.02	248800	1528466.00
2017/04/27	1033	6.03	6.03	6.01	6.01	485900	2982030.00
2017/04/27	1034	6.01	6.02	6.00	6.00	372700	2284525.00
2017/04/27	1035	6.01	6.01	6.00	6.00	792400	4854236.00
2017/04/27	1036	6.01	6.02	6.01	6.02	410700	2518517.00
2017/04/27	1037	6.01	6.03	6.01	6.02	691800	4246598.00
2017/04/27	1038	6.03	6.03	6.01	6.02	388200	2382444.00
2017/04/27	1039	6.03	6.03	6.02	6.02	237100	1457308.00
2017/04/27	1040	6.03	6.03	6.01	6.02	323000	1982851.00
2017/04/27	1041	6.02	6.03	6.01	6.02	351700	2159371.00
2017/04/27	1042	6.01	6.02	6.01	6.01	448300	2748406.00
2017/04/27	1043	6.02	6.02	6.01	6.02	348900	2140613.00
2017/04/27	1044	6.02	6.02	6.01	6.02	213600	1310951.00
2017/04/27	1045	6.02	6.02	6.01	6.02	141100	865519.00
2017/04/27	1046	6.01	6.02	6.01	6.02	140400	860948.00
2017/04/27	1047	6.02	6.02	6.01	6.01	266600	1635687.00
2017/04/27	1048	6.02	6.02	6.01	6.01	116400	714289.00
2017/04/27	1049	6.02	6.02	6.01	6.01	111500	683591.00
2017/04/27	1050	6.01	6.02	6.01	6.01	236400	1451042.00
2017/04/27	1051	6.02	6.02	6.01	6.01	271000	1662565.00
2017/04/27	1052	6.02	6.02	6.01	6.01	371000	2277346.00
2017/04/27	1053	6.01	6.02	6.01	6.01	66600	408624.00
2017/04/27	1054	6.01	6.02	6.01	6.02	295200	1812238.00
2017/04/27	1055	6.01	6.02	6.01	6.01	211700	1299460.00
2017/04/27	1056	6.02	6.02	6.01	6.02	133700	820743.00
2017/04/27	1057	6.02	6.02	6.01	6.01	175900	1078518.00
2017/04/27	1058	6.02	6.02	6.01	6.01	265300	1628155.00
2017/04/27	1059	6.01	6.02	6.01	6.01	140000	858846.00
2017/04/27	1100	6.02	6.02	6.01	6.02	792300	4864147.00
2017/04/27	1101	6.02	6.03	6.02	6.02	148000	909561.00
2017/04/27	1102	6.02	6.03	6.02	6.03	289600	1779725.00
2017/04/27	1103	6.03	6.05	6.03	6.05	402100	2474069.00
2017/04/27	1104	6.05	6.05	6.04	6.05	189200	1167262.00
2017/04/27	1105	6.04	6.05	6.04	6.05	203000	1251648.00
2017/04/27	1106	6.05	6.05	6.04	6.05	132700	817733.00
2017/04/27	1107	6.04	6.05	6.04	6.04	261200	1609222.00
2017/04/27	1108	6.04	6.04	6.03	6.03	219100	1347928.00
2017/04/27	1109	6.04	6.04	6.03	6.04	170900	1051670.00
2017/04/27	1110	6.03	6.04	6.02	6.02	265200	1630692.00
2017/04/27	1111	6.03	6.03	6.02	6.02	130900	804700.00
2017/04/27	1112	6.02	6.03	6.02	6.02	155500	955206.00
2017/04/27	1113	6.03	6.03	6.01	6.01	416400	2556713.00
2017/04/27	1114	6.02	6.02	6.01	6.02	238300	1462984.00
2017/04/27	1115	6.02	6.04	6.02	6.04	126200	775738.00
2017/04/27	1116	6.04	6.05	6.03	6.05	200500	1233454.00
2017/04/27	1117	6.04	6.05	6.04	6.04	89900	553838.00
2017/04/27	1118	6.04	6.05	6.04	6.04	99600	613759.00
2017/04/27	1119	6.04	6.05	6.04	6.04	85600	527867.00
2017/04/27	1120	6.05	6.05	6.04	6.04	133400	822244.00
2017/04/27	1121	6.05	6.05	6.04	6.04	126000	776857.00
2017/04/27	1122	6.04	6.05	6.03	6.04	57800	355978.00
2017/04/27	1123	6.03	6.04	6.03	6.03	160500	987932.00
2017/04/27	1124	6.04	6.04	6.02	6.02	241700	1486107.00
2017/04/27	1125	6.02	6.03	6.01	6.01	436800	2680928.00
2017/04/27	1126	6.01	6.02	6.01	6.01	180000	1103668.00
2017/04/27	1127	6.02	6.02	6.01	6.01	136800	839143.00
2017/04/27	1128	6.01	6.02	6.01	6.02	149600	917497.00
2017/04/27	1129	6.02	6.02	6.01	6.01	371000	2274863.00
2017/04/27	1300	6.01	6.03	6.01	6.03	342700	2104718.00
2017/04/27	1301	6.03	6.03	6.03	6.03	0	0.00
2017/04/27	1302	6.03	6.03	6.02	6.03	66500	408925.00
2017/04/27	1303	6.03	6.03	6.02	6.03	81600	501803.00
2017/04/27	1304	6.03	6.03	6.02	6.03	91600	563095.00
2017/04/27	1305	6.02	6.03	6.02	6.02	168000	1031681.00
2017/04/27	1306	6.02	6.02	6.01	6.02	367800	2258164.00
2017/04/27	1307	6.02	6.02	6.01	6.01	83000	508957.00
2017/04/27	1308	6.01	6.02	6.01	6.01	126400	774835.00
2017/04/27	1309	6.00	6.01	6.00	6.00	564800	3456712.00
2017/04/27	1310	6.01	6.01	6.00	6.01	193700	1187237.00
2017/04/27	1311	6.01	6.02	6.00	6.02	65600	402223.00
2017/04/27	1312	6.01	6.02	6.01	6.02	55100	338144.00
2017/04/27	1313	6.02	6.03	6.01	6.03	111100	681622.00
2017/04/27	1314	6.02	6.03	6.02	6.03	77400	475950.00
2017/04/27	1315	6.02	6.03	6.02	6.02	32700	200826.00
2017/04/27	1316	6.02	6.03	6.02	6.03	67900	417443.00
2017/04/27	1317	6.03	6.03	6.02	6.02	181900	1117033.00
2017/04/27	1318	6.02	6.02	6.00	6.01	340500	2087503.00
2017/04/27	1319	6.01	6.01	6.00	6.01	436800	2674972.00
2017/04/27	1320	6.00	6.02	6.00	6.02	655700	4019569.00
2017/04/27	1321	6.03	6.03	6.02	6.03	38600	237217.00
2017/04/27	1322	6.02	6.03	6.02	6.03	168500	1035524.00
2017/04/27	1323	6.02	6.03	6.02	6.02	264400	1623866.00
2017/04/27	1324	6.02	6.03	6.02	6.03	241100	1482149.00
2017/04/27	1325	6.03	6.04	6.02	6.04	300700	1847904.00
2017/04/27	1326	6.04	6.04	6.03	6.03	110000	677263.00
2017/04/27	1327	6.04	6.04	6.04	6.04	176600	1087856.00
2017/04/27	1328	6.04	6.04	6.03	6.03	77500	477307.00
2017/04/27	1329	6.04	6.04	6.03	6.04	27700	170595.00
2017/04/27	1330	6.04	6.04	6.03	6.03	47600	293184.00
2017/04/27	1331	6.04	6.04	6.03	6.04	25100	154554.00
2017/04/27	1332	6.04	6.04	6.03	6.04	243000	1496823.00
2017/04/27	1333	6.04	6.05	6.03	6.05	468700	2887205.00
2017/04/27	1334	6.04	6.06	6.04	6.06	73000	450182.00
2017/04/27	1335	6.05	6.06	6.05	6.06	229700	1418494.00
2017/04/27	1336	6.06	6.06	6.05	6.05	345600	2133960.00
2017/04/27	1337	6.05	6.05	6.04	6.04	116500	718461.00
2017/04/27	1338	6.05	6.05	6.04	6.05	210000	1295633.00
2017/04/27	1339	6.05	6.05	6.04	6.04	135400	835348.00
2017/04/27	1340	6.05	6.05	6.04	6.04	30800	189959.00
2017/04/27	1341	6.05	6.05	6.04	6.04	66400	409439.00
2017/04/27	1342	6.05	6.05	6.04	6.05	169000	1042728.00
2017/04/27	1343	6.04	6.05	6.04	6.04	57500	354497.00
2017/04/27	1344	6.04	6.05	6.04	6.05	78400	483025.00
2017/04/27	1345	6.05	6.05	6.04	6.04	213300	1315219.00
2017/04/27	1346	6.04	6.05	6.03	6.03	883500	5440330.00
2017/04/27	1347	6.02	6.03	6.02	6.02	175400	1078009.00
2017/04/27	1348	6.03	6.03	6.02	6.03	111700	686518.00
2017/04/27	1349	6.03	6.04	6.03	6.04	152900	940593.00
2017/04/27	1350	6.04	6.04	6.03	6.04	289900	1785372.00
2017/04/27	1351	6.04	6.04	6.03	6.03	197800	1216883.00
2017/04/27	1352	6.04	6.04	6.03	6.03	109400	673893.00
2017/04/27	1353	6.03	6.04	6.03	6.03	35000	215511.00
2017/04/27	1354	6.03	6.04	6.03	6.04	66700	410659.00
2017/04/27	1355	6.04	6.04	6.03	6.04	96000	590957.00
2017/04/27	1356	6.03	6.04	6.03	6.04	30900	190190.00
2017/04/27	1357	6.03	6.04	6.02	6.03	290400	1785424.00
2017/04/27	1358	6.03	6.03	6.02	6.02	89600	550681.00
2017/04/27	1359	6.03	6.03	6.02	6.03	230100	1413918.00
2017/04/27	1400	6.02	6.03	6.02	6.03	267000	1639710.00
2017/04/27	1401	6.02	6.03	6.01	6.01	372700	2288033.00
