601998 中信银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	5.77	5.77	5.75	5.75	1041700	6225244.00
2017/04/27	0932	5.76	5.76	5.74	5.75	386300	2300442.00
2017/04/27	0933	5.75	5.75	5.74	5.74	285200	1698094.00
2017/04/27	0934	5.75	5.76	5.74	5.74	386600	2301920.00
2017/04/27	0935	5.75	5.75	5.74	5.75	195700	1165348.00
2017/04/27	0936	5.75	5.76	5.74	5.75	377000	2247509.00
2017/04/27	0937	5.76	5.76	5.74	5.74	412500	2457156.00
2017/04/27	0938	5.73	5.74	5.73	5.73	314400	1868110.00
2017/04/27	0939	5.72	5.73	5.71	5.72	532700	3160263.00
2017/04/27	0940	5.72	5.74	5.72	5.74	211200	1253707.00
2017/04/27	0941	5.71	5.73	5.71	5.72	884300	5235310.00
2017/04/27	0942	5.72	5.72	5.71	5.71	704800	4176795.00
2017/04/27	0943	5.70	5.72	5.70	5.71	312900	1851445.00
2017/04/27	0944	5.71	5.71	5.69	5.69	1163800	6871871.00
2017/04/27	0945	5.69	5.70	5.69	5.70	316600	1869009.00
2017/04/27	0946	5.70	5.70	5.69	5.69	813000	4803302.00
2017/04/27	0947	5.69	5.69	5.68	5.69	265600	1566885.00
2017/04/27	0948	5.68	5.69	5.68	5.69	281800	1661240.00
2017/04/27	0949	5.69	5.69	5.68	5.68	197100	1162176.00
2017/04/27	0950	5.69	5.69	5.68	5.69	236500	1394853.00
2017/04/27	0951	5.69	5.69	5.68	5.69	423600	2498351.00
2017/04/27	0952	5.69	5.69	5.68	5.69	289400	1705276.00
2017/04/27	0953	5.68	5.69	5.68	5.69	364000	2145033.00
2017/04/27	0954	5.69	5.69	5.68	5.68	286500	1689631.00
2017/04/27	0955	5.68	5.69	5.68	5.69	203300	1198178.00
2017/04/27	0956	5.69	5.70	5.68	5.70	884000	5213883.00
2017/04/27	0957	5.69	5.70	5.69	5.69	77900	460010.00
2017/04/27	0958	5.69	5.70	5.69	5.69	578400	3414848.00
2017/04/27	0959	5.69	5.70	5.68	5.68	355400	2097498.00
2017/04/27	1000	5.69	5.69	5.67	5.68	829100	4884211.00
2017/04/27	1001	5.68	5.68	5.67	5.67	350200	2059788.00
2017/04/27	1002	5.67	5.68	5.66	5.66	477500	2807092.00
2017/04/27	1003	5.67	5.67	5.66	5.67	646800	3798495.00
2017/04/27	1004	5.67	5.68	5.66	5.67	554500	3259928.00
2017/04/27	1005	5.68	5.69	5.67	5.68	211400	1245278.00
2017/04/27	1006	5.68	5.69	5.68	5.68	107600	634261.00
2017/04/27	1007	5.69	5.70	5.68	5.70	841000	4957837.00
2017/04/27	1008	5.70	5.70	5.69	5.70	626100	3694934.00
2017/04/27	1009	5.70	5.71	5.69	5.70	591500	3498013.00
2017/04/27	1010	5.70	5.71	5.70	5.71	423400	2505097.00
2017/04/27	1011	5.72	5.72	5.71	5.71	113900	674477.00
2017/04/27	1012	5.71	5.72	5.71	5.71	274900	1629016.00
2017/04/27	1013	5.71	5.72	5.70	5.71	78800	466522.00
2017/04/27	1014	5.71	5.72	5.71	5.71	143400	849119.00
2017/04/27	1015	5.71	5.71	5.70	5.70	440400	2606935.00
2017/04/27	1016	5.71	5.71	5.68	5.70	710500	4194517.00
2017/04/27	1017	5.70	5.70	5.69	5.69	88000	519390.00
2017/04/27	1018	5.69	5.70	5.69	5.69	318600	1882467.00
2017/04/27	1019	5.69	5.70	5.69	5.69	595200	3511792.00
2017/04/27	1020	5.69	5.69	5.68	5.69	142600	840961.00
2017/04/27	1021	5.69	5.70	5.69	5.70	74500	439600.00
2017/04/27	1022	5.69	5.70	5.69	5.70	186800	1103616.00
2017/04/27	1023	5.70	5.71	5.70	5.71	192200	1136155.00
2017/04/27	1024	5.71	5.71	5.70	5.71	75500	446522.00
2017/04/27	1025	5.70	5.71	5.68	5.69	473800	2795883.00
2017/04/27	1026	5.69	5.71	5.68	5.71	175500	1034728.00
2017/04/27	1027	5.70	5.71	5.70	5.71	113500	671032.00
2017/04/27	1028	5.70	5.71	5.70	5.70	64500	381320.00
2017/04/27	1029	5.71	5.71	5.70	5.70	74400	439744.00
2017/04/27	1030	5.70	5.71	5.69	5.71	118200	698484.00
2017/04/27	1031	5.69	5.71	5.69	5.70	221100	1305810.00
2017/04/27	1032	5.69	5.69	5.68	5.69	443200	2613099.00
2017/04/27	1033	5.68	5.69	5.68	5.68	74500	439311.00
2017/04/27	1034	5.68	5.69	5.68	5.69	184300	1086693.00
2017/04/27	1035	5.69	5.69	5.68	5.68	147700	870463.00
2017/04/27	1036	5.69	5.70	5.68	5.69	160100	944210.00
2017/04/27	1037	5.69	5.70	5.69	5.69	123300	727507.00
2017/04/27	1038	5.69	5.70	5.69	5.69	72800	429663.00
2017/04/27	1039	5.69	5.70	5.69	5.70	126800	748961.00
2017/04/27	1040	5.70	5.70	5.69	5.69	140100	827004.00
2017/04/27	1041	5.69	5.71	5.69	5.69	174200	1029912.00
2017/04/27	1042	5.70	5.71	5.70	5.70	64500	381234.00
2017/04/27	1043	5.70	5.71	5.70	5.71	81100	479580.00
2017/04/27	1044	5.71	5.71	5.70	5.71	250900	1485300.00
2017/04/27	1045	5.72	5.72	5.71	5.71	104000	616312.00
2017/04/27	1046	5.72	5.73	5.71	5.72	386700	2296368.00
2017/04/27	1047	5.72	5.72	5.71	5.71	88900	526665.00
2017/04/27	1048	5.71	5.72	5.71	5.72	98900	585743.00
2017/04/27	1049	5.72	5.72	5.71	5.72	276200	1637177.00
2017/04/27	1050	5.71	5.72	5.71	5.71	315800	1870993.00
2017/04/27	1051	5.71	5.72	5.71	5.71	211000	1250201.00
2017/04/27	1052	5.71	5.72	5.71	5.71	129400	766290.00
2017/04/27	1053	5.71	5.72	5.71	5.71	90900	538306.00
2017/04/27	1054	5.71	5.72	5.71	5.71	77000	455868.00
2017/04/27	1055	5.71	5.72	5.71	5.72	135700	803831.00
2017/04/27	1056	5.71	5.72	5.71	5.72	105500	624718.00
2017/04/27	1057	5.71	5.72	5.71	5.71	188000	1114132.00
2017/04/27	1058	5.71	5.72	5.71	5.72	125800	745181.00
2017/04/27	1059	5.72	5.73	5.71	5.72	608300	3607404.00
2017/04/27	1100	5.72	5.73	5.71	5.72	157200	932518.00
2017/04/27	1101	5.72	5.73	5.72	5.73	132600	787014.00
2017/04/27	1102	5.72	5.73	5.72	5.73	288200	1710638.00
2017/04/27	1103	5.73	5.74	5.73	5.73	126000	748468.00
2017/04/27	1104	5.73	5.74	5.73	5.74	180900	1075317.00
2017/04/27	1105	5.74	5.74	5.72	5.73	116300	691061.00
2017/04/27	1106	5.73	5.74	5.72	5.73	62000	368316.00
2017/04/27	1107	5.73	5.75	5.73	5.74	664400	3950064.00
2017/04/27	1108	5.73	5.74	5.72	5.74	68900	409128.00
2017/04/27	1109	5.73	5.74	5.73	5.73	66100	392654.00
2017/04/27	1110	5.73	5.74	5.72	5.74	496100	2946850.00
2017/04/27	1111	5.74	5.75	5.73	5.73	121800	724593.00
2017/04/27	1112	5.73	5.74	5.73	5.73	91800	545595.00
2017/04/27	1113	5.73	5.75	5.72	5.75	408900	2433631.00
2017/04/27	1114	5.74	5.76	5.74	5.75	131100	781566.00
2017/04/27	1115	5.75	5.76	5.74	5.75	64700	385433.00
2017/04/27	1116	5.75	5.76	5.74	5.75	152900	911581.00
2017/04/27	1117	5.75	5.77	5.74	5.76	212600	1268627.00
2017/04/27	1118	5.76	5.77	5.75	5.75	138600	827820.00
2017/04/27	1119	5.76	5.76	5.75	5.76	66100	394197.00
2017/04/27	1120	5.75	5.76	5.74	5.74	66600	397104.00
2017/04/27	1121	5.76	5.76	5.74	5.75	155300	925984.00
2017/04/27	1122	5.76	5.76	5.74	5.76	92300	550358.00
2017/04/27	1123	5.74	5.76	5.74	5.74	130500	777909.00
2017/04/27	1124	5.74	5.76	5.72	5.72	433600	2577919.00
2017/04/27	1125	5.72	5.74	5.72	5.73	88800	527236.00
2017/04/27	1126	5.74	5.74	5.72	5.72	65300	387904.00
2017/04/27	1127	5.73	5.73	5.72	5.72	96100	570278.00
2017/04/27	1128	5.73	5.74	5.72	5.74	176600	1049578.00
2017/04/27	1129	5.73	5.75	5.73	5.74	130500	776704.00
2017/04/27	1300	5.74	5.75	5.74	5.75	249100	1483202.00
2017/04/27	1301	5.75	5.75	5.75	5.75	0	0.00
2017/04/27	1302	5.74	5.75	5.73	5.73	151600	902202.00
2017/04/27	1303	5.73	5.74	5.73	5.74	72700	432044.00
2017/04/27	1304	5.73	5.74	5.73	5.73	56000	332687.00
2017/04/27	1305	5.73	5.74	5.73	5.74	97400	579327.00
2017/04/27	1306	5.74	5.75	5.73	5.74	111500	663256.00
2017/04/27	1307	5.73	5.74	5.73	5.73	69800	414947.00
2017/04/27	1308	5.73	5.74	5.73	5.74	121100	719502.00
2017/04/27	1309	5.73	5.74	5.73	5.73	190900	1134217.00
2017/04/27	1310	5.73	5.74	5.73	5.73	65400	388484.00
2017/04/27	1311	5.73	5.75	5.73	5.74	139700	831316.00
2017/04/27	1312	5.74	5.74	5.72	5.72	147600	876565.00
2017/04/27	1313	5.72	5.73	5.72	5.72	206200	1224352.00
2017/04/27	1314	5.73	5.73	5.72	5.72	168500	1000450.00
2017/04/27	1315	5.73	5.73	5.72	5.72	121400	719968.00
2017/04/27	1316	5.73	5.73	5.72	5.72	96600	572880.00
2017/04/27	1317	5.73	5.73	5.72	5.72	302500	1794169.00
2017/04/27	1318	5.72	5.72	5.71	5.72	137100	812947.00
2017/04/27	1319	5.73	5.73	5.72	5.73	56000	332353.00
2017/04/27	1320	5.72	5.73	5.72	5.73	51100	303217.00
2017/04/27	1321	5.73	5.73	5.72	5.73	107400	637719.00
2017/04/27	1322	5.73	5.74	5.73	5.73	159900	950619.00
2017/04/27	1323	5.74	5.74	5.73	5.73	85400	507424.00
2017/04/27	1324	5.73	5.74	5.72	5.73	251300	1491661.00
2017/04/27	1325	5.73	5.74	5.73	5.74	174600	1037812.00
2017/04/27	1326	5.74	5.76	5.74	5.75	162100	966889.00
2017/04/27	1327	5.74	5.76	5.74	5.75	191100	1138612.00
2017/04/27	1328	5.75	5.75	5.74	5.75	71400	425145.00
2017/04/27	1329	5.75	5.75	5.74	5.74	80600	479870.00
2017/04/27	1330	5.75	5.75	5.74	5.75	152000	905570.00
2017/04/27	1331	5.76	5.77	5.75	5.77	276600	1649831.00
2017/04/27	1332	5.76	5.77	5.76	5.76	73300	437761.00
2017/04/27	1333	5.77	5.77	5.75	5.77	254400	1518052.00
2017/04/27	1334	5.76	5.77	5.75	5.75	96000	572619.00
2017/04/27	1335	5.75	5.77	5.75	5.75	144500	861886.00
2017/04/27	1336	5.77	5.77	5.75	5.75	50300	299878.00
2017/04/27	1337	5.76	5.76	5.75	5.75	87700	523204.00
2017/04/27	1338	5.76	5.76	5.75	5.76	193400	1153375.00
2017/04/27	1339	5.76	5.76	5.75	5.75	84000	500907.00
2017/04/27	1340	5.75	5.76	5.75	5.75	61700	367828.00
2017/04/27	1341	5.76	5.76	5.75	5.75	311300	1855549.00
2017/04/27	1342	5.76	5.76	5.75	5.76	60700	361898.00
2017/04/27	1343	5.75	5.76	5.75	5.75	74400	443611.00
2017/04/27	1344	5.75	5.76	5.75	5.75	266100	1585972.00
2017/04/27	1345	5.75	5.76	5.74	5.75	76900	458222.00
2017/04/27	1346	5.74	5.75	5.74	5.74	84000	499983.00
2017/04/27	1347	5.74	5.75	5.74	5.74	58800	349961.00
2017/04/27	1348	5.75	5.76	5.74	5.74	207400	1234839.00
2017/04/27	1349	5.75	5.76	5.74	5.76	95300	568319.00
2017/04/27	1350	5.74	5.76	5.74	5.74	42900	255429.00
2017/04/27	1351	5.75	5.76	5.74	5.75	271400	1617065.00
2017/04/27	1352	5.75	5.76	5.74	5.75	139000	828938.00
2017/04/27	1353	5.76	5.76	5.75	5.75	89500	533565.00
2017/04/27	1354	5.75	5.77	5.75	5.77	98300	587496.00
2017/04/27	1355	5.76	5.77	5.76	5.77	147400	880744.00
2017/04/27	1356	5.77	5.77	5.76	5.76	49400	295058.00
2017/04/27	1357	5.76	5.77	5.76	5.76	74600	445542.00
2017/04/27	1358	5.76	5.77	5.76	5.77	134300	802598.00
2017/04/27	1359	5.76	5.77	5.76	5.77	95200	569073.00
2017/04/27	1400	5.77	5.77	5.76	5.77	159500	953484.00
2017/04/27	1401	5.76	5.77	5.76	5.76	106500	636165.00
2017/04/27	1402	5.77	5.78	5.77	5.78	280800	1679225.00
2017/04/27	1403	5.78	5.78	5.77	5.78	113700	680602.00
2017/04/27	1404	5.77	5.78	5.77	5.78	79700	476903.00
2017/04/27	1405	5.78	5.78	5.77	5.77	101500	606979.00
2017/04/27	1406	5.76	5.78	5.76	5.77	223000	1333566.00
2017/04/27	1407	5.77	5.78	5.77	5.78	93900	561543.00
2017/04/27	1408	5.78	5.78	5.77	5.78	85600	511986.00
2017/04/27	1409	5.77	5.78	5.77	5.78	66600	398386.00
2017/04/27	1410	5.77	5.78	5.77	5.78	90100	539182.00
2017/04/27	1411	5.77	5.78	5.77	5.77	72000	430686.00
2017/04/27	1412	5.77	5.78	5.77	5.77	523300	3134226.00
2017/04/27	1413	5.78	5.78	5.77	5.78	100600	601914.00
2017/04/27	1414	5.77	5.78	5.77	5.77	59900	358293.00
2017/04/27	1415	5.77	5.78	5.77	5.77	81700	488872.00
2017/04/27	1416	5.78	5.78	5.77	5.77	87100	520936.00
2017/04/27	1417	5.78	5.78	5.77	5.77	83500	499692.00
2017/04/27	1418	5.77	5.78	5.77	5.78	132700	793861.00
2017/04/27	1419	5.78	5.78	5.77	5.77	65500	391707.00
2017/04/27	1420	5.77	5.78	5.77	5.78	130900	783133.00
2017/04/27	1421	5.77	5.78	5.77	5.78	209200	1251381.00
