603019 中科曙光 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	25.98	25.98	25.77	25.77	102500	2658487.00
2017/04/27	0932	25.77	25.77	25.68	25.72	48000	1238868.00
2017/04/27	0933	25.72	25.77	25.72	25.76	39600	1022673.00
2017/04/27	0934	25.76	25.77	25.63	25.67	121000	3117155.00
2017/04/27	0935	25.67	25.75	25.63	25.66	80300	2068337.00
2017/04/27	0936	25.66	25.70	25.64	25.66	99800	2568827.00
2017/04/27	0937	25.65	25.65	25.57	25.57	164700	4234010.00
2017/04/27	0938	25.57	25.57	25.32	25.45	111100	2838005.00
2017/04/27	0939	25.46	25.49	25.37	25.48	172100	4389932.00
2017/04/27	0940	25.44	25.57	25.44	25.57	26000	664839.00
2017/04/27	0941	25.55	25.57	25.51	25.57	60500	1549784.00
2017/04/27	0942	25.53	25.57	25.53	25.56	60400	1547772.00
2017/04/27	0943	25.57	25.58	25.56	25.58	30500	782415.00
2017/04/27	0944	25.58	25.59	25.57	25.57	43800	1123825.00
2017/04/27	0945	25.56	25.58	25.53	25.53	42300	1084605.00
2017/04/27	0946	25.55	25.55	25.42	25.42	89800	2295307.00
2017/04/27	0947	25.42	25.42	25.28	25.32	114100	2901079.00
2017/04/27	0948	25.32	25.37	25.27	25.34	104800	2661421.00
2017/04/27	0949	25.34	25.38	25.32	25.37	94200	2396180.00
2017/04/27	0950	25.36	25.36	25.32	25.34	58500	1486659.00
2017/04/27	0951	25.34	25.36	25.33	25.34	55800	1418394.00
2017/04/27	0952	25.34	25.36	25.33	25.34	36000	915177.00
2017/04/27	0953	25.32	25.37	25.32	25.36	63200	1606546.00
2017/04/27	0954	25.36	25.39	25.36	25.39	37900	964541.00
2017/04/27	0955	25.39	25.44	25.39	25.44	23400	596652.00
2017/04/27	0956	25.42	25.44	25.41	25.41	37800	963899.00
2017/04/27	0957	25.41	25.41	25.37	25.41	19900	506823.00
2017/04/27	0958	25.38	25.43	25.38	25.43	29500	752102.00
2017/04/27	0959	25.43	25.44	25.35	25.36	98300	2503810.00
2017/04/27	1000	25.33	25.34	25.28	25.29	93700	2379500.00
2017/04/27	1001	25.28	25.28	25.19	25.19	91500	2316971.00
2017/04/27	1002	25.19	25.23	25.14	25.23	216600	5472066.00
2017/04/27	1003	25.23	25.37	25.23	25.37	48000	1218395.00
2017/04/27	1004	25.37	25.38	25.33	25.33	31400	798883.00
2017/04/27	1005	25.33	25.36	25.33	25.35	21100	536373.00
2017/04/27	1006	25.33	25.34	25.32	25.33	37200	945083.00
2017/04/27	1007	25.33	25.33	25.30	25.32	22000	558684.00
2017/04/27	1008	25.32	25.38	25.30	25.38	54800	1392808.00
2017/04/27	1009	25.38	25.40	25.34	25.35	23000	585259.00
2017/04/27	1010	25.35	25.37	25.34	25.37	14500	368735.00
2017/04/27	1011	25.34	25.43	25.34	25.42	52600	1339125.00
2017/04/27	1012	25.42	25.44	25.39	25.42	40200	1025125.00
2017/04/27	1013	25.42	25.44	25.42	25.42	14700	374906.00
2017/04/27	1014	25.42	25.42	25.37	25.38	18900	481651.00
2017/04/27	1015	25.38	25.40	25.37	25.40	10600	269846.00
2017/04/27	1016	25.39	25.41	25.37	25.37	12300	313245.00
2017/04/27	1017	25.37	25.37	25.35	25.35	39100	994579.00
2017/04/27	1018	25.35	25.36	25.34	25.35	36400	925482.00
2017/04/27	1019	25.35	25.35	25.33	25.34	21700	551528.00
