603160 汇顶科技 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	88.93	88.93	88.68	88.70	17400	1552437.00
2017/04/27	0932	88.71	88.90	88.71	88.88	3700	329935.00
2017/04/27	0933	88.89	89.40	88.89	89.40	3600	322198.00
2017/04/27	0934	89.50	89.90	89.40	89.90	7000	630474.00
2017/04/27	0935	89.92	89.92	89.60	89.79	7900	711774.00
2017/04/27	0936	89.63	89.79	89.60	89.60	6300	567868.00
2017/04/27	0937	89.65	89.65	89.50	89.50	5700	512579.00
2017/04/27	0938	89.43	89.50	88.92	88.92	8800	788365.00
2017/04/27	0939	88.92	88.92	88.80	88.80	9400	839230.00
2017/04/27	0940	88.80	89.08	88.73	88.95	8300	740845.00
2017/04/27	0941	88.95	88.99	88.95	88.96	8700	777407.00
2017/04/27	0942	88.96	89.35	88.95	88.96	5900	527416.00
2017/04/27	0943	89.11	89.11	88.99	88.99	1500	134204.00
2017/04/27	0944	89.00	89.28	88.99	89.28	2600	232669.00
2017/04/27	0945	89.28	89.28	89.12	89.12	2500	224053.00
2017/04/27	0946	89.02	89.12	89.01	89.01	4600	411519.00
2017/04/27	0947	89.01	89.01	88.99	88.99	2100	187734.00
2017/04/27	0948	88.97	88.97	88.91	88.96	5900	527213.00
2017/04/27	0949	88.96	89.09	88.95	89.09	2300	205590.00
2017/04/27	0950	89.05	89.05	89.00	89.00	1400	125179.00
2017/04/27	0951	88.95	88.98	88.95	88.97	3700	330664.00
2017/04/27	0952	88.94	88.95	88.92	88.92	4700	419838.00
2017/04/27	0953	88.91	88.91	88.68	88.80	15400	1373761.00
2017/04/27	0954	88.62	88.76	88.61	88.62	10300	916874.00
2017/04/27	0955	88.60	88.80	88.60	88.80	10500	934894.00
2017/04/27	0956	88.80	88.88	88.80	88.88	5200	463910.00
2017/04/27	0957	88.83	88.89	88.83	88.85	2400	214175.00
2017/04/27	0958	88.92	88.95	88.92	88.95	4300	384168.00
2017/04/27	0959	88.83	88.86	88.75	88.75	12700	1132676.00
2017/04/27	1000	88.75	88.75	88.52	88.59	9800	872687.00
2017/04/27	1001	88.52	88.52	87.94	87.94	15200	1345752.00
2017/04/27	1002	88.11	88.11	87.69	88.07	18500	1633044.00
2017/04/27	1003	87.92	88.09	87.92	88.09	8100	716340.00
2017/04/27	1004	88.09	88.20	88.09	88.20	9500	840802.00
2017/04/27	1005	88.20	88.40	88.20	88.23	3500	310267.00
2017/04/27	1006	88.48	88.48	88.29	88.48	1100	97673.00
2017/04/27	1007	88.48	88.48	88.31	88.31	3800	337410.00
2017/04/27	1008	88.32	88.32	88.23	88.30	5600	496638.00
2017/04/27	1009	88.20	88.30	88.20	88.20	5400	478479.00
2017/04/27	1010	88.23	88.23	88.18	88.23	6200	549474.00
2017/04/27	1011	88.23	88.23	88.18	88.18	5800	513876.00
2017/04/27	1012	88.23	88.23	88.10	88.10	8300	735000.00
2017/04/27	1013	88.10	88.10	88.10	88.10	5600	495600.00
2017/04/27	1014	88.23	88.23	88.10	88.10	5300	469113.00
2017/04/27	1015	88.10	88.11	88.05	88.11	4000	353979.00
2017/04/27	1016	88.28	88.28	88.03	88.10	1900	168195.00
2017/04/27	1017	88.17	88.17	88.08	88.08	5400	477937.00
2017/04/27	1018	88.08	88.08	88.04	88.08	6000	530876.06
2017/04/27	1019	88.00	88.08	87.95	87.95	7600	671771.00
2017/04/27	1020	87.95	87.96	87.92	87.95	6100	538826.00
2017/04/27	1021	87.92	88.00	87.92	88.00	3300	291540.00
2017/04/27	1022	88.00	88.08	88.00	88.00	6800	601176.00
