603421 鼎信通讯 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	31.19	31.19	30.89	30.89	13500	423370.00
2017/04/27	0932	31.05	31.05	30.90	30.91	5200	161899.00
2017/04/27	0933	30.91	31.02	30.91	31.02	1800	56166.00
2017/04/27	0934	31.03	31.07	31.03	31.07	3600	112504.00
2017/04/27	0935	31.04	31.07	31.03	31.03	4900	153197.00
2017/04/27	0936	31.07	31.11	31.03	31.03	2400	75062.00
2017/04/27	0937	30.91	30.91	30.89	30.90	9800	305015.00
2017/04/27	0938	30.90	30.90	30.86	30.86	4100	127511.00
2017/04/27	0939	30.89	30.89	30.88	30.88	5000	155511.00
2017/04/27	0940	30.90	31.01	30.90	31.01	1900	59212.00
2017/04/27	0941	31.03	31.03	30.97	30.97	11800	368210.00
2017/04/27	0942	30.95	30.95	30.94	30.95	7200	224398.00
2017/04/27	0943	30.95	30.95	30.92	30.94	10800	336570.00
2017/04/27	0944	30.94	30.95	30.94	30.95	4900	152700.00
2017/04/27	0945	30.97	30.97	30.96	30.97	7700	240105.00
2017/04/27	0946	30.97	30.97	30.93	30.93	10400	324155.00
2017/04/27	0947	30.92	30.96	30.91	30.93	14300	445277.00
2017/04/27	0948	30.93	30.96	30.88	30.96	10700	333127.00
2017/04/27	0949	30.97	30.97	30.91	30.91	3700	115304.00
2017/04/27	0950	30.96	30.97	30.93	30.93	5300	165267.00
2017/04/27	0951	30.91	30.96	30.91	30.93	2400	74726.00
2017/04/27	0952	30.91	30.91	30.91	30.91	800	24904.00
2017/04/27	0953	30.89	30.89	30.79	30.79	29400	912072.00
2017/04/27	0954	30.88	30.88	30.80	30.83	3600	111790.00
2017/04/27	0955	30.80	30.88	30.80	30.87	7600	236114.00
2017/04/27	0956	30.87	30.88	30.81	30.87	4400	136706.00
2017/04/27	0957	30.83	30.86	30.83	30.84	2600	80785.00
2017/04/27	0958	30.84	30.85	30.81	30.81	8000	248353.00
2017/04/27	0959	30.83	30.84	30.79	30.79	9500	294712.00
2017/04/27	1000	30.78	30.78	30.73	30.77	26300	815172.00
2017/04/27	1001	30.77	30.77	30.71	30.71	10000	309449.00
2017/04/27	1002	30.68	30.68	30.66	30.66	10000	308909.00
2017/04/27	1003	30.66	30.68	30.66	30.68	9600	296559.00
2017/04/27	1004	30.68	30.68	30.64	30.68	12200	376806.00
2017/04/27	1005	30.68	30.72	30.68	30.72	4200	129834.00
2017/04/27	1006	30.72	30.72	30.70	30.72	4000	123734.00
2017/04/27	1007	30.71	30.72	30.70	30.70	5300	163914.00
2017/04/27	1008	30.72	30.72	30.71	30.71	2200	68064.00
2017/04/27	1009	30.72	30.73	30.72	30.72	5200	160904.00
2017/04/27	1010	30.73	30.76	30.73	30.76	2200	68098.00
2017/04/27	1011	30.77	30.78	30.77	30.78	1100	34096.00
2017/04/27	1012	30.76	30.78	30.76	30.78	800	24796.00
2017/04/27	1013	30.78	30.78	30.75	30.78	1300	40291.00
2017/04/27	1014	30.78	30.83	30.74	30.74	10500	325500.00
2017/04/27	1015	30.75	30.75	30.75	30.75	900	27873.00
2017/04/27	1016	30.75	30.75	30.75	30.75	200	6194.00
2017/04/27	1017	30.75	30.75	30.75	30.75	2700	83619.00
2017/04/27	1018	30.76	30.78	30.76	30.78	700	21698.00
2017/04/27	1019	30.78	30.78	30.76	30.78	2100	65082.00
2017/04/27	1020	30.78	30.78	30.78	30.78	1700	52700.00
2017/04/27	1021	30.80	30.80	30.78	30.78	3700	114712.00
2017/04/27	1022	30.78	30.78	30.76	30.78	5500	170420.00
2017/04/27	1023	30.78	30.78	30.76	30.76	600	18590.00
2017/04/27	1024	30.77	30.78	30.77	30.78	1300	40290.00
2017/04/27	1025	30.77	30.77	30.77	30.77	1300	40287.00
2017/04/27	1026	30.78	30.79	30.78	30.79	1300	40310.00
2017/04/27	1027	30.78	30.79	30.78	30.78	6000	186017.00
2017/04/27	1028	30.80	30.80	30.79	30.79	2000	62026.00
2017/04/27	1029	30.83	30.83	30.83	30.83	1200	37260.00
2017/04/27	1030	30.83	30.83	30.83	30.83	200	6210.00
2017/04/27	1031	30.83	30.83	30.78	30.78	6100	189204.00
2017/04/27	1032	30.78	30.78	30.70	30.70	25100	776957.00
2017/04/27	1033	30.69	30.71	30.68	30.69	6500	200895.00
2017/04/27	1034	30.71	30.72	30.69	30.69	3500	108246.00
2017/04/27	1035	30.69	30.70	30.68	30.68	6500	200886.00
2017/04/27	1036	30.68	30.68	30.66	30.67	5200	160646.00
2017/04/27	1037	30.64	30.68	30.64	30.67	2200	67950.00
2017/04/27	1038	30.66	30.67	30.65	30.67	8100	250126.00
2017/04/27	1039	30.67	30.73	30.67	30.73	5000	154689.00
2017/04/27	1040	30.72	30.72	30.71	30.71	200	6187.00
2017/04/27	1041	30.76	30.76	30.71	30.71	900	27862.00
2017/04/27	1042	30.71	30.75	30.71	30.75	1100	34027.00
2017/04/27	1043	30.78	30.78	30.78	30.78	13600	421600.00
2017/04/27	1044	30.78	30.80	30.78	30.80	400	12404.00
2017/04/27	1045	30.82	30.84	30.82	30.84	700	21730.00
2017/04/27	1046	30.84	30.84	30.84	30.84	300	9318.00
2017/04/27	1047	30.84	30.84	30.84	30.84	3600	111816.00
2017/04/27	1048	30.82	30.86	30.82	30.86	700	21748.00
2017/04/27	1049	30.86	30.86	30.86	30.86	500	15540.00
2017/04/27	1050	30.88	30.89	30.88	30.89	4400	136854.00
2017/04/27	1051	30.90	30.90	30.89	30.89	3000	93345.00
2017/04/27	1052	30.90	30.90	30.82	30.90	4800	149211.00
2017/04/27	1053	30.87	30.87	30.87	30.87	1500	46635.00
2017/04/27	1054	30.90	30.91	30.83	30.83	2100	65258.00
2017/04/27	1055	30.90	30.93	30.90	30.93	4600	143208.00
2017/04/27	1056	30.93	30.93	30.90	30.90	2100	65388.00
2017/04/27	1057	30.90	31.02	30.90	31.02	27900	870675.00
2017/04/27	1058	31.02	31.03	30.84	31.03	11200	348698.00
2017/04/27	1059	31.02	31.03	30.91	30.91	1700	52956.00
2017/04/27	1100	30.94	31.02	30.93	31.02	3100	96670.00
2017/04/27	1101	31.01	31.08	31.01	31.08	3100	96910.00
2017/04/27	1102	31.07	31.20	31.07	31.20	7200	225988.00
2017/04/27	1103	31.28	31.28	31.20	31.27	17500	550878.00
2017/04/27	1104	31.16	31.26	31.13	31.18	5700	179067.00
2017/04/27	1105	31.08	31.26	30.93	31.18	7000	219400.00
2017/04/27	1106	31.18	31.23	31.18	31.23	3600	113125.00
2017/04/27	1107	31.14	31.16	31.14	31.16	900	28236.00
2017/04/27	1108	31.14	31.14	31.12	31.12	1600	50162.00
2017/04/27	1109	31.16	31.16	31.12	31.13	3000	94079.00
2017/04/27	1110	31.13	31.14	31.13	31.13	1600	50163.00
2017/04/27	1111	31.12	31.12	31.12	31.12	1800	56412.00
2017/04/27	1112	31.12	31.15	31.12	31.15	2200	68963.00
2017/04/27	1113	31.15	31.15	31.12	31.12	1700	53305.00
2017/04/27	1114	31.15	31.20	31.13	31.13	1900	59604.00
2017/04/27	1115	31.17	31.23	31.17	31.23	9600	301875.00
2017/04/27	1116	31.23	31.27	31.18	31.27	33500	1052268.00
2017/04/27	1117	31.27	31.27	31.20	31.20	4100	129067.00
2017/04/27	1118	31.28	31.28	31.27	31.28	6000	188991.00
2017/04/27	1119	31.27	31.28	31.27	31.28	57800	1820664.00
2017/04/27	1120	31.28	31.28	31.27	31.28	40200	1266298.00
2017/04/27	1121	31.28	31.28	31.27	31.28	38200	1203290.00
2017/04/27	1122	31.25	31.28	31.25	31.28	31400	988980.00
2017/04/27	1123	31.30	31.34	31.30	31.34	7500	236458.00
2017/04/27	1124	31.34	31.35	31.34	31.35	3600	113622.00
2017/04/27	1125	31.35	31.43	31.35	31.43	11500	363563.00
2017/04/27	1126	31.40	31.40	31.33	31.33	7000	220981.00
2017/04/27	1127	31.33	31.33	31.32	31.32	2100	66249.00
2017/04/27	1128	31.32	31.32	31.30	31.31	1500	47292.00
2017/04/27	1129	31.31	31.35	31.31	31.33	5200	164034.00
2017/04/27	1300	31.34	31.47	31.34	31.46	16700	528665.00
2017/04/27	1301	31.46	31.46	31.46	31.46	0	0.00
2017/04/27	1302	31.46	31.46	31.40	31.40	6900	218213.00
2017/04/27	1303	31.40	31.41	31.40	31.41	1500	47435.00
2017/04/27	1304	31.43	31.46	31.43	31.45	4000	126658.00
2017/04/27	1305	31.48	31.52	31.48	31.51	4800	152282.00
2017/04/27	1306	31.52	31.55	31.48	31.55	5900	187275.00
2017/04/27	1307	31.54	31.56	31.48	31.54	10200	324021.00
2017/04/27	1308	31.54	31.55	31.54	31.54	6900	219157.00
2017/04/27	1309	31.54	31.54	31.50	31.53	6200	196885.00
2017/04/27	1310	31.53	31.53	31.51	31.53	5900	187314.00
2017/04/27	1311	31.53	31.53	31.49	31.49	4500	142816.00
2017/04/27	1312	31.49	31.49	31.48	31.48	6100	193378.00
2017/04/27	1313	31.49	31.50	31.48	31.50	2200	69773.00
2017/04/27	1314	31.50	31.51	31.50	31.51	2300	72963.00
2017/04/27	1315	31.50	31.51	31.49	31.50	3000	95164.00
2017/04/27	1316	31.50	31.52	31.50	31.52	2200	69801.00
2017/04/27	1317	31.51	31.51	31.50	31.50	3100	98348.00
2017/04/27	1318	31.50	31.50	31.49	31.50	1800	57086.00
2017/04/27	1319	31.50	31.51	31.50	31.51	5200	164983.00
2017/04/27	1320	31.51	31.52	31.51	31.52	6600	209458.00
2017/04/27	1321	31.51	31.54	31.51	31.54	7100	225392.00
2017/04/27	1322	31.55	31.65	31.55	31.65	8400	267241.00
2017/04/27	1323	31.65	31.73	31.65	31.73	31300	999134.00
2017/04/27	1324	31.74	31.77	31.74	31.76	21200	677845.00
2017/04/27	1325	31.76	31.76	31.73	31.73	13700	437886.00
2017/04/27	1326	31.73	31.73	31.68	31.68	4500	143623.00
2017/04/27	1327	31.69	31.70	31.67	31.70	1500	47868.00
2017/04/27	1328	31.69	31.71	31.68	31.71	2600	82959.00
2017/04/27	1329	31.70	31.72	31.70	31.72	2400	76640.00
2017/04/27	1330	31.72	31.73	31.71	31.73	8900	284275.00
2017/04/27	1331	31.70	31.78	31.70	31.78	40900	1308742.00
2017/04/27	1332	31.79	31.80	31.79	31.80	6700	214512.00
2017/04/27	1333	31.82	31.86	31.82	31.85	13100	420042.00
2017/04/27	1334	31.86	31.88	31.85	31.88	24000	770138.00
2017/04/27	1335	31.88	31.93	31.88	31.90	6500	208683.98
2017/04/27	1336	31.90	31.92	31.88	31.88	6300	202376.00
2017/04/27	1337	31.89	31.90	31.87	31.87	11800	378858.00
2017/04/27	1338	31.87	31.87	31.84	31.84	5800	185975.00
2017/04/27	1339	31.83	31.83	31.82	31.82	4800	153798.00
2017/04/27	1340	31.82	31.82	31.72	31.73	4100	131156.00
2017/04/27	1341	31.73	31.73	31.73	31.73	4200	134190.00
2017/04/27	1342	31.73	31.74	31.73	31.74	1600	51129.00
2017/04/27	1343	31.77	31.77	31.74	31.77	1600	51169.00
2017/04/27	1344	31.77	31.77	31.73	31.73	1500	47951.00
2017/04/27	1345	31.73	31.73	31.72	31.72	9600	306719.00
2017/04/27	1346	31.72	31.72	31.69	31.70	14500	462906.00
2017/04/27	1347	31.69	31.69	31.69	31.69	8800	280808.00
2017/04/27	1348	31.69	31.69	31.68	31.69	17100	545637.00
2017/04/27	1349	31.68	31.92	31.68	31.92	27300	874681.00
2017/04/27	1350	31.92	31.93	31.89	31.93	17600	565754.00
2017/04/27	1351	31.93	31.94	31.90	31.93	8200	263584.00
2017/04/27	1352	31.92	31.92	31.89	31.89	2100	67489.00
2017/04/27	1353	31.89	31.90	31.82	31.82	5000	160499.00
2017/04/27	1354	31.90	31.91	31.82	31.89	4200	134897.00
2017/04/27	1355	31.90	31.90	31.89	31.89	4400	141326.98
2017/04/27	1356	31.90	31.93	31.90	31.91	12000	385723.00
2017/04/27	1357	31.91	31.91	31.86	31.86	3400	109190.00
2017/04/27	1358	31.86	31.93	31.83	31.93	29500	948304.00
2017/04/27	1359	31.93	31.95	31.88	31.89	4700	151128.00
2017/04/27	1400	31.91	31.91	31.91	31.91	2500	80325.00
2017/04/27	1401	31.91	31.97	31.91	31.95	12800	411806.97
2017/04/27	1402	31.96	31.97	31.95	31.95	4300	138375.00
2017/04/27	1403	31.96	32.01	31.95	31.98	22100	711564.00
2017/04/27	1404	32.03	32.03	32.00	32.00	9200	296677.00
2017/04/27	1405	32.07	32.07	31.98	32.06	18500	597031.00
2017/04/27	1406	32.05	32.05	32.02	32.02	7300	235429.00
2017/04/27	1407	32.02	32.03	32.02	32.02	13300	428820.03
2017/04/27	1408	32.02	32.02	31.96	31.96	2500	80554.01
2017/04/27	1409	31.96	31.96	31.91	31.94	2900	93226.00
2017/04/27	1410	31.94	31.94	31.92	31.92	1600	51440.00
2017/04/27	1411	31.93	31.93	31.89	31.92	3300	106028.00
2017/04/27	1412	31.92	31.94	31.92	31.92	2800	90022.00
2017/04/27	1413	31.93	31.94	31.93	31.94	1700	54668.00
2017/04/27	1414	31.98	32.01	31.98	32.01	3200	103061.00
2017/04/27	1415	32.01	32.02	32.01	32.01	1500	48352.00
2017/04/27	1416	31.99	31.99	31.94	31.94	1700	54739.00
2017/04/27	1417	31.92	31.97	31.92	31.93	1900	61103.00
2017/04/27	1418	31.93	31.94	31.92	31.92	3400	109316.00
2017/04/27	1419	31.92	31.92	31.92	31.92	3200	102848.00
2017/04/27	1420	31.92	31.92	31.83	31.83	20800	668279.00
2017/04/27	1421	31.82	31.82	31.82	31.82	2200	70488.00
2017/04/27	1422	31.83	31.88	31.78	31.78	18600	595415.00
2017/04/27	1423	31.78	31.79	31.78	31.79	1400	44812.00
2017/04/27	1424	31.85	31.85	31.80	31.81	2900	92914.00
2017/04/27	1425	31.81	31.85	31.81	31.85	2800	89740.00
2017/04/27	1426	31.86	31.91	31.80	31.91	19800	634936.00
2017/04/27	1427	31.92	31.96	31.80	31.96	13400	430011.00
2017/04/27	1428	31.98	31.98	31.81	31.95	7800	250307.00
2017/04/27	1429	31.78	31.80	31.78	31.80	6200	198408.00
2017/04/27	1430	31.93	31.93	31.93	31.93	3300	106095.00
2017/04/27	1431	31.93	31.93	31.93	31.93	400	12860.00
2017/04/27	1432	31.89	31.89	31.86	31.86	700	22462.00
2017/04/27	1433	31.86	31.93	31.86	31.93	2500	80271.01
2017/04/27	1434	31.84	31.93	31.84	31.86	3200	102648.00
2017/04/27	1435	31.86	31.92	31.86	31.92	1700	54611.00
2017/04/27	1436	31.92	31.95	31.92	31.92	8700	279735.00
2017/04/27	1437	31.94	31.94	31.94	31.94	1400	45024.00
2017/04/27	1438	31.94	31.94	31.94	31.94	2200	70752.00
2017/04/27	1439	31.96	32.03	31.90	32.03	15400	496251.00
2017/04/27	1440	32.03	32.03	31.97	31.97	5300	170618.00
2017/04/27	1441	31.96	32.02	31.96	32.02	9400	302996.03
2017/04/27	1442	32.02	32.02	31.98	32.01	5400	174089.02
2017/04/27	1443	31.98	32.01	31.98	31.98	6600	212616.00
2017/04/27	1444	31.98	32.00	31.98	31.98	4600	148172.00
2017/04/27	1445	31.98	32.00	31.98	32.00	6700	215758.00
2017/04/27	1446	31.99	31.99	31.97	31.97	3200	103035.00
2017/04/27	1447	31.97	31.97	31.96	31.96	5900	189899.00
2017/04/27	1448	31.96	31.96	31.93	31.93	4200	135126.00
2017/04/27	1449	31.91	31.91	31.89	31.89	2000	64248.00
