603515 欧普照明 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	34.79	34.79	34.63	34.67	16500	577058.00
2017/04/27	0932	34.65	34.70	34.52	34.52	12200	426185.00
2017/04/27	0933	34.51	34.51	34.40	34.40	11100	385906.00
2017/04/27	0934	34.45	34.45	34.36	34.40	21100	732108.00
2017/04/27	0935	34.37	34.45	34.37	34.45	9100	315975.00
2017/04/27	0936	34.45	34.52	34.45	34.49	6500	226220.00
2017/04/27	0937	34.49	34.52	34.49	34.49	6300	219249.00
2017/04/27	0938	34.49	34.49	34.41	34.41	26700	927864.00
2017/04/27	0939	34.40	34.40	34.35	34.35	21300	738571.00
2017/04/27	0940	34.34	34.34	34.13	34.13	22900	790816.00
2017/04/27	0941	34.22	34.22	34.02	34.05	28300	972557.00
2017/04/27	0942	34.01	34.05	33.96	34.00	29700	1018972.00
2017/04/27	0943	34.01	34.15	34.01	34.10	18700	642417.00
2017/04/27	0944	34.10	34.15	34.05	34.08	22400	770244.00
2017/04/27	0945	34.08	34.10	34.01	34.05	34300	1177914.00
2017/04/27	0946	34.00	34.10	34.00	34.10	29600	1016596.00
2017/04/27	0947	34.11	34.20	34.10	34.12	20900	719211.00
2017/04/27	0948	34.11	34.34	34.10	34.20	12500	432067.00
2017/04/27	0949	34.24	34.24	34.13	34.20	2400	82833.00
2017/04/27	0950	34.20	34.20	34.15	34.15	2900	99920.00
2017/04/27	0951	34.14	34.14	34.05	34.10	12900	443954.00
2017/04/27	0952	34.10	34.10	34.05	34.10	4500	154732.00
2017/04/27	0953	34.09	34.09	34.05	34.05	9900	340079.00
2017/04/27	0954	34.01	34.05	34.01	34.04	7400	253990.02
2017/04/27	0955	34.04	34.04	34.00	34.01	13300	456402.00
2017/04/27	0956	34.01	34.06	34.00	34.06	20000	686573.00
2017/04/27	0957	34.06	34.10	34.06	34.10	700	24062.00
2017/04/27	0958	34.10	34.17	34.10	34.10	9600	330254.03
2017/04/27	0959	34.05	34.11	34.02	34.02	26100	896468.00
2017/04/27	1000	34.03	34.03	33.93	33.93	50300	1723721.00
2017/04/27	1001	33.93	33.93	33.83	33.84	21400	731832.00
2017/04/27	1002	33.83	33.83	33.75	33.75	25600	872550.00
2017/04/27	1003	33.75	33.80	33.74	33.80	18300	623271.00
2017/04/27	1004	33.80	33.88	33.80	33.88	9900	337832.00
2017/04/27	1005	33.88	33.92	33.88	33.89	8800	300973.00
2017/04/27	1006	33.91	33.91	33.87	33.90	5300	181252.00
2017/04/27	1007	33.87	33.90	33.80	33.86	25600	873348.00
2017/04/27	1008	33.87	33.87	33.86	33.86	1400	47835.00
2017/04/27	1009	33.86	33.86	33.82	33.82	9100	310550.00
2017/04/27	1010	33.84	33.85	33.80	33.80	11800	402498.00
2017/04/27	1011	33.80	33.92	33.78	33.92	14600	497871.97
2017/04/27	1012	33.81	33.92	33.80	33.80	14100	480981.97
2017/04/27	1013	33.92	33.92	33.86	33.92	4700	160822.00
2017/04/27	1014	33.81	33.86	33.81	33.85	6700	228739.00
2017/04/27	1015	33.85	33.92	33.84	33.92	13200	450780.00
2017/04/27	1016	33.86	33.95	33.86	33.95	3100	106112.00
2017/04/27	1017	34.00	34.00	33.96	33.97	5800	198833.00
2017/04/27	1018	33.97	34.02	33.97	33.98	3700	126883.00
2017/04/27	1019	34.00	34.00	34.00	34.00	1800	61740.00
2017/04/27	1020	33.99	33.99	33.98	33.98	4100	140570.00
2017/04/27	1021	33.98	33.98	33.88	33.88	10300	352640.00
2017/04/27	1022	33.88	33.88	33.82	33.82	10600	361920.00
2017/04/27	1023	33.83	33.90	33.83	33.89	13700	468330.00
2017/04/27	1024	33.89	33.92	33.85	33.92	4800	164119.00
2017/04/27	1025	33.92	33.92	33.92	33.92	700	23954.00
2017/04/27	1026	33.92	33.95	33.90	33.95	1500	51338.00
2017/04/27	1027	33.98	33.98	33.97	33.97	700	23991.00
2017/04/27	1028	33.97	34.02	33.97	34.02	4400	150977.00
2017/04/27	1029	34.02	34.07	34.02	34.07	9500	326212.00
2017/04/27	1030	34.10	34.19	34.07	34.15	4200	144643.00
2017/04/27	1031	34.07	34.07	33.95	34.07	3500	120165.00
2017/04/27	1032	33.95	33.95	33.90	33.91	7600	260145.00
2017/04/27	1033	33.90	33.90	33.80	33.80	19100	651992.00
2017/04/27	1034	33.80	33.80	33.75	33.75	26300	895602.00
2017/04/27	1035	33.75	33.80	33.75	33.80	9400	320465.00
2017/04/27	1036	33.79	33.85	33.79	33.80	7000	238820.00
2017/04/27	1037	33.80	33.94	33.80	33.94	4600	157070.00
2017/04/27	1038	33.94	33.95	33.94	33.95	6600	226019.00
2017/04/27	1039	33.85	33.85	33.85	33.85	900	30735.00
2017/04/27	1040	33.86	33.95	33.86	33.95	8200	280776.00
2017/04/27	1041	33.95	33.95	33.85	33.85	8500	290710.00
2017/04/27	1042	33.82	33.95	33.81	33.95	4900	167326.00
2017/04/27	1043	33.95	33.95	33.95	33.95	4500	154125.00
2017/04/27	1044	33.95	33.95	33.85	33.95	9800	335630.00
2017/04/27	1045	33.95	33.95	33.95	33.95	0	0.00
2017/04/27	1046	34.00	34.00	34.00	34.00	9300	318990.00
2017/04/27	1047	34.00	34.00	33.85	33.85	3700	126730.00
2017/04/27	1048	33.85	33.94	33.85	33.94	600	20499.00
2017/04/27	1049	33.87	33.87	33.87	33.87	300	10251.00
2017/04/27	1050	33.94	33.94	33.88	33.88	2200	75202.00
2017/04/27	1051	33.88	33.94	33.88	33.94	4100	140343.00
2017/04/27	1052	33.89	33.94	33.88	33.94	3400	116271.00
2017/04/27	1053	33.88	33.94	33.88	33.94	3500	119636.00
2017/04/27	1054	33.88	33.88	33.88	33.88	1500	51270.00
2017/04/27	1055	33.88	33.88	33.87	33.88	1800	61512.00
2017/04/27	1056	33.87	33.88	33.85	33.85	7900	269863.00
2017/04/27	1057	33.84	33.84	33.82	33.82	3000	102388.00
2017/04/27	1058	33.84	33.84	33.82	33.84	2800	95580.00
2017/04/27	1059	33.84	33.87	33.83	33.87	5400	184344.00
2017/04/27	1100	33.84	33.88	33.83	33.83	9100	310784.00
2017/04/27	1101	33.82	33.84	33.82	33.84	20800	710010.00
2017/04/27	1102	33.84	33.88	33.84	33.88	3200	109296.00
2017/04/27	1103	33.85	34.01	33.85	34.01	9600	328845.00
2017/04/27	1104	34.04	34.15	34.04	34.15	5600	192608.00
2017/04/27	1105	34.20	34.20	34.15	34.15	6400	220685.00
2017/04/27	1106	34.15	34.16	34.14	34.14	900	31005.00
2017/04/27	1107	34.11	34.14	34.11	34.13	4700	161797.00
2017/04/27	1108	34.11	34.11	34.06	34.06	1900	65314.00
2017/04/27	1109	34.08	34.10	34.08	34.10	2600	89418.00
2017/04/27	1110	34.14	34.14	34.12	34.12	1900	65432.00
2017/04/27	1111	34.14	34.20	34.12	34.20	9000	310318.00
2017/04/27	1112	34.20	34.25	34.12	34.12	3100	106916.00
2017/04/27	1113	34.13	34.13	34.13	34.13	800	27544.00
2017/04/27	1114	34.16	34.16	34.16	34.16	2800	96488.00
2017/04/27	1115	34.22	34.22	34.15	34.16	3600	124163.00
2017/04/27	1116	34.16	34.16	34.15	34.16	13500	465198.00
2017/04/27	1117	34.15	34.25	34.15	34.24	14300	493479.00
2017/04/27	1118	34.24	34.24	34.22	34.22	2900	100151.00
2017/04/27	1119	34.22	34.24	34.22	34.22	5800	200234.00
2017/04/27	1120	34.22	34.22	34.21	34.21	1700	58673.00
2017/04/27	1121	34.21	34.21	34.16	34.20	7900	272567.00
2017/04/27	1122	34.22	34.24	34.22	34.24	5600	193349.00
2017/04/27	1123	34.24	34.33	34.24	34.33	7600	262944.00
2017/04/27	1124	34.35	34.40	34.35	34.40	4600	159538.00
2017/04/27	1125	34.39	34.48	34.39	34.40	17600	611284.00
2017/04/27	1126	34.39	34.40	34.35	34.35	3500	121426.00
2017/04/27	1127	34.35	34.47	34.35	34.42	4500	156274.00
2017/04/27	1128	34.42	34.42	34.35	34.35	1900	65911.00
2017/04/27	1129	34.32	34.36	34.31	34.31	6800	235538.00
2017/04/27	1300	34.35	34.35	34.30	34.35	6900	238976.00
2017/04/27	1301	34.35	34.35	34.35	34.35	0	0.00
2017/04/27	1302	34.31	34.31	34.31	34.31	500	17305.00
2017/04/27	1303	34.31	34.33	34.31	34.33	700	24237.00
2017/04/27	1304	34.33	34.33	34.33	34.33	700	24241.00
2017/04/27	1305	34.32	34.32	34.32	34.32	100	3462.00
2017/04/27	1306	34.32	34.32	34.31	34.31	1300	44996.00
2017/04/27	1307	34.31	34.31	34.26	34.26	4000	138385.00
2017/04/27	1308	34.26	34.26	34.24	34.24	800	27646.00
2017/04/27	1309	34.26	34.26	34.23	34.23	400	13819.00
2017/04/27	1310	34.22	34.22	34.20	34.20	1400	48312.00
2017/04/27	1311	34.19	34.19	34.19	34.19	900	31041.00
2017/04/27	1312	34.18	34.18	34.18	34.18	1200	41376.00
2017/04/27	1313	34.18	34.21	34.18	34.21	500	17244.00
2017/04/27	1314	34.21	34.23	34.21	34.23	900	31071.00
2017/04/27	1315	34.28	34.28	34.28	34.28	100	3458.00
2017/04/27	1316	34.30	34.35	34.30	34.35	3400	117645.00
2017/04/27	1317	34.34	34.34	34.30	34.30	3200	110772.00
2017/04/27	1318	34.30	34.30	34.24	34.30	5700	197213.98
2017/04/27	1319	34.30	34.30	34.30	34.30	2900	100339.99
2017/04/27	1320	34.30	34.34	34.30	34.30	8000	276836.00
2017/04/27	1321	34.26	34.34	34.26	34.34	2000	69170.00
2017/04/27	1322	34.34	34.40	34.34	34.40	6700	232238.00
2017/04/27	1323	34.45	34.50	34.40	34.50	3100	107771.00
2017/04/27	1324	34.50	34.50	34.46	34.50	3600	125191.00
2017/04/27	1325	34.50	34.55	34.50	34.55	7400	257674.00
2017/04/27	1326	34.55	34.56	34.52	34.55	3300	115005.00
2017/04/27	1327	34.56	34.70	34.52	34.70	13400	468477.00
