603569 长久物流 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	36.84	36.84	36.64	36.74	63500	2344631.00
2017/04/27	0932	36.66	36.74	36.66	36.73	24200	891681.00
2017/04/27	0933	36.70	36.75	36.64	36.75	57200	2106834.00
2017/04/27	0934	36.71	37.02	36.64	37.01	35500	1309534.00
2017/04/27	0935	37.02	37.11	36.97	36.97	41300	1536599.00
2017/04/27	0936	37.01	37.02	36.84	36.85	28200	1044854.00
2017/04/27	0937	36.85	36.89	36.84	36.86	43100	1595217.00
2017/04/27	0938	36.87	36.87	36.64	36.64	79100	2922141.00
2017/04/27	0939	36.65	36.70	36.62	36.62	71900	2646057.00
2017/04/27	0940	36.64	36.73	36.63	36.73	28000	1030846.00
2017/04/27	0941	36.78	36.85	36.74	36.85	12100	446932.00
2017/04/27	0942	36.89	36.95	36.89	36.90	15200	563575.00
2017/04/27	0943	36.95	36.97	36.85	36.91	10200	378114.00
2017/04/27	0944	36.85	36.92	36.85	36.88	28700	1063176.00
2017/04/27	0945	36.88	36.94	36.88	36.90	9300	344659.00
2017/04/27	0946	36.92	36.92	36.84	36.84	14600	540856.00
2017/04/27	0947	36.84	36.84	36.73	36.73	26300	971396.00
2017/04/27	0948	36.73	36.74	36.69	36.74	29800	1099389.00
2017/04/27	0949	36.74	36.84	36.74	36.79	18900	698243.00
2017/04/27	0950	36.83	36.83	36.74	36.77	10600	391553.00
2017/04/27	0951	36.74	36.79	36.74	36.79	11900	439471.00
2017/04/27	0952	36.76	36.76	36.73	36.73	17800	656914.00
2017/04/27	0953	36.72	36.72	36.70	36.70	30300	1117145.00
2017/04/27	0954	36.70	36.75	36.70	36.75	35500	1309678.00
2017/04/27	0955	36.75	36.84	36.75	36.84	10300	380654.00
2017/04/27	0956	36.89	36.96	36.84	36.96	23100	856116.00
2017/04/27	0957	36.94	37.12	36.94	37.12	20500	762194.00
2017/04/27	0958	37.12	37.14	36.99	36.99	34600	1289431.00
2017/04/27	0959	36.99	37.02	36.85	36.89	20800	771642.00
2017/04/27	1000	36.85	36.89	36.84	36.88	10900	403441.00
2017/04/27	1001	36.79	36.79	36.74	36.77	16800	620252.00
2017/04/27	1002	36.82	36.82	36.70	36.72	28900	1066666.00
2017/04/27	1003	36.71	36.75	36.70	36.75	22300	822513.00
2017/04/27	1004	36.83	36.87	36.80	36.87	16500	610615.00
2017/04/27	1005	36.87	36.90	36.85	36.90	5200	192690.00
2017/04/27	1006	36.93	36.93	36.85	36.85	7300	270504.00
2017/04/27	1007	36.85	36.89	36.85	36.89	13400	496164.00
2017/04/27	1008	36.89	36.92	36.89	36.89	11100	411447.03
2017/04/27	1009	36.89	36.89	36.84	36.84	16000	592412.00
2017/04/27	1010	36.86	36.88	36.80	36.87	12900	477238.00
2017/04/27	1011	36.88	36.99	36.84	36.99	21600	801021.00
2017/04/27	1012	36.99	37.14	36.99	37.14	20000	745078.00
2017/04/27	1013	37.19	37.31	37.19	37.30	31000	1160199.00
