603658 安图生物 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	42.00	42.00	41.93	41.93	1900	79709.00
2017/04/27	0932	42.25	42.25	41.93	42.17	1900	80091.00
2017/04/27	0933	41.95	42.13	41.60	41.60	5300	222155.00
2017/04/27	0934	41.72	41.72	41.72	41.72	1200	50064.00
2017/04/27	0935	41.86	41.86	41.81	41.81	1800	75268.00
2017/04/27	0936	41.82	41.82	41.80	41.80	1800	75244.00
2017/04/27	0937	41.80	41.80	41.61	41.62	7900	329292.00
2017/04/27	0938	41.64	41.79	41.64	41.79	2400	100072.00
2017/04/27	0939	41.79	41.79	41.65	41.68	4000	166667.00
2017/04/27	0940	41.69	41.79	41.68	41.79	4200	175268.00
2017/04/27	0941	41.80	41.90	41.71	41.80	2100	87718.00
2017/04/27	0942	41.80	41.80	41.80	41.80	800	33440.00
2017/04/27	0943	41.80	41.80	41.80	41.80	2500	104500.00
2017/04/27	0944	41.80	41.88	41.80	41.88	1200	50192.00
2017/04/27	0945	41.80	41.80	41.80	41.80	2100	87780.00
2017/04/27	0946	41.78	41.78	41.68	41.68	5400	225212.00
2017/04/27	0947	41.68	41.77	41.66	41.69	2900	120850.00
2017/04/27	0948	41.70	41.77	41.70	41.77	5500	229385.00
2017/04/27	0949	41.77	41.77	41.77	41.77	100	4177.00
2017/04/27	0950	41.78	41.78	41.78	41.78	1300	54314.00
2017/04/27	0951	41.69	41.79	41.68	41.79	5400	225135.00
2017/04/27	0952	41.70	41.70	41.70	41.70	100	4170.00
2017/04/27	0953	41.72	41.73	41.70	41.73	1900	79251.00
2017/04/27	0954	41.73	41.73	41.70	41.70	1900	79263.00
2017/04/27	0955	41.70	41.70	41.70	41.70	1500	62550.00
2017/04/27	0956	41.70	41.70	41.69	41.69	2500	104238.00
2017/04/27	0957	41.69	41.69	41.69	41.69	700	29183.00
2017/04/27	0958	41.69	41.69	41.64	41.64	9000	374850.00
2017/04/27	0959	41.64	41.64	41.60	41.62	7300	303803.00
2017/04/27	1000	41.50	41.50	41.31	41.31	6400	265387.00
2017/04/27	1001	41.25	41.25	41.00	41.03	28800	1183655.00
2017/04/27	1002	41.05	41.14	41.02	41.14	9300	381623.00
2017/04/27	1003	41.15	41.39	41.15	41.39	2400	98802.00
2017/04/27	1004	41.19	41.37	41.19	41.37	1700	70257.00
2017/04/27	1005	41.37	41.37	41.21	41.21	2000	82708.00
2017/04/27	1006	41.37	41.38	41.37	41.38	2100	86878.00
2017/04/27	1007	41.38	41.38	41.37	41.37	400	16549.00
2017/04/27	1008	41.37	41.39	41.34	41.34	8900	368054.00
2017/04/27	1009	41.35	41.35	41.35	41.35	1500	62025.00
2017/04/27	1010	41.47	41.47	41.39	41.39	800	33128.00
2017/04/27	1011	41.47	41.50	41.47	41.50	3100	128589.00
2017/04/27	1012	41.50	41.50	41.48	41.50	1300	53940.00
2017/04/27	1013	41.57	41.66	41.57	41.66	1200	49974.00
2017/04/27	1014	41.67	41.67	41.67	41.67	6600	275022.00
2017/04/27	1015	41.70	41.72	41.70	41.72	600	25028.00
2017/04/27	1016	41.67	41.67	41.50	41.50	7300	304004.00
2017/04/27	1017	41.47	41.47	41.36	41.36	1400	58014.00
2017/04/27	1018	41.35	41.36	41.35	41.35	6200	256371.98
2017/04/27	1019	41.35	41.46	41.35	41.46	800	33114.00
2017/04/27	1020	41.46	41.46	41.46	41.46	0	0.00
2017/04/27	1021	41.46	41.46	41.46	41.46	0	0.00
2017/04/27	1022	41.46	41.46	41.35	41.44	6100	252668.00
2017/04/27	1023	41.35	41.35	41.34	41.34	8500	351405.00
2017/04/27	1024	41.34	41.34	41.34	41.34	300	12402.00
2017/04/27	1025	41.44	41.44	41.34	41.41	1700	70363.00
2017/04/27	1026	41.41	41.41	41.41	41.41	500	20705.00
2017/04/27	1027	41.41	41.41	41.41	41.41	0	0.00
2017/04/27	1028	41.37	41.41	41.37	41.41	2500	103495.00
2017/04/27	1029	41.41	41.41	41.41	41.41	800	33128.00
2017/04/27	1030	41.41	41.41	41.40	41.40	2200	91099.00
2017/04/27	1031	41.39	41.41	41.39	41.40	5500	227703.00
2017/04/27	1032	41.40	41.40	41.39	41.39	5500	227692.00
2017/04/27	1033	41.39	41.40	41.34	41.34	3400	140654.00
2017/04/27	1034	41.30	41.34	41.28	41.28	1700	70212.00
2017/04/27	1035	41.28	41.34	41.28	41.34	1700	70188.00
2017/04/27	1036	41.29	41.31	41.29	41.31	1900	78477.00
2017/04/27	1037	41.40	41.40	41.31	41.31	1600	66231.01
2017/04/27	1038	41.31	41.31	41.31	41.31	200	8262.00
2017/04/27	1039	41.31	41.32	41.30	41.32	1600	66097.00
2017/04/27	1040	41.32	41.32	41.32	41.32	300	12396.00
2017/04/27	1041	41.40	41.40	41.40	41.40	400	16560.00
2017/04/27	1042	41.35	41.35	41.35	41.35	100	4135.00
2017/04/27	1043	41.40	41.42	41.40	41.42	2600	107666.00
2017/04/27	1044	41.44	41.44	41.44	41.44	400	16576.00
2017/04/27	1045	41.44	41.44	41.44	41.44	2300	95312.00
2017/04/27	1046	41.44	41.60	41.44	41.60	17800	737664.00
2017/04/27	1047	41.47	41.47	41.47	41.47	1300	53911.00
