603993 洛阳钼业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	4.22	4.22	4.19	4.19	735100	3107728.00
2017/04/27	0932	4.20	4.20	4.18	4.18	573800	2418919.00
2017/04/27	0933	4.18	4.18	4.17	4.17	864700	3637595.00
2017/04/27	0934	4.18	4.18	4.17	4.18	499200	2099428.00
2017/04/27	0935	4.18	4.19	4.18	4.19	300300	1265480.00
2017/04/27	0936	4.18	4.18	4.16	4.17	827500	3481228.00
2017/04/27	0937	4.17	4.17	4.15	4.15	1298800	5440584.00
2017/04/27	0938	4.15	4.15	4.13	4.13	1131700	4712103.00
2017/04/27	0939	4.14	4.16	4.13	4.16	1319600	5505228.00
2017/04/27	0940	4.16	4.19	4.16	4.19	870400	3659428.00
2017/04/27	0941	4.20	4.20	4.17	4.17	380400	1603480.00
2017/04/27	0942	4.17	4.18	4.16	4.17	316100	1327683.00
2017/04/27	0943	4.17	4.17	4.15	4.15	419500	1759256.00
2017/04/27	0944	4.16	4.17	4.16	4.16	444800	1865073.00
2017/04/27	0945	4.16	4.16	4.14	4.15	606200	2531943.00
2017/04/27	0946	4.14	4.15	4.13	4.14	697200	2910409.00
2017/04/27	0947	4.14	4.15	4.13	4.14	377100	1572311.00
2017/04/27	0948	4.14	4.16	4.14	4.16	232100	969030.00
2017/04/27	0949	4.16	4.16	4.15	4.16	171200	716649.00
2017/04/27	0950	4.15	4.16	4.14	4.14	460900	1925872.88
2017/04/27	0951	4.14	4.15	4.14	4.15	752000	3139290.00
2017/04/27	0952	4.15	4.15	4.14	4.14	502900	2097541.00
2017/04/27	0953	4.14	4.14	4.13	4.13	467800	1948827.00
2017/04/27	0954	4.14	4.14	4.13	4.13	551900	2297305.00
2017/04/27	0955	4.14	4.15	4.14	4.14	269900	1125858.00
2017/04/27	0956	4.15	4.15	4.14	4.14	1204000	5024130.00
2017/04/27	0957	4.14	4.15	4.13	4.14	975500	4070135.00
2017/04/27	0958	4.14	4.15	4.14	4.14	312800	1306154.00
2017/04/27	0959	4.15	4.15	4.14	4.14	194100	809889.00
2017/04/27	1000	4.14	4.15	4.13	4.13	586300	2443746.00
2017/04/27	1001	4.13	4.14	4.12	4.12	2080100	8653331.00
2017/04/27	1002	4.12	4.13	4.10	4.11	2524300	10470167.00
2017/04/27	1003	4.10	4.12	4.10	4.11	1889600	7812552.00
2017/04/27	1004	4.12	4.12	4.11	4.12	654400	2711553.00
2017/04/27	1005	4.12	4.12	4.11	4.11	1362900	5644447.00
2017/04/27	1006	4.12	4.13	4.11	4.12	375900	1560485.00
2017/04/27	1007	4.13	4.15	4.12	4.15	229500	955581.00
2017/04/27	1008	4.13	4.15	4.13	4.13	425100	1770784.00
2017/04/27	1009	4.13	4.15	4.13	4.15	660300	2752612.00
2017/04/27	1010	4.14	4.15	4.14	4.14	104600	436270.00
2017/04/27	1011	4.14	4.15	4.13	4.13	205500	856889.00
2017/04/27	1012	4.14	4.14	4.13	4.14	235200	979487.00
2017/04/27	1013	4.14	4.14	4.13	4.14	170000	708648.00
2017/04/27	1014	4.14	4.15	4.13	4.14	175900	733905.00
2017/04/27	1015	4.14	4.15	4.13	4.14	170800	712339.00
2017/04/27	1016	4.14	4.14	4.13	4.14	565100	2352117.00
2017/04/27	1017	4.13	4.14	4.12	4.13	122800	510930.00
2017/04/27	1018	4.13	4.13	4.12	4.13	134700	559878.00
2017/04/27	1019	4.13	4.13	4.12	4.12	78900	327794.00
2017/04/27	1020	4.13	4.13	4.12	4.13	197400	821055.00
2017/04/27	1021	4.13	4.14	4.13	4.14	111000	462182.00
2017/04/27	1022	4.13	4.14	4.13	4.14	276200	1149452.00
2017/04/27	1023	4.14	4.14	4.13	4.13	192500	801035.00
2017/04/27	1024	4.13	4.14	4.13	4.14	202200	841743.00
2017/04/27	1025	4.13	4.14	4.13	4.14	554000	2306021.00
2017/04/27	1026	4.13	4.14	4.12	4.13	111500	464106.00
2017/04/27	1027	4.13	4.14	4.13	4.13	141700	590437.00
2017/04/27	1028	4.14	4.14	4.13	4.13	323100	1346674.00
2017/04/27	1029	4.13	4.14	4.13	4.13	59100	246039.00
2017/04/27	1030	4.13	4.14	4.13	4.14	218700	911340.00
2017/04/27	1031	4.13	4.14	4.13	4.13	109100	453891.00
2017/04/27	1032	4.14	4.14	4.12	4.12	239300	994994.00
2017/04/27	1033	4.13	4.13	4.12	4.13	789600	3277954.00
2017/04/27	1034	4.13	4.13	4.12	4.13	583200	2424157.00
2017/04/27	1035	4.13	4.13	4.12	4.13	343300	1427272.00
2017/04/27	1036	4.13	4.13	4.12	4.12	934400	3883140.00
2017/04/27	1037	4.13	4.13	4.12	4.13	89900	373686.00
2017/04/27	1038	4.12	4.13	4.12	4.13	266900	1109701.00
2017/04/27	1039	4.12	4.14	4.12	4.12	252800	1051144.00
2017/04/27	1040	4.13	4.14	4.12	4.14	103800	431254.00
2017/04/27	1041	4.14	4.14	4.13	4.14	262300	1093485.00
2017/04/27	1042	4.15	4.15	4.14	4.14	74500	311323.00
2017/04/27	1043	4.15	4.16	4.14	4.15	250100	1044699.00
2017/04/27	1044	4.16	4.16	4.15	4.15	96700	404236.97
