000002 万 科Ａ 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.53	19.53	19.45	19.45	378100	7670309.00
2017/04/27	0932	19.46	19.46	19.39	19.39	403800	8157452.00
2017/04/27	0933	19.40	19.40	19.32	19.34	324400	6533124.00
2017/04/27	0934	19.34	19.34	19.30	19.30	608100	12225643.00
2017/04/27	0935	19.29	19.29	19.22	19.23	658400	13199902.00
2017/04/27	0936	19.24	19.28	19.23	19.28	429800	8611845.00
2017/04/27	0937	19.27	19.29	19.24	19.26	418600	8394165.00
2017/04/27	0938	19.27	19.27	19.26	19.26	478500	9594890.00
2017/04/27	0939	19.26	19.30	19.25	19.26	343700	6897241.00
2017/04/27	0940	19.30	19.30	19.26	19.28	167800	3366705.00
2017/04/27	0941	19.29	19.32	19.29	19.32	107600	2162252.00
2017/04/27	0942	19.32	19.37	19.32	19.37	72300	1455846.00
2017/04/27	0943	19.38	19.39	19.35	19.35	227500	4586181.00
2017/04/27	0944	19.35	19.36	19.30	19.30	133400	2682979.00
2017/04/27	0945	19.30	19.30	19.27	19.28	202500	4065430.00
2017/04/27	0946	19.28	19.30	19.28	19.29	112000	2248851.00
2017/04/27	0947	19.29	19.29	19.26	19.27	365000	7325803.00
2017/04/27	0948	19.27	19.29	19.26	19.26	178800	3585837.00
2017/04/27	0949	19.26	19.29	19.26	19.27	124800	2503218.00
2017/04/27	0950	19.27	19.28	19.26	19.28	120700	2421244.00
2017/04/27	0951	19.27	19.28	19.26	19.27	91100	1827528.00
2017/04/27	0952	19.27	19.27	19.25	19.25	212600	4262156.00
2017/04/27	0953	19.25	19.25	19.22	19.23	425800	8527376.00
2017/04/27	0954	19.23	19.24	19.22	19.23	260200	5208893.00
2017/04/27	0955	19.23	19.25	19.23	19.24	240900	4824311.00
2017/04/27	0956	19.24	19.24	19.23	19.23	126100	2525048.25
2017/04/27	0957	19.23	19.24	19.22	19.23	174900	3501493.00
2017/04/27	0958	19.23	19.23	19.20	19.20	1169800	23403278.00
2017/04/27	0959	19.20	19.20	19.05	19.05	580600	11563180.00
2017/04/27	1000	19.05	19.05	18.91	18.91	521000	10297931.00
2017/04/27	1001	18.92	18.92	18.72	18.74	1009700	19831560.00
2017/04/27	1002	18.76	18.89	18.74	18.81	1231800	24153622.00
2017/04/27	1003	18.83	18.83	18.76	18.79	687700	13462935.00
2017/04/27	1004	18.79	18.81	18.77	18.78	1089500	21332656.00
2017/04/27	1005	18.79	18.83	18.78	18.80	956700	18742478.00
2017/04/27	1006	18.81	18.82	18.78	18.82	832600	16307200.00
2017/04/27	1007	18.81	18.83	18.80	18.83	377700	7403036.00
2017/04/27	1008	18.82	18.90	18.82	18.90	212000	4163730.00
2017/04/27	1009	18.96	18.97	18.89	18.90	345300	6806405.00
2017/04/27	1010	18.90	18.92	18.90	18.92	271900	5357294.00
2017/04/27	1011	18.93	18.94	18.91	18.94	245900	4848642.00
2017/04/27	1012	18.93	18.94	18.91	18.92	297800	5870088.00
2017/04/27	1013	18.91	18.93	18.89	18.89	256500	5052149.00
2017/04/27	1014	18.88	18.88	18.84	18.87	237600	4671140.00
