000039 中集集团 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.84	15.90	15.84	15.88	54200	862747.00
2017/04/27	0932	15.90	15.92	15.90	15.91	21600	344878.00
2017/04/27	0933	15.90	15.95	15.89	15.95	118500	1891479.00
2017/04/27	0934	15.95	15.98	15.91	15.98	24400	390898.00
2017/04/27	0935	15.97	15.99	15.96	15.99	130700	2096331.00
2017/04/27	0936	16.00	16.00	15.99	15.99	79000	1268147.88
2017/04/27	0937	15.99	16.02	15.96	15.96	156800	2515759.00
2017/04/27	0938	15.97	15.99	15.95	15.95	68900	1104475.13
2017/04/27	0939	15.95	15.96	15.93	15.94	66800	1068940.00
2017/04/27	0940	15.94	15.95	15.93	15.95	48000	768200.00
2017/04/27	0941	15.95	15.97	15.95	15.97	42000	672662.00
2017/04/27	0942	15.96	15.97	15.96	15.96	43300	693820.00
2017/04/27	0943	15.96	15.99	15.96	15.98	49300	790433.00
2017/04/27	0944	15.98	15.99	15.98	15.99	28200	452584.00
2017/04/27	0945	15.98	15.98	15.97	15.97	25400	407220.03
2017/04/27	0946	15.98	15.98	15.97	15.97	43000	689669.06
2017/04/27	0947	15.98	15.99	15.97	15.98	51500	825833.00
2017/04/27	0948	15.97	15.98	15.97	15.97	31400	503549.03
2017/04/27	0949	15.97	15.98	15.96	15.97	9300	149080.02
2017/04/27	0950	15.96	15.98	15.96	15.96	10500	168321.00
2017/04/27	0951	15.98	15.98	15.96	15.98	23200	371911.00
2017/04/27	0952	15.97	15.97	15.96	15.96	67500	1081790.00
2017/04/27	0953	15.96	15.96	15.92	15.93	49400	790304.00
2017/04/27	0954	15.94	15.94	15.91	15.92	59700	954001.00
2017/04/27	0955	15.92	15.94	15.92	15.94	90200	1441909.00
2017/04/27	0956	15.93	15.93	15.92	15.92	28200	450759.00
2017/04/27	0957	15.92	15.93	15.92	15.93	50700	810214.00
2017/04/27	0958	15.93	15.93	15.92	15.92	17900	286193.00
2017/04/27	0959	15.92	15.93	15.92	15.92	13000	207742.00
2017/04/27	1000	15.92	15.92	15.90	15.90	32300	515865.00
2017/04/27	1001	15.90	15.90	15.84	15.84	77600	1234554.00
2017/04/27	1002	15.84	15.89	15.84	15.85	57000	906477.00
2017/04/27	1003	15.89	15.89	15.81	15.84	93600	1487188.00
2017/04/27	1004	15.79	15.83	15.78	15.78	75100	1190389.00
2017/04/27	1005	15.77	15.80	15.75	15.78	72200	1143007.00
2017/04/27	1006	15.81	15.81	15.78	15.79	49200	779799.00
2017/04/27	1007	15.80	15.80	15.76	15.77	95200	1507849.00
2017/04/27	1008	15.78	15.78	15.75	15.76	44700	707084.00
2017/04/27	1009	15.76	15.77	15.72	15.74	163900	2591659.00
2017/04/27	1010	15.75	15.76	15.72	15.72	46900	740957.00
2017/04/27	1011	15.75	15.76	15.71	15.76	67000	1058052.00
2017/04/27	1012	15.75	15.75	15.73	15.73	64200	1014091.00
2017/04/27	1013	15.73	15.75	15.73	15.75	68300	1078905.00
2017/04/27	1014	15.74	15.74	15.72	15.74	29900	472160.00
2017/04/27	1015	15.72	15.72	15.69	15.69	195400	3079856.00
2017/04/27	1016	15.68	15.68	15.61	15.62	358900	5637787.00
2017/04/27	1017	15.61	15.65	15.61	15.65	109500	1718264.00
2017/04/27	1018	15.65	15.69	15.63	15.69	78500	1233006.00
2017/04/27	1019	15.65	15.70	15.64	15.70	85800	1348015.00
2017/04/27	1020	15.65	15.69	15.62	15.62	42200	662483.00
2017/04/27	1021	15.64	15.64	15.57	15.61	70300	1100004.00
2017/04/27	1022	15.61	15.64	15.59	15.63	47400	742417.00
2017/04/27	1023	15.59	15.63	15.59	15.61	52800	827160.00
2017/04/27	1024	15.63	15.68	15.63	15.68	50800	797630.00
2017/04/27	1025	15.68	15.69	15.64	15.64	16900	265606.00
2017/04/27	1026	15.65	15.69	15.65	15.69	25000	393496.00
2017/04/27	1027	15.64	15.69	15.64	15.67	49500	777370.00
2017/04/27	1028	15.66	15.67	15.66	15.67	45000	707796.00
2017/04/27	1029	15.68	15.68	15.66	15.66	12400	195059.00
2017/04/27	1030	15.66	15.68	15.66	15.67	54300	853849.00
2017/04/27	1031	15.66	15.69	15.65	15.65	61000	959227.00
2017/04/27	1032	15.67	15.67	15.64	15.64	11000	172793.00
2017/04/27	1033	15.64	15.64	15.60	15.61	64200	1006635.00
2017/04/27	1034	15.60	15.60	15.55	15.55	397600	6208887.00
2017/04/27	1035	15.55	15.58	15.54	15.56	91100	1421782.00
2017/04/27	1036	15.54	15.58	15.54	15.54	182800	2852588.00
2017/04/27	1037	15.51	15.54	15.49	15.49	96000	1495341.00
2017/04/27	1038	15.51	15.51	15.47	15.48	164600	2557149.00
2017/04/27	1039	15.44	15.46	15.43	15.45	188900	2928187.00
2017/04/27	1040	15.47	15.48	15.44	15.48	157200	2439867.00
2017/04/27	1041	15.46	15.53	15.46	15.53	52100	809683.00
2017/04/27	1042	15.50	15.52	15.49	15.51	44100	686548.00
2017/04/27	1043	15.51	15.53	15.50	15.52	37800	588851.00
2017/04/27	1044	15.52	15.53	15.51	15.52	30000	467566.00
2017/04/27	1045	15.53	15.54	15.52	15.52	43200	673469.00
2017/04/27	1046	15.52	15.52	15.52	15.52	19300	300694.00
2017/04/27	1047	15.51	15.51	15.47	15.47	90500	1407350.00
2017/04/27	1048	15.46	15.47	15.46	15.47	38900	603985.00
2017/04/27	1049	15.47	15.49	15.46	15.48	33400	518740.00
